3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.661,1.8691,1.932,2.2565,2.457,2.6525,2.6526,3.0171
2.0567,2.2014,2.3165,2.573,2.7398,2.873,2.9117,3.3051
1.545,1.62,1.72,2.2471,2.605,2.76,3.048,3.6
2.8593,2.821,2.8785,2.9926,3.1752,3.4454,3.5451,4.1452
1.545,1.64,1.7077,2.25,2.6293,2.78,3.01,3.602
1.8701,2.0603,2.2278,2.5146,2.7028,2.8339,2.8605,3.2463
2.7845,2.7745,2.8971,3.0599,3.2001,3.4681,3.519,4.2061
1.6459,1.6627,1.8231,2.2467,2.4343,2.6183,2.6353,3.0011
3.0343,2.8626,2.9547,3.0251,3.1601,3.422,3.521,4.0984
1.8109,2.0903,2.1477,2.3702,2.5175,2.6603,2.6651,2.9926
1.545,1.63,1.7,2.24,2.6365,2.777,3.01,3.602
2.9693,3.0016,3.1,3.615,3.7663,3.8894,4.0451,4.31
1.8171,2.1219,2.1877,2.3882,2.5234,2.6625,2.6625,2.9895
1.515,1.6,1.705,2.2,2.6369,2.75,2.94,3.58
3.149,3.2458,3.36,3.76,3.8704,3.9751,4.1311,4.49
2.7131,2.7422,2.8318,3.0563,3.1764,3.3536,3.4444,4.1737
3.2158,3.2572,3.435,3.709,3.87,4.0289,4.1617,4.5809
1.9096,2.1755,2.2127,2.4002,2.5511,2.7,2.6976,3.0119
2.0,2.0243,2.2091,2.4922,2.6826,2.8039,2.8281,3.2032
1.691,1.8687,1.912,2.2824,2.4723,2.6516,2.6677,3.0346
2.5035,2.5601,2.6574,3.076,3.203,3.4025,3.4714,4.1751
2.8594,2.8208,2.8654,2.9817,3.1576,3.4223,3.5401,4.1452
1.8633,2.1936,2.2377,2.4901,2.5899,2.705,2.6976,3.0153
1.7304,1.8734,1.9893,2.3153,2.4794,2.6793,2.7037,3.0723
1.8023,2.0969,2.1327,2.349,2.4939,2.6474,2.64,2.984
1.66,1.75,1.8874,2.32,2.56,2.77,3.05,3.65
3.07,3.08,3.2557,3.6599,3.8562,4.015,4.1691,4.51
2.8714,2.8615,2.8952,3.1591,3.3014,3.4702,3.5689,4.2
2.3276,2.3668,2.2306,2.4365,2.5029,2.6475,2.6444,2.9459
2.0522,2.1948,2.2955,2.5506,2.7114,2.8521,2.8826,3.2897
3.2685,3.2822,3.534,3.9552,4.1948,4.2862,4.4236,4.8406
1.5095,1.64,1.71,2.1355,2.5669,2.68,2.94,3.5
2.9673,2.9196,2.9468,3.0693,3.2274,3.4647,3.5464,4.1265
1.7651,2.0935,2.1252,2.3423,2.4808,2.6408,2.623,2.9824
1.5425,1.65,1.7357,2.23,2.45,2.68,3.02,3.63
1.735,1.9,2.03,2.5,2.72,2.9,3.15,3.73
1.5257,1.7972,1.8156,2.2416,2.4048,2.5922,2.6212,2.971
3.1365,3.2484,3.31,3.7,3.9627,4.0152,4.1635,4.395
1.8741,2.02,2.1581,2.5311,2.7054,2.8682,2.9017,3.2879
3.0203,3.15,3.27,3.725,3.9336,4.001,4.15,4.4
2.245,2.27,2.2963,2.3428,2.6573,2.8414,2.9767,3.7105
3.1574,3.1934,3.3578,3.7071,3.8789,4.043,4.1636,4.5806
3.0782,3.125,3.2493,3.4,3.524,3.625,3.8,4.39
1.654,1.696,1.8279,2.2471,2.4395,2.6232,2.6403,3.0091
2.3118,2.3592,2.1221,2.3852,2.5058,2.647,2.6524,2.9336
2.8299,2.8284,2.8436,2.9708,3.1676,3.4261,3.5247,4.1444
2.4762,2.5478,2.4745,2.7841,3.0705,3.2228,3.3342,4.1442
2.2518,2.4012,2.3553,2.6321,2.8628,3.1102,3.2902,4.1217
1.6051,1.8449,1.8181,2.2448,2.441,2.6275,2.6533,3.0061
2.0567,2.1466,2.2513,2.3979,2.8167,3.0721,3.2858,4.1057
3.041,3.052,3.25,3.6594,3.8544,3.9847,4.1253,4.5038
0.95,0.9783,1.0554,1.3066,1.7818,2.1223,2.7384,3.6303
1.5444,1.8293,1.8265,2.2623,2.429,2.6202,2.6475,2.992
2.3605,2.4196,2.3264,2.4861,2.5837,2.6987,2.7023,2.9704
2.8503,2.862,2.9375,3.1595,3.2986,3.4951,3.6009,4.203
2.8816,2.8216,2.9423,3.0637,3.1943,3.4867,3.5609,4.1898
3.1632,3.29,3.36,3.66,3.8892,3.951,4.1436,4.43
1.6754,1.7061,1.8227,2.2423,2.4335,2.6283,2.6392,3.018
3.2756,3.4351,3.62,3.9497,4.2317,4.3149,4.5139,4.99
3.2711,3.28,3.34,3.3872,3.5264,3.6409,3.7601,4.3059
2.37,2.37,2.5488,2.8044,3.0241,3.3511,3.4461,4.1636
2.16,2.1624,2.2215,2.4563,2.901,3.185,3.36,4.1006
1.5715,1.8231,1.8772,2.2025,2.3653,2.5315,2.5543,2.8812
2.0832,2.0951,2.2609,2.5996,3.0625,3.2486,3.4107,4.1153
3.2776,3.306,3.4229,3.8789,4.1631,4.2974,4.5182,4.8266
3.0771,2.9002,2.936,3.0376,3.1459,3.4327,3.5164,4.1072
1.57,1.68,1.78,2.2255,2.48,2.7269,3.02,3.62
2.1506,2.2269,2.2246,2.335,2.4172,2.5453,2.5678,2.8077
2.8154,2.8142,2.8231,2.9959,3.1801,3.4449,3.5428,4.1948
1.5,1.57,1.7,2.01,2.37,2.59,2.92,3.51
2.9682,2.9247,2.9371,3.0634,3.2072,3.4494,3.5501,4.1277
3.1505,3.421,3.5505,3.8916,4.0486,4.2263,4.3944,4.9106
1.9052,2.0253,2.163,2.54,2.6983,2.8671,2.8964,3.2827
1.64,1.73,1.8029,2.35,2.56,2.79,3.05,3.681
1.6645,1.759,1.8439,2.33,2.55,2.76,3.03,3.65
3.2726,3.4911,3.6502,3.9507,4.2309,4.3354,4.5596,5.0
2.419,2.4593,2.3791,2.4724,2.557,2.6575,2.6636,2.9428
2.2206,2.2415,2.2526,2.3726,2.4562,2.5698,2.5877,2.8341
1.626,1.7546,1.8425,2.2324,2.4333,2.6327,2.6402,3.0133
1.8824,2.1002,2.2328,2.5118,2.6949,2.8356,2.8604,3.2407
1.9801,2.0432,2.1362,2.4366,2.5968,2.7309,2.7613,3.1182
2.2,2.23,2.2517,2.3032,2.5566,2.6532,2.9221,3.6209
1.45,1.55,1.6551,2.1091,2.5678,2.69,2.93,3.51
1.5023,1.64,1.72,1.9968,2.4687,2.6847,2.92,3.52
2.4238,2.459,2.3826,2.4622,2.5342,2.6335,2.6375,2.9293
2.8715,2.8716,2.8999,3.162,3.3009,3.4648,3.5658,4.1994
2.0719,2.1544,2.2395,2.5511,2.7392,2.8796,2.917,3.2977
2.0823,2.0846,2.3655,2.6241,3.0301,3.2015,3.4001,4.11
2.8475,2.8516,2.9073,3.1262,3.251,3.4656,3.5803,4.201
1.465,1.53,1.71,2.02,2.43,2.65,2.9,3.52
2.8141,2.844,2.9063,3.1517,3.2906,3.4849,3.5942,4.2039
1.7113,1.8499,1.9721,2.2363,2.4256,2.649,2.6825,3.0694
2.2189,2.2134,2.2534,2.5089,2.78,3.2002,3.3766,4.1124
2.0429,2.1169,2.1973,2.5329,2.6976,2.8587,2.892,3.283
2.1032,2.2889,2.2077,2.4059,2.5354,2.6975,2.6877,3.007
2.2929,2.3578,2.2051,2.4301,2.5325,2.6878,2.6938,2.9956
2.0818,2.188,2.2778,2.5302,2.7003,2.8494,2.8556,3.2319
2.8648,2.8261,2.8595,2.9993,3.1498,3.4197,3.5242,4.1392
1.52,1.63,1.71,2.22,2.52,2.72,3.0,3.58
1.9283,2.0465,2.2091,2.4866,2.669,2.7936,2.8158,3.1977
2.5447,2.56,2.7753,2.7935,2.9569,3.0999,3.1267,3.7055
2.1446,2.1867,2.2819,2.4904,2.8137,3.0706,3.276,4.105
1.5,1.56,1.73,2.04,2.46,2.68,2.93,3.54
1.6208,1.6493,1.68,1.8366,2.293,2.5841,2.9343,3.7238
1.4889,1.6154,1.7254,2.0001,2.4804,2.722,2.92,3.53
3.3377,3.4649,3.58,3.9537,4.2231,4.3,4.4612,4.9
2.8617,2.8245,2.8834,3.0534,3.2636,3.439,3.5332,4.1947
2.1002,2.1938,2.2728,2.5209,2.6882,2.8344,2.8577,3.2276
3.3675,3.45,3.5551,3.926,4.2096,4.285,4.44,4.871
1.9833,2.0221,2.156,2.4527,2.6152,2.753,2.7852,3.1379
2.4051,2.4607,2.4572,2.7651,3.0454,3.2225,3.3402,4.1452
2.0132,2.1476,2.1979,2.4749,2.8256,3.036,3.2709,4.0849
1.51,1.6,1.69,2.1,2.49,2.71,2.912,3.53
1.76,1.83,1.991,2.45,2.68,2.91,3.1729,3.8
1.7204,1.8792,1.979,2.3175,2.4795,2.6777,2.7065,3.0773
0.97,1.0031,1.0845,1.2966,1.7954,2.1317,2.7043,3.64
2.941,3.0,3.2,3.58,3.7482,3.8813,4.0244,4.31
2.187,2.199,2.25,2.4498,2.7335,3.1825,3.3718,4.1254
3.3483,3.4602,3.5651,3.9236,4.2128,4.283,4.4374,4.876
3.2971,3.3461,3.4665,3.8383,4.0672,4.2347,4.4213,4.7415
2.0105,2.14,2.2453,2.3949,2.809,3.061,3.285,4.1046
1.9049,2.0,2.0353,2.3551,2.5211,2.6781,2.701,3.0672
1.248,1.2499,1.3547,1.6378,2.1071,2.5128,2.9053,3.7065
