3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.6610,1.8691,1.9320,2.2565,2.4570,2.6525,2.6526,3.0171
2.0567,2.2014,2.3165,2.5730,2.7398,2.8730,2.9117,3.3051
1.5450,1.6200,1.7200,2.2471,2.6050,2.7600,3.0480,3.6000
2.8593,2.8210,2.8785,2.9926,3.1752,3.4454,3.5451,4.1452
1.5450,1.6400,1.7077,2.2500,2.6293,2.7800,3.0100,3.6020
1.8701,2.0603,2.2278,2.5146,2.7028,2.8339,2.8605,3.2463
2.7845,2.7745,2.8971,3.0599,3.2001,3.4681,3.5190,4.2061
1.6459,1.6627,1.8231,2.2467,2.4343,2.6183,2.6353,3.0011
3.0343,2.8626,2.9547,3.0251,3.1601,3.4220,3.5210,4.0984
1.8109,2.0903,2.1477,2.3702,2.5175,2.6603,2.6651,2.9926
1.5450,1.6300,1.7000,2.2400,2.6365,2.7770,3.0100,3.6020
2.9693,3.0016,3.1000,3.6150,3.7663,3.8894,4.0451,4.3100
1.8171,2.1219,2.1877,2.3882,2.5234,2.6625,2.6625,2.9895
1.5150,1.6000,1.7050,2.2000,2.6369,2.7500,2.9400,3.5800
3.1490,3.2458,3.3600,3.7600,3.8704,3.9751,4.1311,4.4900
2.7131,2.7422,2.8318,3.0563,3.1764,3.3536,3.4444,4.1737
3.2158,3.2572,3.4350,3.7090,3.8700,4.0289,4.1617,4.5809
1.9096,2.1755,2.2127,2.4002,2.5511,2.7000,2.6976,3.0119
2.0000,2.0243,2.2091,2.4922,2.6826,2.8039,2.8281,3.2032
1.6910,1.8687,1.9120,2.2824,2.4723,2.6516,2.6677,3.0346
2.5035,2.5601,2.6574,3.0760,3.2030,3.4025,3.4714,4.1751
2.8594,2.8208,2.8654,2.9817,3.1576,3.4223,3.5401,4.1452
1.8633,2.1936,2.2377,2.4901,2.5899,2.7050,2.6976,3.0153
1.7304,1.8734,1.9893,2.3153,2.4794,2.6793,2.7037,3.0723
1.8023,2.0969,2.1327,2.3490,2.4939,2.6474,2.6400,2.9840
1.6600,1.7500,1.8874,2.3200,2.5600,2.7700,3.0500,3.6500
3.0700,3.0800,3.2557,3.6599,3.8562,4.0150,4.1691,4.5100
2.8714,2.8615,2.8952,3.1591,3.3014,3.4702,3.5689,4.2000
2.3276,2.3668,2.2306,2.4365,2.5029,2.6475,2.6444,2.9459
2.0522,2.1948,2.2955,2.5506,2.7114,2.8521,2.8826,3.2897
3.2685,3.2822,3.5340,3.9552,4.1948,4.2862,4.4236,4.8406
1.5095,1.6400,1.7100,2.1355,2.5669,2.6800,2.9400,3.5000
2.9673,2.9196,2.9468,3.0693,3.2274,3.4647,3.5464,4.1265
1.7651,2.0935,2.1252,2.3423,2.4808,2.6408,2.6230,2.9824
1.5425,1.6500,1.7357,2.2300,2.4500,2.6800,3.0200,3.6300
1.7350,1.9000,2.0300,2.5000,2.7200,2.9000,3.1500,3.7300
1.5257,1.7972,1.8156,2.2416,2.4048,2.5922,2.6212,2.9710
3.1365,3.2484,3.3100,3.7000,3.9627,4.0152,4.1635,4.3950
1.8741,2.0200,2.1581,2.5311,2.7054,2.8682,2.9017,3.2879
3.0203,3.1500,3.2700,3.7250,3.9336,4.0010,4.1500,4.4000
2.2450,2.2700,2.2963,2.3428,2.6573,2.8414,2.9767,3.7105
3.1574,3.1934,3.3578,3.7071,3.8789,4.0430,4.1636,4.5806
3.0782,3.1250,3.2493,3.4000,3.5240,3.6250,3.8000,4.3900
1.6540,1.6960,1.8279,2.2471,2.4395,2.6232,2.6403,3.0091
2.3118,2.3592,2.1221,2.3852,2.5058,2.6470,2.6524,2.9336
2.8299,2.8284,2.8436,2.9708,3.1676,3.4261,3.5247,4.1444
2.4762,2.5478,2.4745,2.7841,3.0705,3.2228,3.3342,4.1442
2.2518,2.4012,2.3553,2.6321,2.8628,3.1102,3.2902,4.1217
1.6051,1.8449,1.8181,2.2448,2.4410,2.6275,2.6533,3.0061
2.0567,2.1466,2.2513,2.3979,2.8167,3.0721,3.2858,4.1057
3.0410,3.0520,3.2500,3.6594,3.8544,3.9847,4.1253,4.5038
0.9500,0.9783,1.0554,1.3066,1.7818,2.1223,2.7384,3.6303
1.5444,1.8293,1.8265,2.2623,2.4290,2.6202,2.6475,2.9920
2.3605,2.4196,2.3264,2.4861,2.5837,2.6987,2.7023,2.9704
2.8503,2.8620,2.9375,3.1595,3.2986,3.4951,3.6009,4.2030
2.8816,2.8216,2.9423,3.0637,3.1943,3.4867,3.5609,4.1898
