X3M,X6M,X1Y,X3Y,X5Y,X10Y,X15Y,X20Y,X30Y
3.87,3.94,4.0,3.98,4.01,4.33,4.58,4.73,4.87
3.78,3.89,4.01,4.06,4.07,4.16,4.26,4.32,4.39
1.93,1.88,1.94,2.58,3.06,3.73,3.98,4.01,3.74
3.85,3.69,3.46,3.3,3.55,4.14,4.44,4.61,4.77
3.88,4.03,4.2,4.26,4.27,4.52,4.72,4.84,4.96
0.45,0.44,0.74,1.99,2.79,3.96,4.45,4.59,4.41
3.67,3.78,3.87,3.85,3.83,3.9,3.99,4.05,4.12
3.73,3.85,3.97,4.0,4.0,4.11,4.21,4.28,4.36
4.0,4.11,4.21,4.25,4.27,4.37,4.44,4.49,4.54
3.66,3.77,3.85,3.81,3.8,3.89,3.98,4.04,4.1
3.8,3.91,3.99,4.0,4.07,4.34,4.51,4.6,4.7
3.78,3.9,4.02,4.07,4.07,4.16,4.25,4.31,4.38
3.96,3.87,3.74,3.68,3.88,4.39,4.66,4.81,4.96
4.0,4.12,4.24,4.29,4.28,4.35,4.43,4.49,4.55
3.7,3.81,3.91,3.92,3.92,4.02,4.12,4.19,4.27
0.45,0.45,0.75,2.01,2.82,3.98,4.47,4.6,4.4
0.57,0.59,0.78,1.92,2.76,3.93,4.41,4.56,4.52
3.81,3.93,4.05,4.1,4.09,4.18,4.27,4.34,4.41
3.85,3.76,3.62,3.5,3.65,4.1,4.37,4.53,4.69
3.92,3.94,3.97,4.0,4.07,4.28,4.42,4.5,4.58
3.76,3.88,4.0,4.05,4.05,4.15,4.25,4.33,4.41
1.02,1.02,1.18,2.18,2.95,4.03,4.45,4.51,4.16
0.51,0.53,0.74,1.9,2.74,3.92,4.4,4.53,4.4
0.83,0.73,0.94,2.08,2.8,3.84,4.32,4.49,4.33
3.86,3.93,4.01,4.0,4.05,4.39,4.63,4.77,4.91
1.18,1.18,1.3,2.21,2.96,4.01,4.41,4.46,4.1
4.1,4.26,4.46,4.63,4.64,4.76,4.84,4.89,4.94
3.75,3.87,3.99,4.05,4.06,4.18,4.29,4.36,4.45
0.77,0.74,0.94,2.17,3.0,4.13,4.59,4.75,4.72
3.5,3.65,3.8,3.87,3.89,4.0,4.09,4.14,4.2
4.13,4.11,4.07,4.04,4.13,4.5,4.78,4.95,5.14
3.8,3.87,3.89,3.84,3.94,4.26,4.46,4.56,4.67
3.82,3.71,3.56,3.44,3.59,4.04,4.32,4.49,4.66
4.28,4.24,4.15,3.87,3.86,4.21,4.47,4.62,4.78
3.57,3.71,3.85,3.93,3.96,4.07,4.15,4.2,4.25
3.87,3.94,4.01,4.02,4.05,4.35,4.59,4.73,4.87
3.79,3.86,3.96,4.1,4.18,4.38,4.5,4.58,4.65
3.86,3.85,3.82,3.72,3.79,4.13,4.37,4.51,4.66
3.86,3.72,3.53,3.39,3.61,4.19,4.51,4.68,4.86
0.78,0.71,0.88,1.96,2.7,3.77,4.24,4.38,4.16
4.07,4.24,4.45,4.58,4.58,4.73,4.84,4.9,4.96
4.24,4.36,4.52,4.67,4.66,4.75,4.84,4.91,4.97
3.9,4.06,4.24,4.44,4.48,4.59,4.67,4.72,4.78
0.85,0.86,1.06,2.04,2.74,3.8,4.28,4.43,4.25
3.86,4.03,4.23,4.37,4.37,4.42,4.49,4.54,4.6
1.1,1.07,1.18,2.13,2.9,3.99,4.43,4.52,4.22
