3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y
3.8734,3.9396,4.0033,4.004,3.9757,3.9746,4.0058,4.06,4.1266,4.1976,4.2675,4.3336,4.3943,4.4492,4.4985,4.5426,4.5819,4.6171,4.6485,4.6767,4.7022,4.7252,4.746,4.7651,4.7825,4.7984,4.8131,4.8267,4.8392,4.8509,4.8618,4.8719
3.775,3.891,4.0072,4.0617,4.0621,4.0614,4.068,4.0812,4.099,4.1193,4.1408,4.1625,4.1836,4.2037,4.2227,4.2404,4.2568,4.272,4.2859,4.2987,4.3105,4.3213,4.3313,4.3404,4.3489,4.3567,4.364,4.3707,4.3769,4.3827,4.3882,4.3932
1.9311,1.8754,1.9364,2.2617,2.5806,2.8441,3.0614,3.2432,3.3966,3.5264,3.636,3.7279,3.8043,3.8667,3.9168,3.9558,3.9848,4.0049,4.0171,4.022,4.0206,4.0134,4.0011,3.9843,3.9635,3.9391,3.9116,3.8813,3.8486,3.8138,3.7773,3.7391
3.8506,3.6869,3.4613,3.2827,3.3027,3.4095,3.5469,3.6879,3.8202,3.9393,4.0441,4.1354,4.2148,4.2837,4.3437,4.3962,4.4423,4.4831,4.5192,4.5515,4.5805,4.6067,4.6303,4.6519,4.6716,4.6896,4.7062,4.7216,4.7358,4.749,4.7612,4.7727
3.8812,4.0282,4.1969,4.2812,4.265,4.2532,4.2676,4.3042,4.354,4.4094,4.4653,4.5186,4.5679,4.6126,4.6527,4.6886,4.7207,4.7492,4.7748,4.7978,4.8185,4.8372,4.8541,4.8696,4.8837,4.8967,4.9086,4.9196,4.9298,4.9393,4.9481,4.9564
0.4477,0.4426,0.7418,1.4387,1.9854,2.4247,2.7918,3.1036,3.3702,3.5981,3.7926,3.9578,4.0972,4.2139,4.3106,4.3895,4.4528,4.5022,4.5395,4.566,4.5831,4.5919,4.5934,4.5887,4.5784,4.5634,4.5443,4.5217,4.496,4.4679,4.4376,4.4055
3.6697,3.7798,3.8683,3.8728,3.8452,3.8289,3.8259,3.8326,3.8457,3.8626,3.8814,3.9009,3.9202,3.9388,3.9566,3.9732,3.9887,4.003,4.0162,4.0284,4.0396,4.0499,4.0593,4.0681,4.0762,4.0836,4.0905,4.0969,4.1029,4.1085,4.1136,4.1185
3.73,3.8529,3.9674,4.0079,3.9994,3.995,4.0008,4.015,4.0347,4.0575,4.0816,4.1059,4.1294,4.1519,4.173,4.1926,4.2107,4.2274,4.2427,4.2568,4.2697,4.2816,4.2924,4.3025,4.3117,4.3202,4.3281,4.3354,4.3422,4.3486,4.3545,4.36
3.998,4.108,4.2108,4.2516,4.2521,4.2564,4.2682,4.2852,4.305,4.3258,4.3464,4.366,4.3844,4.4013,4.4167,4.4308,4.4435,4.455,4.4655,4.4749,4.4835,4.4913,4.4985,4.505,4.511,4.5165,4.5216,4.5263,4.5306,4.5347,4.5385,4.542
3.6622,3.7721,3.8513,3.8424,3.8116,3.7967,3.7968,3.807,3.8234,3.8431,3.8642,3.8854,3.9061,3.9257,3.9441,3.9611,3.9767,3.9911,4.0042,4.0162,4.0272,4.0373,4.0466,4.055,4.0629,4.0701,4.0767,4.0829,4.0886,4.0939,4.0989,4.1036
