3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,15 Yr,20 Yr,25 Yr
0.44,0.4,0.6,1.79,2.5,3.53,3.95,4.07,4.09
5.4,5.48,5.49,5.32,5.18,4.88,4.64,4.44,4.25
4.58,4.64,4.71,4.73,4.69,4.57,4.47,4.33,4.19
0.51,0.54,0.65,1.44,2.22,3.53,4.17,4.42,4.48
4.86,4.95,4.99,4.85,4.74,4.52,4.36,4.19,4.03
0.53,0.55,0.53,0.79,1.37,2.56,3.13,3.43,3.58
0.63,0.6,0.69,1.93,2.64,3.68,4.34,4.59,4.62
4.84,4.91,4.95,4.8,4.7,4.49,4.35,4.19,4.05
0.48,0.51,0.44,0.52,1.02,2.3,3.01,3.37,3.55
5.45,5.51,5.51,5.3,5.15,4.83,4.6,4.4,4.21
0.53,0.55,0.54,0.72,1.21,2.29,2.87,3.19,3.36
0.56,0.55,0.57,1.05,1.74,3.07,3.73,4.03,4.14
0.51,0.52,0.71,1.98,2.97,4.4,4.84,4.88,4.8
0.56,0.58,0.69,1.38,2.17,3.57,4.17,4.36,4.39
1.02,0.89,0.86,1.99,2.9,4.07,4.61,4.88,4.93
5.73,5.58,5.38,4.97,4.92,4.82,4.66,4.49,4.33
0.56,0.54,0.76,2.26,2.88,3.62,4.23,4.52,4.59
4.54,4.39,4.2,4.04,4.09,4.18,4.22,4.23,4.21
0.54,0.55,0.6,1.09,1.8,3.2,3.93,4.26,4.38
5.01,5.06,5.05,4.84,4.7,4.42,4.24,4.06,3.89
0.5,0.5,0.41,0.49,0.92,2.0,2.7,3.15,3.42
0.4,0.37,0.3,0.41,0.87,1.94,2.63,3.1,3.41
1.45,1.1,1.01,2.24,2.83,3.47,3.92,4.12,4.04
0.45,0.45,0.69,1.95,2.7,3.72,4.12,4.24,4.27
0.55,0.57,0.59,0.91,1.45,2.57,3.1,3.39,3.56
0.51,0.52,0.64,1.78,2.78,4.24,4.69,4.77,4.74
0.46,0.52,0.63,1.41,2.22,3.59,4.21,4.41,4.43
0.53,0.53,0.46,0.66,1.16,2.28,2.98,3.39,3.59
5.34,5.38,5.37,5.14,4.98,4.69,4.49,4.31,4.13
0.42,0.37,0.28,0.28,0.68,1.73,2.46,2.99,3.36
2.34,2.11,2.11,2.93,3.53,4.35,4.76,4.9,4.77
0.55,0.57,0.58,0.93,1.55,2.73,3.24,3.5,3.67
4.74,4.72,4.63,4.52,4.5,4.49,4.46,4.38,4.29
5.34,5.39,5.39,5.17,5.01,4.73,4.53,4.36,4.18
0.56,0.57,0.6,1.12,1.82,3.17,3.8,4.07,4.17
5.1,4.84,4.25,3.74,3.96,4.44,4.59,4.55,4.43
5.18,4.99,4.65,4.35,4.42,4.59,4.59,4.5,4.39
4.79,4.79,4.76,4.72,4.74,4.78,4.76,4.7,4.63
5.45,5.52,5.51,5.3,5.12,4.77,4.53,4.32,4.13
5.52,5.58,5.58,5.34,5.17,4.97,4.81,4.62,4.44
5.75,5.7,5.57,5.19,5.1,4.94,4.74,4.54,4.36
4.46,4.36,4.2,4.12,4.11,4.05,4.02,3.96,3.9
4.69,4.59,4.44,4.24,4.26,4.32,4.34,4.34,4.31
5.41,5.46,5.46,5.27,5.14,4.86,4.65,4.47,4.3
5.55,5.6,5.61,5.37,5.19,4.98,4.81,4.61,4.43
4.42,4.39,4.36,4.33,4.3,4.22,4.14,4.01,3.88
0.6,0.71,0.93,1.86,2.67,3.92,4.39,4.54,4.56
4.81,4.87,4.88,4.74,4.65,4.47,4.34,4.2,4.07
0.47,0.49,0.45,0.58,1.11,2.29,2.87,3.15,3.32
0.61,0.67,0.86,1.75,2.6,3.92,4.44,4.61,4.65
0.49,0.47,0.34,0.37,0.8,1.89,2.6,3.06,3.33
0.54,0.54,0.53,0.79,1.33,2.51,3.23,3.66,3.9
0.6,0.68,0.93,1.96,2.81,4.04,4.5,4.64,4.65
5.13,5.17,5.14,4.97,4.85,4.57,4.4,4.23,4.06
0.51,0.51,0.7,1.97,2.95,4.27,4.66,4.71,4.66
0.54,0.56,0.64,1.15,1.86,3.26,3.99,4.32,4.43
4.74,4.69,4.61,4.54,4.55,4.6,4.6,4.57,4.52
4.44,4.4,4.31,4.25,4.21,4.11,4.03,3.9,3.79
0.69,0.65,0.76,1.74,2.27,3.22,3.9,4.19,4.34
0.83,0.72,0.73,1.74,2.58,3.8,4.31,4.47,4.42
4.75,4.71,4.63,4.54,4.55,4.6,4.6,4.56,4.5
0.53,0.55,0.59,0.95,1.6,3.0,3.76,4.07,4.16
0.58,0.6,0.74,1.55,2.34,3.64,4.2,4.4,4.43
0.63,0.6,0.71,1.96,2.63,3.61,4.27,4.53,4.57
0.46,0.43,0.62,1.87,2.7,3.81,4.21,4.29,4.25
4.59,4.65,4.72,4.74,4.7,4.6,4.49,4.35,4.21
5.04,4.89,4.66,4.33,4.36,4.55,4.66,4.62,4.47
0.46,0.45,0.4,0.56,1.07,2.17,2.76,3.09,3.28
4.67,4.6,4.44,4.24,4.24,4.29,4.3,4.29,4.26
4.54,4.58,4.61,4.64,4.6,4.49,4.4,4.28,4.14
0.53,0.55,0.62,1.2,1.94,3.37,4.06,4.32,4.37
5.08,5.04,4.95,4.83,4.86,4.99,4.99,4.82,4.58
0.47,0.46,0.62,1.86,2.77,4.0,4.43,4.52,4.48
0.41,0.39,0.31,0.32,0.72,1.74,2.45,2.96,3.3
0.46,0.46,0.65,1.9,2.73,3.84,4.25,4.34,4.3
0.47,0.53,0.65,1.46,2.26,3.59,4.23,4.49,4.55
0.49,0.48,0.68,2.04,2.96,4.13,4.47,4.5,4.46
0.64,0.56,0.71,1.89,2.39,3.13,3.73,4.03,4.26
5.8,5.82,5.83,5.69,5.56,5.36,5.13,4.9,4.68
4.79,4.86,4.89,4.8,4.72,4.56,4.43,4.28,4.13
0.55,0.55,0.59,1.12,1.84,3.18,3.82,4.1,4.19
