3 Mo,6 Mo,1 Yr,5 Yr,10 Yr,15 Yr,20 Yr,30 Yr
0.24,0.25,0.26,0.46,1.38,1.91,2.11,2.52
0.26,0.28,0.28,0.88,2.47,2.98,3.17,3.28
0.26,0.27,0.28,0.47,1.6,2.26,2.46,2.84
0.24,0.24,0.24,0.41,1.36,1.63,1.96,2.31
0.25,0.27,0.26,1.01,2.09,2.65,2.78,2.99
0.24,0.26,0.26,0.83,1.79,2.37,2.53,2.87
0.24,0.25,0.26,0.5,1.47,2.01,2.2,2.62
0.23,0.26,0.26,0.35,1.32,1.94,2.1,2.44
0.25,0.26,0.25,0.38,1.36,1.61,1.96,2.31
0.25,0.26,0.27,0.35,1.56,2.23,2.44,2.8
0.25,0.27,0.26,1.19,2.35,2.86,2.97,3.15
0.29,0.3,0.3,0.42,1.47,2.03,2.2,2.51
0.24,0.26,0.26,0.7,1.6,2.24,2.46,2.84
0.26,0.26,0.25,0.42,1.43,2.0,2.16,2.48
0.24,0.25,0.26,0.52,1.48,2.09,2.3,2.69
0.25,0.28,0.27,1.12,1.86,2.45,2.62,2.98
0.24,0.28,0.28,1.1,2.65,3.13,3.47,3.59
0.24,0.26,0.26,0.51,1.46,2.08,2.3,2.73
0.26,0.27,0.27,0.45,1.52,2.22,2.4,2.78
0.25,0.27,0.27,0.37,1.54,2.19,2.4,2.78
0.24,0.27,0.27,0.38,1.32,1.92,2.08,2.39
0.24,0.26,0.27,0.36,1.34,1.96,2.12,2.46
0.26,0.3,0.28,1.11,2.63,3.04,3.13,3.19
0.26,0.3,0.28,1.01,2.55,2.97,3.05,3.12
0.24,0.26,0.27,0.39,1.31,1.91,2.08,2.42
0.25,0.26,0.25,0.42,1.38,1.96,2.12,2.45
0.25,0.28,0.28,1.08,2.7,3.17,3.29,3.39
0.24,0.28,0.28,1.03,2.56,3.0,3.33,3.4
0.24,0.26,0.26,0.36,1.51,2.15,2.36,2.74
0.25,0.27,0.26,1.3,2.43,2.93,3.03,3.19
0.22,0.22,0.23,0.42,1.39,1.66,2.0,2.33
0.26,0.26,0.27,0.37,1.54,2.19,2.4,2.78
0.24,0.26,0.25,0.41,1.41,1.73,2.11,2.45
0.24,0.25,0.24,0.41,1.39,1.68,2.04,2.37
0.24,0.26,0.26,0.55,1.45,2.07,2.3,2.7
0.23,0.26,0.26,0.32,1.32,1.93,2.1,2.43
0.25,0.25,0.25,0.39,1.36,1.63,1.96,2.31
0.24,0.26,0.27,0.36,1.31,1.91,2.07,2.38
0.26,0.26,0.26,0.42,1.43,1.99,2.15,2.47
0.22,0.26,0.27,0.39,1.33,1.93,2.09,2.39
0.24,0.26,0.27,0.37,1.33,1.93,2.1,2.41
0.23,0.27,0.27,0.39,1.34,1.94,2.11,2.41
0.24,0.28,0.28,1.08,2.67,3.15,3.43,3.51
0.29,0.31,0.29,0.41,1.39,1.97,2.14,2.46
0.24,0.27,0.27,0.38,1.32,1.92,2.09,2.39
0.27,0.29,0.28,0.41,1.38,1.95,2.11,2.42
0.25,0.27,0.26,1.04,2.14,2.7,2.82,3.03
0.25,0.28,0.26,0.92,1.94,2.53,2.67,3.0
0.23,0.26,0.26,0.35,1.32,1.94,2.1,2.44
0.25,0.28,0.26,1.14,2.19,2.78,2.88,3.08
0.25,0.26,0.27,0.54,1.54,2.19,2.4,2.77
0.26,0.27,0.27,0.46,1.54,2.26,2.41,2.8
0.25,0.29,0.27,1.61,2.77,3.24,3.33,3.41
0.22,0.26,0.27,0.39,1.32,1.92,2.09,2.39
0.24,0.28,0.28,0.96,2.47,2.94,3.31,3.36
0.25,0.29,0.29,1.02,2.6,3.11,3.23,3.35
0.25,0.27,0.27,0.4,1.36,1.94,2.11,2.44
0.24,0.26,0.27,0.36,1.31,1.91,2.08,2.4
0.24,0.26,0.26,0.49,1.4,1.95,2.15,2.57
0.24,0.25,0.24,0.41,1.38,1.7,2.06,2.39
0.25,0.28,0.26,1.1,2.17,2.74,2.86,3.06
