3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,20 Yr,30 Yr
5.16,5.16,5.06,4.77,4.72,4.74,4.94,4.83
3.02,3.21,3.47,4.36,4.95,5.6,6.26,6.17
4.92,5.44,5.91,6.83,7.21,7.57,7.95,7.8
5.18,5.48,5.91,6.48,6.65,6.8,7.11,7.03
4.39,4.87,5.37,6.33,6.73,7.12,7.46,7.39
3.36,3.59,3.93,4.94,5.52,6.09,6.7,6.63
5.04,5.1,4.97,4.66,4.66,4.74,5.0,4.92
5.16,5.12,4.96,4.55,4.52,4.56,4.78,4.68
5.05,5.12,4.93,4.5,4.46,4.54,4.78,4.69
0.01,0.04,0.08,0.31,0.83,1.63,2.24,2.34
4.24,4.9,5.48,6.53,6.97,7.36,7.69,7.57
5.68,6.5,7.2,7.82,7.86,7.85,7.96,7.85
4.8,4.95,4.96,4.94,4.94,4.97,5.17,5.08
3.96,4.16,4.11,4.07,4.24,4.55,4.85,4.79
0.06,0.06,0.11,0.72,1.16,1.59,1.99,2.01
4.95,5.02,4.98,4.9,4.95,5.05,5.22,5.14
5.25,5.77,6.31,7.28,7.65,7.96,8.24,8.11
0.22,0.37,0.55,0.92,1.26,1.8,2.18,2.61
2.99,3.3,3.22,3.11,3.42,3.94,4.39,4.35
0.01,0.03,0.05,0.35,0.87,1.68,2.3,2.38
0.05,0.07,0.08,0.29,0.73,1.47,2.12,2.25
0.2,0.39,0.51,0.87,1.2,1.76,2.17,2.6
0.23,0.37,0.56,0.98,1.35,1.88,2.29,2.69
4.4,4.87,5.34,6.35,6.79,7.2,7.6,7.51
5.14,5.28,5.53,6.05,6.22,6.49,6.83,6.76
3.67,4.09,4.67,5.88,6.42,6.93,7.38,7.25
0.05,0.06,0.08,0.45,0.82,1.35,1.86,1.94
5.21,5.59,5.9,6.39,6.56,6.67,6.98,6.89
0.49,0.61,0.8,1.4,1.84,2.4,2.78,3.08
5.31,5.31,5.42,5.76,5.79,5.9,6.25,6.15
5.1,5.17,5.45,5.91,6.07,6.28,6.64,6.53
0.05,0.06,0.08,0.43,0.81,1.35,1.88,1.95
4.37,4.82,5.3,6.28,6.73,7.15,7.56,7.47
5.08,5.22,5.29,5.7,5.79,5.91,6.29,6.24
5.24,5.59,5.98,6.6,6.77,6.91,7.22,7.11
2.94,3.17,3.09,2.99,3.32,3.98,4.51,4.47
0.34,0.47,0.66,0.98,1.25,1.74,2.15,2.48
0.06,0.06,0.15,0.77,1.18,1.57,1.98,1.96
3.58,3.82,4.16,5.19,5.74,6.28,6.86,6.79
0.04,0.05,0.09,0.55,1.01,1.55,2.04,2.09
4.95,5.03,4.97,4.87,4.93,5.03,5.21,5.14
5.06,5.28,5.47,5.88,6.0,6.12,6.47,6.41
5.18,5.3,5.61,6.19,6.38,6.64,6.98,6.91
4.28,4.75,5.28,6.31,6.75,7.13,7.52,7.41
5.63,6.47,7.06,7.68,7.76,7.81,7.98,7.85
4.92,5.4,5.9,6.81,7.2,7.56,7.95,7.8
4.85,4.91,4.76,4.45,4.52,4.71,4.96,4.87
5.05,5.31,5.66,6.18,6.31,6.43,6.78,6.72
3.05,3.38,3.31,3.21,3.5,4.03,4.46,4.41
0.04,0.07,0.08,0.32,0.77,1.54,2.18,2.3
0.05,0.06,0.07,0.42,0.81,1.37,1.92,2.0
0.07,0.08,0.08,0.17,0.42,1.09,1.66,1.84
0.05,0.06,0.07,0.42,0.78,1.29,1.83,1.9
4.24,4.86,5.41,6.43,6.89,7.29,7.63,7.5
3.54,3.9,4.32,5.38,5.92,6.44,6.95,6.85
4.43,4.9,5.36,6.31,6.72,7.12,7.47,7.4
0.22,0.35,0.52,0.9,1.24,1.78,2.17,2.58
3.5,3.76,3.68,3.52,3.84,4.26,4.64,4.61
0.51,0.66,0.89,1.58,2.07,2.57,2.88,3.14
0.04,0.06,0.1,0.55,0.99,1.53,2.02,2.08
5.24,5.38,5.56,6.06,6.18,6.3,6.64,6.57
0.06,0.1,0.21,0.83,1.18,1.52,1.93,1.87
4.0,4.2,4.16,4.16,4.33,4.65,4.94,4.87
5.31,5.66,6.04,6.69,6.85,6.98,7.29,7.17
0.2,0.46,0.66,1.22,1.61,2.16,2.56,2.92
4.15,4.31,4.23,4.11,4.21,4.48,4.76,4.72
0.31,0.4,0.53,0.83,1.1,1.52,1.84,2.23
5.2,5.72,6.18,7.1,7.48,7.81,8.09,7.97
0.05,0.06,0.1,0.7,1.16,1.65,2.09,2.12
0.03,0.04,0.06,0.32,0.89,1.73,2.32,2.43
3.31,3.49,3.83,4.78,5.36,5.96,6.5,6.38
5.22,5.33,5.56,6.05,6.16,6.26,6.61,6.55
0.28,0.36,0.48,0.71,0.95,1.37,1.69,2.11
4.22,4.68,5.16,6.14,6.53,6.95,7.37,7.26
0.33,0.49,0.62,0.91,1.22,1.74,2.19,2.61
0.24,0.43,0.61,1.04,1.4,1.94,2.35,2.76
0.35,0.47,0.47,1.01,1.38,1.97,2.38,2.77
0.23,0.38,0.56,1.01,1.37,1.89,2.3,2.7
4.68,5.09,5.59,6.53,6.93,7.29,7.71,7.55
0.33,0.45,0.59,0.92,1.2,1.6,1.95,2.28
0.31,0.45,0.57,0.86,1.15,1.59,1.91,2.3
0.05,0.06,0.08,0.38,0.72,1.23,1.77,1.86
3.33,3.52,3.86,4.83,5.36,5.91,6.53,6.45
4.66,5.09,5.57,6.47,6.87,7.22,7.63,7.47
3.98,4.45,5.05,6.14,6.65,7.04,7.41,7.29
5.2,5.57,5.87,6.41,6.55,6.7,7.0,6.91
5.02,5.08,4.97,4.76,4.82,4.94,5.13,5.05
5.16,5.3,5.61,6.14,6.32,6.57,6.89,6.8
5.17,5.15,5.04,4.73,4.68,4.7,4.91,4.81
3.57,3.97,4.41,5.55,6.1,6.63,7.09,6.98
4.51,5.1,5.6,6.57,6.94,7.27,7.66,7.48
3.93,4.09,4.06,4.06,4.2,4.53,4.86,4.83
3.56,3.92,4.5,5.66,6.23,6.77,7.23,7.11
0.06,0.07,0.12,0.77,1.16,1.54,1.93,1.95
4.88,4.97,4.93,4.81,4.8,4.86,5.09,5.01
0.05,0.06,0.08,0.47,0.9,1.49,2.04,2.1
0.05,0.06,0.18,0.84,1.22,1.59,2.01,1.97
0.05,0.07,0.17,0.87,1.27,1.63,2.06,2.02
0.49,0.62,0.81,1.41,1.83,2.36,2.71,3.01
0.32,0.44,0.52,0.85,1.14,1.59,1.9,2.3
5.22,5.43,5.52,5.8,5.83,5.86,6.12,6.04
5.08,5.13,5.02,4.7,4.65,4.66,4.83,4.74
0.05,0.06,0.07,0.46,0.84,1.34,1.87,1.94
5.25,5.35,5.43,5.7,5.77,5.82,6.13,6.04
5.94,6.5,7.01,7.57,7.65,7.73,7.93,7.84
5.13,5.17,5.09,4.85,4.81,4.81,5.0,4.91
5.14,5.18,5.11,4.9,4.85,4.87,5.06,4.96
4.99,5.04,4.91,4.58,4.57,4.68,4.92,4.84
5.09,5.23,5.48,5.98,6.16,6.36,6.74,6.63
5.33,5.46,5.5,5.67,5.7,5.72,6.0,5.92
0.22,0.37,0.53,0.87,1.22,1.76,2.14,2.56
0.03,0.04,0.06,0.32,0.81,1.57,2.13,2.24
0.01,0.03,0.05,0.35,0.86,1.65,2.19,2.3
5.01,5.07,4.93,4.61,4.61,4.69,4.93,4.85
4.2,4.31,4.28,4.27,4.42,4.7,4.98,4.91
5.29,5.63,5.99,6.64,6.79,6.9,7.22,7.11
5.12,5.07,4.9,4.48,4.46,4.52,4.75,4.65
0.34,0.49,0.66,1.0,1.29,1.77,2.17,2.5
3.96,4.16,4.1,4.01,4.2,4.54,4.83,4.77
0.04,0.05,0.07,0.45,0.83,1.31,1.79,1.85
5.18,5.31,5.6,6.12,6.29,6.52,6.86,6.78
4.01,4.17,4.11,4.04,4.22,4.57,4.88,4.82
0.05,0.06,0.08,0.37,0.69,1.23,1.79,1.88
0.26,0.42,0.57,0.87,1.17,1.64,2.02,2.44
0.01,0.03,0.07,0.33,0.9,1.74,2.36,2.45
3.86,4.07,3.98,3.85,4.03,4.41,4.74,4.68
0.3,0.49,0.68,1.04,1.33,1.85,2.26,2.6
0.27,0.45,0.57,0.87,1.16,1.57,1.92,2.29
5.33,5.87,6.39,7.37,7.72,8.04,8.3,8.16
3.03,3.23,3.55,4.51,5.12,5.78,6.41,6.3
4.56,5.08,5.55,6.6,7.03,7.43,7.8,7.69
0.05,0.05,0.07,0.38,0.72,1.26,1.83,1.9
4.24,4.7,5.22,6.25,6.66,7.07,7.47,7.36
5.18,5.34,5.62,6.19,6.35,6.6,6.93,6.85
5.35,5.68,6.06,6.66,6.81,6.92,7.23,7.12
5.06,5.19,5.38,5.73,5.82,5.94,6.29,6.24
0.21,0.47,0.62,1.18,1.55,2.12,2.51,2.89
4.82,5.01,4.96,4.92,4.97,5.09,5.28,5.2
0.33,0.47,0.6,0.91,1.18,1.57,1.9,2.23
5.27,5.52,5.95,6.55,6.72,6.86,7.19,7.08
4.29,4.73,5.21,6.18,6.61,7.03,7.41,7.27
0.33,0.46,0.55,0.92,1.25,1.77,2.18,2.62
0.45,0.56,0.72,1.12,1.49,2.07,2.52,2.88
4.82,4.93,4.91,4.89,4.92,5.03,5.21,5.12
5.06,5.56,6.01,6.95,7.3,7.65,8.02,7.86
5.23,5.43,5.72,6.29,6.45,6.62,6.99,6.89
5.31,5.33,5.42,5.77,5.81,5.9,6.25,6.14
0.32,0.41,0.53,0.82,1.1,1.53,1.84,2.25
4.47,4.52,4.39,4.16,4.26,4.56,4.88,4.84
0.05,0.06,0.11,0.66,1.09,1.56,2.0,2.05
