1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
0.27,0.33,0.51,0.7,0.97,1.16,1.49,1.79,1.98,2.34,2.75
0.13,0.11,0.16,0.18,0.29,0.4,0.76,1.21,1.8,2.55,2.93
5.23,5.12,5.07,4.9,4.56,4.48,4.46,4.47,4.52,4.75,4.65
0.26,0.32,0.48,0.65,0.85,0.98,1.26,1.54,1.72,2.11,2.44
3.2,3.19,3.07,2.9,2.58,2.61,3.08,3.39,3.81,4.39,4.37
1.56,1.69,1.89,2.04,2.2,2.41,2.87,3.21,3.64,4.31,4.27
0.05,0.07,0.13,0.19,0.27,0.38,0.69,1.06,1.63,2.32,2.72
0.6,1.05,1.53,1.64,1.53,1.79,2.56,3.0,3.65,4.42,4.07
0.19,0.23,0.36,0.55,0.73,0.88,1.2,1.52,1.76,2.17,2.58
0.85,1.08,1.41,1.53,1.78,1.97,2.6,3.0,3.53,4.32,4.35
0.07,0.08,0.15,0.2,0.36,0.56,1.1,1.68,2.3,3.07,3.41
1.86,1.99,2.3,2.64,3.05,3.38,3.73,3.95,4.27,4.86,4.79
0.07,0.1,0.15,0.2,0.27,0.36,0.64,0.99,1.54,2.22,2.6
1.66,1.7,1.9,2.33,2.64,2.93,3.36,3.65,4.07,4.69,4.64
2.55,2.31,2.12,2.06,1.94,2.13,2.71,3.13,3.66,4.43,4.46
3.87,4.01,4.12,4.08,4.0,4.04,4.19,4.32,4.5,4.81,4.77
0.09,0.1,0.14,0.18,0.25,0.33,0.66,1.1,1.68,2.43,2.83
0.26,0.31,0.46,0.53,0.76,0.91,1.24,1.53,1.76,2.17,2.61
0.25,0.27,0.4,0.56,0.75,0.88,1.2,1.49,1.69,2.06,2.5
5.22,5.1,5.08,4.89,4.53,4.47,4.45,4.46,4.51,4.74,4.64
0.23,0.84,1.52,1.72,1.89,2.12,2.64,3.02,3.48,4.12,4.08
0.18,0.26,0.35,0.46,0.62,0.74,1.03,1.3,1.5,1.86,2.3
0.08,0.1,0.14,0.21,0.29,0.42,0.77,1.2,1.77,2.46,2.86
