beta0,beta1,beta2,tau
3.190391670293667,-2.827211164669807,-4.495126747194943,2.7840657513249276
4.053612161103935,-3.545097963737804,-6.1579030485693504,1.8616811766437353
3.6095839841691375,-3.163277831447893,-5.514580961712677,2.5436178103479885
2.8851065906658726,-2.5320905553275703,-4.1354249554933595,2.705354866876367
3.5708162239775127,-3.1949539844113586,-4.681535135296281,1.963646998982166
3.4740491172088728,-3.1426922447218235,-4.327151025893149,2.3932804821038274
3.2872134629145346,-2.9198753274489375,-4.618947942261309,2.6987626816268384
3.1441366436127347,-2.7310210231727057,-4.931119496761854,2.616065672503753
2.8945550297250415,-2.5159980207878103,-4.263943327183416,2.7003420053955556
3.606967323985486,-3.1305977167710726,-5.9146416809150875,2.500468640214877
3.7101590845099284,-3.325642411573771,-4.863655740193474,1.7584777153770002
3.180424834773467,-2.7006646852717773,-5.022646424174418,2.4423058687559664
3.5582830565235946,-3.2308729453042293,-4.438185240075321,2.775031925171285
3.1344580213733924,-2.7010235776301665,-4.932838857679056,2.4405465433193703
3.409793906215793,-3.0408578158183124,-4.775439810938344,2.724553422618587
3.5482380559127806,-3.3163067147814718,-3.193888359112905,2.705240986859525
4.358005589568977,-3.9156984347258326,-6.061352498977732,1.9072606093230322
3.48130526740671,-3.1149589606861907,-4.819909215457008,2.8428746885704927
3.5547733251369946,-3.11263746805147,-5.45983013868225,2.585138386996742
3.5678540950451842,-3.10324694797504,-5.736728689202979,2.5423853992755387
3.0687942765143523,-2.6534575150688857,-4.740791998926248,2.58734515733153
3.165073844945596,-2.7443502774036403,-4.953116942005786,2.6055171290933856
3.8713592389541076,-3.3887631185791185,-5.577650230985064,1.6428499169640687
3.8134930782335617,-3.3178361425102585,-5.626546893785785,1.6826517033362525
3.108156410951515,-2.7082665261340195,-4.696171711643887,2.67242216146796
3.106859920790661,-2.6937463636828256,-4.781161210211715,2.523727185241807
4.128380660589812,-3.644312590135589,-6.013723514974778,1.723697794793407
4.154186329945116,-3.7036857069404823,-5.887147886694602,1.8763990781886226
3.5183939119704233,-3.0688085310395326,-5.648965458691601,2.5556999972450214
3.727204815710671,-3.3504172732650734,-4.8089191345823945,1.6695382337681846
2.906500073987507,-2.5723000280962385,-4.1470765464100054,2.6581273699763113
3.5655024388673313,-3.0973044158934373,-5.758423997200673,2.5319401492101017
3.1052749190215354,-2.73301535794671,-4.491502393021677,2.7589445783248245
2.9782856753041695,-2.6121931992515375,-4.332221028053681,2.687877704170131
3.4435346535575118,-3.092554186951707,-4.60762353663136,2.872892067446098
