Currency,Parameter,Q1,Q3
USD,beta1,3.366189270927535,4.93529123643983
USD,beta2,-3.340019027723659,-1.6372633677623316
USD,beta3,-4.527649685467374,-0.2640890625722971
USD,lambd1,0.4153653653653654,5.044994994994995
USD,lambd2,0.08503503503503501,2.346902668303573
CNY,beta1,3.7775934908371074,4.683277757287537
CNY,beta2,-2.3376309769813126,-1.3849677446061257
CNY,beta3,-1.809815649059317,-0.04435618672679177
CNY,lambd1,1.056006006006006,5.044994994994995
CNY,lambd2,0.21390284878932816,5.05
GBP,beta1,3.7303968007261856,4.424195145825127
GBP,beta2,-3.642106839441806,1.491436599119418
GBP,beta3,-0.8596972531687517,2.9230686949227214
GBP,lambd1,0.8895869447051915,5.05
GBP,lambd2,1.1007381652760406,5.05
SGD,beta1,2.9777549148511717,3.3356656257332347
SGD,beta2,-3.1356303562727,-2.6116352560860405
SGD,beta3,-671.6344850016316,919.9866943757823
SGD,lambd1,1.3813313313313311,2.252185567690295
SGD,lambd2,1.4413913913913914,2.0657555589052476
EUR,beta1,4.259602111735923,5.010260528378691
EUR,beta2,-2.013770792586615,-0.9451788981539128
EUR,beta3,-1.9613627124052686,0.9350362451148189
EUR,lambd1,0.5692651317573519,3.519719052810878
EUR,lambd2,2.021971971971972,3.185632689926835
