z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.6321286,1.403981,0.34846386,0.30402935,0.0,4.463957,0.0,0.8385574,0.20061865,0.09916363,0.6891052,1.6171775,0.0
4.1128325,0.0,0.53085744,1.0864106,0.0,0.0,0.8567309,1.3791069,1.0183733,0.70031476,1.9567777,0.39372045,0.14793004
0.5720585,1.1279405,1.1570984,0.14855228,0.0,4.6276436,0.0,0.8449916,0.20199753,0.0,1.1250552,1.8699955,0.0
0.91500825,1.4546032,0.07018552,0.32093874,0.0,4.607512,0.0,1.1459712,0.47600016,0.052496098,0.5941603,1.2725949,0.0
0.40240395,0.17175034,3.0232363,1.4064274,0.7203632,2.2638865,0.0,2.208568,0.0,0.0,1.6854838,0.3596146,0.0
0.1471664,0.53347665,5.5299134,1.7323009,1.2222344,3.626228,0.0,1.4777094,0.0,0.0,3.6844726,1.6273551,0.0
0.63212866,1.4039812,0.34846383,0.30402943,0.0,4.463957,0.0,0.8385574,0.20061857,0.099163644,0.68910533,1.6171776,0.0
0.40782622,1.1781887,1.7388115,0.10334026,0.0,3.3406754,0.0,0.0,0.0,0.0,0.46617687,0.86337733,0.0
0.46470344,0.0739497,1.8411719,0.86698973,0.41298229,1.9288799,0.0,1.4262041,0.0,0.0,1.1148506,0.6980738,0.0
0.64257073,1.0894644,0.9408292,0.25055653,0.0,4.199105,0.0,0.9705849,0.11708194,0.0,0.46932876,0.7398299,0.0
0.4774974,1.4358553,0.6335142,0.42588067,0.0,3.9354298,0.0,0.32415935,0.0,0.0,0.44553357,1.1484473,0.0
0.72639924,0.7720096,0.6764481,0.08914597,0.0,0.9544177,0.0,0.0,0.0,0.0,0.10013077,0.19882108,0.0
0.63748103,0.8222517,1.8812361,0.0,0.0,3.3729684,0.0,0.34642842,0.0,0.0,0.48886883,0.7133651,0.0
0.9037167,0.9087126,1.1992221,0.0,0.113181934,1.3114334,0.0,0.25128818,0.14118779,0.0,0.28082356,0.16557011,0.0
3.894083,0.0,0.5600202,1.4657048,0.0,0.0,1.153514,1.1638122,0.23706496,0.6878865,1.9380362,0.6153812,0.18975776
5.362887,0.0,0.25824964,1.4502095,0.0,0.0,1.063035,2.3371484,2.2822046,2.0908532,4.242038,0.0,0.15957642
0.56197596,0.22225639,2.4392788,1.6461008,0.5028951,2.5235207,0.0,2.0064042,0.0,0.0,1.7052368,0.910826,0.0
4.692838,0.0,0.71634597,1.1838416,0.0,0.0,0.85678643,1.6054016,1.2331697,0.69536483,2.2925675,0.3202144,0.18435936
1.004972,0.15342575,2.0517879,0.9831474,0.5070414,1.187262,0.0,1.327892,0.0,0.0,0.65668315,0.6193809,0.0
0.28634924,0.7202639,4.1672206,1.5829995,0.77451694,3.8553312,0.0,1.382599,0.0,0.0,2.8878245,1.5795894,0.0
4.1943617,0.0,0.47169587,1.2897298,0.0,0.042407297,1.2312224,0.9859269,0.12760082,0.5896863,2.1724045,0.61290437,0.086457774
2.9171557,0.0,0.264031,0.06284079,0.0,0.0,0.0,0.6997441,1.5030159,0.85596037,2.3815076,0.0,0.56739324
0.0,1.7492598,0.5637861,2.0667431,0.94274217,1.3126539,1.1972466,0.0,0.07602456,1.8856064,0.51686126,0.0,0.0
0.017572448,2.8094137,0.0,1.6474166,0.6812639,2.2830358,0.80980957,0.0,0.35226816,2.019014,0.34305662,0.0,0.0
