1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
0.2746116,0.3321705,0.5132532,0.72122824,0.9703255,1.1546671,1.4952459,1.7878323,1.9660534,2.344143,2.7495134
0.12189484,0.12212193,0.14069092,0.20343566,0.29483438,0.39163053,0.75839627,1.2092626,1.7976241,2.5442345,2.9273298
5.2051644,5.144564,5.041213,4.8987722,4.5754213,4.4964767,4.4622126,4.457953,4.52478,4.745544,4.6391335
0.255576,0.32392,0.4722066,0.650545,0.85103416,0.9804815,1.2549373,1.5234742,1.7277298,2.105954,2.437643
3.1964638,3.14861,3.107972,2.8963232,2.59053,2.6458087,3.0704598,3.4045634,3.8114972,4.389427,4.3603625
1.5738956,1.7021456,1.8810328,2.0299518,2.201692,2.4098713,2.8801608,3.2090523,3.639421,4.301955,4.2604713
0.05083847,0.07531357,0.122692466,0.20797253,0.29311538,0.35939157,0.665833,1.0768301,1.6169201,2.3205562,2.7234607
0.6103569,1.0558362,1.501272,1.6071459,1.5641711,1.7579149,2.515251,3.0340831,3.6830683,4.366015,4.082579
0.19136739,0.23618448,0.3795141,0.54621065,0.73413384,0.8780595,1.1972625,1.5053272,1.756024,2.1801746,2.5761297
0.8418801,1.0983033,1.4012805,1.5605521,1.7540711,1.9899083,2.6208155,2.9838274,3.5299134,4.3281903,4.327409
0.063724756,0.08570838,0.12973595,0.2102164,0.36941206,0.5744865,1.1130774,1.6562197,2.3051639,3.0706706,3.3964097
1.8593026,2.0228279,2.2648978,2.6182976,3.067604,3.379042,3.7248397,3.953912,4.2793837,4.8368716,4.7681103
0.07029092,0.10062957,0.14148974,0.21896994,0.29183662,0.34036267,0.6150416,1.0053316,1.5299083,2.216475,2.602984
1.6698667,1.6817664,1.9234674,2.298622,2.675867,2.9391494,3.36771,3.655436,4.0598516,4.684163,4.618034
2.5593069,2.287406,2.1440835,2.0410926,1.9340631,2.1352239,2.7189813,3.124221,3.6513276,4.4220343,4.4529896
3.8786235,4.024105,4.113041,4.0838327,3.994095,4.045726,4.2104645,4.325883,4.4896975,4.8053703,4.744346
0.08268571,0.104482055,0.13659191,0.19634724,0.25646615,0.32456255,0.657699,1.0942799,1.6806892,2.4257727,2.8237844
0.2553625,0.31988668,0.44137025,0.57384276,0.7536341,0.9055548,1.2320011,1.5338396,1.7569659,2.1629968,2.608921
0.25142086,0.28199255,0.4142481,0.5675014,0.74468255,0.8863851,1.191572,1.477664,1.6847556,2.0717847,2.4951355
5.192545,5.1402416,5.0370936,4.888295,4.552765,4.474407,4.450273,4.4470034,4.515379,4.732373,4.6287932
0.21600688,0.86245793,1.4757838,1.7407657,1.921656,2.098726,2.6696095,2.9919755,3.467102,4.139176,4.062387
0.18223727,0.26081705,0.3731203,0.47922146,0.6170759,0.73482835,1.0162855,1.2905651,1.4980701,1.8627836,2.2974653
0.081150055,0.1031692,0.14927244,0.2208674,0.30631447,0.402676,0.76655495,1.2035636,1.7576511,2.4634447,2.857663
0.04457116,0.08978534,0.13512444,0.20835817,0.28782976,0.35311556,0.65844774,1.0662634,1.5977384,2.2926087,2.7134812
0.06709218,0.09703946,0.14621758,0.22199059,0.31101918,0.40164053,0.75207365,1.180489,1.7295593,2.4251885,2.7960172
3.6751604,3.9820576,4.1432877,4.120496,4.0146093,4.072784,4.2577314,4.3751116,4.5414267,4.839008,4.764681
4.7955284,4.954676,4.978496,4.8909163,4.604863,4.533183,4.5178814,4.5387826,4.6357346,4.8785048,4.7958016
4.86149,5.0767536,5.0749063,4.9803677,4.7439404,4.704673,4.676417,4.650089,4.680596,4.846759,4.758285
0.055048347,0.097800255,0.1351018,0.19435406,0.24373949,0.29535198,0.6099192,1.0455554,1.647259,2.4123046,2.8175058
0.26144016,0.29564583,0.42408025,0.5797919,0.75793505,0.88259244,1.14704,1.4011519,1.5785221,1.9231442,2.2868998
1.7664528,1.8772463,2.045406,2.258705,2.5645819,2.845074,3.290189,3.5810134,3.9857101,4.6307354,4.591741
0.09279573,0.19253445,0.37633216,0.5867125,0.80050206,0.91604173,1.1677126,1.4324126,1.6448206,2.0196335,2.3393962
1.3050133,1.7126188,2.0765376,2.345871,2.665573,2.9262924,3.352925,3.6296985,3.9973526,4.5677853,4.505067
0.29410493,0.84302783,1.378476,1.5328871,1.6064465,1.845298,2.648591,3.1506054,3.7860065,4.4246297,4.11203
1.8630943,1.8659986,2.0609386,2.35172,2.6237478,2.8660917,3.3039534,3.6035368,3.9881318,4.562998,4.491171
0.3850261,0.66140294,1.1533122,1.3570849,1.5383259,1.7684029,2.3707545,2.7676432,3.359766,4.142268,4.169369
4.7258554,4.8833942,4.9271765,4.8819075,4.6990023,4.6591215,4.6331034,4.6326857,4.689237,4.907809,4.8330503
