z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
3.3851085,0.3151624,0.0,1.7438914,2.3632605,3.3078353,0.5881827,0.0,3.1802368,3.9859471,0.0,0.0,0.0
1.8245913,0.21376184,0.0,0.93056875,1.2343955,1.7073733,0.23352455,0.0,1.9629259,1.8023883,0.0,0.0,0.0
3.5529344,0.5232066,0.0,1.2088646,2.969011,2.776811,1.321299,0.0,2.117847,4.494583,0.0,0.0,0.0
0.7809239,1.5604345,0.08413109,1.0187898,0.039133243,0.0,0.0,0.0,0.7414299,0.0,1.1981792,1.000629,0.3653153
3.5721765,0.5742311,0.0,1.2716736,2.904893,2.7119005,1.1464869,0.0,2.1380806,4.5230236,0.0,0.0,0.0
2.254851,0.20577905,0.0,1.2395039,1.6338832,2.150333,0.40428254,0.0,2.2038388,2.3556964,0.0,0.0,0.0
0.720627,1.6410617,0.07811868,0.9534742,0.0620569,0.0,0.0,0.0,0.6687412,0.0,1.1070194,0.9969629,0.33160678
3.8150156,0.6124358,0.0,1.7659976,2.851642,3.3679385,0.9048373,0.0,3.5277312,4.591615,0.0,0.0,0.0
1.0505984,1.8148134,0.058390576,1.075026,0.07525768,0.0,0.0,0.0,1.0120779,0.0,1.3697736,1.2048557,0.30862215
2.8313046,0.11029355,0.0,1.5120748,1.7996187,2.9497573,0.24157433,0.0,2.9065347,2.8837662,0.026737139,0.0,0.0
3.5898342,0.5877348,0.0,1.2781836,2.925965,2.7138643,1.1497576,0.0,2.1504595,4.565801,0.0,0.0,0.0
0.91995734,3.1349154,0.18969253,2.637374,0.1686218,0.0,0.0,0.0,1.1187011,0.0,1.7906199,2.309866,0.72781885
2.7668874,0.06950778,0.0,1.4930813,1.7324961,2.9386878,0.17286894,0.0,2.855027,2.7052445,0.08163516,0.0,0.0
3.751627,0.62023675,0.0,1.3954036,2.9460714,2.8075886,1.1036308,0.0,2.2547812,4.712929,0.0,0.0,0.0
1.2307795,4.094016,0.15835737,3.1787584,0.13056947,0.0,0.0,0.0,1.540661,0.0,2.5227306,2.9186676,1.086234
0.5472595,1.4124736,0.09558349,0.69797075,0.08346421,0.0,0.0,0.0,0.58557075,0.0,1.0064509,0.8905416,0.23720047
1.4113156,4.2796397,0.11799243,3.2850673,0.088254005,0.0,0.0,0.0,1.5592103,0.0,2.6444147,2.942713,1.1772316
2.52832,0.10789262,0.0,1.3889859,1.5720422,2.7164125,0.113377176,0.0,2.7679327,2.5296464,0.12227982,0.0,0.0
