z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
-0.002505661,0.0042759343,-0.01121071,-0.01767014,-0.0041259658,0.322417,0.013594443,-1.024998,-0.01125,0.01366454,-0.01644221,-0.00418707,-0.0046530417
-0.0042832503,0.0068993196,-0.002525933,-0.011104085,-0.000291517,0.23685718,-0.0003187349,-0.43795508,-0.0069035087,0.007465763,-0.0129702315,0.0017264858,-0.0030525331
-0.00602677,-0.009254975,-0.0044468343,0.014499627,-0.012905158,-0.39012662,0.005311135,-1.0277325,-0.01215845,-0.013351686,0.035424422,0.022097912,-0.000577474
-0.004214938,0.0034811837,0.0005965531,0.0020551085,0.003775822,-0.017072331,-0.009698325,0.47425085,0.004754994,-0.00012470502,-0.006797336,-0.0046110377,-0.00090498105
-0.0055169053,-0.009952335,-0.002344966,0.016429551,-0.011820294,-0.39314643,0.0046503227,-1.0274795,-0.012847746,-0.013727466,0.036506027,0.024616785,-0.0008763699
-0.007603336,0.006561621,-0.00449463,-0.010806426,-0.0039718207,0.20258982,0.0011672927,-0.57670647,-0.0068318695,0.005915664,-0.007473789,0.0030311719,-0.003147162
-0.0051649604,0.0030706888,0.0006027147,0.0034416988,0.0023086164,-0.053853262,-0.009663694,0.47834122,0.0053646676,-0.0013438091,-0.0026292577,-0.0016338527,-0.00017335545
-0.0020219218,0.00072311517,-0.010519519,-0.013616681,-0.005851239,0.24041447,0.014282541,-1.158199,-0.012580382,0.011393156,-0.011197321,0.00011160225,-0.003937349
-0.0019997284,0.003602203,-0.00044023246,-0.0015844107,0.0051963944,0.050342716,-0.00867751,0.5008801,0.0045146346,0.0032789763,-0.01499106,-0.0081471875,-0.00065634307
-0.0014888104,0.007068008,-0.00837028,-0.024489515,-0.0007351991,0.4634348,0.009626625,-0.79947233,-0.011254037,0.019267837,-0.03151688,-0.0045507103,-0.0020759944
-0.0054296665,-0.010319925,-0.0022485256,0.016842108,-0.011860549,-0.40412107,0.004676234,-1.0343511,-0.0129289925,-0.0139670605,0.03710071,0.025312088,-0.00075448956
-0.0008213129,-0.003624337,0.006407175,0.0059908703,0.0044549163,-0.027757648,-0.006167642,1.0567248,0.0037714727,-0.004313765,0.005236566,0.0018530115,0.0025203703
-0.0011654226,0.007249633,-0.008155145,-0.025060855,-0.00038075633,0.47267166,0.009224219,-0.7770053,-0.011357356,0.019681452,-0.032934368,-0.004544832,-0.0018241806
-0.0045352713,-0.01128121,-0.0015250891,0.01755213,-0.011448592,-0.39876407,0.005181279,-1.0856553,-0.013724688,-0.013716623,0.036884274,0.02614642,-0.0010482091
0.0013631545,-0.006684399,0.0057545714,0.0031640828,0.004737802,0.012490746,-0.0053334245,1.2951255,0.003659591,-0.0023635607,-0.0016669258,0.00051127374,0.0040773414
-0.004941565,0.004011735,0.0008691624,0.003245674,0.0035485849,-0.03901116,-0.009850559,0.41680306,0.004872557,-0.0010481961,-0.0037428811,-0.0035057813,-0.0011578854
0.001458385,-0.0063173743,0.006632872,0.0037277937,0.004759647,0.0358656,-0.0046375194,1.3562667,0.0048124827,-0.0017693397,-0.0005098507,0.00049767643,0.0043621156
-0.00068814773,0.007278721,-0.0068426356,-0.023892447,0.0006921273,0.4620201,0.00783585,-0.7189384,-0.0111823175,0.018699368,-0.032012925,-0.0036399737,-0.0021614265
-0.006732819,0.0065485807,-0.004748784,-0.012958549,-0.0031746477,0.23263818,0.0017190296,-0.5904663,-0.0072635263,0.008248428,-0.011845984,0.0040617734,-0.002566401
-0.0029193526,0.0040991954,-0.010537177,-0.016919091,-0.004389124,0.30944467,0.012823772,-1.0080441,-0.011356074,0.013225317,-0.015748374,-0.002845034,-0.0041443584
-0.008823407,0.004003115,-0.00044211,0.007438943,-0.0020988826,-0.20974243,-0.010990916,0.34198177,0.006317679,-0.0079843355,0.012707531,0.0041598827,0.00035003293
-0.004036201,0.0037765768,0.00047490746,0.0016845614,0.004107842,-0.0101833865,-0.009676656,0.4649784,0.004782468,0.00012394227,-0.0075654015,-0.0055191442,-0.0011099018
-0.00035677478,0.0072126035,-0.006313458,-0.02320689,0.0009616483,0.4518569,0.0072416365,-0.6939882,-0.011435049,0.01811407,-0.03147594,-0.0031962842,-0.0021099625
-0.004143048,0.004997413,-0.010593839,-0.017652377,-0.004655754,0.30540806,0.011039989,-0.93819004,-0.009840677,0.013003964,-0.016376086,-0.0025285035,-0.0037898389
-0.00088010635,0.0069266185,-0.008939594,-0.025364786,-0.0005333945,0.47785443,0.0105920695,-0.83168924,-0.0115463305,0.020109387,-0.032850288,-0.0052538216,-0.002232642
-0.008434467,-0.004472625,-0.0036364347,0.010808721,-0.012332927,-0.27082714,0.002371408,-0.875843,-0.010611508,-0.010967892,0.028739817,0.017332088,-0.0014097448
-0.00039263815,-0.003396301,0.0075049214,0.0058249533,0.0046856888,-0.007468447,-0.004717477,1.2493438,0.0060039796,-0.0035871183,0.0067406297,0.0013412088,0.003964738
-0.003496564,0.0018646256,0.000960581,0.002102092,0.0044571366,-0.023284677,-0.009536783,0.5656378,0.004319027,-0.000803452,-0.006820783,-0.0049115047,-0.0007394254
0.009289498,0.0070936866,-0.0034821704,-0.03196606,0.00985679,0.6887891,0.010000577,-0.6378739,-0.01566069,0.0300946,-0.056745976,-0.006440632,-0.00061595254
-0.004120807,0.006986943,-0.0031404868,-0.01264897,-0.0002706144,0.26118767,0.0005247481,-0.47173387,-0.007072801,0.008638091,-0.014897443,0.0011505261,-0.0030775364
0.0010537654,-0.004646112,0.008885734,0.004877664,0.00462191,0.003710635,-0.0013849605,1.7148309,0.010534227,-0.0030499054,0.0105534345,0.001048632,0.007864732
-0.0040371576,-0.010531285,-0.0029205903,0.014632922,-0.011890162,-0.33025366,0.0071090385,-1.1415697,-0.0144275,-0.011617465,0.032720007,0.021091964,-0.001308498
-0.0024016295,0.0036940952,0.0008542612,-0.0007061064,0.005912408,0.05676505,-0.008588237,0.53333837,0.004542157,0.0038392562,-0.014755674,-0.0069744885,-0.00045795552
-0.0005521616,0.006722211,-0.009466767,-0.025554098,-0.0005529076,0.47856003,0.01129391,-0.8593902,-0.011586443,0.02023117,-0.0328246,-0.005808614,-0.0025427062
-0.0036128238,-0.01011106,-0.0025666729,0.013816293,-0.012610376,-0.3120092,0.0056122113,-1.1158351,-0.015351189,-0.011203207,0.029214837,0.020261336,-0.0004762262
-0.013799029,0.0009628972,-0.006086737,0.008267917,-0.013113018,-0.30404124,-0.0021558674,-0.5714556,-0.004612431,-0.012733914,0.030833118,0.015869875,-0.0013401816
0.00041500572,0.0014308747,-0.011129528,-0.016606845,-0.004357526,0.32099494,0.016595272,-1.1831348,-0.014460657,0.0140618365,-0.016646594,-0.004594229,-0.0043813824
0.0014088061,-0.006739658,0.0048649535,0.0023921356,0.0044094548,-0.00071085244,-0.005350827,1.306211,0.0040417723,-0.002621469,-0.0019945875,-0.00020961463,0.00434471
-0.009491922,0.006272543,-0.004504189,-0.008237712,-0.005662067,0.14472723,0.00037458632,-0.57786644,-0.0061568283,0.0036012735,-0.0022814348,0.0048788264,-0.0029685507
0.0005018646,-0.005349177,0.0057559833,0.0038490705,0.0044390354,-0.016352247,-0.0053235,1.2552551,0.0044776686,-0.0034724632,0.002008006,0.00069469213,0.004096387
-0.0069651892,0.007210112,-0.0030779168,-0.0070121735,-0.0020067804,0.14562084,-0.0028787088,-0.3377788,-0.00274444,0.0032817367,-0.005579792,0.00020416081,-0.0036655646
0.0006367499,-0.005095641,0.0072619393,0.0049282312,0.004687028,0.01366438,-0.0044211634,1.3332307,0.0056514144,-0.0027506044,0.003754951,0.0012091547,0.0044206306
-0.00023577735,-0.0023567863,0.0022326484,-0.00015518069,0.006000964,0.043432526,-0.008139013,0.923415,0.003308963,0.0011106394,-0.013589926,-0.0061390772,0.0009308392
-0.0019145394,0.0009096067,-0.010045685,-0.013642475,-0.0055090506,0.24902266,0.013992475,-1.1394731,-0.012736961,0.011503231,-0.011619836,9.1046095e-06,-0.0038916701
0.0073011043,0.006544836,-0.003649354,-0.030250028,0.007908853,0.64763224,0.009800952,-0.68756664,-0.015328834,0.02807608,-0.05188848,-0.0047713444,-0.00065847766
