z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.009385016,0.01928667,0.021237545,0.02948954,-0.006812282,0.03777889,-0.44064605,0.02464509,0.014829695,0.038615387,-0.01059052,-0.023333296,-0.028175697
0.021488814,0.048738845,0.04057434,0.035137147,-0.022054683,0.08550924,1.2352517,0.09736821,0.03462721,0.07656767,-0.02342579,-0.04868426,-0.04266441
0.045016974,0.10441304,0.070750475,0.08060918,-0.053641863,0.16075054,-0.8449934,0.14839104,0.069148906,0.14172736,-0.031486604,-0.076510645,-0.077038825
-0.028276317,-0.017521543,-0.0053450614,-0.03170353,0.042533785,-0.015602864,-0.35633028,-0.0670605,-0.0035132226,-0.030090384,0.0036375038,0.006060183,0.043758884
0.015364021,0.048531562,0.04347091,0.0369855,-0.03626004,0.0887091,-1.2177789,0.10191481,0.03444336,0.06629986,-0.015804375,-0.05017945,-0.037054747
-0.040376984,-0.020942837,-0.046539485,-0.049755067,0.0043523014,-0.042632103,-2.0896492,-0.07624644,-0.025585229,-0.08219409,0.028645813,0.0088547245,0.10657008
0.009385023,0.019286683,0.021237545,0.029489547,-0.006812282,0.037778907,-0.4406461,0.02464509,0.014829698,0.0386154,-0.01059052,-0.0233333,-0.028175697
0.01334203,0.036309518,0.051880267,0.008116156,-0.012484275,0.07752125,-0.5289899,0.08501991,0.039403513,0.05212832,-0.022338597,-0.030483771,-0.029365972
0.021087922,0.070626475,0.049989406,0.04698156,-0.027112115,0.11866825,-0.9211224,0.104847185,0.04860253,0.09973258,-0.025166504,-0.054852817,-0.032771617
0.011796802,0.037160013,0.03788515,0.026693135,-0.012147099,0.07174181,-0.6197393,0.065376386,0.030811122,0.059717767,-0.018811807,-0.033882283,-0.026434705
-0.00392583,0.004810481,0.013913371,0.0076439306,0.017644003,0.026353607,-0.3045833,0.0076183975,0.008623347,0.029455926,-0.014922135,-0.008344926,0.005273044
0.039757628,0.08170811,0.08912277,0.03458675,-0.0062608197,0.12534739,0.07854433,0.13309136,0.07798078,0.11037355,-0.033234987,-0.041210778,-0.08383426
0.046022914,0.06911395,0.06524988,0.07145651,-0.057728548,0.12181457,-0.76079583,0.15853158,0.049002353,0.11659176,-0.03257589,-0.05720368,-0.08719326
0.08751413,0.13688432,0.12241368,0.11301216,-0.08276711,0.22529507,-0.13028228,0.2634261,0.1036501,0.21710403,-0.06393466,-0.08879165,-0.15021357
0.008570787,0.0494555,0.02310545,0.041430756,-0.017460667,0.07952264,1.1323487,0.07980576,0.027582789,0.07464951,-0.019418705,-0.055038355,-0.013253495
-0.0035291389,0.045796666,0.024752825,0.010146499,-0.029311847,0.08066272,1.92836,0.055467755,0.024475574,0.07240761,-0.01463934,-0.057912838,-0.019442633
0.0039698705,0.04677291,0.05730476,0.0051315054,-0.031686284,0.083280295,-1.1417284,0.09252337,0.048738323,0.0359309,-0.012762751,-0.0506187,-0.026456594
0.0069182105,0.043491516,0.05336027,-0.010197289,-0.019000158,0.07670568,1.4558618,0.08188035,0.046472725,0.036742996,-0.0167986,-0.047219552,-0.03000775
0.03388197,0.09324871,0.07199842,0.08582247,-0.035839085,0.16184,-0.6693677,0.16002578,0.0653009,0.16211855,-0.045058705,-0.07506737,-0.06463608
-0.028265841,0.021198064,-0.023974486,-0.0043582767,0.00626155,0.02612395,-1.8159702,-0.029749408,-0.00040281005,0.0018621534,0.007858206,-0.01990344,0.083386764
0.009382833,0.04385869,0.0091857985,0.024735272,-0.022327732,0.049696933,1.1881897,0.03830114,0.02539903,0.04025794,-0.011343243,-0.038360104,0.006512314
0.07606461,0.17782807,0.14914994,0.06858687,-0.078231245,0.25229013,0.9154261,0.22910422,0.1593089,0.20937413,-0.07411146,-0.09514157,-0.10583287
-0.18929487,-0.46618375,-0.371034,-0.32104668,0.29636142,-0.8042948,0.20891832,-0.8870837,-0.3455536,-0.7019548,0.21392277,0.36319157,0.3141712
-0.23724806,-0.61937267,-0.4689236,-0.42284262,0.34980595,-1.0431572,0.23061097,-1.0925982,-0.45264763,-0.9295227,0.27426866,0.4641527,0.38605225
0.060761485,0.16355558,0.11722017,0.12431491,-0.04709109,0.28190315,-0.17554373,0.262779,0.104427084,0.258698,-0.05838674,-0.12758836,-0.12175135
0.010442488,0.029121928,0.02436158,0.035144508,-0.028080203,0.05829703,-1.1719038,0.070642665,0.016291901,0.04901949,-0.010780174,-0.036381386,-0.025288016
0.021488814,0.048738845,0.04057434,0.035137147,-0.022054683,0.08550924,1.2352517,0.09736821,0.03462721,0.07656767,-0.02342579,-0.04868426,-0.04266441
0.01626005,0.050852537,0.04516486,0.037901998,-0.037027378,0.09215529,-1.2138946,0.10498896,0.036240567,0.0690503,-0.016535379,-0.051459856,-0.038326055
0.057485197,0.11249104,0.112926595,0.08628371,-0.059581023,0.19637099,-0.32088494,0.22692332,0.09323808,0.18063435,-0.056318432,-0.08549364,-0.11663785
-0.14474148,-0.39958125,-0.29813448,-0.26631042,0.23342717,-0.68193567,0.1515917,-0.7055504,-0.29076713,-0.5978557,0.17947161,0.30641714,0.22736801
-0.2365874,-0.61052346,-0.4521903,-0.43730474,0.34673592,-1.0358114,0.16216433,-1.0798416,-0.438152,-0.9420734,0.27943015,0.45849556,0.37282836
-0.02764669,-0.051218454,-0.059916675,-0.024837688,0.020923063,-0.08914788,1.2118211,-0.10087469,-0.048990533,-0.080051884,0.023477964,0.01735872,0.05843617
0.04602293,0.06911398,0.06524986,0.07145654,-0.057728548,0.121814586,-0.76079583,0.15853155,0.04900235,0.11659181,-0.03257589,-0.057203684,-0.08719324
0.042644437,0.06527109,0.06498988,0.06371969,-0.054871604,0.11651889,-0.7654876,0.15255214,0.048344705,0.10721769,-0.030654432,-0.05514882,-0.08314182
-0.040377006,-0.02094284,-0.04653947,-0.04975508,0.004352331,-0.042632073,-2.0896494,-0.07624644,-0.025585225,-0.08219406,0.028645806,0.008854702,0.10657014
0.049632687,0.15166211,0.11812164,0.09481674,-0.028882276,0.24972494,-0.20236376,0.22818519,0.11106063,0.22498524,-0.05570768,-0.10682006,-0.100378774
0.01092786,0.0392687,0.046041034,-0.0057719797,-0.018280968,0.065854736,1.3387597,0.06637132,0.04143422,0.035313357,-0.016704073,-0.03765676,-0.028554112
0.013970792,0.04138571,0.040918745,0.03069219,-0.014046334,0.07841216,-0.60554355,0.07257195,0.033712596,0.06704012,-0.020825747,-0.036607284,-0.030119926
-0.035241373,-0.0069627115,-0.047941625,-0.020011917,-0.008958653,-0.009193424,-2.736019,-0.027335659,-0.030739034,-0.041731626,0.024872176,-0.009253524,0.09845509
-0.038018055,-0.14411311,-0.054212064,-0.12427017,0.011384115,-0.2617525,1.3937123,-0.2200366,-0.047261305,-0.24561024,0.022878438,0.111350425,0.07812388
0.025509411,0.05049099,0.015315928,0.07290936,-0.011792593,0.09396002,1.230248,0.094424665,0.012382876,0.114593714,-0.024401892,-0.051516984,-0.038404807
-0.21151835,-0.5025799,-0.4107832,-0.34560627,0.32654423,-0.8729033,0.16686934,-0.9802026,-0.37667093,-0.75676584,0.23359743,0.39323905,0.3544098
0.014217969,0.04146718,0.043904245,0.034229882,-0.015030429,0.080660604,-0.5795548,0.07908647,0.03484416,0.0715879,-0.022851028,-0.03895293,-0.03479889
0.021875609,0.040787295,0.013943441,0.06339437,-0.011986628,0.07829552,1.2748094,0.08536865,0.009531645,0.09651629,-0.021479845,-0.04679451,-0.036469728
-0.015290767,-0.02971947,-0.036252245,0.022513546,-0.003611438,-0.04713068,-1.0396571,-0.05015433,-0.033036478,-0.021223731,0.008011829,0.002771318,0.026529372
0.02442293,0.069561206,0.06634841,0.037473746,-0.051055294,0.11878402,-1.2147863,0.13959864,0.056249864,0.08140585,-0.021935781,-0.062908605,-0.053572595
0.014488459,0.029086055,0.021885514,0.033813775,-0.010275692,0.049398184,-0.4786775,0.03062044,0.018700253,0.048640862,-0.0117044225,-0.025369354,-0.028006837
-0.14697608,-0.40402982,-0.30315754,-0.26719216,0.23572677,-0.6911779,0.13059054,-0.71648765,-0.2950436,-0.6050794,0.18277362,0.30892414,0.22955607
-0.04856845,-0.09026677,-0.07415703,-0.016144894,0.041193217,-0.12511198,-0.92032033,-0.1344192,-0.0745142,-0.08544338,0.0208852,0.038460337,0.07643844
-0.23658738,-0.61052334,-0.45219025,-0.4373048,0.34673586,-1.0358114,0.1621644,-1.0798414,-0.4381519,-0.9420734,0.27943012,0.45849556,0.3728283
0.007975064,0.031093957,0.04585234,0.02722361,-0.0118508935,0.06863274,-0.54105866,0.07394855,0.032492306,0.058181286,-0.021136435,-0.038103074,-0.036799267
0.009362724,0.04037687,0.019517459,0.050401893,-0.018679865,0.07272244,1.1250436,0.0860985,0.017670743,0.07686428,-0.018616257,-0.05550163,-0.024470136
0.0038081408,0.026204063,0.026920795,0.020613924,-0.025177449,0.054960333,-1.2686956,0.06618439,0.018351397,0.033904746,-0.007284019,-0.036542583,-0.017891854
0.07187277,0.1372309,0.14561662,0.08082193,-0.08594645,0.23156917,-0.45247918,0.27899876,0.12000087,0.1855131,-0.05720588,-0.10345411,-0.1509574
-0.013088673,-0.036170594,-0.01748328,-0.00606934,-0.0016906485,-0.047714956,-0.8259118,-0.034626216,-0.024330942,-0.04219249,0.007768426,0.009197585,0.014150217
0.035600033,0.098194696,0.070815764,0.09214321,-0.036018528,0.16796061,-0.6733887,0.1613628,0.066227436,0.17138252,-0.04654189,-0.0770136,-0.06385207
0.008193068,0.0121437805,0.016498432,0.027833223,-0.026171047,0.033594385,-1.1175189,0.055271685,0.0051936693,0.028383859,-0.0064149573,-0.02606346,-0.024841592
0.0088014975,0.010220135,0.027797729,0.014065415,-0.034708343,0.02097202,1.3094563,0.07678773,0.017620627,0.012531206,-0.013121314,-0.03522928,-0.034139976
0.021488803,0.048738834,0.04057432,0.03513711,-0.022054676,0.085509226,1.2352517,0.09736818,0.034627195,0.07656765,-0.023425775,-0.04868425,-0.04266438
0.021087922,0.070626475,0.049989406,0.04698156,-0.027112115,0.11866825,-0.9211224,0.104847185,0.04860253,0.09973258,-0.025166504,-0.054852817,-0.032771617
0.012478169,0.0401061,0.0016468689,0.022999175,-0.028075095,0.034439337,1.2118869,0.02259782,0.021778302,0.027020812,-0.0075384267,-0.031155724,0.009114027
0.01626005,0.0508525,0.04516484,0.037901983,-0.03702738,0.09215525,-1.2138944,0.10498895,0.036240544,0.06905025,-0.016535372,-0.051459834,-0.03832607
-0.0046059527,0.06251398,0.033424117,0.024931736,-0.01711791,0.112880275,1.717866,0.07546677,0.035563376,0.10772234,-0.025147911,-0.0682125,-0.012651622
0.023394661,0.11720621,0.108087316,0.013348989,-0.040518988,0.19304426,-1.105505,0.17669791,0.1041357,0.110905215,-0.03233298,-0.08598675,-0.046040058
0.028021192,0.07399883,0.07158123,0.041707054,-0.05506377,0.12593664,-1.1833282,0.15037681,0.06022197,0.08852749,-0.0242025,-0.066168286,-0.061383158
0.07467901,0.17794481,0.1483793,0.07416904,-0.07376653,0.2560265,0.8432067,0.23295087,0.15813766,0.21748134,-0.076581106,-0.09647129,-0.1033268
-0.21151835,-0.5025799,-0.4107832,-0.34560627,0.32654423,-0.8729033,0.16686928,-0.9802026,-0.37667096,-0.75676584,0.23359743,0.39323905,0.3544098
0.007466309,0.021742756,0.033220157,0.014998645,-0.03980287,0.053119935,1.6219404,0.11469507,0.020717066,0.048253495,-0.023554858,-0.045281332,-0.029117823
0.060418002,0.11476123,0.117397085,0.080616236,-0.08106285,0.19657132,-0.7889688,0.2457586,0.09456717,0.16287011,-0.04759614,-0.092879355,-0.1276035
0.0124781765,0.040106107,0.0016468912,0.022999175,-0.02807511,0.034439366,1.2118869,0.02259785,0.021778313,0.027020782,-0.0075384267,-0.031155724,0.009113982
0.010442488,0.029121881,0.024361558,0.035144478,-0.028080191,0.058296986,-1.1719038,0.07064262,0.016291875,0.049019452,-0.010780165,-0.036381364,-0.025288
-0.022520773,-0.023332749,-0.017500058,-0.019900456,0.0045423433,-0.033499792,-1.0881488,-0.04474239,-0.015414281,-0.04653953,0.011644635,0.002981782,0.039237276
0.053973187,0.19146636,0.13490844,0.122587256,-0.044681985,0.33620715,-0.35856628,0.30340028,0.11928117,0.28156668,-0.05478713,-0.16041239,-0.12616089
