z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.0,1.5308425,0.0,0.0,0.4713657,4.6280804,0.0,1.5221366,1.5904738,2.453591,0.0,3.0403152,1.3281122
0.0,2.1622531,0.0,0.0,0.25857544,5.821499,0.0,1.8088129,2.5068061,2.8779614,0.0,3.8695095,1.5400544
0.19759089,0.0,2.251557,0.0,7.664106,3.0330358,0.0,5.8010387,4.3811226,4.3449235,0.7516415,0.0,1.9833257
0.0,2.0859044,0.0,0.0,0.50778663,5.5158587,0.0,1.8058424,1.9921577,3.0375917,0.0,3.7240498,1.8626693
0.050926156,0.0,0.9099772,0.0,3.5307906,1.7143168,0.042667747,2.995446,2.2892468,1.8699977,0.4292076,0.0,0.61308086
0.0,0.0,0.5186907,0.0,2.6036968,1.4245138,0.65595067,2.1384816,1.5018631,1.5126867,0.4219207,0.0,0.0
0.0,2.4184992,0.0,0.0,0.29407975,6.341855,0.0,1.9276296,2.6411493,3.20537,0.0,4.2752485,1.8675407
0.19272831,0.0,0.11997667,0.0,1.5639898,1.5023984,0.8417091,1.3559548,1.2843525,1.2111572,0.38461244,0.0,0.0
0.0,2.0347629,0.0,0.0,0.4440907,5.543771,0.0,1.7759142,2.0146918,2.957454,0.0,3.7023869,1.737609
0.0,0.0,0.37809813,0.0,1.9397938,1.7698653,0.90428853,1.6131411,1.2857628,1.1956664,0.3907061,0.0,0.0
0.0,1.4530122,0.0,0.0,0.18165405,4.4551296,0.100619,1.4555959,2.0224895,2.1112487,0.0,2.7558353,0.681499
0.0,0.0,1.2631134,0.0,5.146325,1.8652916,1.1718532,4.028012,2.627715,3.1139245,0.79428685,0.0,0.0
0.0,2.5766501,0.0,0.0,0.3307238,6.61553,0.0,2.0133607,2.738798,3.384982,0.0,4.481948,2.06604
0.0,0.0,0.95525473,0.0,4.2439165,1.8681366,1.06468,3.3195376,2.215251,2.4997041,0.7444882,0.0,0.0
0.0,0.0,0.52839726,0.0,2.598215,1.4082692,0.31443265,2.4449131,1.67611,1.2788236,0.42110813,0.0,0.0
0.0,0.0,1.9583153,0.0,6.6415586,2.337711,0.28721324,5.178426,3.757388,3.876094,0.7343717,0.0,1.0830948
0.0,2.35457,0.0,0.0,0.26884136,6.203368,0.0,1.8862408,2.6372905,3.0839913,0.0,4.1479583,1.7618815
0.0,1.9564414,0.0,0.0,0.43671703,5.509245,0.0,1.7573981,1.9549168,2.890641,0.0,3.623491,1.7504964
0.0,2.125629,0.0,0.0,0.47531793,5.7518606,0.0,1.8430034,2.0360801,3.0653484,0.0,3.8315516,1.8982383
0.19797833,0.0,2.2423115,0.0,7.6134953,3.0444074,0.0,5.7733426,4.359521,4.3331923,0.7430431,0.0,1.9971676
0.0,0.0,0.3195392,0.0,1.5799016,1.4780365,0.92411906,1.2169802,1.0466434,1.2324632,0.3009568,0.0,0.0
0.0,2.487148,0.0,0.0,0.48087177,6.5005455,0.0,2.0373683,2.310024,3.4983065,0.0,4.339123,2.299438
0.0,2.2297013,0.0,0.0,0.26846656,5.952524,0.0,1.8325943,2.5026593,2.9763212,0.0,3.9592435,1.632527
