3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.6585518,1.859589,1.9436959,2.2400022,2.4673128,2.6455765,2.6479554,3.0241866
2.0527701,2.2091434,2.3125296,2.5840967,2.7341986,2.8739243,2.9044895,3.313112
1.5378375,1.5907884,1.7443781,2.2449117,2.5854654,2.78519,3.042803,3.6118548
2.8604505,2.8167603,2.883875,2.994918,3.1804416,3.4389753,3.5449405,4.1487193
1.5426625,1.6074204,1.73547,2.2447348,2.6123567,2.7947972,3.0064774,3.6145604
1.8589033,2.072179,2.2111783,2.5298996,2.6981437,2.8368056,2.8610995,3.2571995
2.7754076,2.776853,2.8904672,3.064027,3.2192626,3.4393973,3.534224,4.2027993
1.6360338,1.6993449,1.7978537,2.2566423,2.4543178,2.6117811,2.6469781,3.007373
3.0341463,2.8758345,2.953533,3.0311275,3.1525798,3.4200292,3.523304,4.1034794
1.8111212,2.0781536,2.160979,2.3751926,2.5149162,2.6753047,2.6603956,2.995479
1.5401438,1.5996306,1.7250208,2.2406702,2.6134398,2.7962465,3.0073812,3.6153657
2.9758978,2.9906874,3.1151567,3.62284,3.7674904,3.8868248,4.038755,4.317759
1.8220102,2.1144905,2.1980662,2.388657,2.52103,2.6786668,2.6640944,2.993418
1.505224,1.5855093,1.7074307,2.226801,2.6011977,2.7674453,2.9486165,3.5992248
3.1531606,3.2304025,3.373849,3.7703326,3.881733,3.9615557,4.126831,4.496473
2.7094963,2.7473445,2.8253973,3.0674746,3.1631877,3.3590612,3.4485636,4.174641
3.2095797,3.2586021,3.4358337,3.7215219,3.8850417,4.0041466,4.1695633,4.583837
1.9135427,2.1649797,2.2217653,2.4005299,2.5476513,2.7175984,2.7087924,3.0120273
1.9863366,2.0679166,2.1719177,2.526092,2.6716182,2.8115401,2.8381605,3.2111397
1.6889353,1.8484077,1.9318955,2.2611063,2.4773662,2.6485734,2.663704,3.043291
2.4916577,2.57082,2.660479,3.087147,3.2159548,3.392743,3.4823887,4.1707463
2.8635461,2.8146908,2.8722367,2.9846387,3.1555395,3.4249723,3.535928,4.150788
1.8719125,2.1639888,2.2635028,2.4791594,2.5860045,2.7155056,2.6929748,3.0242584
1.7256762,1.8865738,1.9859722,2.3047812,2.50184,2.6734343,2.7005444,3.0754313
1.805463,2.078249,2.1487992,2.3450348,2.4952195,2.6586378,2.640985,2.9888265
1.6615548,1.7374659,1.903888,2.300899,2.5778482,2.7734923,3.041495,3.6548803
3.0681863,3.0854812,3.2600644,3.6720593,3.8566666,4.004818,4.171293,4.515624
2.874663,2.8574967,2.8985581,3.168282,3.292866,3.4770138,3.566339,4.2048593
2.3252604,2.3305674,2.26202,2.410982,2.5169253,2.6469817,2.6335444,2.94926
2.0482283,2.1980886,2.292604,2.5580094,2.7095318,2.8506835,2.878376,3.2978384
3.2568498,3.3097932,3.5256886,3.979188,4.188675,4.270669,4.4350004,4.843803
1.4921857,1.6047714,1.7309891,2.1539311,2.51377,2.7226286,2.9359186,3.5185742
2.9691577,2.9114957,2.9540353,3.0719378,3.238715,3.453751,3.5465696,4.1299877
1.7741637,2.072756,2.1453955,2.330884,2.485833,2.6453438,2.6241765,2.9892237
1.5503105,1.6028441,1.7800705,2.187045,2.4667213,2.681972,3.0074744,3.6373317
1.742279,1.8684549,2.058304,2.4740484,2.7345366,2.9004538,3.1381812,3.735326
1.5303131,1.7510145,1.8598617,2.2007186,2.416166,2.588005,2.606424,2.9766023
3.1371217,3.2382052,3.3247333,3.7124312,3.9659705,4.0155354,4.1559033,4.4012666
1.8720615,2.0225382,2.1534758,2.5274134,2.7165952,2.8595288,2.9048808,3.2963486
3.0195963,3.143117,3.2831302,3.7366865,3.9392793,3.9928455,4.1460447,4.4043674
