3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.6305463,1.7547331,1.8252493,2.1444983,2.3982987,2.603524,2.7685125,3.260791
2.3072128,2.373427,2.4384203,2.673554,2.8724363,3.070583,3.1731966,3.742101
1.8137538,1.9359739,2.0265627,2.367894,2.611391,2.7772393,2.9067113,3.4456897
2.8522334,2.8683994,2.9537134,3.1755288,3.352665,3.5481818,3.6676164,4.229599
1.6950204,1.8174292,1.907537,2.259608,2.5289962,2.7126565,2.8773718,3.4238286
1.8714577,1.9900117,2.0701964,2.3939304,2.6342661,2.8157103,2.934439,3.4635873
2.6896405,2.710397,2.777769,2.9637897,3.1370742,3.345387,3.4521005,4.0518937
1.7397348,1.866266,1.9367585,2.255006,2.4904838,2.674118,2.8017094,3.297216
2.7841978,2.7992,2.8750331,3.0807493,3.2612727,3.466215,3.5852952,4.1802206
1.8032143,1.9313208,2.0050151,2.329123,2.5600019,2.7327917,2.8421607,3.3411674
1.7320491,1.8538058,1.9336534,2.267431,2.525303,2.7177055,2.8670504,3.3917964
3.172053,3.2210817,3.3505378,3.6781626,3.8798883,4.0180025,4.160891,4.5977254
1.9816387,2.0895154,2.157215,2.4487684,2.6620088,2.8354523,2.9246287,3.4438179
1.7121358,1.8380915,1.9142337,2.2461038,2.4983501,2.6830409,2.829292,3.3406253
3.1178393,3.1565259,3.2758756,3.5842383,3.783354,3.9375834,4.077048,4.543548
2.8496168,2.8675556,2.9553776,3.1950073,3.383442,3.5794404,3.7061176,4.273107
3.2454352,3.3476758,3.5096493,3.9130797,4.1538115,4.2475595,4.411331,4.7672467
1.8154864,1.9395975,2.0134063,2.3319395,2.5606546,2.7298503,2.841841,3.3481035
1.8692312,1.9964734,2.0605793,2.3675673,2.5810146,2.7519011,2.8408685,3.310552
1.746192,1.8747175,1.9492388,2.2788026,2.518573,2.6971242,2.8241289,3.324163
2.7537098,2.7704248,2.847109,3.053494,3.2366858,3.4453034,3.5630143,4.1598015
2.6513062,2.6793504,2.7476733,2.946038,3.116029,3.3114705,3.4123816,3.992773
1.8738186,2.001629,2.0669868,2.3778145,2.5943043,2.7665305,2.855761,3.3342414
1.7103822,1.8376534,1.9055808,2.2260218,2.4661784,2.6509314,2.783588,3.2708802
