3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y
4.077208,4.090653,4.048539,3.999225,3.9901896,4.013379,4.055894,4.111688,4.180066,4.244028,4.30634,4.3616314,4.413861,4.459613,4.501945,4.5395713,4.575106,4.6056743,4.634049,4.6601334,4.6834836,4.705784,4.7262483,4.745383,4.762849,4.778217,4.7935667,4.809441,4.8217473,4.8359094,4.8496275,4.8589506
3.8493428,3.9355392,3.9640632,3.9412737,3.9368563,3.949314,3.9741018,4.0048714,4.0366135,4.068982,4.100946,4.131053,4.159472,4.185093,4.209043,4.2310576,4.251434,4.2703476,4.2877254,4.303822,4.3187804,4.3326674,4.345869,4.358362,4.3701415,4.380856,4.391448,4.401771,4.4110613,4.420691,4.429219,4.437935
1.579883,1.5968316,1.7819594,2.2510214,2.6008372,2.8752384,3.0857518,3.2573457,3.406972,3.5328217,3.640733,3.7294288,3.8043082,3.8669522,3.9158404,3.9550147,3.9861884,4.0069346,4.021339,4.0293655,4.0310397,4.029477,4.0200524,4.0072346,3.989663,3.9690194,3.9437704,3.919031,3.890656,3.8583834,3.832138,3.7922127
3.739867,3.6639695,3.5134778,3.4170501,3.4374242,3.5190263,3.622471,3.7363586,3.8468373,3.949112,4.041562,4.126255,4.198096,4.2654047,4.323722,4.3771763,4.424453,4.4661393,4.5039268,4.5377474,4.5684085,4.596421,4.6214776,4.64478,4.665993,4.6880336,4.7060304,4.7225637,4.7394834,4.754598,4.7679973,4.779144
3.8687532,3.9155967,3.9841022,4.0172396,4.0548625,4.097535,4.145985,4.2100534,4.2777114,4.344676,4.4087667,4.462188,4.515661,4.562016,4.6041217,4.640269,4.673724,4.703526,4.729302,4.7551613,4.776897,4.796243,4.8130875,4.832528,4.849206,4.8588724,4.873404,4.886243,4.8959913,4.9087644,4.9206924,4.9324913
0.6810422,0.6627097,0.86454725,1.4456056,1.9817774,2.4207544,2.7859747,3.1056252,3.36868,3.5932133,3.7844503,3.9454396,4.0827794,4.197897,4.2933035,4.3720655,4.435396,4.4852705,4.5230417,4.5520806,4.569936,4.578874,4.581251,4.581229,4.5743313,4.5595393,4.544193,4.523259,4.499103,4.4768634,4.4451265,4.419693
3.4961321,3.5861845,3.6592038,3.6802413,3.693667,3.7121089,3.7472992,3.7731519,3.8028855,3.8353853,3.86293,3.8927634,3.916422,3.939935,3.9627905,3.9812105,3.9948545,4.011614,4.023389,4.03213,4.0429187,4.0491343,4.0568113,4.0591593,4.0634093,4.0688396,4.0722084,4.071572,4.0743184,4.071272,4.0691776,4.072069
3.850833,3.9388204,3.9683075,3.9357839,3.925424,3.9303339,3.9466572,3.9682958,3.9949858,4.0218744,4.0493855,4.074261,4.099307,4.1208596,4.1421747,4.161367,4.179777,4.1964917,4.211916,4.22634,4.239404,4.2517633,4.2635283,4.2746105,4.2849665,4.2934813,4.30306,4.3125787,4.3202143,4.329017,4.336753,4.3445883
3.9023337,3.998865,4.1031017,4.177414,4.184571,4.1963396,4.2138004,4.2402177,4.266543,4.2954774,4.324476,4.3536334,4.3795238,4.4048443,4.425738,4.4461975,4.464446,4.480101,4.495139,4.508464,4.520347,4.5319514,4.541316,4.5502872,4.5579267,4.566387,4.571761,4.577559,4.583603,4.5876946,4.5928016,4.594282
3.5201206,3.6228042,3.707695,3.7286263,3.7380793,3.7509186,3.7788208,3.7995658,3.825999,3.8552456,3.8810194,3.90737,3.9301453,3.9517207,3.9732296,3.990259,4.003505,4.019335,4.03059,4.039559,4.0499935,4.0564256,4.0640717,4.067491,4.072366,4.0769057,4.0807505,4.0815744,4.0837164,4.0820656,4.081787,4.084546
3.9614644,4.0639324,4.143837,4.211145,4.21394,4.2225804,4.239786,4.2658796,4.30017,4.332489,4.366486,4.399412,4.429706,4.4565277,4.4803705,4.5034623,4.525258,4.542263,4.5597615,4.5743103,4.586954,4.6003633,4.6119666,4.621401,4.6296163,4.6396465,4.645721,4.654151,4.659844,4.665849,4.671783,4.6709485
3.862335,3.9648292,4.038294,4.048842,4.041214,4.046278,4.061481,4.086524,4.1068625,4.13155,4.1561985,4.1814666,4.2043233,4.2270694,4.2465606,4.2659426,4.2830954,4.29954,4.31483,4.329293,4.3427,4.355111,4.366275,4.3780255,4.3887725,4.3993053,4.4085355,4.417046,4.4264774,4.4348745,4.4422283,4.450501
3.8986342,3.907877,3.8861516,3.8700967,3.8960388,3.9468362,4.008925,4.089174,4.1735435,4.253853,4.330356,4.3958263,4.457282,4.512418,4.5616536,4.605304,4.645871,4.681205,4.712731,4.743273,4.769686,4.793959,4.815143,4.8381786,4.858183,4.8733053,4.890509,4.907276,4.9201727,4.9365406,4.9517417,4.962997
3.8564703,3.957629,4.0861993,4.1598883,4.1665206,4.177226,4.1936536,4.2212334,4.242428,4.269444,4.295655,4.3227654,4.3467565,4.371512,4.3911314,4.410795,4.427444,4.4429636,4.457212,4.4706345,4.4824986,4.493307,4.501908,4.511742,4.520041,4.52815,4.534229,4.5392246,4.54615,4.550747,4.555301,4.560241
