1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
5.2347856,5.228148,5.22382,5.2126102,5.212286,5.2010193,5.1777964,5.175971,5.162177,5.152156,5.148708,5.1331186,5.073068,5.026398,5.003675,4.969726,4.94529,4.9207892,4.8977866,4.873308,4.8560877,4.824461,4.801275,4.7780347,4.7591686,4.7315145,4.70726,4.683753,4.662259,4.6413956,4.616781,4.5957007,4.57702,4.554606,4.534534,4.5149093,4.4966936,4.478936,4.45742,4.4393706,4.421056,4.4032884,4.385537,4.3664107,4.3489337,4.3320556,4.3162193,4.300223,4.284047,4.2681847,4.2542915,4.239038,4.2239075,4.2119446,4.1983294,4.1852255,4.174779,4.162142,4.150829,4.1390815
5.6326785,5.6390276,5.6414886,5.647707,5.6425285,5.652791,5.6598577,5.652683,5.6610837,5.6577625,5.6474733,5.645088,5.6144447,5.5774007,5.538293,5.5076632,5.473096,5.446399,5.4176974,5.3929086,5.355559,5.3274446,5.300086,5.269726,5.235175,5.2076273,5.17778,5.1461835,5.117342,5.0876265,5.062742,5.036357,5.0104985,4.983836,4.9580436,4.934481,4.908348,4.8814216,4.859698,4.8372846,4.8120437,4.7891617,4.766434,4.744316,4.7231956,4.699957,4.6795673,4.657455,4.6382165,4.6167083,4.597881,4.5808654,4.5632443,4.5449686,4.527552,4.5120034,4.4953165,4.4791036,4.463747,4.4498053
4.00946,3.9776921,3.944716,3.9169466,3.8889496,3.8634808,3.8499656,3.8289094,3.808683,3.7960293,3.7827785,3.7775142,3.773253,3.8139358,3.8567472,3.9103484,3.95847,3.998571,4.036371,4.0700274,4.102894,4.1355386,4.1597624,4.1834316,4.2057033,4.2251153,4.2439303,4.2623677,4.2770534,4.291366,4.304231,4.3140483,4.324431,4.334809,4.343095,4.3502164,4.356228,4.3617506,4.366366,4.3686094,4.370124,4.370693,4.369833,4.3691354,4.367957,4.3652973,4.361573,4.3574767,4.3536615,4.349993,4.343574,4.338148,4.3309193,4.3245754,4.3172255,4.3107834,4.302515,4.296598,4.2888875,4.2804337
4.4723835,4.4391026,4.4070573,4.375482,4.3501906,4.3218875,4.2953124,4.272335,4.247415,4.2300506,4.213851,4.1976347,4.1429825,4.1311774,4.1406503,4.1524506,4.16769,4.1806617,4.194007,4.2049136,4.218875,4.2255063,4.233024,4.2403307,4.249851,4.252669,4.2583356,4.264063,4.2691603,4.2740774,4.2769012,4.2795973,4.283921,4.2859497,4.288457,4.290157,4.291902,4.2935166,4.2927017,4.291915,4.290207,4.288419,4.2852793,4.281685,4.277974,4.273169,4.268538,4.262618,4.2570086,4.2507925,4.2445655,4.237201,4.22865,4.222388,4.2142425,4.2066445,4.198991,4.1916375,4.183635,4.1749697
4.6496654,4.6204762,4.5999994,4.571571,4.5576687,4.5288196,4.497659,4.48821,4.464688,4.444814,4.437833,4.420029,4.361113,4.3373075,4.3360486,4.3310738,4.3354974,4.336693,4.337949,4.3347836,4.3410115,4.3346925,4.3312025,4.3298144,4.3321443,4.325275,4.3205037,4.3183246,4.3154244,4.3143015,4.3064466,4.3027706,4.30043,4.295869,4.292283,4.287493,4.284737,4.2815065,4.2745667,4.269234,4.2627077,4.2568755,4.2498307,4.2416186,4.233941,4.2269235,4.218875,4.2107034,4.202606,4.1943426,4.1858406,4.1764994,4.1660833,4.1594043,4.150478,4.140888,4.1338344,4.1250925,4.117052,4.1079607
5.842075,5.8868027,5.9277577,5.9626465,6.0011177,6.0255356,6.0472326,6.0747385,6.08515,6.100302,6.117664,6.1256027,6.1420736,6.1200633,6.080945,6.027913,5.974122,5.910281,5.8474183,5.7810407,5.7222614,5.656369,5.5919065,5.528306,5.468502,5.4041796,5.341365,5.2808166,5.220709,5.1629133,5.103297,5.04594,4.992354,4.9386973,4.885871,4.8355184,4.78705,4.7406893,4.692387,4.6484413,4.6069317,4.56559,4.527175,4.487829,4.4524617,4.4190454,4.386767,4.3571105,4.3271236,4.30144,4.274682,4.2497153,4.2257495,4.2054286,4.184897,4.1655083,4.149062,4.1326094,4.1166725,4.100785
0.5460005,0.53917074,0.53640795,0.53088546,0.5353241,0.5429194,0.55896974,0.5879524,0.62105584,0.6525817,0.69582343,0.7390597,1.0381014,1.3519721,1.6466775,1.9152234,2.1586685,2.3814964,2.5816324,2.7651033,2.9331374,3.086727,3.2287312,3.358603,3.4799395,3.5910778,3.6914794,3.784717,3.869973,3.9475741,4.0171566,4.082428,4.1408787,4.1930985,4.2410088,4.283434,4.321999,4.356298,4.386803,4.4140773,4.437802,4.459238,4.4780354,4.4931498,4.507131,4.51896,4.528529,4.5362444,4.543247,4.5483313,4.5520906,4.556235,4.557897,4.5577183,4.559001,4.5581064,4.557424,4.5549817,4.5523424,4.549539
5.2374663,5.2276454,5.2211194,5.209346,5.20228,5.188442,5.1736865,5.167086,5.1551504,5.1381245,5.130192,5.1188927,5.0606236,5.0209317,4.9918427,4.9652495,4.945003,4.925677,4.9048877,4.883289,4.8624587,4.840866,4.818759,4.7986975,4.7782,4.756435,4.734233,4.7139206,4.6934795,4.6749444,4.6536756,4.63488,4.6167417,4.598256,4.580609,4.562534,4.545785,4.52815,4.5106525,4.4943047,4.475974,4.4594336,4.442584,4.4251256,4.4095464,4.393598,4.377654,4.3617682,4.3474417,4.332461,4.317882,4.303995,4.289217,4.277023,4.2638464,4.251096,4.239678,4.22744,4.2161016,4.2047396
4.812628,4.7952995,4.775408,4.762535,4.7428484,4.73732,4.732462,4.7214127,4.7205048,4.7115498,4.7007017,4.6995277,4.6876583,4.6936,4.700075,4.713741,4.72437,4.736901,4.7451916,4.7540493,4.7525034,4.758833,4.760743,4.762091,4.7584724,4.7593274,4.7584915,4.7566137,4.7547035,4.7529283,4.7528834,4.751257,4.7490344,4.747117,4.7446523,4.7424397,4.738461,4.7325606,4.730079,4.72556,4.718022,4.711905,4.7043705,4.6973543,4.690193,4.680127,4.670738,4.6594706,4.65063,4.639006,4.6281853,4.6183734,4.606596,4.5949626,4.58308,4.5721483,4.5595746,4.547626,4.5356336,4.5243692
4.335971,4.3063354,4.2853985,4.2579994,4.246046,4.214718,4.18648,4.1830535,4.1578674,4.139172,4.135715,4.123176,4.0854897,4.0850005,4.0978003,4.1071334,4.1256537,4.1342707,4.1428037,4.1439753,4.1577024,4.1593103,4.158861,4.1626797,4.17009,4.167389,4.1669116,4.170132,4.1704173,4.1736455,4.1683536,4.16731,4.1674967,4.167293,4.1666613,4.1643476,4.165199,4.165271,4.1614666,4.158321,4.1547685,4.151627,4.1472893,4.1415668,4.136473,4.132327,4.1260905,4.1200595,4.114188,4.1089244,4.101323,4.0936685,4.084271,4.0795946,4.0723853,4.0637193,4.05821,4.051209,4.0445085,4.0363665
