3M,6M,1Y,2Y,5Y,10Y,15Y,20Y,30Y
0.25493768,0.2695366,0.26994327,0.25578067,0.43408123,1.4438009,2.0694652,2.257396,2.6184826
0.255298,0.2823857,0.2755399,0.24846074,0.9669545,2.3538976,2.8656592,3.0241685,3.160394
0.24852613,0.26264644,0.2639204,0.24031937,0.41434538,1.400819,1.9967588,2.1897192,2.56028
0.24858728,0.263368,0.26495305,0.24287309,0.42555395,1.4181057,2.0308518,2.2239563,2.5924451
0.24398282,0.25857317,0.26067635,0.23097572,0.4224912,1.403218,1.9858456,2.1942046,2.563599
0.23312327,0.24520914,0.24770468,0.19342701,0.40125886,1.380735,1.8398999,2.0810986,2.4468346
0.25524408,0.26871094,0.2681147,0.25092876,0.4159779,1.4106768,2.0032384,2.1934757,2.5531678
0.24774505,0.26221007,0.26376945,0.2395915,0.43162334,1.4217157,2.0158222,2.2216885,2.5848625
0.24124767,0.2547594,0.25674355,0.21946208,0.41521928,1.3984029,1.9389491,2.154518,2.5207486
0.247276,0.26119962,0.26231357,0.23619606,0.42656094,1.4164203,1.9927628,2.1910768,2.5550258
0.2571142,0.27112868,0.27059573,0.2569716,0.42597023,1.4306662,2.0420141,2.2336636,2.5907848
0.25441933,0.27004752,0.27040872,0.25655678,0.46342415,1.488904,2.1224735,2.309622,2.6610293
0.24646649,0.26004684,0.26171014,0.2330911,0.4331656,1.4322342,1.9907968,2.2113159,2.570647
0.2581586,0.2725094,0.27189946,0.26091802,0.43453997,1.4442447,2.068737,2.25466,2.6111116
0.25598362,0.28411058,0.27701843,0.24910791,1.0029131,2.4246523,2.926222,3.074124,3.200017
0.24924442,0.28250268,0.28281456,0.24751058,1.0743061,2.668613,3.1274292,3.3278847,3.4438162
0.2416462,0.255716,0.2581544,0.22349651,0.41456547,1.3970466,1.960732,2.1727922,2.542593
0.25260082,0.28377128,0.2806836,0.24779005,1.0589725,2.5875697,3.0569692,3.2370405,3.3526192
0.24436617,0.25912696,0.2613712,0.23349293,0.4226181,1.4078041,2.0048707,2.200737,2.5727944
0.23555268,0.24711756,0.2487995,0.1973974,0.4116404,1.3948659,1.8444324,2.081855,2.4426935
0.2545754,0.28179622,0.27536803,0.24818431,0.95096123,2.3303738,2.850255,3.0040827,3.1484406
0.25464445,0.28273267,0.276525,0.24949622,0.9747682,2.3747525,2.8914015,3.0427818,3.1820552
0.2641508,0.2794923,0.27582377,0.26853415,0.48723426,1.5436578,2.159972,2.3178415,2.6440854
0.28322038,0.29540536,0.28651217,0.2940881,0.42448288,1.4724567,2.067853,2.2097232,2.5315866
0.2519989,0.26720124,0.26807004,0.25009057,0.44950843,1.4663389,2.087713,2.2771316,2.636793
0.24713899,0.26112586,0.2625276,0.23617028,0.4246657,1.4186486,1.9990771,2.200881,2.5656877
0.2529546,0.28222162,0.2778476,0.24881655,0.9917005,2.4402354,2.9444761,3.107647,3.2423284
0.23989135,0.25384808,0.25631854,0.21874902,0.4110586,1.3857822,1.9367938,2.1507058,2.5223582
0.2476453,0.26238653,0.26472658,0.24123514,0.44186872,1.4542967,2.058499,2.2633433,2.627361
0.2695545,0.28345698,0.2792624,0.27802032,0.43411863,1.4606102,2.087328,2.2535534,2.59406
0.28205967,0.29377398,0.28501436,0.29043928,0.4170595,1.4579704,2.039032,2.1878695,2.510099
0.25519922,0.2839862,0.27794603,0.2483435,1.0262245,2.4775286,2.9635491,3.1308255,3.250166
0.23811735,0.25144893,0.25371927,0.21113338,0.40983015,1.384883,1.9045447,2.128791,2.49664
0.24844024,0.2627515,0.26393837,0.23972477,0.42386824,1.4159142,2.0081885,2.2085466,2.5731723
0.2290183,0.23774256,0.23892231,0.16807422,0.4045608,1.3817425,1.69557,1.99247,2.337626
0.25198022,0.26776317,0.26879293,0.2513185,0.4859464,1.5372088,2.1578844,2.344741,2.689932
0.2532584,0.28238916,0.277268,0.2486153,0.9844178,2.4089239,2.9213219,3.0787568,3.2171834
0.25160763,0.26521182,0.26531368,0.24271029,0.4265359,1.4301708,2.0049765,2.2028246,2.560779
0.22438824,0.23317875,0.23567952,0.15975137,0.39288324,1.3780047,1.6970291,1.9787836,2.3369992
0.25499696,0.2847667,0.2785976,0.24948,1.0482137,2.5149908,3.0051012,3.1718693,3.2812498
0.25336897,0.2835451,0.27883795,0.24862987,1.0318291,2.5050488,2.9965122,3.1669474,3.2871866
0.26540688,0.27937162,0.27631727,0.27158523,0.43125096,1.4430262,2.06667,2.2440257,2.5899785
0.24693127,0.26172307,0.26387984,0.24021702,0.4302482,1.4266056,2.0359912,2.2322104,2.6014416
0.2555255,0.28336504,0.27641627,0.24869579,0.9962959,2.4034166,2.9063005,3.0676274,3.1946304
0.24327448,0.25796267,0.2604819,0.23071618,0.41907573,1.4020417,1.9949851,2.1937466,2.567192
0.24219266,0.25530365,0.2567257,0.22024539,0.41672915,1.3985875,1.9277903,2.1391952,2.5046375
0.24497834,0.2595841,0.26198322,0.23496671,0.42402208,1.4179051,2.0179884,2.2121701,2.5842707
0.25959447,0.2739538,0.27226093,0.2605815,0.42844903,1.42751,2.0437026,2.2301612,2.5830789
0.24127468,0.25358704,0.25454375,0.21371779,0.42031455,1.4004586,1.8909116,2.118792,2.4764075
0.27822825,0.29139936,0.28373116,0.28511408,0.4492756,1.5030864,2.0868604,2.2510226,2.568422
