3M,6M,1Y,2Y,5Y,10Y,15Y,20Y,30Y
0.23952581,0.26989117,0.27100798,0.2775268,0.39032757,1.3234291,1.935429,2.0905218,2.4166136
0.25991812,0.28039068,0.28003398,0.21953616,0.900931,2.4114077,2.9322972,3.0809877,3.2109675
0.2302126,0.260829,0.26022843,0.27077025,0.37406406,1.3116637,1.9060842,2.072673,2.3887746
0.24034673,0.26968664,0.27814746,0.26837176,0.39201492,1.3401787,1.9224279,2.0754952,2.4206269
0.24049775,0.24976943,0.25978515,0.16031748,0.48123926,1.4107541,1.9736707,2.1676133,2.5850701
0.22890882,0.24075955,0.2305965,0.18690218,0.41707015,1.4324822,1.6957445,2.0401986,2.3845081
0.23952581,0.26989117,0.27100798,0.2775268,0.3903275,1.3234292,1.9354289,2.0905216,2.4166136
0.24881247,0.2590872,0.25983155,0.28857192,0.33900854,1.3561585,1.9596907,2.1385446,2.4578564
0.2389469,0.2594238,0.26082784,0.19712804,0.4723097,1.4304838,2.0609205,2.230687,2.6282706
0.24012621,0.25985655,0.2694431,0.24714856,0.36916155,1.3119328,1.8811067,2.0812387,2.3986468
0.24911922,0.2706645,0.27077213,0.27766478,0.38353443,1.3171971,1.9131776,2.0730305,2.4215055
0.26038504,0.27035615,0.27117756,0.26947632,0.47140694,1.5900526,2.2488844,2.4438803,2.8041523
0.23988941,0.24964657,0.26056698,0.27038053,0.31721517,1.3480767,1.9688312,2.1531978,2.5309043
0.25860727,0.25985023,0.26948452,0.2762907,0.46547726,1.5469692,2.2610142,2.4697084,2.805289
0.2600382,0.28921303,0.27990708,0.19777815,0.8162691,2.4428837,2.9393282,3.043807,3.1529741
0.23974693,0.28040695,0.27966225,0.26034567,1.1199956,2.669472,3.1301026,3.4186645,3.5034068
0.2403675,0.25950962,0.2592254,0.16299148,0.46444005,1.3795398,1.9473072,2.14346,2.5343192
0.26043525,0.27996033,0.27996558,0.21876645,0.95846474,2.484436,3.0438604,3.188767,3.290644
0.249946,0.2601121,0.26144865,0.19853902,0.38983876,1.5106668,2.167469,2.3745093,2.7636704
0.23091018,0.250169,0.23996997,0.19027844,0.39540923,1.3752687,1.7227554,2.0405538,2.3598783
0.2605275,0.29100853,0.28002632,0.19228667,0.8965946,2.489002,2.964035,3.0530953,3.1254108
0.24971516,0.27087456,0.2592321,0.2927106,1.0680084,2.1324258,2.6833863,2.8096166,3.049262
0.29061383,0.29996505,0.2796635,0.2719493,0.4172811,1.547759,2.0814774,2.27457,2.5600922
0.289657,0.30019706,0.29014513,0.30972967,0.40976375,1.4401269,1.9732393,2.1616254,2.4758093
0.2600297,0.26982749,0.2707545,0.19062278,0.36325416,1.5616131,2.2219622,2.4335763,2.7841682
0.23978236,0.24994549,0.26020053,0.16775595,0.4898747,1.3963046,1.9600489,2.157282,2.5672822
0.25991812,0.28039068,0.28003398,0.21953616,0.900931,2.4114077,2.9322972,3.0809877,3.2109675
0.24032171,0.249798,0.2598572,0.16030523,0.48021123,1.4106011,1.9773169,2.1686292,2.587823
0.2591687,0.26211503,0.26945013,0.18887201,0.32961085,1.6098614,2.210243,2.4374974,2.7711792
0.28913552,0.28981617,0.2804023,0.27905422,0.45603463,1.5345806,2.0780911,2.2164216,2.5517242
0.2896859,0.30023608,0.2896621,0.25988355,0.4194263,1.454769,2.0111527,2.180517,2.5044804
0.26986963,0.28921154,0.29043198,0.2107561,1.1490127,2.4956076,2.8612561,2.9104567,2.9506483
0.23988941,0.24964657,0.26056698,0.27038056,0.31721517,1.3480767,1.9688311,2.1531978,2.530904
0.23897296,0.24984783,0.2601033,0.268008,0.32622606,1.3528353,1.9758615,2.1579313,2.538429
0.22890882,0.24075955,0.2305965,0.1869022,0.4170703,1.4324827,1.6957445,2.0401986,2.3845081
0.25115353,0.27157646,0.2686979,0.20882753,0.41656402,1.5530314,2.2100022,2.384905,2.769431
0.25986573,0.27950585,0.28036946,0.22719103,0.9461696,2.4416401,2.971634,3.1258273,3.2524805
0.24022096,0.25974512,0.26945955,0.24764082,0.37142664,1.3181661,1.8919916,2.0911539,2.409438
0.22029492,0.21970902,0.22979955,0.16004425,0.4111601,1.3064299,1.5508986,1.8924825,2.2845628
0.26880547,0.29108715,0.28048223,0.31520006,1.4356747,2.6890712,2.9702008,3.0734222,3.1262596
0.25930944,0.2805218,0.2795468,0.22194052,0.8333311,2.3968,2.9407537,3.101797,3.2557645
0.28951147,0.30036816,0.28058574,0.25817612,0.4267153,1.4790903,2.0650153,2.2306442,2.5288792
0.24036354,0.25996044,0.27047056,0.25860482,0.3748852,1.3083376,1.8930546,2.0714939,2.3985007
0.25932032,0.28090513,0.27972528,0.22077954,0.8539815,2.4362648,2.962389,3.1271563,3.2668772
0.25002995,0.25929242,0.25152338,0.2085166,0.40753835,1.4009228,1.759441,2.0756505,2.3969498
0.23911315,0.24997763,0.2507133,0.20088929,0.503723,1.4628546,2.0079596,2.220081,2.6026578
0.24008709,0.2693281,0.26917538,0.25812876,0.39474022,1.3034369,1.9332278,2.0889285,2.4047444
0.2889909,0.29120123,0.279778,0.2721368,0.4411996,1.5387713,2.0701032,2.2188,2.5586085
0.2600111,0.26049408,0.25941908,0.17072101,0.38530934,1.4189827,1.7216392,2.0707612,2.447435
0.2896859,0.30023608,0.2896621,0.25988355,0.41942632,1.4547691,2.0111527,2.180517,2.5044804
0.23854822,0.26038328,0.27073202,0.27840462,0.37735718,1.2900758,1.9129856,2.059592,2.3948877
0.2596546,0.28868896,0.27964947,0.19837484,0.7770653,2.409038,2.9438686,3.0421224,3.1718023
0.2402914,0.24950212,0.26028568,0.15761527,0.47221735,1.383642,1.9367137,2.1347013,2.5533974
