1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
0.13749707,0.1847564,0.28556347,0.38426626,0.52669,0.6951767,1.0655558,1.4263797,1.8320787,2.4070086,2.7497294
0.05903685,0.084386826,0.20015025,0.32717752,0.5001025,0.646719,0.9975424,1.3649215,1.755752,2.316891,2.6905408
4.511085,4.55392,4.63855,4.5803895,4.429653,4.4273505,4.4827023,4.556558,4.6340976,4.9141135,4.8461933
0.278247,0.32116842,0.42722654,0.512038,0.6628494,0.7512922,1.0908663,1.481523,1.8607249,2.4219668,2.7729177
2.5042458,2.528874,2.737019,2.8234625,2.8342733,2.9443746,3.3820848,3.7318456,4.0790644,4.665078,4.590459
1.3106799,1.4130539,1.6792781,1.7859365,1.9185772,2.106724,2.672019,3.074185,3.5770388,4.2347426,4.21376
0.13029611,0.17929208,0.28680634,0.37973952,0.51777804,0.65774274,1.0033364,1.3650562,1.7617211,2.3171408,2.6875978
1.3514893,1.476016,1.7184948,1.7729573,1.8871567,2.0536783,2.5947728,2.972566,3.489119,4.1307693,4.122876
0.10738742,0.14444947,0.25541925,0.3614794,0.5202168,0.63500047,0.9649432,1.334238,1.7150215,2.2653909,2.6501822
1.4225808,1.5196886,1.789591,1.8925874,2.0088034,2.1816795,2.7291706,3.1182134,3.6122482,4.2574754,4.2373157
0.12745965,0.21707344,0.34463215,0.4500903,0.5978372,0.81850886,1.2378193,1.5876114,2.025465,2.605392,2.8925393
2.409089,2.4661298,2.6945512,2.756898,2.7711346,2.8922694,3.3304763,3.6529653,4.0410075,4.6154532,4.5537133
0.21512341,0.26194215,0.35276008,0.43052745,0.5590857,0.64751136,0.9551747,1.331241,1.693083,2.2239356,2.6177835
1.9642845,2.08039,2.4225652,2.5835092,2.6532736,2.7775624,3.2282653,3.5589569,3.979959,4.5738826,4.5139713
1.7297988,1.8371437,2.0860932,2.1647892,2.2514808,2.4093304,2.9168456,3.2827826,3.736611,4.3454003,4.310279
4.0180745,4.0422564,4.153082,4.135118,3.9931376,4.0304775,4.1843963,4.3273816,4.469407,4.83247,4.769482
0.24044359,0.26666355,0.35848677,0.4446224,0.5869087,0.67630947,0.99160695,1.369318,1.7368101,2.2834158,2.6680064
0.22107255,0.26285994,0.3948784,0.512553,0.69427896,0.80085886,1.1682726,1.5699377,1.9569445,2.5282006,2.8566992
0.10787523,0.18149686,0.29683185,0.3968991,0.5401479,0.7408284,1.1363163,1.4890759,1.9140037,2.4893408,2.8079865
4.833146,4.9252872,5.030958,4.9166713,4.717236,4.688076,4.6825767,4.680007,4.761678,4.9768167,4.9056664
1.5871369,1.6588558,1.9270996,2.024926,2.1391733,2.3008406,2.8481894,3.2333162,3.7320285,4.391626,4.353695
0.24931812,0.26098478,0.3399192,0.41348684,0.5391749,0.6412494,0.945948,1.3011179,1.6823497,2.217655,2.612306
0.106969714,0.15199637,0.27169347,0.38563228,0.52562094,0.65216315,0.9936749,1.3717222,1.7484064,2.297485,2.6736221
0.23648858,0.2722895,0.36707425,0.45464015,0.58097744,0.6586304,0.9570998,1.3352488,1.6838175,2.2142317,2.6134467
0.2583785,0.29908574,0.38539016,0.45603967,0.5669323,0.6575018,0.9678582,1.3444494,1.7083834,2.2501512,2.6401904
3.7624688,3.7816715,3.9168332,3.947563,3.84939,3.8948007,4.0876474,4.280871,4.4234495,4.8146315,4.753038
4.888502,5.004344,5.1122026,4.9838014,4.790516,4.7661133,4.7503233,4.719563,4.8085766,5.000259,4.91861
5.2246065,5.2852364,5.3722944,5.246461,5.023524,4.920083,4.8398013,4.84609,4.8591404,5.0705023,5.0063753
0.1852653,0.22451305,0.3332138,0.44354343,0.57723737,0.7133075,1.0620687,1.4354532,1.811929,2.3719492,2.7283711
0.19453955,0.25265646,0.33942497,0.41402316,0.5423565,0.6662781,1.003359,1.3739705,1.7560443,2.3074222,2.6733198
1.7908556,1.877176,2.2744043,2.5085607,2.566523,2.6543968,3.1073349,3.461017,3.8987503,4.540743,4.482881
0.13021684,0.1792177,0.28338003,0.37934685,0.51336336,0.6326258,0.9655112,1.340022,1.716248,2.2671995,2.648083
2.295374,2.3729763,2.604464,2.660901,2.6885834,2.815525,3.2669168,3.5967557,3.999199,4.576211,4.5148487
0.93596864,1.041312,1.342401,1.5203995,1.6961132,1.8971181,2.4599154,2.870015,3.3720345,4.0357375,4.046979
2.0162766,2.1141615,2.3668756,2.433827,2.511359,2.6647847,3.1637638,3.5080705,3.9619043,4.568356,4.49778
1.1281224,1.2440838,1.4621955,1.5506003,1.7247378,1.9318154,2.463931,2.8322115,3.3294275,3.9606175,3.9796228
4.4340606,4.454689,4.5562186,4.525627,4.3386297,4.368822,4.4465084,4.52076,4.6110115,4.9105177,4.850795
4.7918324,4.821587,4.9355288,4.8920984,4.646233,4.683881,4.7001643,4.688281,4.7574577,4.992451,4.9314923
1.935582,2.0355654,2.306334,2.3834124,2.4492135,2.601944,3.0913029,3.4320867,3.8834286,4.479355,4.4352665
1.6738303,1.7836623,2.0373514,2.1243343,2.2372308,2.421626,2.9366522,3.2876053,3.7561896,4.3645973,4.327042
0.08605766,0.11798239,0.2461127,0.39329183,0.53131855,0.6706902,1.035643,1.4421126,1.8022261,2.378222,2.736837
0.21774077,0.26754582,0.35534072,0.42745948,0.55163205,0.6674124,0.98927975,1.3507241,1.7305849,2.2681088,2.6486888
0.07408607,0.14825165,0.27177835,0.38470268,0.5392848,0.72540295,1.1169734,1.4803703,1.8941463,2.464897,2.7878962
0.11785996,0.17905116,0.32258546,0.46760964,0.63666177,0.81245923,1.2415742,1.6567261,2.0604153,2.6658025,2.948641
4.380206,4.369687,4.474755,4.484284,4.2978325,4.3563204,4.454298,4.5346775,4.6212735,4.9359207,4.871956
1.934502,2.0591974,2.3301687,2.3893394,2.4771943,2.6423144,3.1431036,3.470303,3.9462106,4.5375013,4.4751577
0.18744993,0.25909126,0.39981365,0.5226991,0.6863693,0.8991277,1.3495792,1.7369027,2.1736805,2.7803288,3.0334744
1.7297027,1.8585811,2.1243258,2.190026,2.3149736,2.4982316,3.0295985,3.372189,3.87363,4.489667,4.4236956
4.174087,4.221738,4.346868,4.32146,4.1744347,4.220628,4.341599,4.4328594,4.5692706,4.8899665,4.823028
0.1159184,0.18600857,0.29497707,0.3838588,0.5238098,0.700292,1.0642097,1.4052023,1.8207784,2.3732142,2.7214844
2.4046974,2.4434643,2.650161,2.7305236,2.7598214,2.8811183,3.3301096,3.6795924,4.0437365,4.6320987,4.5580115
0.44784677,0.56398165,0.73985124,0.83009917,1.0195637,1.2287055,1.7343457,2.1147604,2.61348,3.2445965,3.3921068
0.047232628,0.11073661,0.23468435,0.35667408,0.4841684,0.66079617,1.0389171,1.4140598,1.8084109,2.37778,2.7267873
3.1387906,3.2018874,3.4121451,3.4416976,3.3736782,3.4483361,3.7548442,3.9938354,4.274862,4.7416925,4.6814046
3.2700746,3.3351364,3.5012207,3.502857,3.450839,3.513734,3.7926486,4.01884,4.2767982,4.726059,4.660511
0.19215274,0.24720252,0.34164584,0.42573595,0.56291926,0.6810827,1.0193335,1.3970721,1.7746254,2.3245273,2.688748
3.1657772,3.1653166,3.3198166,3.3455288,3.2663803,3.3285327,3.6530807,3.9316463,4.2028437,4.723495,4.659848
1.1840556,1.2965763,1.5307634,1.609541,1.7406212,1.925177,2.4769382,2.8669825,3.3789837,4.0309434,4.0384307
1.4631125,1.5809919,1.8406335,1.9206712,2.0492592,2.2359552,2.7937996,3.1730912,3.6843,4.3293834,4.2875905
2.8848844,2.9434218,3.1395395,3.1903276,3.1720119,3.2694514,3.622519,3.898032,4.196401,4.6968417,4.626266
