z1,z2
0.9728521,0.49970597
0.4234468,2.5793357
-2.0445995,-0.49285692
0.3253137,0.51952535
1.4909918,0.43642294
-0.58576953,0.05280138
-1.4309746,-1.8329247
0.27424422,2.6628168
1.0285758,2.271417
-1.4874359,-1.8358854
0.9429017,1.2653992
0.41549918,2.6319852
1.1139653,0.32088923
1.0138136,2.2962024
0.043981194,2.9863315
-0.5505861,0.03530998
-0.59495705,0.08801347
0.4726794,2.5555072
0.22690746,0.6921709
0.7729858,1.7943729
0.39882138,2.5238087
-0.7125643,-0.067040086
-0.73478955,0.05424535
-0.92512345,0.04006171
1.1209705,0.4414691
-0.8145458,-0.09465664
2.158618,1.0515853
0.4713739,2.33653
0.10984517,-0.094206154
-1.1009631,-1.7641493
1.6130489,0.2311824
0.7007074,1.1943655
0.08164776,0.80389965
0.6402302,0.6807
-0.87245506,-1.7278587
1.0212541,0.5025696
1.0326829,1.5953197
0.36365423,1.0124583
0.54013157,0.40350762
-1.2780714,0.060702246
2.1148424,0.928569
2.1706078,0.9549728
1.6451819,1.4857045
-1.1018178,0.05319709
1.1834848,2.079353
-0.72010076,-0.037869252
-0.7226706,0.049181048
0.21669601,0.23748118
0.30313015,0.51908046
-0.12892994,-0.038387384
-1.5682031,-1.9270506
-0.034552604,-0.049197078
1.7762674,1.570496
0.104521096,0.5524208
0.5955696,1.9272074
1.3255491,0.28711852
0.7350272,1.8743
0.107385516,0.7435468
-0.7490499,0.057646763
1.010218,2.3435154
-0.9053912,-1.7442352
0.02228013,-0.07456022
1.0059214,0.45648688
0.621022,1.9149191
1.0243764,1.4189378
-1.420259,-1.8267576
0.49828288,1.8969702
-1.6132194,-0.45662016
1.1085573,1.9690562
-2.2632675,-0.41209155
-0.8758829,-1.4156183
-0.71395975,-0.21014829
0.54432243,1.1789668
0.06942623,2.9366088
1.1678089,0.4922651
-1.3301839,-1.7770317
0.5025804,1.0495318
0.4239772,0.548315
-1.1334224,-1.8676151
0.28499797,0.6659403
0.67796695,1.5513846
-1.3325019,-1.8395789
1.5675975,1.7155538
0.3052055,0.4307198
0.59771925,1.9025422
-0.43883124,0.030383524
1.6068993,1.2741814
0.4417361,0.62293595
1.256967,0.47474432
0.41308042,2.632006
-0.9257781,0.036150116
0.062880985,0.73926467
-0.53853583,0.056767795
0.7270028,0.541486
0.54346037,1.7744676
-1.3719631,-1.8908651
0.92544436,2.3056602
0.69314265,1.8497568
-1.4945134,-1.852519
1.1912996,2.0236893
0.8419484,0.41959414
0.12015534,0.7650022
0.5806239,0.533934
0.5801602,1.9289482
1.7366377,1.5852466
-0.9808566,-1.7799715
0.21217218,-0.24889491
-0.24789496,0.020347673
-1.2214191,-0.09612259
0.18948156,0.49775463
1.3329002,1.8361486
0.48882464,2.549201
-1.225564,0.054808166
-2.232911,-0.47110686
0.46275374,2.4866047
-1.1207825,-0.03522052
0.3044431,2.634374
-0.6339566,0.046167705
0.99227375,0.5299163
-0.6170602,0.020508755
1.6148212,1.6477745
-0.039528772,3.118005
0.14065924,-0.13683744
-0.7415999,0.015644554
0.87641484,0.54993635
-1.1591462,-1.8687851
-0.05113754,-0.14309514
-0.70855904,0.0484335
0.411915,1.6801283
1.9847215,0.88543814
0.68640524,1.9134551
0.40645182,0.60591024
0.8732009,1.233238
1.0134158,0.48207575
-1.0254561,-1.8090942
-0.8639723,0.047317717
0.20606369,0.9997588
1.2135277,1.3342755
0.21822932,0.514442
-1.2934431,0.04195187
0.8205531,1.689423
0.93410194,0.4492461
-0.78078437,0.04152788
0.84403723,0.8956028
0.3820213,0.6212232
0.6533101,1.6575663
1.0101558,0.6887319
-0.83509123,0.0433894
0.56421363,1.1103498
1.6550373,0.7975071
0.06506961,0.7777961
0.9752171,1.3519095
-0.69012773,0.090802744
0.9797667,2.2964478
1.6797566,1.3942277
1.4750953,0.30030277
-2.5652716,-0.8762834
0.38838091,1.4935635
-1.2527775,-1.8266791
0.47311628,2.5560162
0.28420508,0.20045921
-1.1041423,0.05579407
-0.14391533,-0.42648065
1.0364438,0.43069157
0.48656994,0.58746713
0.5391802,1.9330027
1.5266845,1.8586022
1.0140748,0.43485275
-1.4554286,-1.8829868
-1.4317523,-1.8642508
0.45704114,2.3728225
0.80558115,1.8820045
-0.4391268,0.04715718
-0.85134745,0.03770003
0.15365438,2.833247
-1.1726992,-1.8016539
0.6952294,1.769752
-1.0228596,-0.11859673
0.51699597,0.5770001
-0.77245766,-0.052149955
0.3153394,1.0379621
2.0920372,1.7267787
0.44215858,1.8010744
-0.4610052,0.055970144
1.6411165,0.70982504
0.35750604,2.7348092
-0.97931147,0.03632797
0.5523716,0.52644455
1.3265245,0.9320416
0.36146787,2.6941028
-1.0799943,-1.8049265
0.555779,0.97924167
0.70248353,0.607959
0.88381755,1.3523173
0.14023143,0.5428088
0.15586688,-0.16611905
0.187738,0.5377564
0.8425138,0.5915074
1.5751225,1.7199322
0.48890176,0.55043626
0.8927255,1.4931558
-0.0134469215,-0.1922873
-0.22134954,-0.4209222
-1.0771459,-1.7410134
-0.8758829,-1.4156183
0.94654065,0.6548493
1.5119373,0.40096983
-0.790816,0.04781511
0.23823132,0.51820874
0.43618038,2.618178
0.59906965,0.8667089
-1.1304915,0.046838354
1.2626654,1.3224722
0.99138504,1.4841433
-0.12862644,0.84616804
0.6901602,2.3592973
-1.1639816,-0.21063237
1.250364,0.48949963
-1.1364512,0.06379533
-1.156033,-1.8613104
0.8412788,1.5238984
-1.0103719,-0.053529948
0.4064404,1.6688752
0.85346633,0.57770544
0.99010295,2.385986
0.3424377,2.6032906
-1.3389663,0.035691943
0.5951873,2.4391806
1.4502789,0.43871498
0.14157003,2.7787113
0.38781196,1.6511693
0.48154727,0.3019539
-1.4641168,-0.042270012
0.954383,1.3573229
-1.2194648,-1.8661976
0.9077003,1.3878815
0.90826976,1.244414
0.5828625,1.0224695
0.3883013,1.1462928
0.42513755,2.6344342
-1.264235,0.051551167
1.7375534,1.1822305
0.1582649,0.45907408
-2.329273,-0.8000793
-1.099431,-1.8107897
0.34039962,1.1814561
-1.4735116,-1.89452
-0.83396256,0.0356712
0.72504014,0.5600518
1.1215502,0.5816408
0.9931262,1.225077
1.6580732,0.8666959
-0.5353701,0.04351752
1.97087,1.5925366
-0.92122006,-1.7670152
-0.013198946,3.0757725
1.7294589,1.2255118
0.36869943,1.4537598
-0.061495803,0.94579387
0.33495283,0.53998864
-1.1192507,0.05804554
1.1310768,2.1936262
1.2504148,0.52174467
1.9767842,1.2777777
-1.0206692,0.039213624
-1.4844801,-0.46387565
1.0637469,0.52744913
-1.4764444,-1.8242904
0.47639474,1.1318042
0.8670227,1.6398143
-0.64748895,0.050743576
-1.34895,-0.0013617203
1.118038,2.1571846
1.2173654,0.7071904
-0.93288845,0.033552345
-0.92329454,-0.23972799
-0.108430065,0.43281516
-1.6214231,-0.04263667
-0.8819146,0.069375336
-1.2426866,-0.025986105
-2.6303854,-0.84756577
-0.27541205,0.03290754
0.96327984,2.3621814
1.4050022,1.7384998
-1.5289567,-0.05433002
-0.6265908,0.07175386
1.0225639,1.3591893
1.9683996,0.7293731
1.2047375,0.50106764
-1.0392754,0.06471206
0.153298,0.5578533
-0.66396636,0.08609137
1.1519632,2.163424
1.2112497,2.1611376
1.1500052,0.50373
-0.97238654,-1.8083922
0.8376502,1.6507922
-0.8114549,-0.058712464
-1.1732378,-1.8037885
-1.1140698,-1.7557038
-0.6326996,-0.04742013
