z1,z2
-1.2793458,1.0798092
3.1647305,0.42444956
-1.383709,0.6569297
-1.5586587,1.4193984
-1.0218049,-3.4370973
-2.3542967,-3.860944
-1.279346,1.0798092
-0.9091016,0.51640356
-0.81440145,-2.455627
-1.2628919,0.95458555
-1.1801894,1.1068459
0.25571972,-0.22178309
-1.0403951,0.21026777
0.41113833,-0.5390517
2.8526788,0.61466056
4.7891603,-0.09192366
-0.9581311,-3.003821
3.547933,0.40508002
-0.48160106,-2.5876253
-1.9824573,-3.2513895
2.9686935,0.6797163
2.9123042,-1.8294413
-0.9710224,1.3287244
-1.9589413,2.4319224
-0.057393666,-1.8828154
-1.028846,-3.1646357
3.1647305,0.42444956
-1.018436,-3.4429154
-0.09445862,-2.1463459
-0.88722414,1.1902412
-1.6754243,2.1272185
1.208704,1.2226943
-1.040395,0.21026768
-1.0213417,0.1505306
-2.3542974,-3.8609436
-0.049288787,-1.5642532
3.2750535,0.49170774
-1.2361387,0.9173886
-2.8610826,-4.7884164
0.43300998,1.9950249
3.1786249,0.31528306
-1.0542182,1.4023968
-1.2559421,0.96063733
3.2986417,0.32587898
-1.2521178,-1.6462522
-1.2658075,-3.089996
-1.1664289,0.9572505
-0.83874243,1.1355748
-0.9618304,-1.5742639
-1.6754245,2.1272187
-1.2282014,1.0132784
2.7877333,0.5739839
-1.0740817,-3.3182318
0.86687016,-2.235752
-0.98626506,-1.1772089
-0.49727702,-2.571929
-1.0244707,-2.426846
2.998407,0.74603325
3.1647305,0.4244495
-0.81440145,-2.455627
3.019519,0.74136204
-1.0184358,-3.442916
4.2428274,-0.24036534
-0.81063026,-3.2516193
-1.2041042,-2.9713395
2.7508373,-1.761075
-1.0542179,1.4023963
3.435962,0.9999218
-0.5444876,-2.7169023
3.0195189,0.74136204
-1.028846,-3.1646357
-1.2807525,-1.5864626
-0.2694915,-2.6551216
-2.631718,-4.2417517
-1.5849247,1.8732064
-2.1884425,-3.5204742
-0.5494604,0.1979426
-0.8771446,0.12013547
-2.173301,2.6436903
-0.7851228,0.4072215
-1.1664288,0.9572506
-0.20085308,-0.90690595
4.785566,0.020730577
2.8446023,0.57355213
2.9394207,-1.0129601
-1.2807527,-1.5864626
-1.1891048,-1.9868469
-1.0213418,0.15053084
-1.3433325,-2.9473083
3.366932,0.3513742
-1.1855898,-1.1011643
-0.47720227,-0.4245392
-1.833626,2.2644591
-0.6560313,-2.5636837
4.7494397,-0.08613787
-1.076724,0.97760963
-0.0927671,-2.252675
-0.7308441,-2.6372216
-1.2521179,-1.646252
0.8084349,-3.6480076
-1.1992279,1.1290605
-1.0403951,0.21026765
3.1272383,0.6929514
-1.4877299,-1.8308816
0.8668702,-2.235752
2.899783,0.7129758
4.120791,0.11376347
-1.2585083,-3.1059241
-2.631718,-4.2417517
-1.2345845,-1.7442808
0.30541822,-2.2536497
-2.173301,2.6436908
2.9394207,-1.0129601
-0.054784015,2.7078438
-0.9953408,1.2350368
-1.310708,0.8628129
0.32814083,1.027943
2.939421,-1.0129602
2.750837,-1.7610748
-0.4566858,0.17458017
-0.0662427,-2.2731953
-1.1268541,-1.578875
-1.106359,-1.8048176
-2.825558,-4.52732
-0.7948384,-3.3992226
-1.0059109,-2.9840686
-0.32749325,2.2183719
-1.1923795,0.9707334
4.1599503,0.10041608
-1.8543996,2.1509714
-0.05739366,-1.8828155
-1.0637922,-1.0936707
-1.8336265,2.2644594
-1.209025,0.16261695
4.1599503,0.10041617
-1.1891048,-1.9868469
-1.4261163,0.72732407
-0.9862651,-1.1772091
4.604841,0.052837603
-0.7772425,0.6503041
2.939421,-1.0129602
-1.0184358,-3.442916
2.3567421,-1.4790758
4.1207914,0.11376347
-1.0029817,0.9424709
-1.3600048,0.7145911
2.9315581,-0.9937979
2.9172294,0.63744885
-1.0043974,-2.7022727
-1.0586188,-0.07116468
-0.0433049,-1.6581557
2.3567421,-1.4790758
2.5318344,-2.164948
-0.09276709,-2.252675
0.25571972,-0.22178309
-0.79483837,-3.3992229
-1.310708,0.86281276
2.9315581,-0.9937979
0.36149606,-1.7594037
-1.2696015,0.63537276
-0.9953408,1.235037
3.3669322,0.35137373
4.578231,-0.15704782
-1.2696015,0.635373
-1.1992279,1.1290605
-1.2696015,0.635373
-1.1664288,0.9572506
-1.005911,-2.9840684
-1.269602,0.635373
-0.9618304,-1.5742639
-1.0085055,0.13804653
1.4826705,-0.83482695
-1.6754245,2.1272187
0.64648044,0.6123003
2.3567421,-1.4790758
-0.82545036,0.6997857
-1.0085055,0.13804653
-1.0542179,1.4023963
-0.09276709,-2.252675
0.8668702,-2.235752
-0.7948384,-3.3992226
-1.0043974,-2.7022727
2.708324,0.86110693
-1.0619415,-2.335454
-0.5863688,-2.591047
-0.87558055,0.48636478
2.8997824,0.7129758
4.7891607,-0.09192389
3.435962,0.9999218
-0.97249293,0.8579474
-1.0043974,-2.7022727
0.9095225,2.629369
-0.31652945,0.015963405
-0.99178773,0.8822376
-1.3433325,-2.9473083
-0.57359123,0.1822398
-1.0059108,-2.9840686
2.9172294,0.63744885
0.11839491,-0.09863365
3.0195189,0.74136204
0.09962534,-0.049696922
0.118395,-0.098633766
-0.9884243,-2.7373877
-0.7772425,0.6503041
-1.2309352,-1.7620451
-0.5494604,0.1979426
3.3466253,0.3605439
0.28808385,-0.23491012
4.048804,-0.20587203
-1.0767243,0.9776101
3.4246705,0.34045184
3.0195189,0.74136204
-0.3165294,0.015963167
-1.3122989,0.56539154
-2.2164717,2.7932565
-0.9618303,-1.574264
2.6951122,0.7011337
-0.6678423,0.3538087
-1.130522,-1.7129549
-0.7948384,-3.3992226
-2.1884427,-3.5204744
2.9315581,-0.9937979
-1.076724,0.97760963
0.09962534,-0.049696684
-1.2041043,-2.9713395
-1.040395,0.21026768
0.25571972,-0.22178309
-1.6754243,2.1272185
-1.3692149,0.7347436
-0.48160115,-2.587625
-1.3600042,0.71459115
-1.6198729,1.0627991
-1.2696015,0.63537276
-1.1454439,0.87989295
2.6951122,0.7011339
0.8084351,-3.6480076
-1.3122989,0.5653914
-1.076724,0.97760975
0.0593698,0.061412647
-0.897985,-2.6312861
-0.20085302,-0.9069059
-1.2041042,-2.9713395
-0.012758162,-1.6101022
-0.48160115,-2.587625
-1.875954,2.1720436
4.7855654,0.020730823
3.547933,0.40507966
-1.0213417,0.1505306
-0.9059867,-2.2775006
-0.77724236,0.6503042
-1.1855898,-1.1011643
-0.08148734,-2.3642232
-1.9824574,-3.2513893
3.7385428,-1.6842848
-0.64287156,-3.619704
-1.1808323,-1.9347857
2.0395007,-1.4594492
-0.88722414,1.1902413
3.2986414,0.3258788
4.120791,0.11376347
-1.4006994,-1.8212534
2.1195483,-2.312134
3.5479329,0.4050799
4.604841,0.052837603
-0.99178773,0.8822376
4.15995,0.10041621
0.09962537,-0.049696937
-1.4304872,-2.3004537
