z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.0,0.0,1.213697,0.0,2.6443164,1.7404164,1.1686956,0.0,1.4173208,0.9110023,0.0,3.376771,1.0428487
0.0,0.0,2.6348217,0.56051296,0.0737268,1.0659119,0.89660245,0.7237086,0.0,0.0,0.0,1.8734148,1.3168164
0.0,0.0,7.15287,4.0870004,0.0,4.695691,3.3619974,4.7399263,0.0,0.0,0.0,3.0818496,6.7494493
0.0,0.0,0.0,0.0,0.76261795,1.0508125,0.60741884,0.17370869,0.6014865,0.5356619,0.0,1.4595813,0.9265652
0.0,0.0,2.3386996,0.0,4.423769,2.3288639,1.8649021,0.0,2.2995627,1.418399,0.0,4.674868,1.3535547
0.0,0.0,0.90976405,1.2068013,0.0,2.8299875,0.19683848,2.0761473,0.037138358,0.0,1.1863023,0.0,2.6799054
0.0,0.0,6.115269,2.0221806,0.0,3.4132972,2.9235814,2.2478395,0.0,0.0,0.0,3.926771,4.7124114
0.0,0.0,3.15169,0.7365653,0.0,1.4861218,1.2572005,0.9204686,0.0,0.0,0.0,2.11817,1.8960449
0.0,0.0,1.4760561,0.0036290316,1.3426143,0.11716521,0.30398375,0.0,0.28312302,0.4522142,0.0,1.7677649,0.28765866
0.0,0.0,6.25511,2.1101816,0.0,3.5198538,3.0245998,2.335825,0.0,0.0,0.0,4.0217924,4.9035883
0.0,0.0,1.2375363,0.0,1.8871624,0.8971652,0.76213676,0.0,0.82674897,0.6447652,0.0,2.3103738,0.6209952
0.0,0.0,2.7528112,0.5952895,0.061195564,1.121843,0.9434607,0.76469374,0.0,0.0,0.0,1.9261163,1.3787609
0.0,0.0,1.3593149,0.0,3.4388719,2.1424348,1.7426591,0.0,2.1035995,1.2061895,0.0,3.6641493,1.3697597
0.0,0.0,1.4912122,0.0,1.2770222,0.17697458,0.27280733,0.0,0.24309015,0.41589257,0.0,1.8369834,0.31627008
0.0,0.0,4.2660627,1.1731993,0.0,2.2116787,1.9261293,1.3994926,0.0,0.0,0.0,2.8053594,2.998219
0.0,0.0,0.9026335,1.1766874,0.0,2.782519,0.25058708,2.0527856,0.07922899,0.0,1.2629437,0.0,2.5700326
0.0,0.0,0.8542451,1.0266075,0.0,2.9100888,0.25121233,2.0032198,0.0,0.0,0.7514243,0.0,2.8269305
0.0,0.0,2.4741595,0.47957078,0.15626667,0.9670992,0.80621153,0.6450867,0.0,0.0,0.0,1.8374168,1.177679
0.0,0.0,0.20877445,0.0,0.3411583,0.7740029,0.49023497,0.0,0.21216719,0.2771984,0.0,1.3296474,0.87699
0.0,0.0,0.9537952,0.0,0.9276589,0.25631756,0.29831737,0.0,0.22555554,0.32550052,0.0,1.497589,0.36144963
0.0,0.0,2.6000419,0.54146177,0.08744101,1.1362542,0.92931676,0.6735128,0.0,0.0,0.0,1.8962563,1.3781437
0.0,0.0,1.4944985,1.9554211,0.0,2.2414467,0.34506437,2.593615,0.0,0.0,0.8887996,0.0,2.4344368
0.0,0.0,1.1487924,1.6186751,0.0,2.9423954,0.54578936,2.4175167,0.0,0.0,0.7615033,0.0,3.0861814
0.0,0.0,1.7986022,1.9682342,0.0,3.1214056,1.1425738,2.6107793,0.0,0.0,0.0093514845,0.0,3.6862855
0.0,0.0,1.5063769,0.0,3.2293987,1.9946297,1.4397287,0.0,1.7563448,1.0882814,0.0,3.7790754,1.1843226
0.0,0.0,1.9494722,2.2183344,0.0,2.2511606,0.6652738,2.8295887,0.0,0.0,0.5431866,0.0,2.6400633
0.0,0.0,3.726872,0.0,6.1034684,2.3731117,2.4839575,0.0,3.0443287,1.8915722,0.0,5.568246,1.4782658
0.0,0.0,2.1417477,0.38743982,0.21659817,0.8924738,0.7336996,0.47219276,0.0,0.0,0.0,1.7004687,1.0558704
0.0,0.0,0.6993603,0.07614537,1.3600861,3.1751466,0.7892822,0.7119465,1.1794475,0.5030064,1.4382513,0.38702375,1.7249503
0.0,0.0,4.8927975,1.5901792,0.0,2.6220746,2.1874053,1.7723451,0.0,0.0,0.0,3.0466652,3.452431
0.0,0.0,2.1504292,0.0,5.043274,3.0378466,2.3424826,0.0,2.9572616,1.6440144,0.0,5.4836965,1.8225774
0.0,0.0,0.73546153,0.0,1.1408623,0.66080797,0.48881298,0.0,0.47694847,0.4492112,0.0,1.7436426,0.5010635
0.0,0.0,0.53045094,0.0,0.13965923,0.86243427,0.7644321,0.0,0.0936114,0.1709818,0.0,1.3630283,1.4006356
0.0,0.0,0.4529257,0.0,1.3178594,1.0500262,0.6214177,0.0,0.75181836,0.6573554,0.0,2.5154297,0.7593584
0.0,0.0,4.1441965,1.2151812,0.0,2.0158265,1.710177,1.4644016,0.0,0.0,0.0,2.5618272,2.6193488
0.0,0.0,1.3416972,0.0,2.7876792,1.762901,1.2127885,0.0,1.4731954,0.92042875,0.0,3.4791274,1.0600951
0.0,0.0,1.4639035,0.0,1.894387,0.68191195,0.7073098,0.0,0.7391025,0.54852813,0.0,2.1761537,0.53286356
0.0,0.0,0.35811493,0.0,0.3929494,0.6879586,0.40083304,0.0,0.15387085,0.21820891,0.0,1.4692756,0.69538164
0.0,0.0,0.25437716,0.0,1.5456017,1.5141133,0.95650285,0.0,1.0823052,0.72546715,0.0,2.2282395,1.0871904
0.0,0.0,3.1545255,2.781471,0.0,3.7355762,1.7336069,3.4961545,0.0,0.0,0.0,0.59264565,4.813556
0.0,0.0,3.5841465,0.0,6.031243,2.4751823,2.4730535,0.0,3.0410316,1.8913502,0.0,5.597551,1.5109687
0.0,0.0,3.7021828,0.0,6.151691,2.4503198,2.500767,0.0,3.10142,1.889889,0.0,5.8057456,1.5475537
0.0,0.0,2.733982,0.0,4.027928,1.4536668,1.5602658,0.0,1.8405678,1.1767342,0.0,3.8805435,0.9597657
0.0,0.0,2.3878932,2.3570666,0.0,3.3639266,1.4664754,2.9746602,0.0,0.0,0.0,0.35315782,4.2826443
0.0,0.0,1.8022621,0.0,1.9420722,0.45963526,0.55463326,0.0,0.570729,0.5352677,0.0,2.3227072,0.41347533
0.0,0.0,1.3492683,1.7933496,0.0,2.2883794,0.4685296,2.5245645,0.0,0.0,0.8072008,0.0,2.5660214
0.0,0.0,1.1056794,1.5039188,0.0,2.835965,0.69815576,2.091485,0.0,0.0,0.4932551,0.0,3.1568468
0.05724186,0.0,0.08975777,0.0,0.9668382,2.2974362,0.83072436,0.43524784,0.8390514,0.35107636,0.0,1.0840036,1.4459532
0.0,0.0,0.0,0.0,0.6977987,1.086792,0.5931865,0.21282507,0.56177706,0.51637167,0.0,1.4537492,0.96597016
0.0,0.0,0.7637888,0.3658083,0.68309796,2.7576678,0.863763,1.333513,0.8952275,0.12891927,1.7847792,0.01341721,1.832466
0.0,0.0,6.615336,2.4001856,0.0,3.76148,3.1308448,2.5841842,0.0,0.0,0.0,4.1102076,5.048923
0.0,0.0,0.7782038,0.1661147,1.0599089,2.8560724,0.94905573,1.0139769,0.9961225,0.48920238,1.8642634,0.19401234,1.742559
0.0,0.0,3.024421,0.0,4.4049015,1.4991654,1.6975825,0.0,2.0075753,1.2966089,0.0,4.095181,0.9900693
0.0,0.0,0.013878141,0.0,0.2884489,1.2757215,0.6716058,0.22508726,0.3683805,0.55061895,0.0,1.3904737,1.4782432
0.0,0.0,1.132011,0.039811898,0.52157706,0.37785977,0.43002403,0.024791978,0.020743957,0.14841948,0.0,1.3980649,0.5882729
0.0,0.0,1.7540587,0.0,4.114694,2.4983578,1.9681928,0.0,2.4228492,1.3535995,0.0,4.3999557,1.5315559
