z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.81742716,0.1884404,1.4025879,0.0,1.5335319,0.0,0.7387686,0.0,1.0475467,0.0,0.0,0.17301263,0.8275447
1.1602699,2.7379782,3.1912239,0.0,3.379301,0.0,2.293579,0.0,0.2602821,0.0,0.0,0.0,0.0
0.40113717,0.10240429,0.5443118,0.0982139,0.46278006,0.0,0.0015819669,0.0,0.66098964,0.0,0.24934624,0.3333645,0.81613183
0.39917082,0.0,0.12172903,0.25121376,0.06922859,0.0,0.0,0.0,0.69371086,0.0,0.27790838,0.47003227,1.2721362
0.735521,0.0,0.41592836,0.0068336055,0.37716493,0.0,0.15571423,0.0,0.9832783,0.0,0.12560672,0.4265404,1.5452312
1.0416067,1.1032277,2.3561661,0.0,3.3875453,0.0,1.6583908,0.0,0.760903,0.0,0.0,0.0,0.40053597
2.1825345,0.0,0.0,1.0463177,0.0,0.0,0.0,0.0,0.6196813,0.0,0.0,4.9073515,1.9279124
0.65902317,0.6997519,1.5056264,0.0,1.9733713,0.0,0.94864005,0.0,0.6866016,0.0,0.0,0.11587846,0.45105627
1.1065443,1.7828944,1.9146812,0.0,1.3607904,0.0,1.6419033,0.0,0.13383745,0.0,0.0,0.0,0.0
0.49544808,0.0,0.0,0.41460183,0.0,0.0,0.0,0.0,0.8164918,0.0,0.25624603,0.73123163,1.773517
0.47710362,0.17233716,0.7327773,0.0,0.68108606,0.0,0.18549097,0.0,0.6253935,0.0,0.11969148,0.22018665,0.5990708
2.1748374,4.7514033,4.439343,0.0,2.648569,0.0,3.1422417,0.0,0.22522926,0.0,0.0,0.0,0.0
0.8559096,0.65909094,1.7027706,0.0,2.0702434,0.0,0.8557996,0.0,0.68867624,0.0,0.0,0.14278813,0.553909
1.2193165,3.3313417,3.6368308,0.0,3.3259816,0.0,2.6882133,0.0,0.33921343,0.0,0.0,0.0,0.0
0.50559896,0.0,0.0,0.53982395,0.0,0.0,0.0,0.0,0.7537893,0.0,0.16525263,0.8730055,1.9454105
2.3503287,0.0,0.0,0.5623427,0.0,0.0,0.0,0.0,0.7041716,0.0,0.0,4.583073,1.6972549
2.2034583,0.0,0.0,1.3867878,0.0,0.0,0.0,0.0,0.5070961,0.0,0.0,5.3509197,2.1888413
0.57995045,0.0,0.053038087,0.26936218,0.074964635,0.0,0.0,0.0,0.8635973,0.0,0.24116524,0.6229652,1.7635101
3.0904121,0.0,0.0,1.42664,0.0,0.0,0.0,0.0,1.1069446,0.0,0.0,6.1471186,4.3548265
2.682687,0.0,0.0,1.6569194,0.0,0.0,0.0,0.0,1.122897,0.0,0.0,6.732297,3.7607234
2.476732,0.0,0.0,1.2732953,0.0,0.0,0.0,0.0,0.8614526,0.0,0.0,5.7223186,2.8884974
2.0467963,4.9872007,4.02403,0.0,0.6929574,0.0,2.6732848,0.0,0.17258698,0.0,0.0,0.0885257,0.0
1.3424145,3.0583048,3.0155206,0.0,2.0246043,0.0,2.141168,0.0,0.17446,0.0,0.0,0.0,0.0
0.7579581,0.0,0.97618026,0.0,0.9304574,0.0,0.52449316,0.0,0.93101364,0.0,0.0,0.17975345,0.8114492
0.32685545,1.5169928,1.644827,0.0,1.6468079,0.0,0.91566306,0.0,0.15948136,0.0,0.0,0.0,0.0
0.4430275,0.0,0.13250616,0.25273603,0.09270462,0.0,0.0,0.0,0.7411527,0.0,0.27431327,0.50997245,1.3767186
2.2730849,0.0,0.0,1.3687476,0.0,0.0,0.0,0.0,0.64270157,0.0,0.0,5.694455,2.3237083
2.10892,0.0,0.0,0.8435651,0.0,0.0,0.0,0.0,0.550362,0.0,0.0,4.661872,1.5753505
3.1138093,0.0,0.0,2.0034964,0.0,0.0,0.0,0.0,1.2946292,0.0,0.0,7.4597793,5.236968
