3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y
3.8912873,3.9425373,3.9920316,3.980048,3.966846,3.9800754,4.0214787,4.0723333,4.1421466,4.212625,4.28067,4.3423843,4.3979516,4.451807,4.500426,4.544304,4.581129,4.617512,4.647322,4.6761413,4.702261,4.725648,4.745495,4.765452,4.783497,4.798453,4.8169556,4.8290377,4.8447366,4.8545403,4.8640246,4.8768573
3.804872,3.9438348,4.045923,4.071077,4.066374,4.0616455,4.088776,4.0831876,4.1012497,4.1201725,4.1451955,4.1648088,4.185221,4.2063756,4.221891,4.2408366,4.256839,4.2734995,4.2863936,4.299075,4.310158,4.3205233,4.330689,4.3420606,4.3430853,4.3537574,4.3627505,4.3677244,4.372279,4.3769336,4.3796525,4.388316
1.8392403,1.8509665,1.9251698,2.2322345,2.5568187,2.829134,3.0582438,3.237151,3.4004397,3.5305653,3.6350865,3.7268624,3.804597,3.865622,3.9206197,3.958699,3.9860554,4.0096774,4.01771,4.0219574,4.0219574,4.015542,3.9988332,3.9807854,3.9649096,3.9317205,3.9103527,3.87937,3.8474126,3.8078446,3.7723029,3.7305784
3.8692381,3.7246807,3.4678593,3.2692838,3.295545,3.4176931,3.5489364,3.6932929,3.825705,3.9437654,4.044693,4.1348,4.214501,4.2839923,4.3450913,4.3987737,4.4441147,4.486716,4.522265,4.556898,4.583916,4.6131277,4.633403,4.6557903,4.674238,4.6901073,4.705964,4.723688,4.7352905,4.746568,4.75888,4.770081
3.9200916,4.034513,4.1756268,4.2496257,4.2599177,4.265299,4.2893877,4.3207846,4.37577,4.4284253,4.4814057,4.5286083,4.573307,4.6178713,4.6566997,4.6930323,4.720534,4.7513905,4.7740817,4.798614,4.8198614,4.8398037,4.855235,4.872206,4.8869505,4.898144,4.913888,4.923049,4.9367223,4.942127,4.951667,4.9636497
0.34966922,0.41954994,0.7598088,1.4588797,1.9784847,2.4138088,2.7996287,3.1020265,3.363586,3.5893168,3.783467,3.9518769,4.0960617,4.212705,4.3102508,4.389554,4.456814,4.5036864,4.5406213,4.5696893,4.5899615,4.59077,4.59692,4.5909376,4.574749,4.5646744,4.5472746,4.5199633,4.4972997,4.4625607,4.435895,4.3975606
3.6460395,3.7600071,3.8741236,3.8814209,3.8383234,3.8282733,3.8376327,3.8400085,3.851673,3.8696465,3.8875494,3.9092548,3.925491,3.9412408,3.9606495,3.9757183,3.9939272,4.002423,4.014496,4.0289016,4.0425434,4.049431,4.0591173,4.065581,4.072397,4.0822563,4.091267,4.0903635,4.1021233,4.107262,4.110532,4.1139555
3.6874013,3.8394437,3.9598842,3.9975133,3.983741,3.9796379,4.008399,4.0159674,4.03533,4.058522,4.0892086,4.1141334,4.133755,4.156356,4.1752863,4.193303,4.213483,4.2263064,4.2419405,4.256971,4.2703676,4.2801394,4.2905817,4.301017,4.30468,4.318502,4.328287,4.329108,4.339714,4.346373,4.3480325,4.356929
3.9940128,4.093094,4.197537,4.2608066,4.266179,4.2725773,4.277527,4.2940397,4.310175,4.331531,4.351807,4.3668156,4.384394,4.403149,4.417344,4.4331627,4.4453435,4.459724,4.469557,4.477853,4.484193,4.4964213,4.5005355,4.5076427,4.513318,4.5172787,4.522735,4.531121,4.5326138,4.5369678,4.538422,4.53976
3.6549468,3.7578843,3.8534477,3.8437781,3.79945,3.7940943,3.8071818,3.814245,3.829069,3.8500397,3.868962,3.8921344,3.9101152,3.9265764,3.9468527,3.9626315,3.9812458,3.990254,4.00195,4.0165753,4.0300374,4.037178,4.046761,4.052898,4.0601244,4.069188,4.077334,4.0768485,4.0875983,4.092582,4.095884,4.0985556
