1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
5.1068044,5.1613917,5.154155,5.1796885,5.190838,5.2099442,5.2013416,5.215973,5.182521,5.202527,5.2039824,5.179689,5.1361685,5.107255,5.080668,5.0518436,5.0091615,4.9755855,4.9696016,4.92281,4.889355,4.867672,4.8352075,4.8013945,4.773069,4.7533255,4.7213006,4.692405,4.6742706,4.641501,4.6304307,4.606838,4.585192,4.566303,4.5488214,4.530554,4.508867,4.4896936,4.471954,4.454546,4.4352846,4.418307,4.394561,4.376138,4.3529453,4.336068,4.3211317,4.2996554,4.282948,4.265588,4.2443438,4.2298927,4.209332,4.192488,4.171232,4.1563373,4.139311,4.125943,4.109093,4.0922666
5.744605,5.7430773,5.736852,5.747153,5.7510448,5.7424316,5.7443647,5.7467766,5.7449737,5.733411,5.7500386,5.7262716,5.7010174,5.6677456,5.63548,5.5990405,5.55836,5.5177007,5.496077,5.45823,5.4290657,5.3892527,5.344714,5.31194,5.279459,5.2395453,5.2028913,5.1561832,5.1257486,5.0920324,5.0597816,5.032846,5.0003953,4.9659014,4.937539,4.9057627,4.8775544,4.855473,4.8259907,4.8018236,4.770749,4.7446675,4.7213693,4.699922,4.6818533,4.6566176,4.635594,4.6160383,4.5964766,4.5767374,4.559985,4.542245,4.522529,4.507595,4.488611,4.4751496,4.456316,4.4445057,4.4297853,4.414253
4.7635336,4.7027583,4.6821566,4.6632032,4.591058,4.5471544,4.542683,4.5079775,4.4761534,4.45636,4.4136186,4.3976445,4.302926,4.281783,4.2722178,4.264579,4.2705107,4.286101,4.277231,4.2842703,4.2900605,4.296785,4.2924857,4.3033495,4.307246,4.2908063,4.2937684,4.3018155,4.3074036,4.310157,4.311008,4.3152127,4.315145,4.3171015,4.3191967,4.3206367,4.3216534,4.3229833,4.324868,4.328037,4.3270407,4.324754,4.322792,4.3216763,4.328811,4.32496,4.3240595,4.3194146,4.320124,4.309135,4.3104863,4.3081446,4.302252,4.297876,4.2905283,4.2860646,4.284474,4.2753987,4.27049,4.2639227
4.501821,4.472272,4.4417157,4.40726,4.399922,4.335857,4.326938,4.3223143,4.2795897,4.257078,4.2419825,4.187721,4.1319194,4.1357737,4.1587114,4.159205,4.157976,4.177015,4.1769323,4.178164,4.205479,4.1994405,4.2116203,4.212473,4.2174425,4.2135496,4.212967,4.220009,4.2186594,4.2252674,4.223992,4.231763,4.2357593,4.2366505,4.2390065,4.2417455,4.2501926,4.249188,4.249624,4.249964,4.246624,4.25012,4.246656,4.2460637,4.2483854,4.24348,4.2462687,4.2377567,4.235883,4.2346168,4.231797,4.2289686,4.2240896,4.220101,4.215303,4.2107396,4.2095504,4.204582,4.2014756,4.195879
4.427515,4.439369,4.424853,4.439297,4.4331136,4.4428434,4.4461236,4.35251,4.397229,4.351966,4.340832,4.4102206,4.392441,4.4068527,4.399918,4.431611,4.4168305,4.433532,4.4565535,4.450702,4.450897,4.4289393,4.446071,4.42342,4.401948,4.3961844,4.409417,4.3714395,4.378931,4.371868,4.371672,4.354534,4.3402023,4.3386693,4.3309407,4.3201685,4.3153872,4.300337,4.297653,4.2854667,4.2758236,4.256685,4.247845,4.249274,4.2318177,4.210593,4.199407,4.1869483,4.1796303,4.1619773,4.151422,4.1360097,4.126929,4.110748,4.104014,4.0870256,4.0725994,4.066743,4.055829,4.0424376
5.7673836,5.830047,5.868781,5.915678,5.946831,5.980954,6.0066733,6.0326395,6.0628858,6.0881567,6.0767565,6.0868855,6.149832,6.101665,6.0642724,6.014247,5.9291067,5.813825,5.7544317,5.6794157,5.5955496,5.5246444,5.46362,5.389855,5.3270755,5.264255,5.205812,5.13225,5.088031,5.0278883,4.9813414,4.9321747,4.8772864,4.819846,4.7895007,4.7381186,4.7034783,4.664276,4.6213603,4.584758,4.5495396,4.515955,4.479793,4.454693,4.4309344,4.399492,4.3784947,4.348681,4.328677,4.3030033,4.286066,4.2631993,4.246518,4.231867,4.2086644,4.195592,4.1787415,4.1692276,4.151228,4.1418147
0.57557774,0.59852576,0.59054565,0.626925,0.6325455,0.64751744,0.6835928,0.7075136,0.73989034,0.77143836,0.8217344,0.85515404,1.1141381,1.3786693,1.627846,1.8606739,2.0682452,2.2785616,2.463407,2.6253803,2.7861686,2.9368916,3.0752187,3.2011893,3.324913,3.4354854,3.5323317,3.6303697,3.7201748,3.7982337,3.8786244,3.951516,4.0105896,4.0698934,4.121194,4.1701946,4.2128167,4.251679,4.290106,4.321854,4.347695,4.3725467,4.3949156,4.4167438,4.4376397,4.4498067,4.4638877,4.476283,4.485418,4.492047,4.500039,4.508484,4.5099106,4.513789,4.5146866,4.516078,4.5145416,4.5157585,4.513153,4.5104527
5.2823033,5.2883334,5.2861476,5.3131647,5.3094277,5.3180737,5.3080893,5.321021,5.322212,5.326513,5.3021836,5.2880707,5.2726426,5.216928,5.178308,5.1373196,5.1031847,5.0421443,5.031861,4.9798727,4.9461093,4.917034,4.8807287,4.856798,4.826103,4.8037553,4.7767153,4.7465744,4.7317276,4.701672,4.687243,4.6682353,4.645022,4.61774,4.60776,4.5808506,4.568128,4.5513825,4.5323224,4.512783,4.49166,4.478586,4.4584274,4.441232,4.425716,4.408411,4.395134,4.3758426,4.3614783,4.3415217,4.3300467,4.311326,4.2985272,4.2841425,4.263797,4.25536,4.2367935,4.2264752,4.207902,4.19581
3.812673,3.8224585,3.8468056,3.8994315,3.9084733,3.9312687,3.970915,4.007163,4.046819,4.087901,4.117694,4.1606,4.354477,4.511488,4.630755,4.6882534,4.749417,4.78377,4.82545,4.836509,4.847698,4.8561096,4.8544464,4.8578625,4.864947,4.858878,4.8470993,4.845388,4.8420544,4.8387923,4.8287396,4.82644,4.817936,4.806472,4.802237,4.7873197,4.773647,4.769609,4.755789,4.7462244,4.7304416,4.7172728,4.704072,4.690153,4.683844,4.6655025,4.652008,4.6381655,4.623191,4.6073656,4.595005,4.5802503,4.5637,4.5513425,4.5330453,4.521482,4.5041385,4.4955244,4.4805856,4.4670835
4.5284643,4.480614,4.4703336,4.447556,4.434482,4.3627543,4.360042,4.349581,4.3113084,4.290436,4.2818346,4.217925,4.1519694,4.1410604,4.145829,4.1194444,4.1177316,4.126169,4.11757,4.1152277,4.133286,4.118581,4.1312504,4.135174,4.13733,4.1304708,4.124663,4.135555,4.1333995,4.13895,4.135044,4.144167,4.1449666,4.149972,4.148755,4.151536,4.161525,4.1596727,4.1611094,4.161969,4.1574864,4.162246,4.158137,4.1581473,4.1626153,4.159357,4.1614456,4.1553507,4.1529984,4.152779,4.1501393,4.1500483,4.1452136,4.1438327,4.1394463,4.137097,4.134874,4.132192,4.12928,4.126038
