row_index,beta1,beta2,beta3,lambd,rmse
0,3.1116359371929314,-1.4380405350991823,-0.0001219984060865098,2.6526026026026024,0.05234515968422273
1,3.4147330130757734,-1.3328902549955284,-4.132384020522073e-05,3.2832332332332332,0.048253730174219606
2,3.8899686563935534,-2.4361322188155086,-0.00022140465483599936,3.6636136136136135,0.027323716134185036
3,4.449354311369664,-1.6047611514695599,-1.6736047276662804,2.8427927927927925,0.034131328839584175
4,3.8775488511465124,-2.4193711655047103,0.0014691720410278108,3.6285785785785785,0.03734318945926713
5,3.3029056421529437,-1.40721963744142,-0.0006646396280974298,2.4624124124124123,0.06228811226612334
6,4.650186304428527,-1.8933125753359707,-0.8206471337902611,5.05,0.04215166178744982
7,3.0903436156440667,-1.5419818812530186,-0.0008878827768244446,2.4223723723723722,0.04063367354166295
8,4.378726184409569,-1.3876186974127094,-1.937129161144596,2.6075575575575574,0.05038914013160934
9,3.0516011159292757,-1.158315451682099,-0.0004959515675239112,2.6626126126126124,0.07146784405751873
10,3.878374004929558,-2.427265282168818,0.0007334546309007983,3.6185685685685685,0.03949027594649286
11,4.413841283193985,-1.554670338187794,-0.00015051278165845172,2.322272272272272,0.036654332264316074
12,3.0367072887914577,-1.1178536146290778,-0.00041490043787545394,2.6025525525525524,0.08025260074020446
13,3.8451098991789596,-2.411169205620495,-0.0009387675643295346,3.6435935935935935,0.04997419793380632
14,4.606267720188522,-1.4760557778695522,0.0004793432570612266,3.0580080080080076,0.0450502888140003
15,4.623515770620072,-1.9095543996680164,-0.9058711386325118,5.05,0.03856795517316395
16,4.769508774805791,-1.5748297822907118,0.0006729654671424057,3.9288788788788787,0.03264474879299813
17,3.0876266104034955,-1.0947266636974027,-0.00041553852309761385,2.9579079079079076,0.0675242821735567
18,3.2884672733533358,-1.335431708199567,-0.0009174240653258559,2.8277777777777775,0.04394589286077701
19,3.1320125381654043,-1.4499770491060189,3.860191745619357e-05,2.6876376376376374,0.04578929263588494
20,4.497400874434539,-2.007969240918358,-0.11018561178100167,5.05,0.06190606102147923
21,4.456872066680091,-1.6089749423885866,-1.7582555708469196,2.8277777777777775,0.030184883766610937
22,3.012451218916384,-1.0577602994740327,0.0004171455373745414,2.046996996996997,0.08602184121004502
23,3.1744304905362197,-1.4500330774873846,0.0006071643653525749,2.7877377377377375,0.04287792560987865
24,3.053821598605654,-1.157241049533417,-0.0005786894043933732,2.8778278278278275,0.07569928515789962
25,3.992698680968337,-2.3697937960817193,0.001271317639455427,4.439389389389389,0.02417535246906193
26,4.65476884857935,-1.671466526243422,0.0003926401347953412,2.8678178178178175,0.024345371431408053
27,4.598088494640631,-1.7745980652656559,-0.6767794660401218,5.05,0.0301260384115582
28,3.035475003692601,-0.6982354720704894,-0.9476948926659613,2.011961961961962,0.04785532489640928
29,3.4110840314692634,-1.3322825584005622,0.00018450855482277095,3.4984484484484484,0.04804821027903954
30,4.944181442893272,-1.7585479346446393,-0.0010484387367373227,2.5975475475475474,0.05051540899711267
31,3.792267423860993,-2.338272836664877,-0.0013017822069657514,3.8437937937937936,0.03913554028050259
32,4.4224869770889095,-1.4807139890096417,-1.5571418352952122,2.9979479479479476,0.033122369906521586
33,3.0461552145531448,-1.1687788142277677,-0.0005202724459241748,2.8427927927927925,0.08543588361228038
34,4.015367949901262,-2.517858926662608,0.000540648920821285,4.5945445445445445,0.03346320870616492
35,4.0024041523823835,-2.264977364190746,0.0011188858137944901,3.9238738738738737,0.04607798003258947
36,3.0456285812069703,-1.5020585287373578,-0.0007310752317825076,2.327277277277277,0.06185050926467228
37,4.495431026428433,-1.4238305134397038,-0.001205565215426918,2.292242242242242,0.02678298651791709
38,3.3642891492021487,-1.5061440454513901,-0.001185078700448261,2.4974474474474473,0.047473828958026126
39,4.4702246580082425,-1.5192010022406999,-0.0004573124739895018,1.976926926926927,0.029142135945545117
40,4.1097182186587515,-1.8558560526111392,-1.8754453729933607,3.2732232232232232,0.042923144542914654
41,4.744004225352678,-1.6320577227886264,-0.0006063619426600053,3.4333833833833833,0.03129622037437084
42,4.7874816068463595,-1.6864049802149164,-0.7674600762200747,5.05,0.03364023648352871
43,3.1034427890472647,-1.534362206082402,-0.0009170353944915055,2.4974474474474473,0.038245140468041394
44,2.965027982671149,-0.49514919715318984,-1.727330857074266,1.0510010010010011,0.05791273757684324
45,4.458301335652268,-1.6329800023988543,-1.6878783076600317,2.9028528528528525,0.032249288042052085
46,4.656324236764933,-2.2211945035288543,-0.925357478199846,5.05,0.05323230633877215
47,4.7096884246817075,-2.451527743166163,-1.0849039489847787,5.05,0.037932698749465504
48,3.1070598200119157,-1.5026523130196268,-0.00012359997478617046,2.5725225225225223,0.056911433254817234
49,4.556372427458417,-2.490143984740135,-1.7509922040401489,3.2231731731731728,0.04877991381051453
50,4.630318078680385,-1.6685993815491331,-0.00042867070827434794,2.8227727727727725,0.03601425875633978
51,4.184348714379705,-3.177362343256081,-3.737192186633753,2.317267267267267,0.046705360730401956
52,3.069447797653014,-1.5058014753704383,0.0010608400480120461,2.322272272272272,0.06430658877918169
53,3.0662249180288184,-0.7014055583380943,-0.6822176025969112,2.347297297297297,0.03620518294033625
54,4.589184067124248,-1.768179951422864,-0.5924767005013964,5.05,0.022558968363121143
55,4.560574690100923,-1.719933859811841,-1.2774862426876041,3.7486986986986985,0.044653286055050694
56,4.570961059113245,-1.4216092637582116,-0.0009777375637725072,3.1531031031031027,0.028217901545680036
57,3.1228329851051915,-1.5363370309602846,-0.0012656459287918032,2.6325825825825824,0.040237414008096974
58,5.16973887669104,-1.8770580777591457,-0.0001109012128730491,3.4033533533533533,0.05374682171199024
59,4.726511170216466,-1.4574750598247233,-1.073474291743793,5.05,0.01581577911122374
60,4.5931178808880375,-2.274101652695089,-0.3340987860465455,5.05,0.04511897601433614
61,4.420082512267273,-2.2658321712094063,-2.3067141992771667,2.217167167167167,0.04482568359971005
62,2.948884432271873,-1.342251484812048,-0.0002479986500026343,2.4123623623623622,0.05835620984186874
63,4.473375949121598,-2.482339844137585,9.801412159859968e-05,4.4794294294294295,0.04863114693500712
64,4.979567789721493,-1.78773843994231,-0.8581488218177837,1.7867367367367368,0.020454207270873673
65,4.376462017688545,-1.3358848223853714,-2.1196480693546933,2.4473973973973973,0.0539479524016293
66,3.987526877035328,-2.4606616241667516,0.000481943428243814,4.4794294294294295,0.019916481066127874
67,2.9454594949936053,-0.7874258722450309,-0.04487475427360593,5.05,0.02258856133648618
68,4.539764170356806,-1.7456845557566396,-1.5721445053050838,3.1831331331331327,0.03344921251075898
69,3.852864232299107,-2.3775501327060997,-1.4034590331380343,2.6826326326326324,0.02169700480695039
70,4.424355560494323,-1.4735251919395773,-1.6671180650773718,2.8978478478478475,0.029835328291180664
71,5.117339762845614,-1.8764615898511494,0.00028126905805148095,3.8337837837837836,0.07500448668071963
72,3.362255820291383,-1.48225489461145,0.0010037520871569727,2.5675175175175173,0.04581588520712281
73,4.0185717523410505,-2.436723660035769,0.00031665183539708597,4.314264264264264,0.03700915711324495
74,3.998266564447287,-2.378080896904075,-5.403521590618965e-05,4.5194694694694695,0.029590134433462735
75,5.192906874229731,-1.875193155685386,0.000526729193983777,3.4483983983983983,0.05755548326037752
76,3.067661599113015,-0.6441017627010445,-0.7108462209578016,2.9278778778778776,0.03000475529981614
77,2.97337667944025,-0.7727668463899208,-0.07542135001826694,5.05,0.017147918157554693
78,3.1126841944538413,-1.5268229626232688,-0.00017245467435406114,2.5775275275275273,0.04036374305737979
79,3.3071675117775876,-1.383305012270588,-0.0004598394532219219,2.5825325325325323,0.06309525029040618
80,3.2215185302828493,-1.2734412657409013,-0.00031643322235552773,3.1280780780780777,0.033347731708903615
