row_index,beta1,beta2,beta3,lambd,rmse
0,3.164296098654522,-2.79866735500503,-4.2789392207569765,2.9478978978978976,0.07704341423841053
1,3.950019954648398,-3.4550717697345963,-5.9310430363711335,1.8518018018018019,0.12421847301982224
2,3.156809256183984,-2.7981693429373458,-4.3135564786704625,2.9629129129129126,0.07842090211612703
3,3.0903932509245626,-2.7126028031035148,-4.276758084043547,2.8127627627627625,0.08278155697684038
4,3.2681559250259427,-2.904421362233254,-4.580867658987563,2.7627127127127125,0.050861425014935714
5,2.9782123444322957,-2.6380586912146695,-4.136726724882568,2.7126626626626624,0.06971466641239947
6,3.164296098654522,-2.79866735500503,-4.2789392207569765,2.9478978978978976,0.07704341423841053
7,3.2189562000254917,-2.8322066620601944,-4.539564094151833,2.8928428428428425,0.09449926450472602
8,3.3995408944878656,-3.0451091124578813,-4.595458424060149,2.9529029029029026,0.04896432530619687
9,3.0979928927645735,-2.7194477792448244,-4.37492643616052,2.8277777777777775,0.0825022638808131
10,3.161313855114456,-2.7936853828886656,-4.2595443051368385,2.9629129129129126,0.07056026256597663
11,3.637507679621111,-3.2339343808724603,-5.0734378034497425,2.7527027027027025,0.08354425291642403
12,3.340259473885604,-2.9591561145082714,-4.735579729374023,2.9779279279279276,0.09453118860398727
13,3.652050726123772,-3.2517326341056183,-5.100183652737165,2.7977477477477475,0.08743118993217862
14,3.91471726011776,-3.3931344977130813,-6.052392975705503,1.8267767767767769,0.1477421439163794
15,4.2523555951327285,-3.7811971222236354,-6.143925384212588,1.7817317317317318,0.11277487697178208
16,3.2499305119006188,-2.8875469391590443,-4.530076869962262,2.8277777777777775,0.05016277731453098
17,4.052392254092024,-3.551235433961777,-6.0852602797765405,1.8217717717717719,0.12498139365151215
18,3.5825029538610966,-3.1668799020224974,-5.29608071275421,2.7577077077077075,0.08676523053022397
19,2.979666109518849,-2.633098282174392,-4.147561869057047,2.7426926926926924,0.06822867166342556
20,3.860219366410633,-3.3313744323294525,-6.007451580597662,1.7316816816816818,0.14799343426821307
21,3.611642449157528,-3.215960357326356,-4.889362838332093,1.891841841841842,0.058268320713421716
22,3.287619726305101,-2.8457878190842223,-4.750744621210991,2.5625125125125123,0.08499440195794164
23,3.2021894980350716,-2.7758863770242157,-4.488585373493465,2.7376876876876874,0.087099174034796
24,3.6320833745906183,-3.1875167775726094,-5.508920780350563,2.6776276276276274,0.09442373975529747
25,3.2433458700509807,-2.883588782720631,-4.507906674893555,2.7777277277277275,0.05127056137984057
26,3.950019954648398,-3.4550717697345963,-5.9310430363711335,1.8518018018018019,0.12421847301982224
27,3.2677084096905205,-2.9028017713265166,-4.588904078846341,2.7527027027027025,0.05232530712323252
28,3.63008652291771,-3.188243187349417,-5.514719662374343,2.6826326326326324,0.09655140547465518
29,3.241092293655687,-2.8094984323773735,-4.636658184687531,2.5975475475475474,0.08452528294621345
30,3.197332541843766,-2.7586735562822993,-4.632613453598362,2.6576076076076074,0.08155401891479307
31,3.5592928000147444,-3.0250471363998788,-5.52924456986587,1.4764264264264264,0.12171684944835556
32,3.340259473885604,-2.9591561145082714,-4.735579729374023,2.9779279279279276,0.09453118860398727
33,3.3327793905934895,-2.955863041271341,-4.685220735382503,2.9729229229229226,0.09175302466221688
