z1,z2
-0.6755399,1.3516798
-0.19402447,0.99024236
-0.95914817,0.550517
0.7889056,0.21073252
-0.94168556,0.56848055
-0.36220825,1.0086253
0.76355356,0.10549644
-0.8341339,1.3068814
0.9200744,0.4231443
-0.44233483,1.4576575
-0.94700325,0.5671539
1.3743727,-0.40620178
-0.40800816,1.4970096
-0.9860295,0.6105723
1.7006764,-0.3361521
0.64974564,0.15786289
1.7539043,-0.37292656
-0.31856948,1.4813312
-0.3299806,1.1207994
-0.6637129,1.3276303
0.47268045,-0.13286346
0.77254426,0.23044482
-0.31740403,1.457429
-0.6297655,1.2756064
-0.4528727,1.4928693
-0.83021754,0.53215975
1.5726341,-0.56685853
0.87045115,0.12486504
-0.049921706,1.8341663
-0.21740979,1.026094
2.0520837,-0.929497
-1.008867,0.68012637
0.92464906,0.2987147
-0.47833514,1.5006369
-1.0162038,0.5539211
-0.6043646,0.41853198
-0.8132094,1.3766323
1.6642759,-0.3834382
-0.39517015,0.9084426
1.5839283,-0.48540437
-0.21028367,0.61888874
1.6862184,-0.5060416
1.3619007,0.11300483
-0.8083437,1.3092256
-0.09047316,1.7620804
0.7445278,0.19262011
0.2305965,-0.06703451
-0.019011974,-0.08065792
-0.73900086,1.3458637
-0.34169692,-0.07324432
1.5369843,-0.55217415
-2.372595,0.43180308
-0.7764862,1.3443364
0.06716007,1.8089215
0.88543385,0.09896001
0.8580702,0.19804417
1.670954,-0.28300673
-0.7975146,1.3128909
2.1344237,-1.0703194
1.5352261,0.35117045
0.20238848,-0.16360812
-0.23464689,-0.08678966
-0.7761183,1.5414135
-0.23838046,-0.34005377
1.9824914,-1.0420598
0.9308768,0.4332146
-0.9685432,0.5759681
-0.19430918,2.0226326
0.7308327,0.111396596
-1.1581836,0.71227616
0.92064506,0.31562465
1.9879671,-0.9497656
-0.38142434,0.9279087
-0.86828333,0.49244028
-0.8307896,0.5529545
2.1760075,-1.0807309
0.14272176,1.9738094
-0.1397676,2.0048914
-0.78365874,1.3230081
-0.34319407,1.0279335
