z1,z2
1.7529454,0.12941976
1.2962927,0.79035324
1.0526931,-0.092081845
1.1752719,-0.23199075
1.6133584,-0.20301239
2.2091177,0.51895434
-1.377506,-0.61415917
1.5660179,0.275585
0.4288565,0.54902875
1.3974473,-0.3628658
1.0580533,0.02926832
0.34611306,1.1506498
1.6398212,0.25905544
1.1268251,0.8839702
1.393266,-0.42639536
-1.2487621,-0.47900644
-1.6285043,-0.73257846
1.5338799,-0.3274026
0.052137304,-1.2558889
0.2741506,-1.2032845
-0.9879911,-0.9465969
-0.21719049,1.1034178
0.5039502,0.77636755
1.3938112,0.055313434
0.82304764,0.40197968
1.2732047,-0.25092393
-1.6847968,-0.78218806
-1.5505534,-0.4691903
0.6599395,-1.5986677
0.1472363,0.9990602
-2.6452212,0.022858176
-1.9636453,-0.1646561
0.4489182,-0.010325383
-2.7142797,0.20141724
2.2071981,-0.6313599
-1.413112,-0.6677973
1.2645876,0.7905077
0.23449679,1.3005186
0.17173079,0.69740087
1.7737138,0.7139091
1.2765925,-0.33617
-1.5980297,-0.42437994
2.1296077,0.5240341
0.4750628,0.611494
0.53298444,1.2585919
0.24769486,0.2201707
0.5698832,0.24290097
1.6981981,0.1760085
2.2192695,0.637802
-1.0764562,-1.0608425
-2.0161667,-0.3391431
1.6358272,-0.41325185
-1.028959,-0.9335443
0.6606303,0.04291242
1.8015381,0.15623198
0.47477818,-0.029233627
2.6452494,0.526526
-2.3689177,-0.08585605
0.24091564,0.4067975
0.38091436,0.6660288
0.9091387,0.26613575
1.8832976,0.66422164
1.1487955,0.2439613
1.6729106,0.25501472
2.299173,-2.9992523
2.7116618,0.5002681
0.18355244,0.26727197
0.8415341,0.82538486
0.49325866,0.49636546
1.9752294,0.2291879
0.889165,-0.11125544
-1.4150234,-1.0618693
1.4422847,-0.033459768
1.7771817,0.28145075
0.11526404,1.0104893
1.1038736,0.25207543
-0.09484136,1.5751419
1.5629301,0.68302286
0.36747706,1.1041853
1.7499859,0.17243879
1.7160547,-0.28909755
0.27011794,0.73504937
1.0621061,0.5310649
1.2999773,-0.33138728
0.12916765,0.9015039
-1.1619109,-1.0090227
1.8236351,0.69122636
-1.7056375,-0.55353135
1.4715098,0.2777581
1.6311669,0.30797455
2.6079388,-0.83542603
1.2597371,0.5621021
-1.9686133,-0.34566125
-1.3449928,-1.0557711
0.26492566,1.1650746
0.08511536,0.98694617
1.2347893,1.0169424
2.7183032,0.40822846
0.07080227,0.117007196
0.024284307,1.3846622
0.9473899,-0.031073704
1.2640913,0.8668608
1.1694181,0.9331725
0.36048228,-1.3894222
-1.6873466,-0.6720934
0.42695758,-0.23516493
-0.68907136,-0.7616271
-1.6944734,-0.37654912
-0.005872112,0.50115275
1.2100217,1.0989773
1.2377532,-0.28994653
0.20602635,0.33559692
2.1668007,0.9584791
-1.3897843,-0.92577416
0.9035244,0.51622397
0.83313143,1.2370418
-1.725389,-0.32266268
0.88738656,0.6936454
0.6023999,0.39443305
2.770124,-3.28917
1.0707612,0.03772938
1.112949,0.75241905
0.15081711,0.82378554
1.403991,0.29245788
1.031376,0.13858232
2.1151476,0.99621207
-0.08775679,1.5359701
-0.016134003,-1.0315772
1.94858,1.1739111
1.8723757,0.9245494
-0.040954925,-1.0673732
1.4437839,0.24109766
0.9993411,0.39551225
0.06488539,0.9717837
0.69815445,0.3749827
0.5820218,0.14412606
-0.72429615,-0.9910334
-1.2900423,-0.4194174
0.389223,0.68257797
1.6122712,0.57200736
1.1355793,0.6596999
0.83115876,0.8190938
1.6451908,-0.012795281
0.8349787,-0.024686418
0.9593255,-2.0023541
2.0060153,-0.09533076
0.70899975,-1.6459547
0.15091541,1.2248069
0.98569566,-0.062000677
-0.109662786,0.41585916
0.29068193,-1.333188
-1.1797493,-0.5043705
-1.9095451,-0.686769
-1.7418988,-0.47462416
0.34290653,0.43808076
0.040536355,0.63403857
0.55191743,1.2068101
1.147709,0.8187337
-0.06558892,0.44635817
0.5151013,0.29646507
0.046214696,0.5613169
-1.0289123,-0.93943244
0.00923159,1.187808
1.6213533,-0.40613338
2.1844678,-0.23869611
1.1294066,-0.24597089
-2.6828759,0.22445798
0.121086404,-1.087286
1.0757467,-0.07909031
1.119044,0.8813481
-1.5738711,-0.77144265
0.09656772,-0.9094449
0.6603018,-1.5950878
-1.3693243,-1.001441
0.71164197,0.17308885
2.014569,-0.60191035
1.4228572,0.13122414
-2.5267715,0.07914904
2.7569203,0.46513614
0.4530251,0.6549248
-0.07226335,0.6320277
1.5838003,0.34813213
0.271548,-0.070916966
-1.9776202,-0.52704656
-0.7857429,-1.0952784
0.34613177,-1.3577343
-1.3142978,-0.8946708
0.06980294,0.119264275
0.91449213,0.22204623
-1.9103376,-0.6780761
0.38077763,0.5516438
1.136687,0.23288265
0.051095698,1.2735152
0.3837887,0.721575
0.22280441,0.79931855
