z1,z2
-0.9021566,0.062560804
-1.0874606,0.3137467
1.6026015,-1.1616809
-1.0335162,0.039831698
0.6991768,-0.4502446
0.33205965,0.13693032
-1.1775455,0.28106302
0.434574,0.92498595
-1.038661,0.10618764
0.47398776,1.0018933
-0.8616597,0.38073403
0.7761133,0.20805846
-1.2168335,0.24844076
0.5973908,0.16061375
0.40628362,-0.12184488
1.3787355,-0.5274715
-1.1405282,0.30621392
-1.0229005,0.09478868
-1.0590715,0.07736659
1.5926328,-1.1649046
0.2667306,1.0955887
-1.1648108,0.062869325
-1.1095409,0.29686105
-1.1829178,0.27609986
-1.1265634,0.2867633
1.4001044,-0.4564616
1.6447363,-0.99717265
1.7056495,-0.9881699
-1.1532959,0.31100857
-1.1056664,0.032542825
0.55526346,0.15814008
-1.090877,0.050720602
0.5696882,0.18755949
0.51917535,1.0154239
0.55456203,0.17027602
0.322662,1.1052005
1.6951087,-0.8908941
1.6311828,-1.1381989
0.50144255,0.123964846
0.4987578,0.15364444
-1.1131439,0.3065269
-1.1237435,0.07926664
-0.89699155,0.3769672
-0.9752472,0.104459
1.6154476,-1.1429887
0.36330295,0.14427678
-0.6866513,0.06356593
0.5598362,-0.54773486
1.2801924,-0.6464529
-1.1716657,0.28079325
0.7718498,0.20841025
0.089718185,1.5364383
-0.98467094,0.35395563
0.8647479,-0.54674786
1.0483842,-0.53180856
-1.0576488,0.03961209
0.9652099,-0.15322776
0.67324805,1.2606659
0.5725294,1.1191956
0.5586109,-0.30732405
1.4856056,-0.53762025
0.50128704,1.0109779
-1.1844141,0.2657401
-0.456522,0.9561908
0.2425429,-0.10358395
-1.2267939,0.026538845
-0.9523275,0.17378704
0.46327817,-0.07246882
-0.31038475,0.9175134
-1.1868843,0.26371044
1.6788632,-0.7295488
1.6982713,-0.97932845
0.54082155,0.14951077
1.6791462,-1.0254178
-0.37881178,0.78994316
-1.021549,0.3477736
1.2558275,-0.57154274
0.54137766,-0.077926554
-0.3625935,0.73906434
-1.0084974,0.36471206
1.428156,-0.34392303
0.33095863,1.2866827
1.4187133,-0.3124593
-1.1566812,0.26837236
-1.159283,0.044546828
-1.0571775,0.110290036
0.49240452,0.14393748
-0.47845128,1.0022314
-0.94772685,0.08077509
-0.91594803,0.11462784
-1.1188179,0.045332536
-0.96646494,0.08730925
-1.1363001,0.30724406
-0.76376957,0.22131617
-1.0572193,0.3298971
1.4234354,-0.22307098
1.3743683,-0.32920456
-1.14245,0.3041296
