3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.6955683,1.8928713,1.9723885,2.3021758,2.468514,2.6277604,2.6539893,3.0171208
2.124741,2.211265,2.2955012,2.4987192,2.6869128,2.8422678,2.8981426,3.3449786
1.586195,1.6851375,1.7858396,2.2191525,2.55303,2.743388,3.0137672,3.6259923
2.8581543,2.830044,2.89941,3.048123,3.202972,3.4262242,3.5377688,4.154329
1.5810277,1.683769,1.789412,2.2196202,2.5479634,2.7379506,2.9992058,3.6020448
1.9861752,2.1029196,2.1975257,2.4433913,2.6429167,2.804074,2.8641338,3.3243032
2.807726,2.7907124,2.8716626,3.054715,3.2184324,3.441011,3.5578396,4.1618414
1.5435315,1.771067,1.8534032,2.2471464,2.4289956,2.5949373,2.6401005,3.013161
2.9818764,2.9260921,2.9733937,3.0307884,3.1671247,3.3878648,3.4859579,4.125754
1.8872511,2.046184,2.1078868,2.3776648,2.5154607,2.6648047,2.6772265,2.9939735
1.5746968,1.6896886,1.7973374,2.2213962,2.5402215,2.7271156,2.978705,3.563396
2.9828238,3.039074,3.1833816,3.5360692,3.7222147,3.8885431,4.0007453,4.428282
1.9275467,2.0791485,2.1356554,2.3925848,2.5218973,2.6685872,2.6763,2.977855
1.5619037,1.666051,1.7713089,2.2023847,2.533194,2.7227778,2.9815004,3.58087
3.1485794,3.21845,3.3471155,3.7333896,3.8893356,4.0151725,4.130857,4.500942
2.7650466,2.7391944,2.8111274,2.9856002,3.145343,3.3712246,3.4860303,4.120793
3.1799877,3.252607,3.3787029,3.7655919,3.9174635,4.0376444,4.1542673,4.51573
2.0067062,2.140603,2.1837215,2.4162338,2.5437303,2.6854389,2.690775,2.9942884
1.9921119,2.1160913,2.1943057,2.4356573,2.605529,2.7600117,2.799038,3.1947973
1.6630785,1.8673933,1.9489744,2.288773,2.4582136,2.6187541,2.6460803,3.013275
2.5383961,2.5777009,2.6477048,2.9609752,3.1597793,3.392183,3.497648,4.177804
2.8510396,2.8164885,2.8818653,3.0165257,3.170339,3.3963501,3.5051897,4.1346383
2.0106137,2.1429603,2.1873078,2.4188423,2.5483243,2.6904476,2.6973999,3.005598
1.72298,1.9113927,1.9947622,2.3170404,2.4909198,2.6513226,2.683902,3.065841
1.8956052,2.0548558,2.1120403,2.3785756,2.5083318,2.6557395,2.662692,2.9625418
1.6653678,1.7764714,1.882,2.2969398,2.6057868,2.789656,3.0507343,3.6505115
3.0710106,3.125729,3.2870069,3.635366,3.8478765,4.001472,4.142926,4.5677075
2.8794503,2.8614128,2.9376152,3.1070323,3.2625613,3.480368,3.59627,4.189694
2.2735848,2.3530998,2.306724,2.4544466,2.5707548,2.6833699,2.6632934,2.959755
2.1025474,2.1953495,2.2788103,2.4884121,2.6734095,2.8286712,2.8817341,3.319757
3.2950885,3.3557131,3.5334356,3.9116917,4.1554193,4.2582006,4.451171,4.837529
1.5310812,1.6482956,1.7556137,2.183173,2.5080237,2.6950717,2.9428504,3.521063
2.9650934,2.9253106,2.9846082,3.0900998,3.23071,3.4497051,3.556913,4.171172
1.8727032,2.038949,2.0937285,2.3666732,2.4916053,2.6383736,2.6410775,2.928445
1.5381291,1.6295213,1.7239037,2.167607,2.5148213,2.7080169,2.9777555,3.5983818
1.8094978,1.925401,2.0325103,2.4010963,2.691542,2.8753648,3.103931,3.7190914
1.529527,1.7638292,1.8424783,2.236319,2.405847,2.5703065,2.6048765,2.9559872
3.1402059,3.2112682,3.340808,3.733325,3.8927069,4.0185533,4.1350827,4.506277
1.9278979,2.0542645,2.1581287,2.4228835,2.638064,2.8037767,2.873032,3.3625772
3.0755658,3.141736,3.2803197,3.663279,3.840717,3.9828553,4.1017027,4.496155
2.1297114,2.1986904,2.3157473,2.5226772,2.7658346,2.9339657,3.030246,3.5979707
3.1205444,3.1902108,3.3310704,3.7231445,3.905789,4.0419173,4.168915,4.550728
3.1401455,3.1335127,3.2216458,3.3820188,3.5157459,3.7066731,3.831288,4.3365455
1.5471241,1.7732041,1.8562353,2.249528,2.4334576,2.599661,2.6466382,3.0236971
2.2281342,2.3175626,2.284172,2.4461052,2.562484,2.6793127,2.6618369,2.955406
2.8103304,2.785653,2.85834,3.0222433,3.1829252,3.4086876,3.5214746,4.142231
2.4160893,2.4532628,2.5213704,2.8225105,3.0246787,3.2678113,3.3825774,4.1268287
2.2577586,2.3137808,2.3572304,2.6372771,2.9028413,3.184059,3.32676,4.1855984
1.6101878,1.8250384,1.907763,2.2701585,2.441081,2.6047723,2.637996,3.0063121
2.0774775,2.1558986,2.2406318,2.4936697,2.8160686,3.093996,3.3044124,4.065129
3.0674362,3.1219184,3.282188,3.6327631,3.840096,3.992849,4.1313167,4.5511775
0.943241,0.9683125,1.07763,1.3094327,1.7860838,2.1719816,2.7483835,3.6250353
1.5814914,1.8008413,1.8840834,2.262166,2.4382892,2.6039667,2.645138,3.0185933
2.3722084,2.4281404,2.3607574,2.478373,2.600361,2.7061884,2.6859574,3.0017068
2.8704457,2.859252,2.944194,3.1320665,3.2911968,3.5063965,3.6262841,4.2047324
2.8833492,2.8547988,2.9233081,3.0672653,3.2193885,3.4408092,3.552264,4.164214
3.1674652,3.2270005,3.3598318,3.7057505,3.8583665,3.996169,4.113159,4.4875836
1.5768557,1.7986516,1.8808088,2.257776,2.4317055,2.5963378,2.6334546,3.0008755
3.3442216,3.4116747,3.5735555,3.9848423,4.2571955,4.32707,4.5472155,4.94022
3.3040862,3.2687573,3.3233404,3.389226,3.4959848,3.6866121,3.7967987,4.330764
2.3747215,2.4316552,2.4937155,2.7753055,3.013375,3.2611918,3.395222,4.21679
2.131358,2.1994548,2.2667165,2.537518,2.8510633,3.1259007,3.31649,4.117267
1.5804846,1.8127315,1.8805535,2.2426157,2.3854222,2.5416124,2.5470026,2.8489647
2.0518746,2.1490078,2.325429,2.6342225,3.0353575,3.2397416,3.396527,4.1477594
3.2739985,3.3393633,3.4966238,3.8921926,4.1753974,4.2620516,4.476572,4.9068565
2.9919362,2.9360988,2.9847624,3.048766,3.182108,3.4039931,3.5042794,4.141247
1.5830278,1.6875355,1.7892025,2.220543,2.5467825,2.7363732,2.9980729,3.5997877
2.1072266,2.2365823,2.18898,2.384143,2.4605014,2.5725465,2.523781,2.720309
2.7854762,2.7686625,2.8478065,3.035285,3.1999106,3.423924,3.540557,4.1520834
1.4593858,1.5621376,1.6625103,2.1046147,2.4591932,2.648449,2.9070642,3.504216
2.9471083,2.9020424,2.958382,3.0541577,3.1951654,3.417323,3.522227,4.1496687
3.280071,3.342116,3.5154629,3.8952627,4.136012,4.2420073,4.4295197,4.8190145
1.95193,2.073749,2.1748853,2.4320335,2.6427376,2.80701,2.8738909,3.355655
