3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y
3.9611483,3.9952908,3.9374957,3.8678827,3.8583355,3.9051979,3.9710057,4.0411663,4.1243005,4.2005363,4.267894,4.339649,4.393803,4.4530954,4.5025024,4.548134,4.5800185,4.6193767,4.650667,4.6767416,4.702567,4.7245717,4.7472534,4.7673926,4.7864323,4.79856,4.816641,4.825841,4.8405094,4.8583508,4.865067,4.8776093
3.7966335,3.8904574,4.007795,4.0586653,4.0483203,4.0439563,4.0635214,4.0705395,4.0937796,4.1145906,4.1364655,4.158749,4.1790814,4.2029557,4.21972,4.238707,4.254217,4.2694592,4.2859416,4.2961583,4.3117285,4.3218026,4.3315654,4.3432074,4.3530493,4.3615084,4.3691354,4.378,4.380786,4.392331,4.396873,4.4037914
1.898569,1.8104231,1.8980104,2.277031,2.5829241,2.8466988,3.062028,3.2343686,3.384369,3.5115037,3.6230316,3.7086577,3.779696,3.8437316,3.8925889,3.9334764,3.9631045,3.9863098,4.0056796,4.0091925,4.016441,4.0159345,4.002038,3.993951,3.9764533,3.962173,3.934886,3.908333,3.8808236,3.8555346,3.8157883,3.7899194
3.6752822,3.593449,3.4274223,3.3012345,3.3307502,3.4228282,3.5413263,3.6723518,3.7956574,3.9112267,4.0166106,4.109,4.1907635,4.26239,4.328335,4.3851666,4.433607,4.477898,4.5186963,4.552272,4.5852017,4.6162763,4.6412215,4.664349,4.6873326,4.707982,4.7250915,4.740967,4.757369,4.7722063,4.7787347,4.7960057
4.04665,4.195157,4.1745634,4.1748276,4.1577115,4.1982017,4.2275066,4.2747455,4.337429,4.3960056,4.4441605,4.507047,4.550257,4.6077657,4.6538553,4.6915274,4.716384,4.753017,4.782489,4.803063,4.827449,4.8439817,4.8660426,4.886709,4.9012923,4.9072857,4.926509,4.931096,4.942975,4.9585233,4.963179,4.9818377
0.55481553,0.52923965,0.74763775,1.3859103,1.952041,2.4065301,2.7857175,3.0987878,3.3655148,3.5883374,3.7795556,3.94601,4.085484,4.2007513,4.2962713,4.3763375,4.4409995,4.4916496,4.5284805,4.5603056,4.577588,4.5889883,4.59637,4.5931706,4.5875072,4.5729747,4.55912,4.5393233,4.5178995,4.492633,4.471867,4.438472
3.6531408,3.7518234,3.7988896,3.7984505,3.8015673,3.81174,3.8217795,3.8397439,3.8590593,3.879778,3.8996863,3.9184475,3.9379878,3.9569263,3.9700093,3.9808278,3.9990113,4.006432,4.0191784,4.0264206,4.036521,4.0448976,4.0540385,4.0613155,4.066532,4.073612,4.0807147,4.088354,4.089715,4.0936785,4.0988317,4.102951
3.7809806,3.889255,3.955783,3.9946573,3.9888668,3.9809442,4.0001626,4.0132895,4.0376096,4.057357,4.079867,4.1072407,4.1261287,4.152174,4.172726,4.195017,4.2088475,4.226034,4.240508,4.253055,4.267216,4.278244,4.2902474,4.3002787,4.3116965,4.319095,4.326668,4.3319354,4.33733,4.346916,4.3518767,4.357891
3.9271092,4.019649,4.188859,4.2639294,4.2736473,4.2716126,4.2883825,4.2996445,4.3148756,4.3305387,4.34969,4.3628793,4.383364,4.3944073,4.407156,4.419847,4.4341745,4.444695,4.454631,4.4680395,4.476673,4.485442,4.492802,4.5004435,4.5086746,4.517827,4.5235095,4.533178,4.5377126,4.541895,4.551585,4.553413
3.6660476,3.7520082,3.787572,3.7788012,3.780237,3.791515,3.801199,3.8224263,3.8410883,3.8618503,3.8833807,3.9015641,3.9222233,3.9412491,3.9541936,3.9639382,3.9825187,3.9890726,4.003153,4.0092487,4.019803,4.0283666,4.0376196,4.044725,4.048312,4.0556293,4.0622683,4.0708857,4.0713677,4.074707,4.0792365,4.083603
3.7877183,3.8358445,3.8825521,3.9567099,4.0041766,4.0435715,4.074853,4.1505127,4.1978607,4.2529473,4.3035164,4.345956,4.3893547,4.422575,4.459549,4.4849377,4.5113416,4.534534,4.5533895,4.573776,4.5896235,4.604056,4.6194243,4.629964,4.6389475,4.6511374,4.660787,4.6696873,4.678412,4.67738,4.6842217,4.6915708
3.7948813,3.8964796,4.0197043,4.0761347,4.0651994,4.056889,4.073886,4.077669,4.098027,4.1160607,4.135576,4.1559815,4.1743116,4.19676,4.212466,4.2306995,4.24491,4.2593994,4.274978,4.2846885,4.2997184,4.309438,4.318725,4.329913,4.3397675,4.3480783,4.355227,4.3636327,4.3662906,4.377744,4.382023,4.3889327
