1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
5.150776,5.1757317,5.191829,5.1801357,5.1789756,5.142639,5.173613,5.1758494,5.1608934,5.156211,5.1663327,5.171559,5.1210456,5.111011,5.0762386,5.066672,5.0455317,5.0062494,4.9969954,4.960996,4.9320207,4.912613,4.879346,4.8430233,4.819913,4.7812586,4.7550807,4.730912,4.6933327,4.6721325,4.6516075,4.6364894,4.6041117,4.565572,4.5504074,4.524723,4.505243,4.4791093,4.4571733,4.4349656,4.411871,4.3910995,4.3688197,4.3474555,4.3315463,4.310814,4.292896,4.276308,4.2607613,4.2425413,4.2224894,4.2089024,4.1899195,4.179353,4.1646204,4.1492953,4.1373706,4.1232133,4.1158924,4.1020894
5.730171,5.740119,5.7168956,5.7427893,5.7425027,5.764518,5.7597375,5.740397,5.756654,5.7686186,5.727676,5.742633,5.713473,5.6392593,5.6307707,5.5566683,5.5288944,5.5071716,5.4466248,5.438314,5.395089,5.3563423,5.3415947,5.301887,5.2790236,5.2339363,5.199731,5.1683044,5.136355,5.100719,5.072639,5.0286913,5.003296,4.982671,4.9409256,4.9124627,4.887412,4.855302,4.826954,4.798112,4.77401,4.7479553,4.7223754,4.7011633,4.6750216,4.6500096,4.626586,4.6020093,4.5824957,4.561733,4.5430737,4.5179915,4.5050135,4.481314,4.4604025,4.446487,4.4329467,4.4136314,4.397662,4.384841
4.40316,4.38142,4.3808146,4.3517995,4.345481,4.284062,4.2644305,4.227673,4.2200875,4.2161374,4.232386,4.209974,4.161079,4.145255,4.192204,4.191895,4.2279024,4.2364073,4.292874,4.290976,4.3080826,4.33301,4.3363853,4.352238,4.3490453,4.3502655,4.351007,4.3498464,4.3687882,4.362931,4.3615913,4.3749485,4.3628597,4.3693504,4.365331,4.376711,4.3607264,4.3620963,4.3673363,4.3637013,4.3588815,4.3540363,4.3489347,4.3446255,4.3374467,4.3326297,4.326644,4.3192506,4.31232,4.3000546,4.293549,4.291498,4.2772207,4.270506,4.2618713,4.251326,4.245521,4.2400475,4.224321,4.2182856
4.32424,4.2726226,4.350222,4.292526,4.241988,4.203719,4.205491,4.1820383,4.16589,4.150855,4.1476116,4.122299,4.0916514,4.0919456,4.078093,4.0891113,4.1298943,4.1146264,4.1675344,4.168664,4.1958256,4.223057,4.209439,4.221847,4.2188177,4.216542,4.230168,4.2388954,4.2327337,4.2500987,4.252818,4.2620044,4.2590275,4.2492156,4.261814,4.262478,4.25625,4.2605805,4.2701745,4.261246,4.2610073,4.2628613,4.2581296,4.2472086,4.244002,4.2472086,4.240695,4.2327585,4.231033,4.2235184,4.2119074,4.2150826,4.204035,4.199448,4.1913137,4.1827316,4.179382,4.168215,4.166197,4.1554894
4.69758,4.646002,4.688179,4.689779,4.663047,4.6403217,4.6563478,4.6171227,4.5481873,4.5894375,4.5827813,4.567739,4.541702,4.5005736,4.47154,4.479474,4.4734974,4.4245687,4.457297,4.442961,4.4299755,4.408382,4.416104,4.379356,4.382926,4.3675413,4.359142,4.33836,4.3508787,4.340391,4.3336325,4.331205,4.320744,4.308727,4.2881246,4.2964244,4.2870135,4.2851143,4.2673903,4.251852,4.2505183,4.2379045,4.227467,4.2118077,4.2058964,4.1943116,4.1967087,4.176428,4.167094,4.1632195,4.149012,4.136666,4.121429,4.112764,4.109786,4.100172,4.088521,4.0763702,4.0710473,4.0665755
5.8787966,5.936678,5.935068,5.9154897,5.930093,5.948702,6.001878,6.061037,6.0402966,6.048562,6.0728436,6.064351,6.0547066,6.0482135,5.932675,5.92369,5.868131,5.7763968,5.6984453,5.6471605,5.590256,5.5257435,5.45669,5.3968964,5.334848,5.280521,5.2247257,5.175662,5.0896034,5.0595465,5.00105,4.964634,4.9135475,4.845914,4.8164983,4.759987,4.7244043,4.685682,4.6319313,4.601586,4.558332,4.5228577,4.4868536,4.451277,4.422409,4.3977036,4.365822,4.3329535,4.3161297,4.285659,4.2562895,4.2388678,4.2175784,4.2007375,4.1803513,4.1612897,4.1463857,4.125074,4.1186953,4.0965495
0.6811564,0.7168975,0.6846647,0.7032244,0.7187431,0.71245027,0.7410021,0.7720361,0.79265094,0.8157115,0.85559916,0.90678215,1.143709,1.3736076,1.646055,1.8687835,2.0994935,2.3064394,2.4862714,2.6677146,2.8029954,2.9629018,3.0867803,3.2337875,3.3417873,3.4430864,3.5399883,3.640867,3.7274084,3.808377,3.8850994,3.958791,4.017373,4.0716267,4.118992,4.1749,4.213279,4.251146,4.291754,4.321916,4.350664,4.375718,4.3954115,4.415585,4.4403067,4.4474607,4.4632664,4.4746914,4.485101,4.493124,4.501307,4.5039988,4.5050545,4.5104823,4.5133805,4.5114727,4.517514,4.512308,4.512733,4.5115666
5.2673354,5.287415,5.2435355,5.225835,5.2248487,5.2265058,5.222099,5.2593627,5.244468,5.216116,5.240871,5.221202,5.1679707,5.166865,5.1047897,5.121147,5.0968413,5.06951,5.039606,5.010846,4.9919233,4.9724236,4.924189,4.913207,4.879774,4.8582115,4.8345237,4.813476,4.7661347,4.7493663,4.7205524,4.7053986,4.676444,4.6440396,4.630335,4.601361,4.5777426,4.5606136,4.530902,4.516924,4.489994,4.469577,4.448702,4.4278483,4.411857,4.3938475,4.371181,4.354172,4.3403845,4.317618,4.3005095,4.2885103,4.271668,4.2602277,4.2434974,4.226616,4.2162952,4.2032714,4.1905255,4.1740522
4.583925,4.6019573,4.505208,4.5276833,4.542762,4.5344195,4.529025,4.5179286,4.522308,4.5282445,4.503461,4.5214257,4.5042944,4.5186934,4.595803,4.5748343,4.602515,4.6490426,4.628352,4.6578903,4.6836023,4.673602,4.694792,4.6942196,4.713365,4.716401,4.712454,4.726316,4.7240753,4.714772,4.729027,4.711835,4.7168202,4.719284,4.717896,4.7142115,4.7174506,4.7052426,4.703813,4.705024,4.696818,4.6927505,4.6875744,4.6897907,4.677065,4.6707225,4.657045,4.651137,4.64449,4.6315494,4.6252427,4.6095357,4.6045156,4.5911016,4.5735726,4.567351,4.5603,4.5445495,4.5331097,4.5232496
4.3451605,4.29628,4.3703566,4.3337593,4.275989,4.266927,4.267592,4.2243037,4.2068796,4.1996017,4.1826496,4.149685,4.117216,4.100811,4.0845013,4.077148,4.110394,4.075969,4.112849,4.108173,4.132467,4.1451187,4.1463523,4.1407185,4.1401796,4.141054,4.14992,4.159725,4.153544,4.1636276,4.1680117,4.1693325,4.171348,4.168343,4.1792426,4.1704383,4.1710486,4.171287,4.1819124,4.171854,4.170977,4.173414,4.1718574,4.161148,4.156532,4.160204,4.15577,4.147764,4.145793,4.1394944,4.12954,4.1306205,4.121466,4.117772,4.111088,4.1059794,4.0980787,4.08742,4.088741,4.080597
