3M,6M,1Y,2Y,5Y,10Y,15Y,20Y,30Y
0.24023001,0.26575875,0.27061245,0.27660188,0.36003286,1.3162129,1.9294589,2.0932846,2.406172
0.25786704,0.28099176,0.28127137,0.21991894,0.8317382,2.3932228,2.9270198,3.108626,3.2230113
0.22699644,0.25741163,0.26167116,0.27986562,0.3617946,1.3141006,1.952735,2.095224,2.462722
0.2419202,0.26834172,0.27253574,0.2775848,0.33142853,1.2834271,1.8628275,2.038709,2.335903
0.23825866,0.25140095,0.2580359,0.17139518,0.4515245,1.4145333,2.0233803,2.239713,2.6485486
0.2312666,0.23703957,0.2349691,0.17565401,0.41933453,1.3717374,1.6622548,1.9943191,2.3339422
0.2409489,0.26611173,0.27077064,0.27663353,0.3607054,1.318658,1.9282068,2.0942335,2.4081354
0.2406705,0.26319307,0.2661909,0.27715585,0.3831334,1.3712987,2.0250602,2.1787596,2.5393457
0.24676871,0.25677437,0.2592197,0.19528827,0.43662733,1.4228742,2.020019,2.2236137,2.6282046
0.23753333,0.26397803,0.26862216,0.27758637,0.36004958,1.3192917,1.9614522,2.1144936,2.431679
0.25002325,0.270683,0.27268723,0.27787468,0.35747188,1.3317083,1.9156654,2.0987597,2.432027
0.26015133,0.27061427,0.26929727,0.26817998,0.5031216,1.5835191,2.2726912,2.410113,2.7541285
0.23617992,0.25593978,0.2586482,0.2653314,0.35201162,1.3812096,1.992576,2.1856885,2.5695853
0.2580138,0.2704803,0.26739347,0.2684237,0.49640685,1.5719719,2.2286994,2.3770723,2.7434754
0.25892073,0.28495932,0.28072163,0.22109514,0.85050535,2.3995204,2.8901718,3.0852022,3.1429853
0.2474525,0.28112724,0.27876332,0.24767877,1.124121,2.6798866,3.171014,3.3266182,3.4888935
0.24133882,0.2531512,0.25807652,0.18054163,0.44727033,1.4159801,2.0152597,2.2273326,2.6357276
0.2569273,0.28117406,0.28216562,0.21954164,0.86918885,2.4607024,2.9910152,3.167229,3.2855155
0.24813989,0.26012355,0.26415354,0.18793213,0.4190346,1.4847456,2.1370397,2.3437464,2.7340665
0.23715304,0.24290721,0.24009186,0.18689314,0.40682185,1.384516,1.7160039,2.0274682,2.374604
0.2584894,0.28625682,0.28112462,0.2207657,0.88798594,2.4494152,2.9193697,3.114583,3.15988
0.24889281,0.27292308,0.2579798,0.31209648,1.0766509,2.018279,2.6425056,2.8346627,3.03339
0.28941965,0.294676,0.28412867,0.28545576,0.45470408,1.5064702,2.080459,2.2560267,2.6342032
0.28950393,0.3013472,0.2901832,0.28860497,0.40724227,1.4246984,1.980804,2.1444707,2.4432018
0.25549623,0.26558122,0.26733384,0.20513341,0.3965882,1.5263958,2.2000196,2.3979802,2.7814674
0.24000055,0.25199255,0.25715974,0.1778911,0.45117515,1.4113975,2.004223,2.2184322,2.6284444
0.25786385,0.28105485,0.28110018,0.21993405,0.8312078,2.3909783,2.9229302,3.1069305,3.2166498
0.23813201,0.2514305,0.25820762,0.17084223,0.45103163,1.4150919,2.0271952,2.243402,2.6514606
0.2536646,0.26452017,0.26705405,0.19979216,0.40262222,1.5351038,2.2068987,2.409821,2.7935808
0.2874656,0.29264012,0.28293413,0.28429556,0.4551549,1.5066665,2.0820296,2.2603457,2.6449785
0.29075798,0.3002851,0.2888979,0.28783196,0.42326277,1.4533567,2.0183458,2.1848454,2.5036309
0.2561623,0.2892599,0.27801198,0.2818277,1.2109735,2.3198757,2.8114014,2.86813,3.0481026
0.23574466,0.25649396,0.25935665,0.2673286,0.35481974,1.3778578,1.9946836,2.1812122,2.562327
0.23654501,0.25611237,0.25880754,0.26539907,0.3525162,1.3840635,1.9965245,2.189603,2.5731287
0.23147793,0.2372223,0.2349427,0.176078,0.41712022,1.3728714,1.6576555,1.9912161,2.330268
0.25758544,0.2665845,0.26710463,0.21471535,0.3982972,1.5056098,2.171726,2.3616192,2.742205
0.25832766,0.28269508,0.2819659,0.2143186,0.8455797,2.4539368,2.967277,3.1674557,3.2267692
0.23840883,0.26440212,0.26901773,0.27734768,0.3612925,1.3212875,1.9579525,2.1133535,2.4315035
0.22238697,0.22823587,0.2275023,0.15869556,0.44044918,1.3515546,1.5889338,1.9491256,2.2790196
0.25942472,0.29059282,0.2776045,0.32293153,1.379554,2.4783113,2.9384139,2.9749956,3.137382
0.25745648,0.28039083,0.28102478,0.22234987,0.83421147,2.3807344,2.920766,3.095155,3.2299557
0.28819367,0.29429516,0.28422537,0.28484887,0.44496584,1.4923468,2.0647495,2.2399805,2.6127224
0.23922248,0.2649012,0.2695887,0.27703995,0.3610663,1.3200841,1.950694,2.108713,2.4247382
0.25650892,0.2804596,0.2809159,0.22453168,0.8624994,2.41234,2.9480557,3.1201036,3.2581775
0.25142214,0.25648826,0.25092557,0.21882111,0.37161767,1.3851653,1.7873943,2.0574865,2.4338934
0.23954596,0.24967672,0.2527138,0.1824713,0.45228493,1.3991157,1.9413028,2.167116,2.570678
0.24135882,0.2656918,0.27004156,0.27673593,0.36668026,1.3310974,1.9535668,2.1159816,2.4393005
0.28704408,0.29197827,0.2827352,0.28411025,0.46756965,1.5204414,2.097869,2.27796,2.6559336
0.25333515,0.25915083,0.25497836,0.21784985,0.37929222,1.4175678,1.8882692,2.1349018,2.5058873
0.29064202,0.30021077,0.28886342,0.287803,0.42290837,1.4527471,2.0174758,2.1840158,2.5029435
0.2405374,0.2655825,0.2702096,0.27671176,0.36308008,1.3231554,1.9431813,2.1053908,2.4232745
0.2589787,0.28450352,0.28022945,0.22291936,0.8408394,2.3689687,2.8640065,3.0565207,3.1263504
0.23850583,0.2509477,0.25673172,0.17400715,0.45433414,1.4089854,2.0011513,2.2177033,2.628885
0.24766512,0.2630465,0.2640147,0.25895905,0.67739064,1.7417796,2.2976582,2.4989457,2.836651
0.2536611,0.2585935,0.25409532,0.22988722,0.3729978,1.3924848,1.8402605,2.103277,2.4846866
0.2478694,0.2596378,0.26345977,0.18954384,0.42282802,1.4690752,2.1143863,2.3190534,2.7111478
0.24549076,0.25435004,0.2554879,0.19654693,0.4391898,1.4103572,1.9671742,2.180999,2.582034
0.2582391,0.2870223,0.2813968,0.22029361,0.9093948,2.4805741,2.9386008,3.1342576,3.1710286
0.2576415,0.28057268,0.28087083,0.22188963,0.8298039,2.3755252,2.9130764,3.091301,3.2176895
0.2464754,0.25638962,0.25870448,0.1951964,0.43811017,1.420439,2.0127373,2.2168167,2.622084
0.25816584,0.28707942,0.28115803,0.22183838,0.914616,2.4719913,2.9269986,3.1206036,3.1635747
0.23792374,0.25119624,0.2579897,0.17047518,0.45203775,1.4141682,2.0236976,2.2404659,2.6493297
0.24748218,0.27940807,0.2761204,0.25663516,1.0800096,2.5391223,3.047588,3.1953993,3.400604
0.2412095,0.2550485,0.26123422,0.17212246,0.4416828,1.4489849,2.0817468,2.296588,2.692384
0.24083555,0.2503724,0.25266913,0.18630786,0.44897303,1.4006615,1.9383514,2.1639411,2.565043
0.24965537,0.27273887,0.25843883,0.30942336,1.0461171,1.9904962,2.6215646,2.8062038,3.0156953
0.2890353,0.29485357,0.28444415,0.2852843,0.44866395,1.4977489,2.0705876,2.245565,2.6180778
0.25685892,0.29139236,0.2830321,0.21804397,1.0338721,2.6583595,3.0494752,3.2471225,3.2362168
0.24613051,0.25845027,0.2628214,0.18514921,0.42876792,1.4614083,2.1020195,2.3089561,2.7018476
0.25821176,0.28712192,0.2814713,0.21992934,0.9114245,2.486536,2.9433303,3.1394148,3.1738062
0.24028584,0.25213566,0.25710636,0.1788424,0.45084253,1.4112433,2.002717,2.216487,2.6264162
0.25153026,0.25656974,0.2511327,0.2209995,0.3709882,1.3799348,1.7863405,2.055353,2.436165
0.24934952,0.26152563,0.2659171,0.18608387,0.4067734,1.5246114,2.1961036,2.4068818,2.7937093
0.22780797,0.23344226,0.23083144,0.16916025,0.41722095,1.3678502,1.5956626,1.9518201,2.2825193
0.27805138,0.2910753,0.28398332,0.28416649,0.39317673,1.4018638,1.9534369,2.1308448,2.4628558
0.23477829,0.24045274,0.23736776,0.18242301,0.40635175,1.3814716,1.6739093,2.0006738,2.3421497
0.24777383,0.2646154,0.2659662,0.27458185,0.40168622,1.4255717,2.0693884,2.2416868,2.6220012
0.23986559,0.25773248,0.25999293,0.2652303,0.36347097,1.4017065,2.0177262,2.2131681,2.592312
0.2870239,0.30107552,0.29061693,0.28875273,0.39105433,1.3960735,1.9423285,2.1045482,2.3910658
0.24314524,0.2638284,0.2662956,0.27688175,0.39078084,1.3876016,2.0412135,2.1977065,2.5685055
0.24242625,0.26620165,0.27035177,0.27668774,0.368343,1.3343114,1.9514263,2.1166682,2.4418964
0.25908005,0.26631585,0.2654887,0.2285235,0.39814118,1.4799035,2.0945594,2.2992876,2.665692
0.24885221,0.2817254,0.2801785,0.24041182,1.1013544,2.6956768,3.1866732,3.3480241,3.4889905
0.25917587,0.2843635,0.28081068,0.21966141,0.8300929,2.3881335,2.8904085,3.087563,3.144088
0.24679533,0.27426213,0.26380166,0.29487482,1.0314925,2.1618164,2.669229,2.8656485,3.1110597
