row_index,beta1,beta2,beta3,lambd,rmse
0,3.1629606697058295,-2.7967941633827453,-4.281429353554945,2.9436936936936937,0.0770433072422681
1,3.9486170737826027,-3.4523874939375574,-5.936720953211456,1.8486486486486489,0.12421893704824963
2,3.1570015633015243,-2.7984381912536906,-4.313207604558438,2.9635135135135138,0.07842083908859292
3,3.0910603834212464,-2.7135624340815188,-4.275434218528844,2.814864864864865,0.08278165215316424
4,3.269040778823852,-2.905706996611528,-4.579039391769593,2.7653153153153154,0.050861354398929234
5,2.977643440775961,-2.637223036344691,-4.137962540785894,2.710810810810811,0.06971483514624384
6,3.1629606697058295,-2.7967941633827453,-4.281429353554945,2.9436936936936937,0.0770433072422681
7,3.2193946074964686,-2.8328275590475975,-4.538771689531114,2.8941441441441444,0.09449925087367989
8,3.3980895281268726,-3.0430752041159064,-4.598210041141986,2.948648648648649,0.048964308171657714
9,3.0970176582633826,-2.7180484011817025,-4.376780749190592,2.824774774774775,0.08250207927923912
10,3.1599369704512665,-2.79175927882945,-4.262091579507098,2.9585585585585585,0.07056019086997065
11,3.638525223019051,-3.235416036021819,-5.071299919433303,2.7554054054054054,0.0835444722493333
12,3.340417774101699,-2.959376871700502,-4.735312865635867,2.9783783783783786,0.09453119761133594
13,3.652903180854205,-3.2529624775614447,-5.098457599593944,2.8000000000000003,0.08743125884219617
14,3.9133987453100674,-3.3905835423140918,-6.05764480903002,1.8238738738738742,0.14774190446592977
15,4.251222824127335,-3.7789620637326813,-6.149088568226638,1.7792792792792795,0.11277555227113503
16,3.248920678235952,-2.88609791989468,-4.532073046249744,2.824774774774775,0.05016246544947641
17,4.0533516830795415,-3.553093457371835,-6.081264532542981,1.8238738738738742,0.12498136281350278
18,3.581597767633677,-3.1655625577436997,-5.297801706040555,2.7554054054054054,0.08676506634239524
19,2.9790034628361095,-2.6321308601245565,-4.148958533230266,2.7405405405405405,0.06822849688994118
20,3.8593370555378397,-3.32959107828599,-6.011254290629098,1.72972972972973,0.14799255432654032
21,3.6121554993252802,-3.216924680401883,-4.88708931726674,1.8932432432432436,0.058267993386243874
22,3.2874960521930157,-2.845599909816573,-4.751023006693743,2.562162162162162,0.08499448271364753
23,3.2014890352295104,-2.774862681311111,-4.490011168825384,2.7355855855855857,0.08709902978546914
24,3.6314690665747134,-3.186607551016504,-5.510111457261846,2.6761261261261264,0.09442391741735122
25,3.2425083643146824,-2.8823749826941807,-4.509640673098344,2.7752252252252254,0.0512704424641527
26,3.9486170737826027,-3.4523874939375574,-5.936720953211456,1.8486486486486489,0.12421893704824963
27,3.268628744957627,-2.904141914262092,-4.586992080458231,2.7554054054054054,0.052325671426092714
28,3.6294512222672166,-3.1873037545724827,-5.515945093940692,2.6810810810810812,0.0965513381323959
29,3.2408509039280338,-2.8091346946747544,-4.6371940981732145,2.596846846846847,0.08452544585558376
30,3.1968848218158628,-2.758007940289745,-4.633535143944907,2.6563063063063064,0.08155412584124447
31,3.5574568492918965,-3.0207877487482167,-5.539268332037836,1.4720720720720724,0.1217170855950495
32,3.340417774101699,-2.959376871700502,-4.735312865635867,2.9783783783783786,0.09453119761133594
33,3.3329533920183776,-2.956105925901822,-4.684921289647685,2.9734234234234234,0.09175305765515694
34,2.977643440775961,-2.637223036344691,-4.137962540785894,2.710810810810811,0.06971483514624384
35,3.6168996554904425,-3.189406089723893,-5.366761100291028,2.7256756756756757,0.09301173993259154
36,3.9911633932778328,-3.5070598033973015,-5.902356754556127,1.8684684684684687,0.11239726829940651
37,3.108598508789703,-2.7283602725253684,-4.399949077856091,2.814864864864865,0.08350791859915513
38,2.846186269426002,-2.5187256203037163,-4.009358674425763,2.7355855855855857,0.0700302023516938
39,3.6501443829903732,-3.117352120757263,-5.5453628090714755,1.3234234234234237,0.12266284681509784
40,4.0242758172481565,-3.5186580568291603,-6.102886173828871,1.8833333333333335,0.13877017197528818
41,3.2273931986024764,-2.789534898240385,-4.6726441940558505,2.621621621621622,0.07911069294046971
42,3.1173949111126267,-2.741134378926187,-4.369276220489583,2.8594594594594596,0.08259276898538073
43,4.0361254414907854,-3.524275838975945,-6.148077672105303,1.8486486486486489,0.14433816108390116
44,3.103485588795822,-2.742947312061142,-4.288875645882779,2.8792792792792796,0.0663130624138004
45,3.28641147588188,-2.9261998533198907,-4.542435048890591,2.7355855855855857,0.05712452579683974
46,3.102962370412023,-2.7230721858784745,-4.3447263007183565,2.804954954954955,0.08208860917585709
47,3.227551866384094,-2.794988004261292,-4.6392082068579965,2.591891891891892,0.08225068653422013
48,3.0654667368376263,-2.6755901180025212,-4.4723556850658435,2.7256756756756757,0.08000626256856896
49,3.1968848218158628,-2.758007940289745,-4.633535143944907,2.6563063063063064,0.08155412584124447
50,3.1357254840619615,-2.7758596190459763,-4.22783988600976,2.9684684684684686,0.07642181507734101
51,3.9378124934882566,-3.419398607709825,-6.074820545284197,1.8734234234234237,0.14262667271944252
52,3.235759263313204,-2.8765250547268852,-4.512579446781208,2.80990990990991,0.04977621895196766
53,3.525101170453708,-3.1942459483333785,-4.415039235147603,2.8445945945945947,0.04260594446683939
54,3.117556281105176,-2.7293036567329176,-4.463595326904073,2.7355855855855857,0.07103802168454125
55,3.575603907545354,-3.1587395824904743,-5.295753768235257,2.7454954954954958,0.08667924310994672
56,3.26338123297794,-2.9156792601409274,-4.405126307340348,2.9090090090090093,0.050421008635776685
57,3.988574397755839,-3.484730027588604,-6.007010141239775,1.833783783783784,0.12758406641850192
58,3.9486170737826027,-3.4523874939375574,-5.936720953211456,1.8486486486486489,0.12421893704824963
59,3.3980895281268726,-3.0430752041159064,-4.598210041141986,2.948648648648649,0.048964308171657714
60,3.8125878812449807,-3.2801601475022784,-5.946193681060476,1.6603603603603605,0.14524392766642782
61,3.268628744957627,-2.904141914262092,-4.586992080458231,2.7554054054054054,0.052325671426092714
62,4.153578615364948,-3.685815522794684,-6.031974009348319,1.8486486486486489,0.11299365645685638
63,3.536634290982019,-3.1781355608132635,-4.805432133250401,2.904054054054054,0.049787409291206196
64,3.325265149313494,-2.9682666283943506,-4.553302366601329,2.78018018018018,0.05639138907872064
65,3.5658160055505217,-3.1728534837863025,-4.81722876538103,1.9031531531531534,0.05757375466089803
66,3.2273931986024764,-2.789534898240385,-4.6726441940558505,2.621621621621622,0.07911069294046971
67,4.065675422947415,-3.561703162766964,-6.082653359745493,1.7545045045045047,0.1348259807932157
68,3.520285137566463,-3.1804864960545594,-4.5748412880491145,2.8545045045045048,0.04381324259114063
69,3.8125878812449807,-3.2801601475022784,-5.946193681060476,1.6603603603603605,0.14524392766642782
70,3.2425083643146824,-2.8823749826941807,-4.509640673098344,2.7752252252252254,0.0512704424641527
71,3.054767113811655,-2.6795752005627937,-4.345111163927945,2.7900900900900902,0.06245417343584199
72,3.5457938061674814,-3.101997659792109,-5.44170149741007,2.6563063063063064,0.08420447566284711
73,2.87495480780542,-2.5411115184072086,-4.021184844322035,2.7355855855855857,0.06872279018247907
74,3.101590590540918,-2.6954374311944895,-4.300332353805727,2.78018018018018,0.07939978678707527
75,2.893190627115322,-2.5469979609513986,-4.066693061208585,2.7554054054054054,0.06598497884039331
76,3.386838187978146,-2.9876944646174275,-4.8288809971082225,2.8990990990990992,0.0970185869325767
77,3.404656981494347,-3.026543629926051,-4.763156602224766,2.9635135135135138,0.09490676410545305
78,3.110791071741361,-2.6937689146951547,-4.309911791012619,2.7900900900900902,0.08061252139386005
79,3.4912323555940477,-3.1158706473639013,-4.797172410858991,3.082432432432433,0.08889295865053135
80,3.102962370412023,-2.7230721858784745,-4.3447263007183565,2.804954954954955,0.08208860917585709
81,3.547859231421426,-3.1220137153712324,-5.2535046449795795,2.78018018018018,0.0866322576493068
82,4.339729323255645,-3.86539020113862,-6.248903729915022,1.833783783783784,0.10319249952435511
83,3.9589402884224523,-3.4399426899746057,-6.105769905073696,1.8783783783783787,0.14264279120331597
84,3.693099052135354,-3.2990762992268845,-4.965373571113252,1.9180180180180182,0.04755950091307272
85,3.054767113811655,-2.6795752005627937,-4.345111163927945,2.7900900900900902,0.06245417343584199
86,3.140126827801514,-2.7831106222719124,-4.312314460520938,2.8495495495495495,0.06942327292039786
87,3.3329533920183776,-2.956105925901822,-4.684921289647685,2.9734234234234234,0.09175305765515694
88,3.2595692709944695,-2.91159095337846,-4.41867789979539,2.8545045045045048,0.05041317470772858
89,4.065300679381769,-3.5622999821103694,-6.1312298823277,1.8783783783783787,0.13185574611899936
90,3.135211373920601,-2.779372597835571,-4.264741631723506,2.928828828828829,0.06876303501636694
91,3.233672135766711,-2.836578747966964,-4.5895402456985455,2.591891891891892,0.08375836675970455
92,3.119991429261147,-2.7048514660550476,-4.327519021899698,2.8000000000000003,0.0788122839943491
93,3.448933913062055,-3.101917378650442,-4.560105244301827,2.904054054054054,0.04340557365914247
94,4.243900642642637,-3.777838462097793,-6.101226620840966,1.7891891891891893,0.1065950560552718
95,3.134972748401829,-2.7590628852406436,-4.307563127192755,2.8743243243243244,0.07444585502921056
96,3.6543329671841893,-3.208120034464417,-5.573683687836933,2.6463963963963963,0.10302349431405775
97,3.4700013940878476,-3.113548646058427,-4.692412560383123,2.938738738738739,0.04923183970468165
98,3.103485588795822,-2.742947312061142,-4.288875645882779,2.8792792792792796,0.0663130624138004
99,3.457685446265997,-3.098658722648361,-4.599251221431558,2.274774774774775,0.0438477398830282
100,3.166778221894465,-2.7994126475575234,-4.264515099101537,2.9783783783783786,0.07027218392001239
101,3.340417774101699,-2.959376871700502,-4.735312865635867,2.9783783783783786,0.09453119761133594
102,4.005739387818415,-3.4851510165228774,-6.134787716949488,1.8139639639639642,0.15114007842724098
103,2.91902324679992,-2.5462930502323466,-4.196875250739278,2.82972972972973,0.06984321052609017
104,3.525101170453708,-3.1942459483333785,-4.415039235147603,2.8445945945945947,0.04260594446683939
105,3.9153035108507472,-3.400070253642813,-5.982129592032235,1.7891891891891893,0.1435799307232659
106,4.092390231216077,-3.5873069284380534,-6.145763914766162,1.71981981981982,0.14115297231605636
107,3.3050320448106936,-2.945947009758629,-4.557084504979594,2.7554054054054054,0.05589113350328517
108,2.87495480780542,-2.5411115184072086,-4.021184844322035,2.7355855855855857,0.06872279018247907
109,3.071018886743709,-2.6907471373902103,-4.399821496569164,2.7405405405405405,0.06672558286345617
110,3.5875179486110413,-3.2176480325785395,-4.829610044429362,2.7256756756756757,0.0563111291282833
111,3.110791071741361,-2.6937689146951547,-4.309911791012619,2.7900900900900902,0.08061252139386005
112,3.693099052135354,-3.2990762992268845,-4.965373571113252,1.9180180180180182,0.04755950091307272
113,3.7749729900811992,-3.307043265486419,-5.333706803094515,1.392792792792793,0.0914235215497215
114,3.2052936308837365,-2.77860805229622,-4.618163153093954,2.6315315315315315,0.08217170505626616
115,3.153961325675328,-2.792047079504536,-4.300777786702431,2.8495495495495495,0.08050480897687555
116,3.4971522753331468,-3.216265064814669,-3.7679603164888174,2.3639639639639642,0.045734677546319935
117,3.693099052135354,-3.2990762992268845,-4.965373571113252,1.9180180180180182,0.04755950091307272
118,3.5658160055505217,-3.1728534837863025,-4.81722876538103,1.9031531531531534,0.05757375466089803
119,3.5594448336293816,-3.176622982733825,-4.878453548165905,2.9932432432432434,0.091759295917091
120,3.6478268241355094,-3.2053966174614317,-5.528499970736224,2.6315315315315315,0.09953510396471113
121,3.1426679731934746,-2.7785314770506293,-4.345179731270302,2.82972972972973,0.06848246116140698
122,3.102560782628894,-2.7124437935246704,-4.4859390534849,2.621621621621622,0.07583383403315136
123,2.8314017612583005,-2.5034575756047777,-3.976896774314567,2.795045045045045,0.06896548174549176
124,3.5631732666625258,-3.152446787978283,-5.328251706518319,2.7454954954954958,0.08461590872984641
125,3.2471443697961497,-2.890603515735976,-4.4708761797256615,2.7752252252252254,0.04999075447646769
126,3.5487592636628777,-3.011415372571779,-5.4476678890688435,1.3729729729729732,0.1254388211149357
127,3.0922950200412576,-2.7097090817971288,-4.369173244788545,2.804954954954955,0.08049773022612035
128,4.126099761701326,-3.621256145093426,-6.180453099642043,1.72972972972973,0.14464597414633004
129,3.1163741056946455,-2.713496340702357,-4.300631947441085,2.78018018018018,0.08368821891288324
130,3.6314690665747134,-3.186607551016504,-5.510111457261846,2.6761261261261264,0.09442391741735122
131,3.1478032411885835,-2.7668256803804545,-4.454941895617386,2.720720720720721,0.07460539851049686
132,3.119991429261147,-2.7048514660550476,-4.327519021899698,2.8000000000000003,0.0788122839943491
133,3.3418384602392965,-2.968242557952361,-4.701868033288539,2.9783783783783786,0.0941917138501254
134,4.126099761701326,-3.621256145093426,-6.180453099642043,1.72972972972973,0.14464597414633004
135,3.140126827801514,-2.7831106222719124,-4.312314460520938,2.8495495495495495,0.06942327292039786
136,3.1518717763198953,-2.7884201438527025,-4.35357660688879,2.9585585585585585,0.08329780512462566
137,3.117556281105176,-2.7293036567329176,-4.463595326904073,2.7355855855855857,0.07103802168454125
138,4.2834415335589995,-3.7893165760520287,-6.311608521685502,1.7842342342342346,0.12553565770636527
139,3.3804121612135587,-2.983167343269935,-4.774640042884496,2.933783783783784,0.09809406562709629
140,3.693099052135354,-3.2990762992268845,-4.965373571113252,1.9180180180180182,0.04755950091307272
141,3.268628744957627,-2.904141914262092,-4.586992080458231,2.7554054054054054,0.052325671426092714
142,3.4813653431243754,-3.162092855898167,-4.154811982487713,2.2995495495495497,0.032505709229352045
143,4.092390231216077,-3.5873069284380534,-6.145763914766162,1.71981981981982,0.14115297231605636
144,3.184959471315496,-2.7886179647368357,-4.549200430466588,2.923873873873874,0.09153286517423612
145,3.1778053403837596,-2.8078462531703465,-4.414525789386287,2.918918918918919,0.09427212423419914
146,3.6265669082799823,-3.221109692566901,-4.951794460662728,1.833783783783784,0.057245480201298944
