row_index,beta1,beta2,beta3,beta4,lambd1,lambd2,rmse
0,3.1603576747322393,-1.2984700197131793,-0.00029670849794814113,-1.2151070426212638,3.5434934934934934,0.05,0.03973408835257107
1,3.512006408200299,-1.1720104458597365,-0.09424966741484103,-1.096335315909224,5.05,0.09504504504504505,0.024955765974233535
2,3.9344033270911543,-2.401194056558968,-1.7365765914957523,-2.1346726275734174,0.8808308308308308,2.972922922922923,0.019238431262574185
3,4.5741482818887285,-1.7002999264002188,-1.539376183573404,-1.4651311210342293,1.7517017017017016,5.05,0.03175124333792236
4,4.101076962501018,-2.555197726326822,-2.096357291161296,-2.0097543231361947,1.076026026026026,5.05,0.02087249116211467
5,3.437116298997897,-1.1319137925745657,-0.031861262314848676,-1.6118579008851703,5.05,0.10005005005005005,0.028284389087970013
6,4.695433248658805,-1.7967187152603208,-1.1361585876442841,-0.4878118190560333,5.05,0.19514514514514514,0.040059354704516645
7,3.2882382061972013,-1.6725421811971486,-1.4498924596780163,-1.2420956617645542,0.8107607607607608,5.05,0.025147187418528574
8,4.357695586788767,-0.19436338992275104,-3.368924916148642,-3.3859518759538356,2.082032032032032,0.20515515515515514,0.03334353297751251
9,3.169114075562161,-0.9619499488433502,-0.09897431964813698,-2.0883878706229364,5.05,0.05,0.034687393427393486
10,4.100044362580984,-2.5469870815215114,-2.1875020329313095,-2.005733012930976,1.056006006006006,5.05,0.022090566514140646
11,4.472273412642831,-1.385042016563365,-1.9438001049114009,-1.2060305754408571,0.49544544544544544,2.5825325325325323,0.016150800327328376
12,3.180951975385286,-0.9041818295321057,-0.238359062305668,-2.388728821758761,5.05,0.05,0.03471918723789159
13,4.111828998591995,-2.599525250291705,-2.101719166867944,-2.256613543626244,1.030980980980981,5.05,0.030424129759784386
14,4.717942322853524,-1.5940485747812672,-1.2469577056876395,-1.7741308826042537,0.5404904904904905,2.952902902902903,0.01445822810566917
15,5.050114103820805,-2.3865896794441817,1255.9000557458744,-1257.6581596676833,5.044994994994995,5.05,0.017389007872889106
16,4.820984516438646,-1.190052851698221,-0.9860381445070608,-1.4466542375235718,3.213163163163163,0.17012012012012012,0.007726519553928973
17,3.1055571932015087,-0.6667042435178643,-1.125974133153857,-2.5610849987064057,1.8367867867867869,0.05,0.0368740470242224
18,3.830692177663885,-1.920158203459079,1649.6120578958557,-1649.985710119711,5.044994994994995,5.05,0.021477012262197896
19,3.5670380440803475,-1.9151372702428384,-1406.548154148619,1406.5257060122065,5.05,5.044994994994995,0.0352626790589262
20,4.8459924686132725,-2.366557286163204,-1.660743092090933,-3.326712677638483,0.9108608608608608,5.05,0.024990700064429366
21,4.579137031671442,-1.7032138146750424,-1.5806136232336312,-1.4504512651703423,1.7917417417417418,5.05,0.027836657098989467
22,3.1873636935001066,-0.8136122941931292,-0.2365861664661031,-2.6508058451632595,5.05,0.05,0.0385228079097087
23,3.224844663459029,-1.3123832144828735,-0.000430455020056163,-0.8850197943489345,3.7186686686686685,0.07502502502502503,0.03046251851540354
24,3.176327487308391,-0.9710989936223395,-0.18337265165422834,-2.0906920480326954,5.05,0.05,0.04072998571788497
25,3.9866137398919768,-2.375196266276252,-1.3797725368701717,-3.3220025641059245,0.5905405405405405,2.357307307307307,0.007747456773828585
26,4.681560498127026,-1.4114698797975,-2.1396959745932755,-2.045369278685797,0.3503003003003003,1.931881881881882,0.003344167262855777
27,4.790064244277936,-1.8926845135017552,-1.6657200062213877,-2.8309621264966776,1.035985985985986,5.05,0.014431044581395595
28,3.1932128307451606,-0.742545774747628,-1.3696340117491586,-1.1431522463736021,0.8608108108108108,5.05,0.036793832097261454
29,3.6340774442776014,-1.6308599175211884,-0.002027726586829039,-1.5631525546895024,1.6115615615615615,5.05,0.02715786495703878
30,5.113137620785485,-1.2065490591733214,-0.3453371455116408,-2.327865067047542,5.05,0.20515515515515514,0.014855410092969973
31,3.928811147470027,-2.4378903718698544,-1.5129591447043516,-1.4731799599305477,1.4113613613613614,5.05,0.03598901447892587
32,4.583764660559458,-1.5869356243795487,-1.5750603627538227,-1.8580193166627925,1.4463963963963964,5.05,0.027203915287571795
33,3.19062240416648,-0.9644458706002818,-0.28364761129435,-2.365877861545079,5.05,0.05,0.04501968610771408
34,3.988303033004055,-2.448403317197882,-1.6455616503303268,-3.622182388611999,0.5555055055055055,2.287237237237237,0.025977303244893463
35,4.064678105474959,-2.4521038042229697,-490.1728374051398,489.0545598158604,2.117067067067067,2.112062062062062,0.017343858579874014
36,3.104342672253,-1.321126729316199,0.000462418788315174,-1.4979674857682135,3.2982482482482482,0.05,0.04681586266334237
37,4.568419534379954,-1.4619443090563609,-0.9579438525999927,-0.5273063700246801,1.066016016016016,5.05,0.024039450172401843
38,3.683368972947106,-1.8808884754142918,2.024242307705015,-2.4824136121479197,2.942892892892893,5.05,0.022920102454075435
39,4.562802630334203,-1.6177460036700557,-0.8577458910544372,-0.8375893922448481,0.8107607607607608,3.3983483483483483,0.017594893994429494
40,4.176059128448546,-2.316764528136407,-0.5546054234008742,1.1947017998753509,5.05,0.21516516516516518,0.038183845317122364
41,4.843501480355627,-1.3579909157614507,-0.17226826206602094,-1.2453326393964887,5.05,0.19514514514514514,0.00909549270886565
42,4.822689459692571,-1.3848726476882534,-1.6333863324397302,-1.1876891703070827,4.259209209209209,0.1501001001001001,0.004120460399535786
43,3.2918884223986082,-1.6691492899533182,-1.3528613878865214,-1.203790378325792,0.8608108108108108,5.05,0.023478796736512385
44,2.951391024765501,-2.239923110832945,0.0010951273738744314,4.749942683509233,1.3262762762762763,0.16511511511511512,0.04251094186479986
45,4.602038133249184,-1.7381580714446283,-1.600770157742349,-1.67991965603361,1.6415915915915915,5.05,0.028201489845307324
46,4.866672410149921,-2.289590056062014,-2.316307292441471,-3.4484559113024758,1.020970970970971,5.05,0.03449655508683926
47,4.647403558491463,-2.6273937756245798,-0.6144061144134547,0.7978610179023553,5.05,0.25520520520520523,0.033088264925277375
48,3.051951711770125,-2.549109909576949,-0.0018759853047428286,3.2355502321058403,1.4764264264264264,0.21016016016016015,0.04540484714373569
49,4.581006366405528,-3.006134638941913,-0.0011872222087522778,1.521333303782202,4.93988988988989,0.26521521521521524,0.039046122380851665
50,4.744605153784061,-1.2343407973345932,-0.13215869401038335,-1.773507834534803,5.05,0.21516516516516518,0.0028698923321967937
51,3.30430026727881,-2.3334022336076354,-3587.6004280789584,3588.732117621904,5.044994994994995,5.05,0.029269093788748382
52,3.02663720469698,-2.661932534746124,0.0038366799127104952,3.484005454237959,1.3863363363363364,0.22017017017017018,0.04822059519347604
53,3.176271948014961,-0.7427179076500148,-1.025622834828994,-0.9048465810400301,1.0009509509509509,5.05,0.02965455941587344
54,4.718519818128857,-1.8988621373702086,-0.9042263703144423,-2.2456944969099126,1.5565065065065065,5.05,0.017904226693238722
55,4.49397004899795,-0.9606375884082057,-2.6008666228272244,-2.018576449337217,2.5274774774774773,0.19014014014014013,0.04064333843728227
56,4.594549083669346,-1.3548232070870951,-0.0003245612943777688,-0.6041071443791882,3.6235735735735735,0.05,0.022034739369485964
57,3.307824054506699,-1.6419503519987761,-1.5010345279723425,-1.2391600749210046,0.8407907907907908,5.05,0.02583487707837696
58,5.281073382681619,-1.6658849881037443,-0.06342815990912984,-1.3089076789308982,5.05,0.10505505505505505,0.022055877178058316
59,4.71943461521527,-1.5147735263810194,-0.9910525723527261,0.22677017529107474,5.05,0.4103603603603604,0.013949354004187932
60,4.540279548524041,-1.8219982130000527,-1.8091503259127326,-1.232659746095057,3.108058058058058,0.18013013013013013,0.0429774335279171
61,4.6073495499598325,-2.3948050221529003,-2.4927831596643393,-1.652742946235103,1.4614114114114114,5.05,0.03722770936471065
62,3.0198557138188207,-1.1515837536791562,0.0006222192387211077,-1.6666581924788388,3.7887387387387386,0.05,0.03534322516048238
63,4.652485979232913,-2.586666023992708,-1.969445658877237,-2.1183945115685345,1.2612112112112113,5.05,0.040189542947852916
64,4.99902586590189,-1.6975000467214814,-1.453200365936157,-1.6889783919393055,0.6005505505505505,1.891841841841842,0.012980929265020095
65,4.3837143155334495,-0.49495668440069573,-3.018879805314974,-2.5360611505639703,2.267217217217217,0.2351851851851852,0.03768526123381952
66,3.95155550007978,-2.43909872779611,-1.1047972241741486,-3.3919485103007556,0.6606106106106107,2.222172172172172,0.014564192501209206
67,2.9136056623321474,-0.9246287462496791,0.00010492282500485559,0.557629862881017,3.8287787787787786,0.28023023023023025,0.019145454372792196
68,4.703419720411157,-1.8566116327946665,-1.6429759925446057,-2.0296253994807745,1.5064564564564564,5.05,0.02772812897228435
69,3.8248459094438245,-1.9702818570197838,-2.3995591340533937,-1.1296028992733975,2.127077077077077,0.12507507507507507,0.013978530810656916
70,4.5782836681334915,-1.5804754997519639,-1.5842253192772904,-1.7586933655707493,1.5314814814814814,5.05,0.024935591339509882
71,5.259800747812203,-1.6910844772782283,-0.378305310575884,-2.3194810206888974,5.05,0.05,0.015589316074117506
72,3.8299423240668538,-1.9951367030729017,8.228738483336764,-8.532094448940262,4.184134134134134,5.05,0.020650689376373713
73,4.052815973238819,-2.374996592774177,-1.9837883400200016,-3.1227900478965016,0.6155655655655655,2.6926426426426424,0.022856460385607603
74,4.012541807253362,-2.3503172071023455,-1.6426752152370374,-3.1487317452644343,0.6405905905905905,2.6225725725725724,0.017587285829735667
75,5.254883745217123,-1.654587891165153,-0.6816085034482238,-1.8898751319340683,3.238188188188188,0.05,0.01864984156017817
76,3.167014450893398,-0.6839763054661184,-0.9062826377126241,-1.0202556060962698,1.096046046046046,5.05,0.02408035122073241
77,3.0239772894951167,-0.7972504568866094,-0.6275002529395823,-0.7904168412831968,1.2812312312312313,5.05,0.014963222888529295
78,3.5414679736618138,-1.9827409522845718,1430.5087587949365,-1430.4197150789346,5.044994994994995,5.05,0.029097092227736935
79,3.4123585529561073,-1.1784677714921699,-0.00015751340603852772,-1.8494356579180842,4.5895395395395395,0.055005005005005006,0.02880260878436002
80,3.635793768204808,-1.7236590084878043,-1263.7493891006234,1263.4952447774892,5.05,5.044994994994995,0.014211959566445425
81,4.084863038908922,-2.074325052813697,-1.5446822908301194,0.6464736807973719,3.9038538538538536,0.26521521521521524,0.023693291271489336
82,3.9587087611492695,-2.5295922408547797,-1.7761235031619091,-1.6325109133388118,1.2562062062062063,5.05,0.032960245458270636
83,3.8102260298034367,-2.977451344769102,0.0022689657362065184,2.031409212555963,3.168118118118118,0.2351851851851852,0.03154858150302054
84,3.17132515508806,-0.686769849885718,-0.8681576323868178,-1.13211622719901,1.106056056056056,5.05,0.023091741165078426
85,4.7945178701954685,-1.8990385813513266,-1.6163431529343772,-2.8630097026246206,1.045995995995996,5.05,0.013657067453340395
86,3.8166202453545726,-1.8087217786188334,1230.772851370341,-1230.981281420321,5.044994994994995,5.05,0.016650295080404068
87,4.470229411634517,-1.7778249081776833,-2.058118301299172,-2.084739917878174,2.792742742742743,0.17512512512512513,0.0454333604712514
88,4.728143329059915,-1.9024531174670134,-1.016613772605807,-2.2545682601363817,1.5965465465465465,5.05,0.020460617355770327
89,3.8165765497998776,-1.9815500438361022,-2.163714838087248,-1.2304998707419408,2.167117117117117,0.1350850850850851,0.025853679998885475
90,4.73283997202326,-1.9472489615451545,-0.9288616622997008,-2.335200603916178,1.5014514514514514,5.05,0.01667625823375338
91,3.255717355704664,-1.3927597469078894,0.00031474815808475156,-0.9954488104587073,4.099049049049049,0.05,0.030403308593904523
92,4.555138051172335,-2.3120857815549627,-2.3728738844967046,-0.901414953958469,1.896846846846847,5.05,0.03967083697462592
93,3.811188278449578,-1.838813323431194,1238.0825074826414,-1238.309837288006,5.044994994994995,5.05,0.01897999829381361
94,3.062054092250554,-1.6835909568105782,0.0011613522648032705,2.351543381555935,2.031981981981982,0.2301801801801802,0.04231970976009309
95,3.069897585742218,-1.3573743308932729,-0.00030966870720858805,1.7957246197593895,2.5024524524524523,0.17012012012012012,0.04041158639094789
96,3.7713074299626848,-1.729911905046708,1287.3894229881887,-1287.7505876330338,5.044994994994995,5.05,0.024872774099592695
97,4.604293322108615,-1.7232371898684788,-1.5482296042428434,-1.7290045943067172,1.6616116116116115,5.05,0.029349400344693855
98,3.9159217840781317,-2.42582502514806,-1.377605881327845,-2.5685522852320952,0.8407907907907908,2.6626126126126124,0.017881599910405138
99,3.5161859909455964,-1.6724210469629381,0.0009039992850714803,-1.4567293212271835,1.4363863863863864,5.05,0.02417824004098946
100,4.0570926523060775,-0.9859849101124409,-1.8227556460674172,-1.7114787717188016,3.7286786786786785,0.1501001001001001,0.04287114219651127
101,4.645643417592277,-2.7310595003381826,-0.5477907665827898,0.6267386064633799,5.05,0.2451951951951952,0.0254976127737658
102,3.8267797410893762,-1.9634274861033927,-2.236699891030222,-1.189663509255313,2.077027027027027,0.1350850850850851,0.02662560629600947
103,4.112496666774253,-2.650799824907071,-3.1647966833676957,0.7847399643741458,2.092042042042042,0.3503003003003003,0.02315215291318551
104,3.7900243190802563,-2.752972470956162,-1.4374524047579527,1.4520165948257957,2.072022022022022,0.28023023023023025,0.03752432178793974
105,5.2964437829857305,-2.028337087491924,370.06806921584854,-370.177425735355,3.8838338338338336,3.8938438438438436,0.01980005082776887
106,4.769322647585656,-1.886095740555,-1.631044392945672,-2.6335772306488794,1.2111611611611612,5.05,0.021234344187821514
107,3.709660751468637,-1.6500155376248158,1071.267515017729,-1071.5562991396296,5.044994994994995,5.05,0.021320387393924178
108,5.2393822880158565,-1.915183996529614,-1.1230501338229766,-1.5455771015501998,1.121071071071071,5.05,0.018077951062819085
109,3.6676747644407244,-1.762655573895137,1331.6263509305404,-1331.8537668269134,5.044994994994995,5.05,0.01504474231233578
110,4.857223758590168,-2.4001111872120684,-2.071410412284872,-3.341666813977583,1.096046046046046,5.05,0.024976353986505
