t,z1,z2,z3
1,5.7280574,-1.1700213,-0.9488448
2,5.795646,-1.1273181,-1.1540489
3,5.931613,-1.3636287,-1.2809604
4,6.340541,-1.9228534,-1.2795092
5,6.7626433,-2.5680685,-1.2172793
6,6.8284197,-2.4545147,-1.3808095
7,5.7896667,-1.6397028,-1.4585367
8,6.0461545,-2.0288906,-1.3127625
9,5.871832,-1.8718925,-1.4144855
10,5.702388,-1.6750157,-1.5392714
11,5.5554314,-1.4822261,-1.8143866
12,5.415581,-1.4171535,-1.6177585
13,5.312737,-1.1249787,-1.6220688
14,5.103112,-1.0961933,-1.5905912
15,5.2259803,-1.1355466,-1.5210679
16,5.733541,-1.4650918,-1.2821292
17,5.429255,-1.3868996,-1.3577446
18,5.1182804,-1.0616945,-1.6223731
19,5.152164,-1.0536894,-1.6501687
20,5.7040386,-1.4031537,-1.3169711
21,6.1304436,-2.0684962,-1.009644
22,5.882595,-1.9115644,-1.0635809
23,6.6058307,-2.5791197,-0.9537391
24,6.370537,-2.0797691,-1.1280606
25,6.5364523,-2.0691874,-1.1315689
26,6.631958,-2.3589153,-1.0867672
27,6.123538,-1.6374196,-1.0020312
28,5.660209,-1.470819,-1.166217
29,5.123864,-1.2388415,-1.0906982
30,5.026137,-1.3008928,-0.9667463
31,5.2671514,-1.4461105,-1.0158902
32,5.347815,-1.133051,-1.0904506
33,5.5562415,-1.3012667,-1.0486465
34,6.097211,-1.6839188,-0.93210924
35,6.4756227,-2.1603599,-0.7525758
36,6.5026994,-2.6376584,-0.5975387
37,6.255065,-2.4771435,-0.6585791
38,6.503029,-3.0101721,-0.43653855
39,6.5792394,-3.0819044,-0.4019869
40,6.607536,-2.988178,-0.41333178
41,5.8286643,-2.1858351,-0.6018419
42,6.0344114,-2.437142,-0.5827952
43,6.3366404,-2.6189427,-0.6960272
44,6.677271,-3.1615806,-0.52476746
45,6.947919,-3.531537,-0.4237234
46,7.1174917,-3.695162,-0.3341888
47,6.833886,-3.4584064,-0.3509703
48,6.562428,-3.4355133,-0.2368664
49,6.0364084,-2.9386315,-0.33069724
50,6.1078486,-3.080952,-0.3260112
51,6.2833986,-3.13107,-0.4248334
52,6.7169566,-3.5163047,-0.38107243
53,7.007086,-3.9011784,-0.007559849
54,7.20304,-4.106928,0.16786899
55,6.8368316,-3.852184,-0.03318819
56,6.6639757,-3.8372555,-0.17798285
57,5.9564104,-3.115667,-0.41702795
58,6.1757383,-3.1762617,-0.16224326
59,6.316903,-3.0511124,-0.17218582
60,5.999428,-2.4277067,-0.33540937
61,6.0458775,-2.42516,-0.19580205
62,5.7900853,-2.2492585,-0.16104846
63,5.7820606,-2.477061,-0.011010559
64,5.4572215,-2.119757,0.110170856
65,5.8339376,-2.470648,0.17005883
66,5.9060245,-2.4818163,0.06750554
67,6.281036,-2.954634,0.27303064
68,5.752833,-2.4116535,0.09612565
69,5.9370556,-2.6520278,0.22532314
70,5.818084,-2.547439,0.13400604
71,5.6667514,-2.5784457,0.18306208
72,5.34801,-2.4183981,0.12159039
73,4.5474424,-1.778553,0.01924245
74,4.631656,-1.7750729,-0.016995026
75,4.601274,-1.7525429,-0.13064481
76,4.698443,-1.8174051,-0.047954634
77,4.772599,-1.7796581,-0.022469092
78,4.942523,-1.8485483,-0.048405442
79,4.8461986,-1.7185673,-0.18633738
80,5.1370964,-1.9276267,-0.11972353
81,5.3444076,-2.0879452,-0.07647449
82,5.728159,-2.4815981,-0.022972118
83,5.519853,-2.2905302,-0.11981502
84,5.155719,-2.0619214,-0.15312797
85,4.541002,-1.4590386,-0.38156176
86,4.541827,-1.4537662,-0.5205922
87,4.8436136,-1.7594,-0.39360538
88,5.1984806,-2.2688296,-0.3493361
89,5.360736,-2.436853,-0.3500791
90,4.9825196,-2.227328,-0.67508954
91,4.831715,-2.1168494,-0.61905855
92,5.1319714,-2.3499067,-0.40659454
93,5.308469,-2.570764,-0.31723198
94,4.6065416,-2.0202806,-0.64013475
95,4.2840667,-1.8558869,-0.91424716
96,4.368342,-1.7136366,-0.92817533
97,4.6827393,-1.9819074,-0.7180866
98,4.519765,-1.7319098,-0.6898808
99,4.5201006,-2.479982,-0.67956805
100,4.652537,-2.6434848,-0.38647482
101,4.968822,-3.0249958,-0.117472395
102,5.130602,-3.0920687,-0.18651783
103,5.3914747,-3.4083815,0.018404525
104,5.2142053,-3.2362745,0.1466612
105,5.129027,-3.364458,0.3510779
106,4.663987,-3.0274746,0.2492671
107,4.9798074,-3.1781464,0.12833498
108,5.1705556,-3.3526928,0.083466634
109,5.194476,-3.148864,0.006627135
110,5.4182315,-3.2796693,0.15822364
111,5.298018,-3.1820586,0.20611808
112,4.9659348,-2.897111,0.2014525
113,4.7965856,-2.9242713,0.055570547
114,4.25959,-2.6169977,-0.119503215
115,4.3949885,-2.9631689,0.14737228
116,4.2488804,-2.8763733,0.06432709
117,3.9698405,-2.5496962,-0.05524534
118,3.5563703,-2.0423908,-0.34419855
119,3.8600736,-2.217906,-0.29670408
120,3.7730823,-2.0160987,-0.3931541
121,4.167772,-2.304744,-0.26254955
122,4.1302705,-2.1781433,-0.23012023
123,4.3326554,-2.2699046,-0.17452273
124,4.5115743,-2.498344,-0.06885451
125,4.404722,-2.4170504,-0.09350844
126,4.3880687,-2.4126315,-0.27189228
127,4.5415125,-2.557302,-0.19944032
128,4.3822494,-2.5634472,-0.072663605
129,4.317948,-2.407412,-0.29822463
130,4.3287416,-2.5870621,-0.122295216
131,4.1184464,-2.3431225,-0.27324897
132,4.240832,-2.4918883,-0.1657385
133,3.976184,-2.3447888,-0.17758276
134,3.7157788,-2.2105453,-0.21928173
135,3.8206334,-2.1397672,-0.50622123
136,3.6947527,-1.9775443,-0.49970275
137,3.9287858,-2.1543567,-0.4051191
138,4.3067765,-2.4850798,-0.30361262
139,4.8839126,-2.7905822,-0.17152902
140,4.9899297,-2.9273064,-0.017575469
141,4.924387,-2.8136961,-0.02025737
142,4.859858,-2.8531911,-0.047741275
143,4.6398187,-2.7878418,-0.032267842
144,4.309394,-2.5957727,-0.071467765
145,4.1287813,-2.3311205,-0.28901222
146,4.016622,-2.309209,-0.30074707
147,3.7804623,-2.2315269,-0.1957602
148,3.6974316,-2.1275966,-0.2789067
149,3.9338517,-2.315446,-0.3410442
150,3.5941586,-2.0232146,-0.43148205
151,3.6796603,-2.1263585,-0.38936272
152,3.972309,-2.3537123,-0.38040438
153,4.0759497,-2.49666,-0.45398563
154,4.000666,-2.3639681,-0.45375717
155,4.1272573,-2.5865717,-0.30897665
156,4.024945,-2.3779032,-0.457541
157,3.9112158,-2.1413598,-0.5546334
158,3.7607741,-2.2717764,-0.5688896
159,3.5409403,-2.0649931,-0.5722123
160,3.3498607,-1.9070587,-0.49723196
161,3.163463,-1.6573806,-0.60839576
162,3.29042,-1.7406614,-0.59188944
163,3.411985,-1.8813919,-0.5230413
164,3.5852046,-2.1109743,-0.4327722
165,3.3570619,-1.947196,-0.46293506
166,3.047521,-1.6030948,-0.57381976
167,3.0071888,-1.6508843,-0.6593635
168,2.952023,-1.6833637,-0.6825256
169,3.4130268,-2.293635,-0.5031927
170,3.6218162,-2.4126968,-0.50750387
171,3.2178679,-2.0355632,-0.54434043
172,3.0605874,-1.877557,-0.5780844
173,2.921298,-1.8878202,-0.5686745
174,2.7160664,-1.6071969,-0.7444435
175,2.5819106,-1.5106025,-0.7486673
176,2.306219,-1.2916216,-0.9455742
177,1.874975,-1.3667862,-0.9953492
178,2.3072367,-1.6223097,-0.7936505
179,1.9008123,-1.298673,-0.8763766
180,1.9424442,-1.2004435,-0.8805301
181,2.0427613,-1.1592187,-0.79280156
182,2.0354686,-1.0828738,-0.7902233
183,1.9422743,-1.0573354,-0.68695706
184,2.0801864,-1.1163166,-0.5571636
185,1.7620676,-0.97609335,-0.7002456
186,1.6803385,-0.84798974,-0.66189635
187,1.9389399,-0.8103774,-0.6398125
188,1.76665,-0.8416402,-0.5522367
189,2.121448,-1.2996551,-0.31380177
190,1.9918464,-1.1665614,-0.30604824
191,1.8685415,-1.0607861,-0.34212393
192,1.5121051,-0.71063167,-0.2927186
193,1.7706871,-0.89783114,-0.332766
194,1.8765368,-0.9870325,-0.2962051
195,2.1751165,-1.3051395,-0.07819926
196,2.1390061,-1.2168747,-0.007319303
197,2.1665335,-1.2683083,0.041629825
198,2.1711593,-1.2504487,0.05240253
199,1.7759212,-0.846273,0.048782367
200,1.905315,-0.9171202,0.058781724
201,2.1666298,-1.0163054,-0.020200662
202,1.977435,-0.84695745,0.060675997
203,1.8660772,-0.7405843,0.0002732426
204,1.9536912,-0.7864722,-0.0036334116
205,1.6639296,-0.5930973,-0.008871185
