t,a3,a2,a1,a0
1,0.0005128071650607586,-0.0071164398457352895,-0.24682385674971527,6.855463373988578
2,0.0005934072615925096,-0.009801087613388418,-0.22920808175628551,6.904714166896462
3,0.0006306823653434238,-0.011422091562796952,-0.2149795486419623,6.865833460097505
4,0.0006027473937394201,-0.010420316509178254,-0.23073720405220197,6.897313142203889
5,0.0005616503148649325,-0.008889205217171861,-0.24962805157579954,6.899505071838929
6,0.000613092014690003,-0.0103062503996354,-0.2499100621006924,7.019846685273431
7,0.0006373458604301019,-0.012245441313332956,-0.20657238834154462,6.901595385737947
8,0.0005657351236069304,-0.009849490423817917,-0.22313130488514563,6.831950820246907
9,0.0005990968555070954,-0.01087609636485281,-0.22130023845126737,6.931152980798316
10,0.0006391612397592582,-0.012399879350947713,-0.20588852342397915,6.927677788259093
11,0.0007220195197770705,-0.01545673057276936,-0.17654934630063066,6.923450437988959
12,0.0006833575296731472,-0.014437929045176373,-0.17445279717612,6.8320949672790405
13,0.0007228995375625663,-0.0160208785273472,-0.1494501773517554,6.732764654854189
14,0.0007012380693725682,-0.0156284349286744,-0.14478798919210206,6.683130520864056
15,0.0006975048875274772,-0.015366276985828799,-0.14908632582562317,6.683741657811975
16,0.0006265762730462872,-0.012070110576844859,-0.1945557216898411,6.769025868031323
17,0.0006358013651995114,-0.013001060243354835,-0.1758683987742255,6.718703920594429
18,0.0007015066012090094,-0.01559465150297374,-0.14594927830384735,6.693471519587864
19,0.0007030671384031222,-0.015608417627291099,-0.14662622401758138,6.701417271706566
20,0.0006490608729966216,-0.012848116803361596,-0.188073910514821,6.775678084509776
21,0.0004920953589383943,-0.007070491070615447,-0.240987278740183,6.749381849074783
22,0.0005073463600500402,-0.007980790900126263,-0.22499897153318302,6.7114156814842945
23,0.00047542543958394045,-0.0063006322866970485,-0.2548771150679221,6.7531075730586325
24,0.000545267253296107,-0.008592379711191946,-0.2387306275339898,6.824936654602385
25,0.0005597510965608482,-0.008759219811433683,-0.2450499605851649,6.874059234789099
26,0.0005286156439427126,-0.007865119739131239,-0.24968791064332876,6.834000261971341
27,0.0005380548295735144,-0.008090585539637768,-0.24291927863001161,6.848236891961779
28,0.0006077197180498896,-0.011516949707672376,-0.19510490570905206,6.742456793798549
29,0.0005608615998956369,-0.010556985193817198,-0.184581180231147,6.643725162559571
30,0.0004950502672770265,-0.008475490047228267,-0.19584119814042034,6.591887255140944
31,0.0005021944679071773,-0.008479092207479236,-0.2031456498222164,6.625346581846997
32,0.0005573175174377566,-0.00950344842484948,-0.21066917465675186,6.766810300478716
33,0.0005389016568421906,-0.008797344165660166,-0.21959126584827715,6.762286012692771
34,0.0005033618211324656,-0.006993794638496891,-0.24926240683159528,6.82180668105879
35,0.0004353254969348031,-0.004427417400810033,-0.2753049944949417,6.806949978043808
36,0.0003386737954069105,-0.001299670225209295,-0.2940837840868002,6.729622555260019
37,0.00035569516360943086,-0.0023333601039832483,-0.2767895452039162,6.681647690081514
38,0.00025501414713288744,0.001408140012984328,-0.30954977418711455,6.6652765388086666
39,0.00023848031516864152,0.002108522455858697,-0.31756893096142697,6.673082625045349
40,0.0002471528917362921,0.002007111131179875,-0.32028376411168896,6.705374342809656
41,0.0003198741210018551,-0.0014003594128916344,-0.27376076212484973,6.634930822470275
42,0.0003105039881574216,-0.0010481195303889252,-0.27869520101781997,6.628363280474498
43,0.0003726370464639623,-0.002991446275890369,-0.2716450653191202,6.677017890666465
44,0.0002997874727822835,-0.0001389525335598903,-0.3007076561696348,6.680087042429147
45,0.00025714181807517196,0.0014872557374777506,-0.31794354806005487,6.671648435283551
46,0.0002179552531160692,0.003093325083242632,-0.33536545506063786,6.683346674818149
47,0.00021510931611616488,0.0028930583104768573,-0.32558440591305815,6.649636439179007
48,0.0001470378581346025,0.004813950910563627,-0.3288383846775005,6.564875935826044
49,0.00017304424879305662,0.0033577432804546567,-0.3030507495744447,6.516493329823277
50,0.00017366883994206285,0.003260249446335204,-0.30186246006151696,6.503453476997512
51,0.00022820107818014428,0.001602898896057468,-0.29636347120193834,6.554537885087593
52,0.0002154554618095307,0.0024833152761131027,-0.3150360772556257,6.595734237479653
53,7.067920689149286e-05,0.007738663458654426,-0.3588400544605995,6.5552934112128
54,1.6244371915037767e-05,0.009713906656515633,-0.37609395996571804,6.537465155812886
55,7.770472018166813e-05,0.007125180902536169,-0.34652484285869006,6.510922241487892
56,0.00012421474978514712,0.005100126091152632,-0.32376387281803376,6.477609285769544
57,0.00021033023867070036,0.0014975299519893453,-0.2801272358920481,6.452728181236192
58,9.787418735629648e-05,0.00602837720950193,-0.3247359076563792,6.486139338218575
59,0.00011744438716651144,0.0059462090083127785,-0.3357539654824741,6.575695914110959
60,0.0001838243815399647,0.003992310908087737,-0.3251247359670172,6.664131200700983
61,0.00013058372163870125,0.006060717634154875,-0.3432326102139474,6.672656200989158
62,0.00011752919044000036,0.006286435109975641,-0.33874077239230094,6.641292205254593
63,3.554031921350507e-05,0.008664418012761655,-0.34668953401876496,6.540608546375116
64,-8.42863745966973e-06,0.010257303258223882,-0.3558003967538993,6.540804937521869
65,-4.326636575049925e-05,0.011694914565592797,-0.3736989617130867,6.545769628510286
66,7.289403927847047e-06,0.009966791429237775,-0.3624824246885906,6.570469154231279
67,-6.518047227336802e-05,0.012674522132412394,-0.3892597458949312,6.55183477846559
68,-6.0828782024267176e-06,0.010222662147820347,-0.3589483843419651,6.54037907201397
69,-6.263707731430371e-05,0.012319029748856878,-0.37832927251641907,6.526949568821268
70,-2.5190268690157188e-05,0.010792975347088564,-0.36194670511660704,6.5168393740779385
71,-4.700331104090309e-05,0.011077571538135315,-0.35421028088305173,6.44492766505978
72,-3.351443941761513e-05,0.010152097651032567,-0.3366524358241527,6.395778184814161
73,1.4275509540950433e-05,0.007778513821488437,-0.2993845835918544,6.341163065798464
74,3.560447360837109e-05,0.00724775983112068,-0.30022163097265536,6.377433456400104
75,7.337069989590983e-05,0.005851170734338283,-0.2893935113298634,6.380488648538759
76,4.581332712823986e-05,0.006953935099285459,-0.30002016433839024,6.387989639376826
77,4.265299409204818e-05,0.007383148138796749,-0.30941698671536716,6.4293262918439655
78,5.730558074319872e-05,0.007131257437412063,-0.31388808069293656,6.466640862738717
79,0.0001071574616770244,0.005472099110387281,-0.30353041226576816,6.498603477604096
80,8.84757827516213e-05,0.006317419782605479,-0.31470605706029825,6.512571818259272
81,7.263213246229338e-05,0.006995078063244505,-0.32309399669300093,6.519264957482767
82,6.643689724538362e-05,0.007565218307109493,-0.33917199367587664,6.548369775830856
83,0.00010491904868561507,0.005963667597376264,-0.32102939972908207,6.5348075230874985
84,0.00010999884806459331,0.005177811835150671,-0.30044767425604074,6.464602270856136
85,0.0002110273142314312,0.0010060190540892877,-0.25264461673648836,6.4367113983009325
86,0.0002592168830061167,-0.0007757303749893777,-0.23903715340734807,6.440016458844614
87,0.00021254642313454908,0.0011786526913945376,-0.2613215947179993,6.458214196882991
88,0.0001934321061599858,0.001946752963569455,-0.2729404402119979,6.450769281706081
89,0.00019575311364711007,0.0019407071137689615,-0.27590805665196044,6.456980774002801
90,0.0003047758609831565,-0.0028272724044563083,-0.22110569592116544,6.378831959530035
91,0.00027133662143794955,-0.001623255995712871,-0.22913339264268703,6.3739109452801594
92,0.00019146066428243815,0.0016880554768550794,-0.26487934811170766,6.405234656377629
93,0.00015392301928813178,0.003063318541618684,-0.27772449491820456,6.392840824186726
94,0.0002788473662341256,-0.0023208744438887804,-0.2146477667154816,6.321493321352331
95,0.0003715848683382745,-0.006653476179009334,-0.16529728024538182,6.280192440573021
96,0.000398535510393846,-0.007270406186085206,-0.1661647567953853,6.322862266991527
97,0.00032319534779489604,-0.003969691006188345,-0.20111417753392183,6.325721178667194
98,0.0003026922444830934,-0.0030236867293643795,-0.21048343324861737,6.354143640160209
99,0.0003010055362780705,-0.00468559724895412,-0.17068188590019193,6.1361986914621545
100,0.00017245770184300328,0.0005528897458690225,-0.2214994469166371,6.155401784986906
101,4.829898148784426e-05,0.005144149670296387,-0.26116076477420835,6.132567093163819
102,8.066580162135923e-05,0.004265081576460234,-0.261204257201056,6.175364754024984
103,4.164201970628771e-06,0.007053898814980144,-0.2858602274773479,6.151837227368048
104,-5.642767519572515e-05,0.009104976482005036,-0.29725369894582243,6.12428052273445
105,-0.00014920420861806396,0.012072762649850426,-0.31233224970213264,6.051761105275324
106,-0.00014775758885353648,0.011513603154219598,-0.2946179686015411,5.995708813411849
107,-5.4753518927752916e-05,0.00857587185757446,-0.28312488064014985,6.065184343454501
108,-2.4589223511485038e-05,0.007606778682995734,-0.27983107690165476,6.0827939766067525
109,1.122008566365543e-05,0.006770203414121855,-0.28123887408719267,6.15559530503614
110,-3.990034531533683e-05,0.008947775474761593,-0.30574493029904665,6.183276462082032
111,-6.809306442617728e-05,0.009878580555522279,-0.310201891740515,6.167962634674707
112,-0.00010135850145537503,0.010804423726584678,-0.3088799736819108,6.1328791454214615
113,-1.9460060583442438e-05,0.007277116294805813,-0.2706156812602154,6.076946216419515
114,4.2503208012352666e-05,0.004316782982517711,-0.23038208162297083,6.006339883398993
115,-8.008431495484455e-05,0.008448042850290055,-0.2583499277808611,5.931113906990756
116,-3.5898074008518356e-05,0.006599197718333602,-0.23844081834220143,5.91047788744099
117,1.1313736803449133e-05,0.004778149601182084,-0.21974511791762966,5.914079456573333
118,0.00014364537667386305,-0.00012238561887477784,-0.1764943943490401,5.939951447370278
119,0.00012431688878720683,0.0010450509489262445,-0.19630992682490442,5.992481550146717
120,0.00017059999564044255,-0.0004792372401228226,-0.18604660925046082,6.027707362001018
121,0.00010528216320854869,0.002471167392136333,-0.22240735622006083,6.083948144041619
122,9.540183360292325e-05,0.003067526837781736,-0.23049623343308637,6.117121955215013
123,7.424491203063011e-05,0.004058899184742273,-0.2438440186018367,6.138211208335001
124,3.963120453442364e-05,0.005297288344538086,-0.2553661680890707,6.121293311380466
125,4.9015849620363325e-05,0.00487090509822796,-0.24949286556113248,6.114710554824043
126,0.00012513063490983883,0.002201243479224461,-0.23061536075179062,6.143316765027031
127,0.00010441530349517087,0.0030363310569639893,-0.24022476068560986,6.145199470091751
128,4.567149304571824e-05,0.004690236192453374,-0.24313070450594731,6.070921342191984
129,0.0001363127946980895,0.0015959050252708417,-0.2219035810471618,6.119592566920937
130,6.40589441232347e-05,0.003855265869468621,-0.23353130474371764,6.052125748339124
131,0.00011744723382361382,0.0019015415051211646,-0.2157416450903038,6.068739777419453
132,7.707830808577194e-05,0.0033460620493169484,-0.2278608990506797,6.05320153418024
133,7.476237100591186e-05,0.0030276419510758563,-0.21583505167426603,6.0045684233185
134,8.516771570561612e-05,0.0022103403719393863,-0.19958337716034197,5.952563280609132
135,0.00024757282835213774,-0.003700838803567439,-0.1546654970607769,5.981689874115563
136,0.0002310722550047949,-0.003076391421695217,-0.15788149438333715,5.987734115227345
137,0.00018018560338427036,-0.0007848216203203107,-0.1856475687747647,6.03178709912316
138,0.00012928736505356586,0.0016774211606681612,-0.2190492247406794,6.095353600005383
139,9.318351919498443e-05,0.003849454345396435,-0.25639394703516855,6.190547933583394
140,3.097563464139949e-05,0.006057836706180231,-0.27382350789333687,6.166671516566336
141,2.7116119369345472e-05,0.006229879070474103,-0.27481909277159045,6.173116275699774
142,4.101989744982218e-05,0.005503771551795781,-0.2651397272660914,6.145802180967087
143,2.7362555692300148e-05,0.005549028903797055,-0.25548902646690896,6.086825624712609
144,3.2039031392114585e-05,0.00493800450705385,-0.2398555281710266,6.036357079242033
145,0.00011184088151389417,0.0021071659305633822,-0.21673437336360576,6.069846633185677
146,0.00012069325560774083,0.0014383033341191407,-0.2047537001486555,6.0255878111998
147,7.14322610143319e-05,0.0027997469406560622,-0.20605786135038806,5.96129048337087
148,0.00011066667069011683,0.0013631178861459405,-0.1939774705168303,5.970191987654279
149,0.00014686861221156918,0.00014977486302042054,-0.1885226460480748,5.985055316154287
150,0.0001884399622770199,-0.0018724227020336238,-0.1604930186427767,5.933052522679259
151,0.0001694414886232471,-0.0011162097465535188,-0.16851875806764188,5.9351404849995655
152,0.00016727683890121705,-0.0006144749296600957,-0.18279657142249034,5.984223752437346
153,0.00021212001354071637,-0.00241996881025801,-0.16699569852750254,5.964925958621477
154,0.0002110976085566212,-0.002313256029402156,-0.16802904505888142,5.977578649789221
155,0.00012854727803841365,0.0009266676541864651,-0.19870805763114882,5.989795676841391
156,0.00021246388097108813,-0.0022988980478827387,-0.16970298576975276,5.985380130579867
157,0.0002533605442130933,-0.003863419446962893,-0.15407977623565985,5.990298842613442
158,0.00023259745825689532,-0.003669651816787115,-0.14723608950713538,5.941287949632127
159,0.00023650767420567014,-0.003958229669329377,-0.13988847495762946,5.9196490322542825
160,0.00021874367502844284,-0.0035390107638180253,-0.13554149990774844,5.8672696017312385
161,0.0002474089744721411,-0.004616764692832827,-0.12635845285448347,5.901537324482428
162,0.000247504665031197,-0.004506512467235471,-0.12935215195909064,5.899196407974101
163,0.0002298722438022554,-0.0038142361817969242,-0.13576865477512884,5.887224161671714
164,0.0001840782636598779,-0.0020137760702015743,-0.15426894015522186,5.89003404608582
165,0.00020044546336785084,-0.002893574630600625,-0.1403739547004977,5.860264149796494
166,0.00023952798836655707,-0.004530609410570858,-0.12156121393397182,5.862910427767166
167,0.00024182575677813965,-0.004616183697086042,-0.12306895682409907,5.899572909947064
168,0.00023591892675809515,-0.004545917851155445,-0.12167049213597288,5.899341850954202
169,0.00018653254374105047,-0.0028107536424660804,-0.13837365265645565,5.840462091451154
170,0.0001958059658259868,-0.002835992020750303,-0.14536004244229112,5.876350002632177
171,0.0002060068747416598,-0.0035330643157607954,-0.1293173029319884,5.842967463837102
172,0.0002121721232112402,-0.003869782778520713,-0.12347183317386075,5.844606875987028
173,0.00019343525397332086,-0.0035432528501518645,-0.1192436789203244,5.803861607505878
174,0.0002309686941985764,-0.004633057752902553,-0.11614847039689419,5.894731735551319
175,0.000229872666436982,-0.004735073234286599,-0.11161353776242328,5.8768467578638255
176,0.00026906170215015303,-0.006123941060784128,-0.10250057890006456,5.9286457332404146
177,0.0002430083274473337,-0.005869365450295892,-0.0866958307823741,5.805516320131697
178,0.00021401937902382293,-0.004579249164960824,-0.10368255709137887,5.8218432748032525
179,0.00024237572638764672,-0.005806934488343722,-0.08580971618243569,5.791274330411991
