t,1M,6M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
1,5.8460474,6.656437,6.895567,6.6864743,6.546109,6.402887,6.2287645,6.0271363,5.90224,5.78946,5.594771,5.46406,5.3365493,5.1535187,5.0213184,4.8593297,4.698858,4.5306935,4.387928,4.252039,4.0816903,3.9401903,3.8223658,3.7173936,3.5798123,3.4786072,3.396617,3.31394,3.2853975,3.2500238,3.1665635,3.1883574,3.1317105,3.1605392,3.1617393,3.1795053,3.193657,3.2159367,3.250662,3.2980778,3.3515344,3.4151735,3.4708483,3.509591,3.5242655,3.6263084,3.7086458,3.751864,3.8085518,3.8717005,3.9620714
2,5.775997,6.729533,6.9906473,6.788925,6.6411324,6.4886394,6.325099,6.102233,6.006087,5.893886,5.689566,5.5429225,5.417889,5.2200108,5.0931206,4.9350557,4.7641673,4.586102,4.4424906,4.305498,4.1126413,3.9635525,3.825362,3.7213855,3.5577826,3.4572868,3.393272,3.276999,3.265336,3.2325947,3.1287146,3.1819124,3.0994,3.1109848,3.1145687,3.1697364,3.1665378,3.205962,3.2334454,3.295382,3.346386,3.4216893,3.4885032,3.489763,3.5213253,3.636047,3.7156863,3.7757187,3.8482177,3.9072742,4.002921
3,5.819932,6.71072,6.902665,6.753541,6.597492,6.4826,6.2914176,6.0951924,5.9867086,5.874086,5.673103,5.5482426,5.421673,5.2330513,5.1015944,4.9245524,4.765795,4.5858083,4.421721,4.2720428,4.107547,3.941671,3.8068027,3.6886752,3.5440736,3.4164443,3.3414347,3.2527728,3.2010713,3.1439662,3.0688286,3.0813751,3.0403504,3.0458636,3.0545816,3.0594099,3.0835311,3.092953,3.14795,3.1749554,3.2321994,3.2982492,3.354346,3.402708,3.422124,3.5186305,3.617417,3.6678178,3.7178462,3.790013,3.8958104
4,5.998623,6.750622,6.8464084,6.743392,6.5721283,6.4599123,6.274348,6.0589733,5.9478307,5.80714,5.634564,5.5063086,5.377011,5.203073,5.055565,4.881921,4.722022,4.546394,4.3749466,4.2155237,4.071062,3.9077759,3.7902708,3.6587195,3.5160694,3.3917127,3.2965662,3.214984,3.1331449,3.0723987,3.0080566,2.9830437,2.9556782,2.9662127,2.955337,2.9395082,2.9849768,2.9797668,3.0505538,3.0493877,3.080548,3.1656573,3.2091184,3.2999043,3.3105521,3.3863976,3.465814,3.5152729,3.5785816,3.657273,3.7347844
5,6.111619,6.750839,6.7724543,6.7074404,6.5169106,6.4059086,6.21364,5.9991903,5.8937726,5.733576,5.5698066,5.437173,5.308604,5.1345215,4.9824777,4.809336,4.6534934,4.47933,4.302275,4.1425977,4.008999,3.848265,3.7301152,3.5916734,3.4609175,3.3302116,3.2377067,3.1614542,3.0588129,2.9981594,2.9399586,2.9015641,2.8941584,2.885682,2.867034,2.842372,2.8967395,2.8857841,2.9705944,2.9446979,2.9696112,3.0568628,3.0931377,3.1854568,3.1992512,3.2669,3.331573,3.3854747,3.457665,3.5294645,3.5975654
6,6.1672516,6.8714,6.9307976,6.8361244,6.6322184,6.5310287,6.3349857,6.102945,5.9972057,5.8212514,5.663951,5.521686,5.3901052,5.21033,5.0461016,4.8756537,4.7145905,4.5254583,4.348857,4.1749344,4.024757,3.8759115,3.7448926,3.6041102,3.455615,3.320136,3.2137642,3.1243594,3.0271144,2.9696677,2.9037166,2.8665218,2.8502235,2.8474374,2.8137717,2.8008208,2.858808,2.8509183,2.9331784,2.9079425,2.9385478,3.025951,3.0722277,3.1665154,3.18862,3.2579565,3.3334525,3.381166,3.4617076,3.5326145,3.607581
7,5.972739,6.750548,6.9231925,6.7838125,6.605553,6.517938,6.339911,6.140696,6.031177,5.8764124,5.7300053,5.589607,5.459129,5.2904673,5.1335626,4.9802375,4.8267274,4.6369376,4.487409,4.3177977,4.1518793,4.0289907,3.8823218,3.7615943,3.6058023,3.480484,3.3799381,3.2744431,3.2142634,3.1484385,3.0783901,3.064005,3.0247326,3.0135312,2.9923892,3.0075815,3.0316505,3.0387,3.0789256,3.0894713,3.133988,3.1880484,3.2440038,3.3046112,3.3457537,3.4093533,3.5004306,3.532897,3.5920405,3.6477358,3.7356918
8,6.0272803,6.6872735,6.764862,6.676343,6.5015526,6.400596,6.2273517,6.018791,5.9146094,5.7599907,5.6138754,5.4823728,5.3553977,5.194129,5.0418673,4.8828363,4.7328205,4.5631685,4.4002514,4.243011,4.10748,3.9675798,3.8485441,3.7227335,3.582371,3.463487,3.3629513,3.2785082,3.1931725,3.1351287,3.0725102,3.0382109,3.0126739,3.0112896,2.9839134,2.9736464,3.0129414,3.0070493,3.0712023,3.0567703,3.0811543,3.1563444,3.1949012,3.2801023,3.299683,3.3546762,3.423654,3.4618979,3.5302036,3.595824,3.6574383
9,6.0840883,6.7770867,6.9274225,6.7747054,6.588956,6.493289,6.3362765,6.1189036,6.005116,5.838708,5.718095,5.563893,5.429209,5.2735596,5.101273,4.957781,4.8053865,4.6192265,4.4732194,4.2999725,4.138697,4.031677,3.8865356,3.7700303,3.5986512,3.4928322,3.3816667,3.2737138,3.2137723,3.1471415,3.0806317,3.0468526,2.993857,2.9923303,2.9566464,2.98295,3.0070345,3.0175307,3.044002,3.0625587,3.0868323,3.1433885,3.20486,3.2716894,3.323285,3.3625426,3.448766,3.4713888,3.5412502,3.5951843,3.6611614
10,6.029565,6.7608347,6.961625,6.8006263,6.620957,6.5396056,6.367495,6.1794605,6.0495334,5.880897,5.7596703,5.6112504,5.474115,5.317991,5.147879,5.0081882,4.8510766,4.651708,4.5222077,4.339021,4.1607714,4.061756,3.9106333,3.788172,3.6310081,3.5112033,3.3979273,3.2829237,3.2316651,3.1508348,3.0872793,3.0638642,3.022677,3.0061681,2.9888575,3.010613,3.0287251,3.0399003,3.0554051,3.0823998,3.1242437,3.1652284,3.2242355,3.2933517,3.346557,3.4035096,3.494166,3.520584,3.570294,3.617904,3.7071812
11,5.920051,6.7309065,7.024876,6.855002,6.6879783,6.635069,6.427432,6.2990274,6.135841,5.9628186,5.835535,5.701967,5.560272,5.401151,5.2373533,5.1021023,4.9340262,4.7081203,4.609324,4.4061575,4.1952744,4.106699,3.9472506,3.8093953,3.685628,3.5338397,3.4163566,3.2901278,3.2521648,3.1430094,3.0860343,3.0832875,3.0711894,3.0251443,3.0469818,3.0527732,3.0628946,3.0725653,3.0724292,3.1117182,3.1901054,3.2034426,3.2543058,3.3337526,3.3846493,3.482371,3.5801616,3.6176875,3.626062,3.6636605,3.8015552
12,5.853064,6.6578865,6.9104977,6.766934,6.607993,6.5450373,6.3463564,6.2075596,6.067535,5.9125214,5.7707796,5.6450653,5.511347,5.349604,5.199563,5.0565944,4.89775,4.6918736,4.5759315,4.3935156,4.2053037,4.098645,3.9493911,3.8201504,3.6966035,3.5513535,3.447287,3.3335974,3.2878942,3.1954918,3.1342611,3.1345901,3.118162,3.080315,3.0941234,3.096582,3.107271,3.113662,3.131443,3.1564004,3.2274132,3.2522473,3.297945,3.3664064,3.406626,3.496738,3.5892334,3.626987,3.6463556,3.6898868,3.8121316
13,5.614193,6.607031,6.843541,6.735262,6.604536,6.496199,6.3340387,6.161451,6.0628257,5.9593687,5.7739825,5.636085,5.518246,5.3423896,5.225293,5.0829883,4.901354,4.720799,4.5917025,4.4413753,4.238072,4.0878806,3.9687748,3.8215263,3.6911242,3.568892,3.507791,3.3682432,3.3348923,3.246417,3.1689186,3.215381,3.1591365,3.1142645,3.1496286,3.1940951,3.1880581,3.204526,3.2216096,3.281844,3.3245163,3.3893418,3.4342992,3.4424949,3.483134,3.6091633,3.6668456,3.7560256,3.782144,3.8340933,3.949542
14,5.6143994,6.549084,6.7869773,6.6797066,6.5552588,6.4605994,6.2948856,6.1381145,6.032413,5.9251795,5.7527337,5.619076,5.5019875,5.3336334,5.214607,5.075964,4.9035892,4.7214394,4.602742,4.450146,4.252123,4.1159377,3.9967601,3.8513916,3.7281053,3.6065989,3.5404422,3.4068546,3.3720636,3.2815561,3.2102478,3.2475014,3.2035885,3.1594262,3.1873357,3.224011,3.2181153,3.2320094,3.2466655,3.300478,3.347682,3.3989613,3.4416332,3.4580562,3.4963007,3.615155,3.6754994,3.7516289,3.773701,3.819116,3.9347825
15,5.610362,6.553669,6.7716265,6.6811833,6.553403,6.45189,6.2835703,6.118187,6.025878,5.91593,5.735883,5.606036,5.489649,5.3142614,5.2000027,5.054876,4.8853874,4.7048545,4.578201,4.430057,4.2407274,4.093061,3.9684088,3.8320386,3.7030723,3.5789957,3.5186276,3.386996,3.3507986,3.2726212,3.1923218,3.2355309,3.1900735,3.1492758,3.173188,3.2067723,3.2005076,3.2177737,3.245242,3.2868152,3.3348703,3.395744,3.4365582,3.453524,3.4844437,3.6029675,3.6630492,3.7394824,3.7748926,3.824379,3.9339087
16,5.7795663,6.6303053,6.793955,6.681157,6.5290456,6.426956,6.2419243,6.056604,5.959257,5.8462763,5.656842,5.5384645,5.416154,5.236782,5.1095386,4.9372287,4.7870708,4.6151795,4.450791,4.3056545,4.1554365,3.9926124,3.8606772,3.744461,3.605651,3.4764094,3.4027445,3.3153155,3.25476,3.1957726,3.1241589,3.1305287,3.0956454,3.0901477,3.0936334,3.0930629,3.1142173,3.1176581,3.176516,3.1876307,3.240115,3.3027904,3.3501248,3.3994403,3.4180574,3.5012043,3.5934668,3.6399078,3.6884997,3.7570002,3.8532343
17,5.7450323,6.5796633,6.7565293,6.65975,6.508821,6.427439,6.2354417,6.0702863,5.9751873,5.8511705,5.6723714,5.5603967,5.4411387,5.265426,5.1405654,4.976895,4.831508,4.656744,4.502369,4.354864,4.2035055,4.055866,3.9215536,3.8038523,3.678578,3.5376773,3.4590287,3.3675704,3.3046842,3.2454166,3.173328,3.183095,3.1614044,3.1393867,3.1379802,3.132595,3.1501658,3.1496425,3.2095337,3.2039297,3.266685,3.3176408,3.356219,3.40499,3.4237263,3.5086482,3.5956624,3.6382067,3.6811295,3.7389767,3.8399696
18,5.6134663,6.5685496,6.8035707,6.6895037,6.5626874,6.4629974,6.3033547,6.1409335,6.0363073,5.9342804,5.7577257,5.623241,5.50617,5.3389645,5.2186513,5.081569,4.9050927,4.727378,4.6041045,4.4528008,4.2554035,4.115665,3.9971707,3.8537564,3.7261453,3.6079879,3.5448937,3.412077,3.3790164,3.2835138,3.2141218,3.2513413,3.1994905,3.150676,3.1872797,3.2300487,3.2227526,3.2345958,3.2454252,3.3070846,3.345726,3.404431,3.4468703,3.460139,3.500275,3.6184232,3.6792738,3.7600622,3.7792158,3.8268533,3.939278
19,5.6051574,6.5882626,6.8182607,6.7004504,6.56899,6.463028,6.30963,6.142064,6.0404606,5.943895,5.761409,5.6266413,5.5095353,5.343151,5.2221575,5.0879645,4.9058943,4.733224,4.603731,4.454875,4.2580605,4.112878,3.9942474,3.8523366,3.7228885,3.6060576,3.548963,3.4165273,3.3846695,3.283185,3.2167058,3.2544456,3.1939416,3.1373515,3.1861835,3.2362385,3.2280462,3.2368488,3.2439005,3.313868,3.3419108,3.409069,3.451523,3.459399,3.502057,3.6199632,3.6815515,3.7690194,3.7843683,3.8346825,3.9436755
20,5.741755,6.6409163,6.821246,6.7059174,6.552929,6.4527183,6.264938,6.079808,5.9892745,5.878758,5.682343,5.5632434,5.4424305,5.2567983,5.133193,4.959947,4.80912,4.633981,4.468829,4.3243747,4.167959,4.0033016,3.8643498,3.7494016,3.607528,3.4740584,3.4056635,3.3123596,3.2565773,3.1998072,3.1228704,3.140139,3.102213,3.0915396,3.096232,3.10258,3.1195726,3.126329,3.1856306,3.19793,3.2566252,3.3178818,3.368052,3.4054272,3.4272413,3.51652,3.6121426,3.661026,3.7106204,3.7771416,3.8803053
