Tenor (Years),Vol1,Vol2,Vol3
0.0833333333,0.0001581147,-0.0002092589,-0.0000142659
0.5000000000,0.0025519300,-0.0035126708,0.0034944322
1.0000000000,0.0045557390,-0.0051402210,0.0051459193
1.5000000000,0.0052087204,-0.0052379242,0.0045521138
2.0000000000,0.0054745254,-0.0050581165,0.0035149618
2.5000000000,0.0056610724,-0.0048744863,0.0025056415
3.0000000000,0.0058325580,-0.0047124507,0.0015992484
3.5000000000,0.0059998867,-0.0045626484,0.0007977345
4.0000000000,0.0061627184,-0.0044140709,0.0000907499
4.5000000000,0.0063177786,-0.0042581602,-0.0005290629
5.0000000000,0.0064611577,-0.0040880542,-0.0010650966
5.5000000000,0.0065889919,-0.0038980717,-0.0015180644
6.0000000000,0.0066979343,-0.0036835053,-0.0018876496
6.5000000000,0.0067853280,-0.0034403181,-0.0021736855
7.0000000000,0.0068496554,-0.0031653754,-0.0023773158
7.5000000000,0.0068906951,-0.0028568354,-0.0025014401
8.0000000000,0.0069095522,-0.0025143962,-0.0025506016
8.5000000000,0.0069084997,-0.0021393516,-0.0025312625
9.0000000000,0.0068905664,-0.0017347424,-0.0024512490
9.5000000000,0.0068593050,-0.0013054550,-0.0023194833
10.0000000000,0.0068185798,-0.0008580132,-0.0021455238
10.5000000000,0.0067721658,-0.0004003827,-0.0019389669
11.0000000000,0.0067233947,0.0000584186,-0.0017091030
11.5000000000,0.0066749392,0.0005093053,-0.0014645692
12.0000000000,0.0066287781,0.0009433573,-0.0012129968
12.5000000000,0.0065862821,0.0013523436,-0.0009612000
13.0000000000,0.0065482624,0.0017292866,-0.0007147825
13.5000000000,0.0065149990,0.0020688635,-0.0004779939
14.0000000000,0.0064865836,0.0023676468,-0.0002538718
14.5000000000,0.0064630071,0.0026238289,-0.0000446719
15.0000000000,0.0064439938,0.0028366397,0.0001477718
15.5000000000,0.0064290071,0.0030062698,0.0003222155
16.0000000000,0.0064174180,0.0031338891,0.0004780356
16.5000000000,0.0064087553,0.0032215681,0.0006151194
17.0000000000,0.0064026492,0.0032718458,0.0007336052
17.5000000000,0.0063987261,0.0032873887,0.0008339743
18.0000000000,0.0063965681,0.0032709664,0.0009168842
18.5000000000,0.0063959508,0.0032254111,0.0009832674
19.0000000000,0.0063967361,0.0031536481,0.0010341983
19.5000000000,0.0063987690,0.0030586357,0.0010707800
20.0000000000,0.0064018234,0.0029434136,0.0010942247
20.5000000000,0.0064056919,0.0028109231,0.0011058535
21.0000000000,0.0064102244,0.0026639036,0.0011069194
21.5000000000,0.0064152984,0.0025046228,0.0010985226
22.0000000000,0.0064208171,0.0023347386,0.0010816035
22.5000000000,0.0064267792,0.0021554870,0.0010570615
23.0000000000,0.0064332021,0.0019679794,0.0010257589
23.5000000000,0.0064401137,0.0017732166,0.0009884803
24.0000000000,0.0064475418,0.0015721639,0.0009459848
24.5000000000,0.0064555136,0.0013657857,0.0008990318
25.0000000000,0.0064640575,0.0011550347,0.0008483727
