Tenor (Years),PC1,PC2,PC3
0.0833333333,0.0035103325,-0.0097262470,-0.0011150768
0.5000000000,0.0566558601,-0.1632671768,0.2731378387
1.0000000000,0.1011427852,-0.2389148966,0.4022242257
1.5000000000,0.1156397431,-0.2434560936,0.3558101753
2.0000000000,0.1215409281,-0.2350987184,0.2747425136
2.5000000000,0.1256824929,-0.2265636806,0.1958502764
3.0000000000,0.1294896750,-0.2190323460,0.1250032131
3.5000000000,0.1332045682,-0.2120696103,0.0623539042
4.0000000000,0.1368196262,-0.2051638032,0.0070933524
4.5000000000,0.1402621441,-0.1979171519,-0.0413535310
5.0000000000,0.1434453301,-0.1900107122,-0.0832519160
5.5000000000,0.1462834003,-0.1811804196,-0.1186575697
6.0000000000,0.1487020512,-0.1712074798,-0.1475457231
6.5000000000,0.1506422938,-0.1599042617,-0.1699033597
7.0000000000,0.1520704378,-0.1471250620,-0.1858198645
7.5000000000,0.1529815680,-0.1327842792,-0.1955218793
8.0000000000,0.1534002168,-0.1168678742,-0.1993645215
8.5000000000,0.1533768499,-0.0994359896,-0.1978529053
9.0000000000,0.1529787101,-0.0806299573,-0.1915987538
9.5000000000,0.1522846703,-0.0606768943,-0.1812994557
10.0000000000,0.1513805228,-0.0398800254,-0.1677021321
10.5000000000,0.1503500763,-0.0186095888,-0.1515568805
11.0000000000,0.1492673008,0.0027152668,-0.1335898582
11.5000000000,0.1481915310,0.0236722528,-0.1144761838
12.0000000000,0.1471667008,0.0438467751,-0.0948123514
12.5000000000,0.1462232403,0.0628562532,-0.0751309733
13.0000000000,0.1453791575,0.0803763759,-0.0558700649
13.5000000000,0.1446406696,0.0961597404,-0.0373617876
14.0000000000,0.1440098141,0.1100470375,-0.0198435639
14.5000000000,0.1434863897,0.1219542541,-0.0034917185
15.0000000000,0.1430642704,0.1318455938,0.0115503947
15.5000000000,0.1427315500,0.1397299118,0.0251855678
16.0000000000,0.1424742576,0.1456615952,0.0373650426
16.5000000000,0.1422819353,0.1497368711,0.0480800272
17.0000000000,0.1421463723,0.1520737532,0.0573413176
17.5000000000,0.1420592751,0.1527961815,0.0651865420
18.0000000000,0.1420113657,0.1520328788,0.0716670880
18.5000000000,0.1419976596,0.1499154926,0.0768558422
19.0000000000,0.1420150942,0.1465799837,0.0808367919
19.5000000000,0.1420602277,0.1421638541,0.0836961573
20.0000000000,0.1421280384,0.1368083902,0.0855286793
20.5000000000,0.1422139242,0.1306502972,0.0864376339
21.0000000000,0.1423145504,0.1238169025,0.0865209414
21.5000000000,0.1424271996,0.1164136112,0.0858646209
22.0000000000,0.1425497212,0.1085174803,0.0845421591
22.5000000000,0.1426820867,0.1001859574,0.0826238677
23.0000000000,0.1428246820,0.0914706971,0.0801771403
23.5000000000,0.1429781276,0.0824182179,0.0772633011
24.0000000000,0.1431430401,0.0730733923,0.0739417005
24.5000000000,0.1433200256,0.0634810340,0.0702716737
25.0000000000,0.1435097094,0.0536854352,0.0663119699
