t,1M,6M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
1,0.0577335535,0.0643819066,0.0671422347,0.066511934,0.0649907055,0.063254908,0.061534061,0.0599254184,0.0584435888,0.0570578067,0.0557229402,0.0543927363,0.0530317521,0.0516184177,0.0501460031,0.048619644,0.0470554114,0.0454749875,0.043902473,0.0423595926,0.040865403,0.0394369674,0.0380871298,0.0368281073,0.0356721295,0.0346321983,0.0337205629,0.0329455603,0.0323143905,0.0318282179,0.0314813394,0.0312676794,0.0311811446,0.0312128914,0.0313483366,0.0315721787,0.0318703729,0.0322340676,0.0326557524,0.033127917,0.033643051,0.0341936443,0.0347721863,0.0353711826,0.0359851196,0.0366123753,0.0372517809,0.0379021675,0.0385623662,0.0392312083,0.0399075248
2,0.0578733217,0.0644429243,0.0671153671,0.0664132673,0.0648369079,0.0630535099,0.0612901647,0.0596431429,0.058126414,0.0567088443,0.0553451088,0.0539888611,0.0526046247,0.051170812,0.0496806672,0.048139285,0.0465626708,0.0449724073,0.0433924645,0.0418444161,0.0403471697,0.0389176333,0.0375685013,0.036311858,0.0351598061,0.0341252173,0.0332201922,0.0324529176,0.0318304351,0.0313537275,0.0310169326,0.0308138427,0.030738223,0.0307810651,0.0309276293,0.0311624848,0.0314714808,0.0318456599,0.032277385,0.0327590136,0.0332829028,0.0338414099,0.0344268919,0.0350317296,0.0356503001,0.0362808662,0.0369221287,0.037572787,0.0382315408,0.0388970908,0.0395681135
3,0.0579698885,0.0644784698,0.0670822667,0.0663290446,0.0647194212,0.0629113564,0.0611294349,0.0594688399,0.0579427932,0.0565196831,0.0551538817,0.0537988388,0.0524189333,0.0509924487,0.0495124922,0.0479840064,0.0464228193,0.0448503031,0.0432901854,0.0417637779,0.0402897278,0.0388846768,0.0375610586,0.0363307137,0.0352055066,0.0341980677,0.0333202378,0.0325799424,0.0319839529,0.0315329597,0.0312208306,0.0310411147,0.0309873242,0.0310501749,0.0312146595,0.0314651069,0.0317871494,0.0321716124,0.0326106209,0.0330962888,0.03362073,0.0341760578,0.0347543856,0.0353478583,0.0359506327,0.0365607452,0.0371766549,0.0377968181,0.0384196925,0.0390437367,0.0396673698
4,0.0575544772,0.0640561197,0.0666401741,0.0658797841,0.0642759633,0.0624775979,0.0607069964,0.0590584598,0.0575446628,0.0561337159,0.0547798875,0.0534366226,0.0520683539,0.0506534343,0.0491850323,0.047668136,0.0461185947,0.0445577675,0.043009338,0.0414945539,0.0400320003,0.0386382507,0.0373256766,0.0361060731,0.0349912645,0.0339938382,0.0331255732,0.032394332,0.0318068142,0.0313636158,0.0310585329,0.0308850697,0.0308366839,0.0309040134,0.0310719816,0.0313248758,0.0316483095,0.0320330892,0.0324713,0.0329550107,0.0334762898,0.0340272052,0.0345998248,0.0351862561,0.0357806338,0.0363809659,0.0369856681,0.0375931521,0.0382018313,0.0388101207,0.0394164045
5,0.0569943916,0.0635612016,0.0661908046,0.0654820321,0.0639364139,0.0621940085,0.0604751377,0.0588734842,0.0574014348,0.056027081,0.0547048453,0.0533884254,0.0520425653,0.0506459438,0.0491920478,0.0476861679,0.0461444307,0.0445884394,0.04304209,0.0415268232,0.0400614188,0.0386626392,0.0373430504,0.036114659,0.0349895064,0.0339803937,0.033099295,0.0323542663,0.0317521925,0.0312938319,0.0309731663,0.0307839119,0.0307197283,0.0307714328,0.0309241362,0.0311623416,0.0314719005,0.0318438573,0.0322705141,0.0327441516,0.0332570495,0.0338014874,0.0343697447,0.0349541483,0.0355490679,0.0361527398,0.0367637933,0.0373808522,0.0380025426,0.0386274929,0.0392543158
6,0.0579677988,0.0644759682,0.0670356717,0.0662712585,0.0646843885,0.062906033,0.0611543104,0.059522042,0.0580210799,0.0566192488,0.0552708771,0.0539296661,0.0525604217,0.0511418999,0.0496676559,0.0481430331,0.0465841861,0.0450127123,0.0434524705,0.0419248446,0.0404485599,0.0390403181,0.0377126304,0.0364774656,0.0353468327,0.0343334967,0.0334493774,0.0327024752,0.0320996101,0.0316414537,0.0313219238,0.0311346995,0.0310733927,0.0311287505,0.0312858221,0.0315290764,0.0318443542,0.0322226881,0.0326563476,0.0331375756,0.0336586139,0.0342117041,0.0347890876,0.0353830617,0.0359879811,0.0366020614,0.0372238957,0.0378520705,0.0384851751,0.039121802,0.0397605267
7,0.0575278829,0.0640316703,0.0665763187,0.065811617,0.0642390945,0.0624805026,0.0607516655,0.0591444266,0.0576699821,0.0562957681,0.0549758967,0.0536639503,0.0523246736,0.050936776,0.0494937578,0.0480008918,0.0464742368,0.0449352606,0.0434076614,0.0419126431,0.0404687527,0.0390925079,0.0377962419,0.0365917625,0.0354909226,0.034506328,0.0336497207,0.0329289217,0.032350563,0.0319151058,0.0316162811,0.0314476074,0.0314025253,0.0314715882,0.0316396605,0.0318910541,0.0322114753,0.0325918217,0.0330242067,0.0335007118,0.0340134178,0.0345544047,0.0351157528,0.035689606,0.0362701813,0.0368555498,0.0374441449,0.0380343925,0.0386247219,0.0392135659,0.0397993388
8,0.056710774,0.0633124147,0.0659333059,0.0652491528,0.0637616507,0.0620837574,0.0604294698,0.0588900944,0.0574766086,0.0561564961,0.0548840882,0.0536132833,0.0523091999,0.0509509355,0.0495323698,0.0480591391,0.0465476408,0.0450196477,0.0434991313,0.0420075499,0.0405637071,0.0391843708,0.0378821309,0.0366690685,0.0355573154,0.0345597524,0.0336883779,0.0329512683,0.0323553018,0.031901164,0.0315828334,0.0313941025,0.0313286753,0.0313773458,0.0315252281,0.031756912,0.0320584039,0.0324209006,0.0328367939,0.0332984386,0.0337981887,0.0343283974,0.0348814181,0.0354496764,0.0360276856,0.036613807,0.0372067486,0.0378052104,0.038407896,0.0390135132,0.0396207708
9,0.0570830233,0.0635838436,0.066101169,0.0653360027,0.0637893639,0.0620647042,0.0603735218,0.0588058881,0.0573718591,0.0560382637,0.0547589487,0.053487425,0.0521884804,0.0508408959,0.049438226,0.0479857662,0.0464995476,0.0450009428,0.0435134924,0.0420582044,0.0406534341,0.0393154956,0.0380565308,0.03688819,0.0358221789,0.0348709488,0.0340460503,0.0333551103,0.0328045487,0.0323945708,0.0321186985,0.0319702939,0.0319426194,0.0320260054,0.0322051114,0.0324641003,0.0327885745,0.0331693255,0.0335983186,0.0340674776,0.0345687252,0.0350939829,0.0356351732,0.0361842986,0.0367354646,0.0372866177,0.0378360364,0.0383819898,0.0389227515,0.0394566,0.039981814
10,0.0578523073,0.0642707941,0.0666978387,0.0658600126,0.0642577833,0.062485351,0.0607520101,0.0591468655,0.0576793166,0.0563158012,0.0550099452,0.0537151345,0.0523960888,0.051031535,0.0496149645,0.0481515939,0.0466573501,0.0451534678,0.0436633183,0.0422077216,0.0408048472,0.0394708172,0.0382175881,0.0370566416,0.0359995197,0.0350585063,0.0342449662,0.0335663392,0.033028849,0.0326324826,0.0323705681,0.0322362992,0.0322227591,0.0323200765,0.0325127187,0.0327846844,0.0331214341,0.0335136161,0.0339530318,0.0344314356,0.0349405813,0.0354722214,0.0360181092,0.0365700867,0.0371221139,0.0376719845,0.0382178097,0.0387576902,0.0392897316,0.0398120452,0.0403227846
