t,mkt_implied_vol,strike,mkt_price
1,0.1214,0.0646,0.031
2,0.1462,0.0656,0.0326
3,0.1434,0.0658,0.0325
4,0.1518,0.0660,0.0329
5,0.1426,0.0659,0.0324
6,0.1426,0.0659,0.0324
7,0.1426,0.0659,0.0324
8,0.1402,0.0660,0.0323
9,0.1339,0.0661,0.0320
10,0.1286,0.0662,0.0317
11,0.1637,0.0663,0.0335
12,0.1535,0.0661,0.0330
13,0.1535,0.0661,0.0330
14,0.1535,0.0661,0.0330
15,0.1527,0.0663,0.0316
16,0.1538,0.0662,0.0317
17,0.1671,0.0664,0.0322
18,0.1646,0.0664,0.0321
19,0.1609,0.0666,0.0320
20,0.1612,0.0664,0.0320
