t,S_t,strike,mkt implied vol 
1,0.06792725,0.0646,0.002339
2,0.06789909,0.0656,0.002555
3,0.06786584,0.0658,0.002550
4,0.06741578,0.0660,0.002594
5,0.06696178,0.0659,0.002544
6,0.06782825,0.0659,0.002554
7,0.06736091,0.0659,0.002542
8,0.06671009,0.0660,0.002547
9,0.06688098,0.0661,0.002524
10,0.06749186,0.0662,0.002491
11,0.06783105,0.0663,0.002711
12,0.06826373,0.0661,0.002654
13,0.06753024,0.0661,0.002655
14,0.06762725,0.0661,0.002644
15,0.06707245,0.0663,0.002569
16,0.06755774,0.0662,0.002581
17,0.06724538,0.0664,0.002636
18,0.06836528,0.0664,0.002626
19,0.06838805,0.0666,0.002655
20,0.06817879,0.0664,0.002642
