t,S_t,strike,mkt implied vol 
1,0.03950306,0.0646,0.031
2,0.03901463,0.0656,0.0326
3,0.03905531,0.0658,0.0325
4,0.03882179,0.0660,0.0329
5,0.03879195,0.0659,0.0324
6,0.03919239,0.0659,0.0324
7,0.03929731,0.0659,0.0324
8,0.0393192,0.0660,0.0323
9,0.03958067,0.0661,0.0320
10,0.03979127,0.0662,0.0317
11,0.04021884,0.0663,0.0335
12,0.03997978,0.0661,0.0330
13,0.03909452,0.0661,0.0330
14,0.03937917,0.0661,0.0330
15,0.03934849,0.0663,0.0316
16,0.03996016,0.0662,0.0317
17,0.03972702,0.0664,0.0322
18,0.04063132,0.0664,0.0321
19,0.04063516,0.0666,0.0320
20,0.04049291,0.0664,0.0320
