t,S_t,annuity,strike,mkt price
1,0.06301963,0.94328545,0.0646,0.002339
2,0.06296949,0.9433332,0.0656,0.002555
3,0.06331067,0.94303781,0.0658,0.002550
4,0.06330184,0.94304396,0.0660,0.002594
5,0.06303261,0.94327268,0.0659,0.002544
6,0.06314473,0.94317852,0.0659,0.002554
7,0.06344468,0.94291478,0.0659,0.002542
8,0.0631371,0.94317459,0.0660,0.002547
9,0.06378997,0.94261014,0.0661,0.002524
10,0.06402212,0.94241249,0.0662,0.002491
11,0.06424325,0.94222009,0.0663,0.002711
12,0.06403903,0.94240149,0.0661,0.002654
13,0.06366516,0.94272659,0.0661,0.002655
14,0.06435383,0.94213064,0.0661,0.002644
15,0.06429352,0.94217849,0.0663,0.002569
16,0.06431411,0.9421583,0.0662,0.002581
17,0.06413282,0.94231415,0.0664,0.002636
18,0.06422425,0.94223491,0.0664,0.002626
19,0.06421935,0.94223904,0.0666,0.002655
20,0.06385562,0.94255217,0.0664,0.002642
