t,S_t,annuity,strike,mkt price 
1,0.04030834,4.4881918,0.0646,0.0408
2,0.03996171,4.54395227,0.0656,0.0456
3,0.04006261,4.53411572,0.0658,0.0449
4,0.03980648,4.57479211,0.0660,0.0464
5,0.03964108,4.59724887,0.0659,0.0447
6,0.04015718,4.52096742,0.0659,0.0447
7,0.04019654,4.51874288,0.0659,0.0447
8,0.04001435,4.54222865,0.0660,0.0394
9,0.04038245,4.49547557,0.0661,0.0381
10,0.04073048,4.44790017,0.0662,0.0371
11,0.04116666,4.38606086,0.0663,0.0432
12,0.04107025,4.40111098,0.0661,0.0417
13,0.04021738,4.52824389,0.0661,0.0417
14,0.04059353,4.48072538,0.0661,0.0417
15,0.04044579,4.50250288,0.0663,0.0413
16,0.0410052,4.41837485,0.0662,0.0416
17,0.04074663,4.45636137,0.0664,0.0436
18,0.04167223,4.32061475,0.0664,0.0432
19,0.04169323,4.31889558,0.0666,0.0425
20,0.04148521,4.34604074,0.0664,0.0427
