t,S_t,annuity,strike,mkt price
1,0.03406249,5.67652176,0.0646,0.0408
2,0.03430086,5.61987013,0.0656,0.0456
3,0.03423707,5.62802986,0.0658,0.0449
4,0.03435046,5.62095144,0.0660,0.0464
5,0.03440568,5.63781341,0.0659,0.0447
6,0.03419526,5.65025697,0.0659,0.0447
7,0.03410801,5.68594421,0.0659,0.0447
8,0.03414741,5.71784728,0.0660,0.0394
9,0.03392215,5.74765559,0.0661,0.0381
10,0.03377688,5.74945918,0.0662,0.0371
11,0.03352596,5.79171761,0.0663,0.0432
12,0.03367285,5.74299375,0.0661,0.0417
13,0.03417654,5.6642334,0.0661,0.0417
14,0.03394173,5.69752957,0.0661,0.0417
15,0.0339701,5.71847119,0.0663,0.0413
16,0.03366998,5.77327926,0.0662,0.0416
17,0.033809,5.75911054,0.0664,0.0436
18,0.03334675,5.82463387,0.0664,0.0432
19,0.03334551,5.82549538,0.0666,0.0425
20,0.03346871,5.81703263,0.0664,0.0427
