z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.0,1.2014656,0.0,0.0,1.2020829,4.1275477,0.0,0.79776233,0.612808,2.3140697,0.0,2.4868124,1.0846834
0.0,1.4311159,0.0,0.0,1.1302077,5.2824197,0.0,0.74305576,1.2725701,2.4499662,0.0,3.219042,1.0643861
0.0,0.0,2.1627393,0.0,5.697132,3.04777,0.4909007,4.4762654,3.9940555,3.360773,0.46065307,0.0,2.8644402
0.0,1.6881878,0.0,0.0,1.4341815,5.1581106,0.0,0.9175855,0.89228445,2.8413289,0.0,3.0772936,1.5601866
0.0,0.0,0.8535362,0.0,2.4669564,1.4267236,0.4022914,2.191275,1.8919972,1.4421178,0.1850386,0.0,1.0497329
0.0,0.0,0.38355285,0.0,1.9298,0.716134,0.9875524,1.4022367,0.7978593,1.1270758,0.3910763,0.0,0.32127598
0.0,1.6763685,0.0,0.0,1.2853488,5.807006,0.0,0.8223649,1.3716005,2.7713442,0.0,3.5888593,1.3368382
0.0,0.0,0.059838306,0.0,1.2424595,1.1634471,1.1540799,0.85390383,0.5957778,0.99346954,0.6598707,0.0,0.2435442
0.0,1.5355313,0.0,0.0,1.3633245,5.049654,0.0,0.8876871,0.8966533,2.7121382,0.0,3.0568717,1.3788908
0.0,0.0,0.32192427,0.0,1.4188453,1.1072024,1.2016714,1.0596633,0.38890085,0.89326376,0.60764,0.0061916644,0.24104582
0.0,0.8157943,0.0,0.0,0.7974561,3.846222,0.037101325,0.53581625,0.97013515,1.733612,0.0,2.225137,0.3388877
0.0,0.0,1.0012996,0.0,4.072268,1.2747054,1.7519654,2.8153312,1.8300248,2.4851184,0.7850219,0.0,0.8657917
0.0,1.8428308,0.0,0.0,1.3730716,6.1215906,0.0,0.8714324,1.4304593,2.9452837,0.0,3.7725399,1.5206687
0.0,0.0,0.72034717,0.0,3.3276203,0.9867431,1.5808314,2.2671208,1.355441,1.9392959,0.67060834,0.0,0.53185713
0.0,0.0,0.4499029,0.0,1.9088155,0.96005094,0.71158284,1.6884094,1.1687483,0.9384573,0.23096389,0.0,0.36411873
0.0,0.0,1.7674365,0.0,5.117899,2.3695028,1.0209918,3.943882,3.2732306,3.0959103,0.6327716,0.0,2.1474998
0.0,1.5805959,0.0,0.0,1.2017382,5.6453314,0.0,0.7831206,1.3653868,2.6352422,0.0,3.4738727,1.2316906
0.0,1.5281185,0.0,0.0,1.3459951,4.9598556,0.0,0.89500934,0.84941554,2.6486504,0.0,3.012394,1.3731024
0.0,1.648043,0.0,0.0,1.4296737,5.2347126,0.0,0.9436256,0.89334846,2.821474,0.0,3.1791956,1.511215
0.0,0.0,2.1531892,0.0,5.649548,3.039039,0.47843462,4.440917,3.9718742,3.3387089,0.44909862,0.0,2.856939
0.0,0.0,0.21156105,0.0,1.2389377,0.94270283,1.1582763,0.7419391,0.2086765,0.9493651,0.6451255,0.009539344,0.31878814
0.0,1.9796077,0.0,0.0,1.6038262,5.9906874,0.0,1.0401447,1.0882978,3.2093472,0.0,3.6333594,1.8266449
0.0,1.5033997,0.0,0.0,1.1807725,5.4033465,0.0,0.7671808,1.2922417,2.5624423,0.0,3.2994127,1.141923
0.0,1.6919383,0.0,0.0,1.2976272,5.8439994,0.0,0.83507377,1.365828,2.7905166,0.0,3.620693,1.3621955
0.0,1.5804644,0.0,0.0,1.2207348,5.5372624,0.0,0.78582853,1.3291323,2.6576316,0.0,3.3695583,1.2183657
0.0,0.0,1.7916193,0.0,5.1466956,2.343553,1.1187152,3.9602096,3.290302,3.2072656,0.6679474,0.0,2.176649
0.0,0.0,2.2346413,0.0,5.841443,2.9622269,0.76834923,4.5805764,4.02806,3.5251467,0.61942947,0.0,2.8120074
0.0,0.0,2.2810836,0.0,6.061374,3.0369523,0.8350252,4.692718,4.0997643,3.6947217,0.6218235,0.0,2.9476247
0.0,1.6124351,0.0,0.0,1.2013242,5.7259445,0.0,0.7746161,1.4118676,2.6607945,0.0,3.5473049,1.2564068
0.0,1.925258,0.0,0.0,1.5742415,5.702082,0.0,1.0148697,0.99711937,3.1243007,0.0,3.4171302,1.7878933
0.0,0.0,0.6975226,0.0,3.025578,0.9699442,1.4288602,2.1502416,1.360664,1.8033091,0.5585949,0.0,0.5436863
0.0,1.780789,0.0,0.0,1.5091532,5.4653735,0.0,0.9382857,0.9949322,3.050399,0.0,3.2906747,1.6478179
0.0,0.0,0.6892938,0.0,2.935191,0.85917675,1.5111654,2.0237434,1.2495375,1.9265332,0.6038559,0.0,0.5890986
0.0,0.0,0.103694916,0.0,1.4914272,1.3458276,1.4068902,0.96453,0.5717244,1.2176867,0.8106304,0.0,0.34389973
0.0,0.0,0.68034476,0.0,3.0528421,1.0100031,1.3381298,2.1371434,1.3531958,1.8137921,0.54803735,0.0,0.5837018
0.0,0.0,0.12466875,0.0,1.0809888,1.2540288,1.1515397,0.6915045,0.1822931,0.7117866,0.6487772,0.10467518,0.2080194
0.0,0.0,2.2579238,0.0,6.1391115,2.974646,0.91382635,4.734809,4.062539,3.6642756,0.7188062,0.0,2.814373
0.0,0.0,2.2350016,0.0,5.8086433,3.071641,0.5688541,4.57368,4.076545,3.451177,0.5134615,0.0,2.8897943
0.0,0.0,0.61011845,0.0,2.8399136,1.0767761,1.5829835,2.0303085,1.0745504,1.6712289,0.6446165,0.0,0.46697673
0.0,0.0,0.6139602,0.0,2.7614648,0.90639055,1.4143151,1.9427333,1.1369647,1.6421626,0.58286184,0.0,0.44680202
0.0,1.4659463,0.0,0.0,1.152426,5.3849697,0.0,0.7504452,1.3012074,2.5236192,0.0,3.3219416,1.1156344
0.0,1.8279191,0.0,0.0,1.508516,5.671391,0.0,0.99491537,1.0173088,3.0028033,0.0,3.4594643,1.6697149
0.0,0.87921816,0.0,0.0,0.8195276,4.029193,0.0,0.54095227,1.047036,1.8318263,0.0,2.3581338,0.40369934
0.0,1.3324952,0.0,0.0,1.2776101,4.5737543,0.0,0.8401217,0.75981706,2.5045226,0.0,2.7666633,1.1686175
0.0,0.0,2.2129803,0.0,5.739195,3.0573692,0.52777195,4.521768,4.0405197,3.4008794,0.49837744,0.0,2.868655
0.0,0.0,0.40788177,0.0,2.0791144,0.7045952,1.0059472,1.4678643,0.8529244,1.2089868,0.39431533,0.0,0.3507678
0.0,0.7572248,0.0,0.0,0.95988345,2.9427533,0.081558496,0.61159045,0.35814515,1.6707686,0.0,1.5834041,0.6247964
0.0,0.0,0.719707,0.0,2.0506485,1.3714174,0.2717157,1.8348566,1.6648396,1.1144938,0.16408215,0.0,0.98145676
0.0,0.0,1.6942409,0.0,4.6501236,2.297925,0.7221027,3.6500595,3.1172905,2.7735498,0.54626185,0.0,2.07908
0.0,1.670627,0.0,0.0,1.2812366,5.7986865,0.0,0.8142002,1.368881,2.7533119,0.0,3.5830398,1.3410108
0.0,0.0,1.0093713,0.0,3.9596822,1.281687,1.6860214,2.7809017,1.85357,2.4603014,0.74681216,0.0,0.90486383
0.24819365,0.06465439,0.0,0.0,0.9660967,1.874558,1.2359238,0.45785046,0.28600416,0.7147382,0.52720433,0.49255446,0.06343275
0.0,1.087847,0.0,0.0,0.936102,4.5668297,0.0,0.6270498,1.1581156,2.089226,0.0,2.7503011,0.6755398
0.0,0.0,1.0663985,0.0,3.2503474,1.7408636,0.3847782,2.6185024,2.1969454,1.7772173,0.29260817,0.0,1.312504
0.0,0.0,1.293187,0.0,4.0015535,1.9615839,0.6878219,3.1194155,2.5501492,2.2718463,0.4403871,0.0,1.5456355
0.0,1.8084704,0.0,0.0,1.490872,5.3844237,0.0,0.9569223,0.9511787,2.967934,0.0,3.187658,1.655391
0.0,0.0,1.2484303,0.0,3.7777855,1.6135039,1.1225088,2.9073997,2.3180397,2.4314497,0.59379745,0.0,1.3645012
0.0,0.0,0.123645306,0.0,2.083305,1.7496704,1.9269918,1.2539383,0.5891613,1.5091726,1.081048,0.0,0.3937011
0.0,0.0,0.12778185,0.0,1.7237065,1.4304801,1.5706917,1.1132709,0.61211455,1.338313,0.8495141,0.0,0.34473982
0.0,0.0,0.6807633,0.0,1.8366573,1.1496029,0.35835248,1.7172902,1.537543,1.1468587,0.16333048,0.0,0.83447444
0.0,0.0,1.8970021,0.0,5.5203066,2.5206661,1.170646,4.246852,3.525916,3.3877995,0.69474846,0.0,2.291765
0.0,0.0,0.36931652,0.0,1.6194577,1.1273286,1.3141437,1.1903726,0.44944653,1.0205519,0.6524677,0.00025205285,0.27845275
0.0,1.7127078,0.0,0.0,1.298672,5.859741,0.0,0.8262136,1.3806722,2.8033025,0.0,3.626575,1.3918488
0.0,1.1663191,0.0,0.0,0.9562179,3.342218,0.66383666,0.34373736,0.4361422,1.5950873,0.0,1.5488122,0.61854684
0.0,0.0,0.24610335,0.0,1.4352026,0.9064456,0.7670266,1.2259179,0.80704135,0.63255584,0.36696497,0.0,0.11172821
0.0,2.2479155,0.0,0.0,1.7458502,6.4996533,0.0,1.1255249,1.1785982,3.476663,0.0,3.9260232,2.1121922
0.0,1.6481651,0.0,0.0,1.3018575,4.8177443,0.1514101,0.50692683,1.0073904,2.5494323,0.0,2.5522265,1.1165063
0.0,0.0,0.51667386,0.0,2.3656461,0.94807845,1.1339202,1.9055368,1.2437254,1.2658415,0.40839046,0.0,0.3309977
0.0,0.65643495,0.0,0.0,0.93422264,2.534925,0.26886564,0.58734286,0.12979068,1.4378976,0.03147046,1.2566508,0.57317024
0.0,1.7300491,0.0,0.0,1.3297676,5.903968,0.0,0.8511779,1.3637958,2.843415,0.0,3.6374516,1.4114077
0.0,0.0,2.227067,0.0,6.1208854,2.8597074,1.1702727,4.7601132,4.0469894,3.7521567,0.78218335,0.0,2.6562653
0.0,0.0,2.2631962,0.0,6.238834,3.053134,0.9314604,4.887565,4.205576,3.6963387,0.6900766,0.0,2.8009079
0.0,0.0,0.67796093,0.0,3.0588036,1.0039101,1.3852315,2.1482944,1.3030542,1.674149,0.53147775,0.0,0.4674876
0.0,0.0,2.2680068,0.0,6.024696,3.0273433,0.8011671,4.7240486,4.1298704,3.6018202,0.6417029,0.0,2.8486168
0.0,0.7524196,0.0,0.0,0.69804823,2.3564084,0.892592,0.2172933,0.22306952,1.0514623,0.0,0.9939311,0.32204732
0.0,1.2075661,0.0,0.0,0.97592777,4.813069,0.0,0.65193707,1.2348392,2.215225,0.0,2.9200497,0.79503334
0.0,0.0,1.58562,0.0,4.6862254,2.2378297,0.838102,3.6275856,3.0097136,2.7693512,0.53702426,0.0,1.9568174
0.0,0.0,0.6118416,0.0,2.609168,1.068145,1.1283933,2.100384,1.4436009,1.4612926,0.36848974,0.0,0.49913296
0.034861702,0.5545109,0.0,0.0,0.72846603,2.1734471,0.96109813,0.28952706,0.21996188,0.9466445,0.16979825,0.8255239,0.22268717
0.0,1.2032386,0.0,0.0,0.9780507,4.821167,0.0,0.6597526,1.2443517,2.2195427,0.0,2.8622203,0.76251066
0.0,0.0,1.8326885,0.0,5.277038,2.2952044,1.3365155,4.0241814,3.3026416,3.3775282,0.7500443,0.0,2.1706285
0.0,0.0,0.12417026,0.0,1.4845198,1.3680462,1.4539273,0.87614566,0.27968866,1.0779102,0.81724304,0.03566406,0.3735582
0.0,0.0,1.8364221,0.0,5.2775273,2.2720518,1.3736106,4.0039315,3.2747014,3.396648,0.77842695,0.0,2.1537337
0.0,1.6443738,0.0,0.0,1.2863882,5.7023315,0.0,0.8247271,1.3192455,2.7516863,0.0,3.506873,1.3229673
0.0,2.0536838,0.0,0.0,1.6250026,6.048064,0.0,1.0479176,1.1128206,3.2511656,0.0,3.633876,1.8980844
0.0,1.5786304,0.0,0.0,1.3857867,5.1723657,0.0,0.9028378,0.926193,2.7576232,0.0,3.136724,1.4214988
0.0,0.0,0.6201192,0.0,2.7928119,0.933991,1.2824602,1.9835113,1.2037838,1.5273248,0.48268753,0.0,0.4235181
0.0,1.2576834,0.0,0.0,1.0115572,3.6246598,0.48070037,0.36462632,0.62360483,1.7671349,0.0,1.7584122,0.64363074
0.0,1.3419349,0.0,0.0,1.2631855,4.4744167,0.0,0.84024864,0.7194226,2.4547112,0.0,2.6855726,1.1955583
0.0,1.2380052,0.0,0.0,1.228298,4.269596,0.0,0.82348156,0.6646837,2.3286462,0.0,2.505035,1.0321918
0.0,1.9780675,0.0,0.0,1.5914572,5.795331,0.0,1.0282519,1.036143,3.1475585,0.0,3.4471307,1.8057916
0.0,1.372563,0.0,0.0,1.278292,4.5911803,0.0,0.85095364,0.7505635,2.494977,0.0,2.7646542,1.2314899
0.0,1.5731783,0.0,0.0,1.1948658,5.6151724,0.0,0.7808968,1.36271,2.6262615,0.0,3.4443562,1.2164345
0.0,1.2050583,0.0,0.0,0.9433324,3.597917,0.41535807,0.3122988,0.7072768,1.7519586,0.0,1.8650559,0.5829464
0.0,1.3093277,0.0,0.0,1.0625589,5.0556374,0.0,0.70479995,1.2316692,2.3189144,0.0,3.0852482,0.9346492
