1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
0.21493006,0.32375646,0.5156568,0.70144725,0.953137,1.1451795,1.4837258,1.8037018,1.9828041,2.3331609,2.7627482
0.09419429,0.11234665,0.14691281,0.20114446,0.27645278,0.38992918,0.7499442,1.2193552,1.814029,2.534976,2.9369862
5.171486,5.0305967,5.0396266,4.8891497,4.563526,4.472805,4.4285083,4.4464636,4.53075,4.7522326,4.6499023
0.23093653,0.3150257,0.49504912,0.65861046,0.84109604,0.98642755,1.2546443,1.5394641,1.73034,2.0875392,2.4452128
3.16857,3.079165,3.106297,2.9172497,2.5909877,2.6223578,3.053863,3.3917022,3.8033974,4.3978863,4.384608
1.5771786,1.661579,1.9043818,2.0399127,2.1987927,2.3952816,2.8643453,3.2096405,3.6368923,4.2934046,4.2895284
0.014860034,0.054156423,0.12373638,0.19480503,0.26530397,0.3562945,0.6521416,1.0800518,1.6350006,2.3224726,2.7280147
0.62560165,1.0310627,1.4838506,1.5881565,1.542826,1.7558047,2.5443692,3.0290675,3.6721852,4.346268,4.1335325
0.13598442,0.21991324,0.37721467,0.5305178,0.7173177,0.8725196,1.1861815,1.5197408,1.772218,2.1668372,2.5919237
0.8630859,1.0552177,1.3937931,1.542811,1.7888972,1.9728146,2.596421,2.9891942,3.532201,4.3328176,4.344381
0.044157743,0.0561316,0.12147999,0.20197582,0.36480784,0.56600857,1.1063961,1.6812565,2.320145,3.0684867,3.403455
1.8292937,1.9505692,2.302745,2.6405027,3.0727077,3.3577545,3.6973622,3.9456406,4.283322,4.84871,4.799509
0.038697362,0.076785326,0.14540136,0.21376443,0.26488388,0.34203088,0.60680425,1.0097183,1.5466174,2.2163122,2.6059766
1.6452147,1.6522753,1.9322289,2.259444,2.663407,2.9600904,3.360775,3.654857,4.047708,4.688123,4.656184
2.5606017,2.2688165,2.1528902,2.0575578,1.9537361,2.1418648,2.7050445,3.12951,3.6624541,4.43601,4.4730196
3.8476129,3.9288988,4.1253185,4.08838,4.0002947,4.0288134,4.161729,4.3194847,4.5070453,4.8237286,4.7724648
0.053177714,0.08401358,0.12833524,0.18477273,0.24046755,0.3313979,0.64818203,1.0986414,1.6972098,2.4249706,2.827454
0.23309672,0.28826106,0.41831493,0.55431616,0.7383635,0.9004384,1.2204769,1.5450752,1.7844688,2.1687117,2.6100554
0.19846785,0.26009035,0.39806986,0.54057014,0.7253933,0.8819462,1.1824329,1.4919591,1.7071333,2.061585,2.5027099
5.151808,5.025338,5.032112,4.876244,4.5429025,4.4528227,4.4149065,4.4347057,4.523648,4.7452264,4.6386595
0.28494048,0.81501067,1.5185465,1.7875036,1.965396,2.0565865,2.6710353,3.0211136,3.497575,4.145919,4.064741
0.15148425,0.19926834,0.32603848,0.4559605,0.6088426,0.74185956,1.0009114,1.2950068,1.5227609,1.8786988,2.2890468
0.042800426,0.08076763,0.1400882,0.20705211,0.28716612,0.39782774,0.74584806,1.2048655,1.7767159,2.4689586,2.863402
0.028329968,0.058630347,0.12235904,0.1917553,0.26500988,0.35658848,0.6472541,1.0691658,1.6158284,2.298947,2.712492
0.018855691,0.072882414,0.14596844,0.21777797,0.2883637,0.3925686,0.73175323,1.1851472,1.7510246,2.4299326,2.8033247
3.6453419,3.8983164,4.1517534,4.108444,4.0294456,4.05923,4.2043004,4.3611813,4.553801,4.857807,4.793621
4.727239,4.8750796,4.9944253,4.8738694,4.6204844,4.5164795,4.492817,4.5404305,4.62753,4.88284,4.8113728
4.7812004,4.998747,5.071059,4.9615088,4.7836676,4.6996517,4.6370773,4.6529555,4.6754217,4.8536987,4.758922
0.031538606,0.07268107,0.12566769,0.18275416,0.22507071,0.3028263,0.60031974,1.0475221,1.6647995,2.417285,2.8173513
0.22323239,0.27753782,0.42743802,0.5723897,0.7439314,0.8865073,1.1428547,1.4140348,1.5888627,1.9083494,2.2949538
1.7661276,1.8357083,2.0402925,2.247256,2.5403497,2.8147647,3.2595632,3.5818243,3.999504,4.6431026,4.61474
0.074254274,0.18408942,0.4027002,0.58949053,0.7874414,0.92243457,1.163537,1.4503835,1.6445497,2.0076056,2.3432379
1.2487849,1.6584601,2.0860722,2.3472414,2.66894,2.9149125,3.3210866,3.610613,3.9942174,4.5748386,4.5235443
0.31111073,0.8196282,1.3999255,1.5518053,1.5830415,1.8093644,2.6562934,3.1439319,3.7916446,4.4282894,4.1413884
1.8270894,1.8087096,2.0821095,2.3268533,2.6101928,2.8744953,3.28874,3.5915823,3.9780846,4.5685787,4.5220137
0.407086,0.548064,1.1197667,1.3811374,1.5687358,1.7303628,2.319666,2.7357235,3.3741744,4.223357,4.1568913
4.6713967,4.7686143,4.931207,4.8642836,4.7046623,4.6326,4.5840273,4.6368823,4.7023463,4.9228163,4.8727765
5.08882,5.001793,5.0733423,4.9423065,4.6227407,4.5188956,4.47056,4.49166,4.5807853,4.816017,4.7226834
1.5724794,1.5753739,1.7578428,1.9733306,2.339124,2.6141238,3.1449783,3.4884577,3.9353926,4.661309,4.643622
1.5186692,1.6423655,1.909547,2.1498787,2.4516544,2.7139812,3.1569104,3.4819715,3.910388,4.5787497,4.556808
0.030256033,0.074317575,0.1358105,0.2045058,0.27885747,0.38022995,0.71389496,1.1732583,1.7640111,2.4871454,2.8929482
0.20203674,0.23447585,0.34500575,0.46480143,0.6247511,0.76648605,1.0437889,1.3487755,1.5927582,1.9729079,2.4129477
