z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
-0.021135543,-0.020767324,-0.03478191,-0.28169417,-0.1501621,-0.23126704,0.024441866,0.14060998,0.10514006,0.30100223,-0.44271272,0.05295146,0.3190714
-0.031563923,-0.0063358494,-0.09569001,-0.06589086,0.0604422,-0.17187858,0.11705236,0.09095067,-0.09138194,0.15013975,-0.46998775,0.15168907,0.24039285
-0.013251837,-0.20574331,0.13759336,-0.29141274,0.22416256,-0.1810541,0.00906947,-0.21426713,-0.09028798,-0.76926935,1.2142246,0.22016115,-0.6033133
-0.008102041,-0.08826133,-0.10785225,-0.35756978,-0.13498141,-0.013175771,0.12267588,0.0065797083,0.07486758,0.096832305,-0.099445395,0.10489621,0.08616866
-0.03467367,0.03362855,0.027989335,-0.22950432,-0.15870076,-0.42025435,-0.037644163,0.18237126,0.08046593,0.37998152,-0.6302132,-0.0018324209,0.43788123
-0.13985845,0.12175438,-0.018074777,-0.73589534,-0.091144174,-0.31145647,-0.12822084,0.013210442,0.023157835,-0.7051249,1.5827218,-0.03535932,-0.5642956
0.038621537,-0.09186091,-0.1625846,0.038281098,0.12561606,-0.022992961,0.17665565,-0.059731692,-0.0777663,-0.067348905,-0.32659504,0.21464777,0.11348927
-0.024215627,-0.019716682,-0.11784557,-0.060832307,0.060413156,-0.13019568,0.12707786,0.061199225,-0.08444569,0.123289436,-0.42058676,0.14602283,0.21788944
-0.031147573,0.043811936,-0.023248881,-0.09406392,0.02488324,-0.34731945,0.051432222,0.14600945,-0.10531472,0.27616173,-0.66005015,0.10025992,0.34456733
0.038086332,-0.090389624,-0.16021521,0.020067021,0.12333603,-0.007701032,0.18255627,-0.081973545,-0.085794866,-0.07871829,-0.30616328,0.21151413,0.097783834
-0.035272907,-0.002009126,-0.032484338,-0.21216702,-0.06760418,-0.27241683,0.03641843,0.13216624,-0.001210779,0.2702541,-0.4390756,0.08141767,0.29583818
-0.030850373,-0.005729343,-0.0969903,-0.06023985,0.06464127,-0.17152396,0.11870398,0.08942817,-0.0955839,0.14943615,-0.47569984,0.15275116,0.24077648
-0.023514267,-0.042462498,-0.002052743,-0.36208564,-0.15845574,-0.20191649,0.056818657,0.14757459,0.088281944,0.2694424,-0.35237354,0.12409217,0.23508489
