X3M,X6M,X1Y,X3Y,X5Y,X10Y,X15Y,X20Y,X30Y
3.2508667,3.3115382,3.339571,3.415453,3.500627,3.89585,4.0647535,4.1544123,4.187194
3.218452,3.3058016,3.3312678,3.4136698,3.4890766,3.8790996,4.047977,4.126058,4.161378
1.5771446,1.6391784,1.7237173,2.3546784,2.8288486,3.6494858,3.9732187,4.082992,4.001139
2.9766414,2.9886346,3.0299928,3.183442,3.3513722,3.8437328,4.012173,4.139893,4.106837
3.3902857,3.478944,3.50326,3.5316982,3.5823016,3.9259226,4.090865,4.1713543,4.2310467
1.178912,1.2734003,1.3577524,2.1442633,2.6893175,3.6225955,4.0004997,4.098148,4.017873
3.1008644,3.1734188,3.2025955,3.3224168,3.4220378,3.851449,4.0149956,4.098665,4.11194
3.1860867,3.2680433,3.2957115,3.3874469,3.4713612,3.8736205,4.0419464,4.1220937,4.152461
3.3590093,3.4674108,3.4886546,3.5250926,3.567248,3.9089086,4.0758605,4.1454234,4.206713
3.084421,3.1528366,3.1834633,3.3075504,3.4115605,3.8481505,4.0116334,4.096052,4.106955
3.2314634,3.3022413,3.3304605,3.4074216,3.4940233,3.888869,4.057552,4.1465397,4.1778955
3.2216065,3.3101692,3.3354304,3.4168453,3.49096,3.8795178,4.048312,4.125721,4.1619167
3.1696668,3.2104452,3.238625,3.341269,3.448859,3.874899,4.047078,4.146227,4.157014
3.3753796,3.4871423,3.5074317,3.5396233,3.5763803,3.9120045,4.078667,4.1458282,4.210905
3.1489165,3.2275903,3.258194,3.3592808,3.4511783,3.866552,4.0331354,4.1146164,4.139913
1.2001168,1.2896007,1.3739284,2.1581352,2.6968796,3.626292,4.00138,4.0987844,4.016951
1.2048424,1.3143749,1.3998681,2.1560411,2.6989405,3.623975,3.9983723,4.106032,4.031789
3.242082,3.3331277,3.3576229,3.432931,3.5020685,3.8839157,4.0524855,4.128398,4.16852
3.0393748,3.0704513,3.1083074,3.2436192,3.3837068,3.852991,4.023029,4.1299834,4.123953
3.2290215,3.307961,3.3337982,3.4125168,3.4915786,3.88315,4.0536265,4.1363535,4.1701164
3.213737,3.2988005,3.3245203,3.4089565,3.486156,3.8786323,4.0474935,4.126251,4.1604953
1.3691804,1.4390742,1.5215898,2.2393847,2.7444823,3.6269267,3.9911463,4.09363,4.0038447
1.1272553,1.2347864,1.3225385,2.1114845,2.668374,3.6121929,3.9959226,4.099053,4.022729
1.2067047,1.3115209,1.3934188,2.144113,2.689659,3.6053905,3.98338,4.0833073,4.0079374
3.2657843,3.3283658,3.3562047,3.4263623,3.5092983,3.8994677,4.0679083,4.1580467,4.1927567
1.4053737,1.4733893,1.5549148,2.2570596,2.756443,3.628579,3.989146,4.0930176,4.002926
3.5801113,3.7161472,3.7329028,3.695753,3.6923673,3.9609306,4.1229134,4.185344,4.2845445
3.2161427,3.300055,3.326096,3.4092422,3.4875262,3.879949,4.0487213,4.128873,4.1627274
1.5230519,1.5975337,1.6748115,2.3470924,2.8149116,3.669204,4.002435,4.111205,4.0307612
3.0765562,3.1406114,3.17049,3.2980711,3.410863,3.8484259,4.012913,4.106971,4.107514
3.3615746,3.432583,3.455225,3.4975748,3.557334,3.9176686,4.086596,4.1704574,4.2212095
3.1614633,3.2174063,3.2476547,3.3483317,3.4529312,3.874032,4.044762,4.1388755,4.156441
3.0044909,3.031696,3.0720823,3.2157168,3.3681266,3.8481808,4.016882,4.1312833,4.115832
3.2760758,3.3375628,3.3626213,3.4368033,3.5088232,3.897255,4.0681653,4.1480694,4.189274
3.1146188,3.1863575,3.2148676,3.3289745,3.4322824,3.8553102,4.021435,4.1130176,4.1215687
3.2669938,3.3328536,3.360084,3.4299972,3.5101957,3.8985622,4.0672073,4.155208,4.191436
3.2543929,3.3389657,3.3651876,3.4326682,3.5084577,3.890405,4.0591917,4.1434712,4.180821
3.1191201,3.1656537,3.1986914,3.3131301,3.427052,3.8666778,4.037219,4.131656,4.144466
3.0299714,3.0470207,3.0837717,3.2261548,3.3752208,3.8513482,4.021496,4.1377954,4.1190166
1.0496275,1.1646312,1.2484237,2.047175,2.6297743,3.5796027,3.9785457,4.0736403,3.9997346
3.5607924,3.6896868,3.707589,3.677657,3.6809962,3.958329,4.120368,4.185464,4.280186
3.6228657,3.765662,3.7797174,3.7310526,3.7139695,3.968011,4.1304016,4.1869645,4.295239
3.4434073,3.5628078,3.5831401,3.588473,3.6168292,3.9304452,4.0949035,4.165515,4.239821
1.20324,1.3147535,1.3975236,2.1411424,2.694642,3.6109679,3.9898763,4.093744,4.018312
3.3918679,3.5076325,3.5284233,3.5527794,3.5882387,3.9174085,4.0824747,4.151327,4.2187467
1.3627133,1.4406201,1.5212545,2.2310052,2.7426143,3.6242518,3.9905922,4.0945997,4.008962
1.2866031,1.3862727,1.4687845,2.1993942,2.7247713,3.6259518,3.9905696,4.0935616,4.015984
2.3710165,2.4161022,2.4748335,2.8191876,3.1293428,3.7725866,4.004233,4.150241,4.0707364
2.9708345,2.9813442,3.0232177,3.1782348,3.348429,3.8430963,4.0114703,4.1406145,4.105771
1.3951241,1.4715916,1.5510355,2.2636144,2.7620628,3.6442654,4.0008826,4.1058826,4.023142
3.0042784,3.0595036,3.0916,3.2420614,3.3661654,3.8293366,3.9910913,4.0887213,4.0707655
1.4560465,1.530467,1.6101676,2.299807,2.7864027,3.6542523,4.003784,4.111276,4.027315
3.4821322,3.6100216,3.6292973,3.6212559,3.6396666,3.9385006,4.101848,4.1695695,4.2515807
2.9094074,2.9319665,2.9714031,3.114485,3.3254788,3.829753,3.991912,4.1347313,4.113236
3.1956308,3.2689233,3.2957742,3.386206,3.47274,3.8761315,4.0469666,4.1312113,4.1589193
3.2480063,3.3035212,3.3297546,3.406514,3.49463,3.8926985,4.0629964,4.1562657,4.1835623
3.2316732,3.310462,3.3366692,3.415269,3.4938064,3.8846545,4.0542364,4.136692,4.171067
3.001921,3.027437,3.0677185,3.21265,3.3665142,3.8477223,4.0164137,4.1321225,4.114811
1.1260266,1.2345033,1.3215868,2.1084065,2.6664524,3.6092987,3.9940722,4.097009,4.021533
3.366281,3.4764175,3.4975014,3.5317476,3.5718014,3.910636,4.0770273,4.1456923,4.2087374
3.1093273,3.1801133,3.208115,3.3245344,3.4291277,3.8532822,4.019036,4.1117473,4.117949
1.5139419,1.5865016,1.6640123,2.3385887,2.8091986,3.6645722,4.0013404,4.109652,4.027779
3.2259676,3.2816377,3.3101301,3.3934038,3.4857187,3.8899584,4.0597186,4.152429,4.17904
3.1951988,3.268646,3.295555,3.3857155,3.4726171,3.8760412,4.0469213,4.1315074,4.159005
3.2358253,3.313659,3.3407187,3.414551,3.4969332,3.8872426,4.0567617,4.1437917,4.1767097
3.0511956,3.1125135,3.1422665,3.277612,3.3920426,3.8385117,4.001911,4.094357,4.0915704
3.1941211,3.2680156,3.2941093,3.3856857,3.4711955,3.8748674,4.046217,4.1292524,4.1574197
1.8353322,1.8788418,1.9619149,2.5091667,2.9260857,3.68785,3.9806297,4.0995407,4.013792
3.345753,3.4495723,3.4717486,3.5115104,3.559625,3.9071627,4.0745425,4.147558,4.204942
1.3950003,1.4732702,1.5599036,2.249508,2.7635012,3.6274118,3.9728584,4.077815,3.9974008
2.8640916,2.8698428,2.9110274,3.0842302,3.292095,3.8117712,3.9756684,4.132625,4.054199
2.056565,2.1262238,2.1904697,2.6353922,3.0108638,3.7227402,3.9878485,4.120958,4.0459657
3.146606,3.1981177,3.2291703,3.3356612,3.4436915,3.8714247,4.0421257,4.1363482,4.151876
3.1643486,3.2465963,3.2761345,3.3727462,3.4600375,3.869432,4.0364294,4.1157565,4.1449876
3.3133855,3.3879418,3.4137669,3.468539,3.5368245,3.9083383,4.0758753,4.1603274,4.205646
3.1001983,3.1697018,3.2007313,3.3191872,3.4222734,3.854253,4.018335,4.1030774,4.1173973
3.1335127,3.1842918,3.215067,3.3255632,3.434947,3.86734,4.039265,4.1330543,4.1468415
3.0377722,3.0636356,3.1002643,3.2377524,3.380774,3.851568,4.0220833,4.1330156,4.1211467
3.1113136,3.1829157,3.2096,3.3273404,3.430446,3.852601,4.0163817,4.108037,4.114364
3.0690606,3.1019554,3.1382637,3.266843,3.3969622,3.858466,4.0292816,4.129711,4.1327586
3.1670465,3.2324855,3.2602959,3.3583565,3.4551957,3.870216,4.042888,4.1320047,4.1527286
3.0476065,3.110752,3.1403635,3.278034,3.3933802,3.8401175,4.003741,4.097244,4.0921826
3.4465148,3.568383,3.5883493,3.5931966,3.6188827,3.9303067,4.094523,4.1631083,4.2390027
2.951227,2.97367,3.0099266,3.1440027,3.3435585,3.8377705,3.999562,4.135731,4.1246195
3.2134526,3.290787,3.316315,3.401474,3.4822514,3.87901,4.049931,4.131711,4.163549
1.3080224,1.4006617,1.4831241,2.2075582,2.7309651,3.6295161,3.999149,4.105723,4.025669
3.4356136,3.5504153,3.5709171,3.579919,3.6112576,3.9294336,4.0943236,4.166054,4.238467
3.103957,3.1420705,3.175062,3.2952251,3.415752,3.86369,4.035793,4.133764,4.141558
3.3420644,3.4211884,3.4464002,3.492048,3.5534902,3.9149935,4.081513,4.164139,4.2149124
3.2260387,3.3144004,3.3395615,3.420017,3.4931896,3.880667,4.0493298,4.1263795,4.163425
1.2564893,1.3604397,1.4428718,2.1727688,2.7134836,3.618844,3.9932613,4.09859,4.020471
2.9653993,2.9857361,3.0266654,3.1817374,3.3484354,3.8406305,4.009321,4.133255,4.104534
1.25412,1.3562831,1.4429642,2.175321,2.7113938,3.6229224,4.000958,4.112699,4.034294
3.0775309,3.1204188,3.151445,3.2764988,3.403061,3.8526938,4.026308,4.129935,4.1264124
3.1736245,3.239158,3.2676482,3.365407,3.4599626,3.8733177,4.0441127,4.1315355,4.154499
3.0777032,3.146258,3.1737037,3.3020825,3.4094613,3.843901,4.007076,4.0978985,4.0994606
3.3368962,3.4432883,3.465528,3.50855,3.556568,3.9052,4.0714874,4.1429977,4.2003937
3.2134593,3.289262,3.316012,3.4002545,3.483502,3.880838,4.05081,4.134846,4.1655564
3.0923407,3.1634727,3.1931086,3.315385,3.416455,3.8492305,4.0126243,4.096084,4.1083026
3.3845506,3.4980414,3.5192401,3.5457766,3.5838847,3.9161649,4.0814414,4.1515284,4.217106
3.092328,3.1294634,3.1606376,3.2838519,3.4097567,3.8583512,4.0307136,4.1356335,4.132556
3.018326,3.0472417,3.0869398,3.2270246,3.3746262,3.850408,4.0193934,4.130767,4.1193633
3.128963,3.1675594,3.1981397,3.3134432,3.42831,3.8680189,4.0409217,4.138246,4.148141
3.187145,3.2593005,3.2865224,3.379372,3.4682417,3.8744733,4.0453486,4.130465,4.156459
3.4741051,3.600638,3.6199734,3.6148427,3.634793,3.9364855,4.100202,4.168071,4.2486844
3.086602,3.1521842,3.1800969,3.3046148,3.4163544,3.8478024,4.0126595,4.109361,4.108356
1.6700313,1.7143044,1.7927729,2.445606,2.8673327,3.6937795,4.002296,4.1096272,4.0194283
1.4134678,1.4994402,1.577864,2.2782388,2.773036,3.6494617,3.9972777,4.1034155,4.025349
1.5582322,1.6415346,1.7172258,2.3435788,2.8195918,3.649011,3.9792898,4.0910773,4.013007
2.9256203,2.9497828,2.9877133,3.1236744,3.3332741,3.8333368,3.9942882,4.1351466,4.1209974
3.4069495,3.5227377,3.5435123,3.5623586,3.5964038,3.9215624,4.086457,4.156321,4.225488
3.2373543,3.3285732,3.3532884,3.4293737,3.4997637,3.8827746,4.0514483,4.128003,4.1670704
1.0831343,1.1940767,1.2787877,2.0681453,2.644136,3.5882504,3.983857,4.0818486,4.005775
1.4505676,1.5264882,1.6111597,2.2822719,2.7828584,3.6342194,3.9721375,4.0786147,3.9969223
3.2227783,3.3097305,3.3353868,3.4161906,3.4916267,3.880692,4.0492783,4.1279745,4.163678
1.4005983,1.4938647,1.5707563,2.2496996,2.7568395,3.6223116,3.974881,4.08011,4.005278
3.1927707,3.2752054,3.302331,3.3925264,3.4748428,3.8747993,4.043311,4.123149,4.154328
1.2314942,1.3303269,1.4139069,2.1624384,2.7026868,3.6177657,3.995538,4.099064,4.0200515
3.2674391,3.3338282,3.3609154,3.430909,3.5103579,3.8982866,4.067016,4.154371,4.19098
1.4701424,1.5663284,1.6418366,2.2925663,2.7898712,3.642754,3.9905221,4.102467,4.028669
3.4602592,3.5835187,3.6031923,3.6037216,3.6265519,3.9335885,4.097459,4.1654572,4.243801
3.1330638,3.207907,3.2391808,3.3458734,3.442097,3.8637562,4.029513,4.112184,4.134265
1.5340917,1.599817,1.6775967,2.3530707,2.8165514,3.6694422,4.00331,4.1111226,4.026832
1.3097899,1.4067736,1.4891763,2.2057514,2.732185,3.6265159,3.9955142,4.1019497,4.021287
3.2061152,3.264144,3.29296,3.3806882,3.4758365,3.8841748,4.054892,4.1472864,4.1719065
3.081525,3.1492405,3.1758559,3.304058,3.413528,3.8449392,4.0083904,4.103942,4.1005883
1.5736786,1.6320208,1.7109556,2.3840382,2.831352,3.676527,3.9982104,4.1041737,4.0178976
1.2673259,1.3678538,1.448585,2.1780849,2.7124965,3.614897,3.9884348,4.0914335,4.014966
3.1507988,3.2119408,3.2425404,3.3460107,3.4470348,3.8699424,4.040223,4.1291213,4.149256
3.5822442,3.7144747,3.7299948,3.6962261,3.6899836,3.9602242,4.123382,4.1829457,4.2831297
3.2152278,3.2910182,3.3177187,3.4016535,3.4843583,3.881101,4.0511193,4.1347647,4.165958
3.0897746,3.1244993,3.1585245,3.2828753,3.4076035,3.861478,4.033208,4.1325645,4.1376853
2.9482634,2.980197,3.0144436,3.1638298,3.335215,3.820418,3.9871283,4.1247888,4.072201
3.2246156,3.2836716,3.311738,3.3939767,3.4854286,3.888368,4.0586033,4.150784,4.1776667
3.1060653,3.1759953,3.2034407,3.3221033,3.4275644,3.8523479,4.0170355,4.1099253,4.115049
1.2546803,1.3584399,1.4391938,2.1723142,2.7071397,3.611129,3.9822676,4.083595,4.009117
3.0475068,3.0818753,3.120403,3.2522385,3.3887603,3.8552477,4.024879,4.1285977,4.1276
3.3058753,3.3955452,3.4205775,3.4722438,3.5370178,3.9026282,4.070197,4.1520653,4.198574
2.9720056,2.9938781,3.0319653,3.1671057,3.3529212,3.8432486,4.0062447,4.1363015,4.124853
1.0854355,1.1968436,1.2821532,2.0717177,2.6462467,3.5895345,3.983498,4.0808525,4.003515
3.2523565,3.3353267,3.3597057,3.4313157,3.503558,3.8869252,4.0578456,4.1379423,4.176584
3.2158115,3.2719505,3.2988424,3.3851745,3.4785423,3.885699,4.0575175,4.1491723,4.1758437
1.2642704,1.3672577,1.4497135,2.1785035,2.715709,3.6199236,3.9940705,4.0993166,4.020946
3.311539,3.3890991,3.4119613,3.471141,3.5314906,3.9017727,4.072475,4.148916,4.1974244
3.0872924,3.121415,3.1561105,3.2806752,3.406045,3.8613873,4.032797,4.131962,4.1373596
3.1871073,3.2571218,3.2839553,3.3764687,3.466645,3.8740468,4.0460973,4.132249,4.1576276
3.3421383,3.420883,3.4432905,3.4931734,3.5481777,3.9097698,4.0796824,4.155709,4.2090487
1.0920836,1.1867683,1.2726079,2.0882502,2.6543198,3.6066692,4.0005307,4.096028,4.0139866
3.1628273,3.2171273,3.246728,3.3496454,3.4521978,3.873936,4.0449677,4.137163,4.1554904
3.5165045,3.634312,3.651443,3.6413326,3.651079,3.946422,4.111221,4.1746173,4.262286
