z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.083649695,-0.020439435,0.17163163,0.6444008,0.18987267,0.11233497,-0.59680176,-0.028368358,-0.017175244,-0.2609964,0.15636265,0.016984763,-0.13367262
-0.019172113,0.009771541,-0.15251443,-0.8255639,-0.055249438,-0.15182751,1.6579512,-0.18877594,-0.022000859,0.8162579,0.061596405,-0.080736995,-0.100968204
-0.03278415,0.007937394,-0.0922036,-0.5787077,-0.02939877,-0.11555291,1.2735493,-0.18061896,-0.018512225,0.64240843,0.056684557,-0.055811513,-0.13085921
0.02328416,-0.057986,0.109034084,0.55439895,0.22823481,0.13749911,-0.5336443,-0.0939521,-0.01703409,-0.28239626,0.15452333,0.021362484,-0.12756126
-0.026079092,0.0062869564,-0.10597655,-0.6845006,-0.03059411,-0.15910868,1.3640045,-0.18449166,-0.021064514,0.7020334,0.06905572,-0.09172647,-0.17051981
-0.00746578,0.0007296726,0.0036288816,0.7992601,-0.042518314,0.02650405,-0.94767404,0.02732908,-0.0822223,-0.49174583,-0.028399065,-0.06644815,-0.041079693
0.06564188,-0.06587249,0.16015588,0.49518824,0.26365927,0.13152294,-0.3567186,-0.117225476,-0.0046791937,-0.186373,0.19908148,0.046106845,-0.18012467
-0.029854339,0.00809592,-0.10274151,-0.6722242,-0.030438248,-0.1541535,1.3450446,-0.1863011,-0.016417684,0.6946781,0.06531842,-0.08690369,-0.16852507
-0.03900458,-0.0042471215,-0.026908506,0.8430646,-0.07869044,-0.019262275,-1.0351012,0.02274897,-0.11912542,-0.5528372,-0.066091865,-0.093439415,-0.02550099
-0.016734716,0.013132803,-0.15538433,-0.83487564,-0.057418898,-0.16225493,1.6583179,-0.18999165,-0.017029101,0.8211924,0.06225831,-0.09073186,-0.11275044
-0.0074404813,0.026899077,-0.035174377,0.8613127,-0.115672216,-0.011197342,-1.0301563,0.042033717,-0.09969909,-0.53142583,-0.079084635,-0.07718891,-0.016771734
-0.008155196,-0.041983895,0.062048167,0.65630233,0.10762057,0.08616121,-0.7215184,-0.04794985,-0.051730804,-0.38297024,0.07643272,-0.0305962,-0.08761059
0.09713401,-0.11253598,0.25762308,0.42497405,0.3780353,0.13073008,-0.33248,-0.03361669,0.00719002,-0.1726758,0.3110032,-0.023538478,-0.19913375
0.016043533,-0.06070546,0.11539246,0.553068,0.2344686,0.13612694,-0.57153535,-0.065958,-0.030127568,-0.28052557,0.15865931,-0.0072666965,-0.119654745
0.08684072,-0.14060155,0.2071769,0.35352027,0.30857435,0.1190404,-0.18293422,-0.08373253,0.038175598,-0.14781903,0.2558113,-0.022817697,-0.20197976
-0.012124744,0.0047998577,-0.15738721,-0.79812515,-0.073860876,-0.15271075,1.643019,-0.16041932,0.016963728,0.78354895,0.061622955,-0.0966004,-0.12031989
0.104198456,-0.025553655,0.14556089,0.52669364,0.2106563,0.097864866,-0.29124662,-0.14665896,0.007653686,-0.15143265,0.1766814,0.09558409,-0.1885537
-0.039920915,-0.0185548,-0.05000872,-0.45675752,-0.026814964,-0.10479151,1.0578289,-0.15517971,0.028228486,0.5301137,0.049848597,-0.06317888,-0.19326195
-0.018466067,-0.054670766,0.0612251,0.60784775,0.15344572,0.09752602,-0.6438134,-0.09153153,-0.044671707,-0.35652572,0.09928797,-0.00967009,-0.09743498
-0.011138932,0.009059422,-0.108398184,-0.70591307,-0.040310703,-0.18653695,1.3827529,-0.1870026,-0.005671665,0.7170405,0.07428737,-0.119556755,-0.2084359
-0.038407315,0.023772217,-0.064159185,0.9027842,-0.1778136,-0.041092087,-1.0701857,0.013427995,-0.10678422,-0.59433866,-0.120059,-0.07005496,-0.011567146
-0.04046795,0.034513026,-0.060748935,0.9444351,-0.199048,-0.029527532,-1.1152557,0.0061064847,-0.092625216,-0.6267667,-0.12504728,-0.05256552,-0.0025330633
0.09956301,-0.044043675,0.17074299,0.46479937,0.12719077,0.12257092,-0.31671542,-0.0067624636,-0.0042421445,-0.090652525,0.18717667,-0.061931584,-0.17500475
0.09005221,-0.025248066,0.17423345,0.58750874,0.23075332,0.13628428,-0.49462518,-0.059231333,0.0050457204,-0.21656568,0.17928359,0.051681515,-0.14872035
-0.0012978949,0.010849506,0.003601186,0.79996616,-0.054216415,0.013614578,-0.9222719,0.022197954,-0.08022131,-0.47302967,-0.033666134,-0.054753672,-0.043471567
0.07363897,-0.12072837,0.24802415,0.4426179,0.38659254,0.1827255,-0.38038895,-0.049437158,0.020697702,-0.19019753,0.27356642,0.0025332198,-0.19049403
0.028581351,-0.06307267,0.12025647,0.5574814,0.2519631,0.14323528,-0.565063,-0.071985535,-0.024990207,-0.2872189,0.16317664,0.008070938,-0.12747374
-0.022904262,0.0058443546,-0.032847576,0.8329457,-0.09779728,-0.0047406536,-0.97436273,0.0020046532,-0.09358318,-0.53395337,-0.06626277,-0.065238684,-0.032017194
-0.019177224,0.010218017,-0.13942477,-0.79925716,-0.052926302,-0.17471737,1.5710853,-0.18553399,-0.015799964,0.7909681,0.066408,-0.101531774,-0.14149624
-0.05965999,0.04393489,-0.089592226,0.9796077,-0.256146,-0.056177646,-1.158256,-0.0026142448,-0.10100519,-0.66315204,-0.16141558,-0.054803845,0.011795774
0.053910725,-0.051647745,0.0149195865,0.14465678,0.1094539,0.10777609,0.22390518,-0.109616786,0.13476433,0.058618415,0.15247637,-0.027894463,-0.03847082
-0.0020522801,0.00046699494,0.022854358,0.7656397,-0.017412655,0.048685834,-0.8834185,0.016632706,-0.062204227,-0.45557374,-0.004391201,-0.040533077,-0.055214357
-0.039382134,-0.01593554,-0.08833935,-0.5877896,-0.027181685,-0.1150986,1.2578788,-0.1579028,-0.009513682,0.6212941,0.057041183,-0.059839685,-0.14443424
-0.024080433,0.009179845,-0.14113007,-0.80530924,-0.05151862,-0.1692472,1.5839815,-0.18488167,-0.02097732,0.7958188,0.06477064,-0.09505086,-0.12808035
-0.0038219197,-0.04771225,0.07571709,0.6374478,0.13085414,0.08892668,-0.69484967,-0.044690847,-0.051276185,-0.36347294,0.08907859,-0.028343383,-0.09710584
-0.015226402,-0.0678831,-0.11347316,-0.5385247,-0.018643636,-0.105993986,1.1560913,-0.062851906,0.021670755,0.4875453,0.08155787,-0.102694705,-0.20733114
-0.01672418,-0.03221958,-0.111628786,-0.6039556,-0.046998877,-0.11434852,1.334885,-0.12058949,0.019481728,0.6097865,0.06459345,-0.07962261,-0.15485239
-0.061850797,-0.012861289,-0.106236696,-0.6139969,-0.027399588,-0.06616134,1.3626091,-0.1606383,-0.024383413,0.652373,0.03970695,-0.009241238,-0.04982514
-0.011897852,0.009035714,-0.14959183,-0.8407508,-0.057633072,-0.17667955,1.648763,-0.19004844,-0.01716544,0.82263416,0.06710599,-0.10170527,-0.1343553
-0.040736254,-0.0014582649,-0.16381729,-0.8763461,-0.050555147,-0.15683265,1.6980016,-0.167467,-0.047051817,0.83364075,0.063831076,-0.07339583,-0.06791078
-0.019080266,0.0033121482,-0.1692174,-0.86156505,-0.066133976,-0.15499909,1.7178136,-0.1657029,-0.0071203057,0.82444113,0.064526126,-0.090265855,-0.098757505
-0.010460573,-0.012922388,-0.040900342,-0.44784972,-0.03283432,-0.1400594,1.0344591,-0.16851625,0.036081556,0.5330335,0.062123567,-0.09602317,-0.25382784
-0.051622488,-0.017949086,-0.069341995,-0.5372488,-0.023859829,-0.10584506,1.1625385,-0.15728414,0.009625448,0.58236605,0.049165197,-0.056230057,-0.16052687
-0.024567485,0.010771282,-0.15201192,-0.8184219,-0.0557641,-0.14632094,1.6475997,-0.18824457,-0.01788322,0.811225,0.05695882,-0.075513884,-0.09392531
-0.039695177,0.0013400167,-0.16332196,-0.880356,-0.054743744,-0.16016735,1.7114891,-0.16975094,-0.045423076,0.84226704,0.0638438,-0.07407504,-0.06702742
