3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,15 Yr,20 Yr,25 Yr
0.6654672,0.6520918,0.65711904,1.3033614,1.8077015,2.8312893,3.2194552,3.4616773,3.5799267
4.907659,4.8961344,4.701051,4.556854,4.487446,4.494005,4.260329,4.1301107,4.0495386
4.132781,4.1132984,3.985535,3.9706643,4.054407,4.228169,4.0948153,3.9942036,3.9580872
0.7434483,0.7287093,0.7379594,1.3653862,1.880761,2.888629,3.2569914,3.484544,3.5961006
4.3641996,4.348047,4.2010107,4.1465387,4.1826034,4.303613,4.1421437,4.033024,3.9806705
0.37336177,0.31697863,0.32878762,1.0107713,1.5127199,2.6093545,3.09391,3.3770428,3.5508394
0.9215403,0.9039638,0.9302199,1.5238881,2.0514183,3.0185483,3.3575041,3.5413609,3.6240852
4.325585,4.3097568,4.166062,4.117797,4.16143,4.2910943,4.1346745,4.0266314,3.9766185
0.30835482,0.2372132,0.2517265,0.9414502,1.4511429,2.5717096,3.0744817,3.3690517,3.5548801
4.9181213,4.9073124,4.71104,4.5647674,4.492692,4.4966807,4.262172,4.1315928,4.0499115
0.31017384,0.23983866,0.2539131,0.94246805,1.4465474,2.566319,3.0718875,3.3619668,3.546245
0.55942225,0.5385159,0.53700405,1.1906412,1.6970924,2.742732,3.1644626,3.4271445,3.563549
0.9582711,0.9482676,0.9931539,1.5815201,2.131639,3.057142,3.4028795,3.5872169,3.649505
0.7155066,0.70010877,0.70854205,1.3392558,1.8577274,2.8679862,3.2418258,3.4783158,3.5937035
1.1289107,1.1112792,1.1611519,1.7124014,2.2621224,3.1586978,3.4725244,3.6203544,3.6699998
4.850014,4.837089,4.644902,4.5093994,4.455913,4.475464,4.249846,4.119421,4.0440907
0.9804538,0.9605746,0.9855396,1.561573,2.086329,3.046573,3.3774946,3.5459728,3.6242974
3.7022417,3.679256,3.5888526,3.644564,3.8175242,4.0815625,4.0068974,3.9190578,3.9066815
0.628599,0.61549246,0.6111123,1.2511038,1.764626,2.791911,3.1937835,3.444186,3.5698717
4.413122,4.398223,4.245554,4.183501,4.209265,4.3187313,4.1525135,4.0414424,3.9848206
0.26750776,0.19907293,0.2045809,0.8906223,1.4065303,2.5405848,3.05787,3.3496017,3.5445178
0.22415392,0.15343657,0.15739825,0.854259,1.3772191,2.526557,3.0505674,3.3508544,3.5522218
1.0002272,0.98514295,1.0124376,1.5661345,2.093906,3.0451746,3.3758152,3.542792,3.6181037
0.76895344,0.7537144,0.7667161,1.3951485,1.9121301,2.9074445,3.2751694,3.493652,3.59738
0.39229286,0.34018558,0.34965032,1.0232611,1.5235119,2.6162367,3.0977306,3.3728352,3.5448797
0.9108636,0.89963144,0.9413009,1.5464466,2.0907025,3.0261364,3.3778343,3.5768259,3.646908
0.7146589,0.6996592,0.7088569,1.344347,1.861834,2.8710153,3.2441921,3.480828,3.5957391
0.34323972,0.28566307,0.29253668,0.971769,1.4783287,2.583127,3.0807936,3.3613763,3.5428927
4.764049,4.75221,4.5695777,4.448337,4.4056787,4.441816,4.2281604,4.103471,4.0293818
0.1885603,0.11480324,0.1150417,0.8098005,1.3401791,2.502756,3.038009,3.340022,3.5493605
1.8250421,1.7801633,1.8321923,2.2548196,2.7625349,3.472149,3.655062,3.7383027,3.7936382
0.4220149,0.37777743,0.38507864,1.0580089,1.5580962,2.639507,3.1089272,3.3833654,3.5495725
4.111253,4.0903573,3.9654393,3.9520137,4.043605,4.220954,4.0908074,3.9888108,3.9547098
4.787636,4.7759185,4.591682,4.4662256,4.4189143,4.450382,4.2331553,4.107573,4.0325904
0.58479995,0.56722975,0.5653223,1.2154458,1.721179,2.7618704,3.1740992,3.4355364,3.5663602
3.87594,3.84289,3.7491002,3.7760987,3.9223883,4.119878,4.033565,3.9481144,3.9147155
4.2162104,4.192392,4.059635,4.030413,4.106378,4.252576,4.1130214,4.008548,3.9659026
4.2780538,4.25857,4.1209064,4.079319,4.139105,4.2830067,4.128595,4.0201845,3.979657
4.9122806,4.9014835,4.705736,4.5605745,4.4891467,4.4932437,4.260381,4.13011,4.0475903
5.010826,4.9992204,4.798015,4.6328583,4.5432534,4.527077,4.2789087,4.1448393,4.0594907
5.0176125,5.0060005,4.8011103,4.6369853,4.5491686,4.531911,4.28394,4.1480865,4.0627103
3.6689339,3.6457295,3.5553968,3.6190426,3.7971513,4.068114,3.9991136,3.9131444,3.9008296
3.927269,3.9066024,3.797643,3.8140013,3.9421134,4.159633,4.05392,3.9571552,3.9334342
4.8854504,4.874291,4.681212,4.540142,4.4752603,4.487171,4.256209,4.1263576,4.0475492
5.035018,5.024106,4.820515,4.6516237,4.556713,4.535497,4.284339,4.1494026,4.062492
3.7724533,3.7497416,3.6509295,3.697542,3.852488,4.1013393,4.0178657,3.9304385,3.9119885
0.91774917,0.9008725,0.933944,1.5263312,2.050792,3.0178194,3.356459,3.544667,3.623807
4.274331,4.2574987,4.118271,4.078594,4.1333213,4.274064,4.124236,4.017671,3.970919
0.2673015,0.18688524,0.20540774,0.9086411,1.4172312,2.553136,3.064128,3.369909,3.5599153
0.92098284,0.9040806,0.9368587,1.5308766,2.0590227,3.0216553,3.3606143,3.5506015,3.629927
0.22342119,0.14616475,0.15393126,0.8500107,1.3703785,2.5197127,3.0467925,3.3495545,3.551036
0.43734697,0.39978275,0.39706326,1.0582678,1.5636408,2.638897,3.1099613,3.3745592,3.5391793
0.9933988,0.97527343,1.0160455,1.5954165,2.1294496,3.0693798,3.4010975,3.5739312,3.6394403
4.550742,4.536129,4.371107,4.286333,4.287141,4.368946,4.183374,4.0666013,4.0047035
0.92427,0.91239744,0.9532996,1.5547204,2.0966518,3.0324051,3.3819926,3.5736413,3.6416814
0.6599052,0.6468147,0.6450485,1.2786183,1.7938904,2.81562,3.2095733,3.4524653,3.5741704
4.1282096,4.1080847,3.9824936,3.9659705,4.0550466,4.2308197,4.097044,3.9935653,3.9605792
3.7333567,3.7102163,3.6145227,3.6679099,3.8314629,4.0872436,4.010176,3.923487,3.9061127
0.7923925,0.77996665,0.7832993,1.3833363,1.8890344,2.903387,3.2677698,3.4720964,3.5795324
0.86991096,0.8576164,0.88501185,1.4871273,2.0181906,2.981782,3.3341792,3.5373032,3.6232796
4.140321,4.1199713,3.9933612,3.9744003,4.061176,4.2342978,4.0987906,3.9949315,3.9613168
0.5429198,0.51659495,0.51844865,1.1717184,1.6804935,2.732193,3.1597576,3.4230633,3.5627701
0.77528644,0.7592714,0.773197,1.393986,1.9104344,2.9128652,3.2728243,3.494494,3.6016307
0.91033477,0.8916918,0.9146377,1.5089731,2.0328991,3.007575,3.3469334,3.5313787,3.6178496
0.74644065,0.73323476,0.7486488,1.3857641,1.9083312,2.8971312,3.2707725,3.4988337,3.6026766
4.143918,4.1243925,3.9958658,3.97919,4.060831,4.232283,4.0973115,3.9961956,3.9595542
4.1744485,4.1504645,4.0219088,3.9937692,4.0752196,4.236112,4.0975957,3.9948425,3.9584234
0.24650216,0.16622035,0.18208605,0.8868156,1.3985671,2.540951,3.0582395,3.3643827,3.5582447
3.9245818,3.9033742,3.7953067,3.811914,3.9406145,4.157351,4.0525365,3.955931,3.9314275
4.046772,4.026017,3.9050941,3.9049294,4.006218,4.198174,4.0764837,3.9789138,3.947472
0.65573037,0.6402663,0.6429698,1.2819755,1.7974943,2.8199582,3.2111497,3.4592497,3.581271
4.468493,4.44439,4.2893295,4.2153573,4.239451,4.3392253,4.159925,4.0484114,3.9977293
0.82851535,0.8163584,0.84442824,1.468329,2.000804,2.9632173,3.3254378,3.5380092,3.6247418
0.18607122,0.11006391,0.11272514,0.8096711,1.3371841,2.500763,3.036974,3.3403306,3.5484602
0.77637106,0.76274186,0.7817873,1.4125924,1.9365723,2.9188695,3.2876146,3.508601,3.6071203
0.76618695,0.7503828,0.76278734,1.388325,1.9046798,2.908186,3.270663,3.4938526,3.6021197
0.8753381,0.8636122,0.89656436,1.5101635,2.0460937,2.995327,3.352104,3.5529456,3.630668
0.7723812,0.7631122,0.76009244,1.3655019,1.8647735,2.883266,3.2566757,3.460082,3.5692334
5.3187847,5.3086348,5.077983,4.864603,4.7170615,4.6392307,4.3484025,4.202559,4.1041017
4.2953873,4.277692,4.1365223,4.093604,4.1447225,4.2817407,4.128244,4.021374,3.9745505
0.5856015,0.5692349,0.5670683,1.2187147,1.7245905,2.7635155,3.1753323,3.4365861,3.5664802
4.822011,4.809652,4.6217294,4.4916754,4.439398,4.4643326,4.241994,4.114905,4.0392685
0.9657066,0.9530096,0.9960722,1.583077,2.1274948,3.0585546,3.4003654,3.582013,3.6459548
0.7253307,0.71123064,0.72163117,1.3653982,1.8874123,2.8808634,3.2584682,3.4912746,3.6004224
0.83063596,0.81396765,0.8346174,1.4476094,1.9686278,2.9543903,3.3069236,3.5159676,3.6122825
4.13079,4.1107273,3.9849522,3.968276,4.0568876,4.2319045,4.097901,3.9945023,3.9613342
1.0452034,1.0230203,1.0534822,1.6131606,2.147325,3.0912547,3.410845,3.5701544,3.6417756
4.719,4.706363,4.528039,4.413709,4.3811455,4.4266725,4.218876,4.0953245,4.0241227
1.716639,1.6733364,1.7288646,2.1735396,2.693919,3.4370937,3.633218,3.7267647,3.7852526
0.9390117,0.9273447,0.97058713,1.5678141,2.114393,3.0443666,3.3919804,3.583148,3.6493247
0.7669695,0.7563148,0.77872825,1.4136009,1.9434198,2.9175768,3.2907429,3.51827,3.6146743
0.21190333,0.13815464,0.14318773,0.8400287,1.3621148,2.517329,3.04611,3.3461998,3.5489612
4.9690704,4.9570675,4.759335,4.601535,4.5195384,4.511893,4.2695537,4.1372867,4.0535645
0.12170368,0.027839035,0.037183747,0.7523917,1.2851909,2.4725125,3.0222318,3.345191,3.5634267
0.21432585,0.14486042,0.144956,0.8368146,1.3632092,2.5166879,3.0449448,3.3429859,3.5479157
4.666402,4.6486864,4.4746356,4.3677087,4.354162,4.411153,4.209159,4.0848546,4.0205603
0.7074146,0.6928214,0.7013074,1.3472173,1.8642522,2.867129,3.2467363,3.4825609,3.5950866
0.29606372,0.22440895,0.24038377,0.94216603,1.4492773,2.571167,3.0734277,3.3754828,3.5602896
4.161909,4.135141,4.011588,3.9926622,4.0811777,4.2293096,4.1007876,4.0010824,3.9571655
0.9210702,0.903407,0.9292527,1.5237157,2.0518768,3.018301,3.3575397,3.541952,3.6250482
0.6395193,0.6256585,0.62377596,1.2635202,1.7777746,2.8026063,3.2002935,3.4499593,3.574386
0.93240845,0.91457593,0.9478943,1.5361745,2.0588477,3.0257337,3.361488,3.544109,3.621532
4.111638,4.087562,3.9626048,3.950779,4.047685,4.2156153,4.0912547,3.9896708,3.9518335
0.95043933,0.9369617,0.9792731,1.5733347,2.116275,3.0490942,3.3932536,3.5800679,3.6462233
0.20887151,0.13841236,0.13877475,0.83248985,1.358563,2.5131423,3.0432043,3.3424582,3.5480266
0.9559924,0.9396243,0.9669325,1.5428126,2.0691988,3.026613,3.3635137,3.5397015,3.6178856
4.378037,4.362592,4.2123337,4.1561575,4.1901116,4.3075223,4.1460643,4.0354667,3.981464
3.5893614,3.5658443,3.484116,3.5608938,3.7556326,4.044212,3.9848056,3.901723,3.895584
0.78128964,0.76834285,0.7892216,1.4212942,1.9478151,2.9250102,3.293822,3.5153763,3.6118724
0.41768867,0.37346244,0.37604547,1.039584,1.5451689,2.627834,3.1047294,3.371496,3.5404859
0.91902894,0.9083432,0.9502709,1.5513685,2.0962243,3.0309134,3.3814597,3.5770466,3.6457825
4.580282,4.557815,4.3931756,4.299051,4.299071,4.3774495,4.1818247,4.0661616,4.01032
4.344152,4.3205447,4.1770844,4.119421,4.1677465,4.2936845,4.13154,4.022406,3.9777687
4.0480304,4.0274663,3.9062898,3.9059556,4.0073204,4.1998935,4.077594,3.97967,3.9489315
0.25979492,0.18017893,0.19716771,0.8997101,1.410449,2.548091,3.061674,3.367185,3.5586057
0.76618767,0.7531594,0.77161175,1.405241,1.9296477,2.9132242,3.28368,3.507559,3.607355
3.6968832,3.6743994,3.58244,3.6409047,3.811434,4.0751405,4.0029774,3.9169447,3.9015458
0.26943144,0.1890566,0.20810087,0.91070044,1.4160218,2.5509005,3.0634215,3.366572,3.5551865
0.90095055,0.8875434,0.92280346,1.5279236,2.064242,3.0142608,3.3629262,3.5606582,3.6373656
0.74459517,0.72999746,0.7421523,1.3819911,1.903778,2.895031,3.2689261,3.4957626,3.6016526
4.1404767,4.119784,3.9912314,3.9759393,4.0587907,4.231422,4.096263,3.9958947,3.9601755
0.1851445,0.11068199,0.11121674,0.8074273,1.3365669,2.5000484,3.0364873,3.339095,3.5486076
0.24949485,0.16744912,0.18527496,0.8926134,1.4033898,2.5437322,3.0594754,3.3682103,3.5609627
0.9183008,0.90201336,0.9309495,1.5166163,2.0400944,3.0101852,3.3490603,3.5346208,3.6166964
0.32308078,0.25964588,0.26890218,0.9533207,1.4621618,2.5740843,3.075429,3.3637018,3.5481079
0.29531884,0.22688283,0.23670666,0.92355126,1.435293,2.5588703,3.0677826,3.359199,3.5481951
3.8239746,3.8010335,3.6988986,3.7361758,3.8820572,4.120336,4.0291257,3.9393966,3.9191706
0.8361405,0.8191359,0.84088624,1.4501743,1.9692793,2.9570935,3.307784,3.5146968,3.6101012
4.1707487,4.146607,4.0177546,3.9958441,4.081631,4.235328,4.103509,3.999992,3.958284
2.3971214,2.3414173,2.3618524,2.667508,3.096098,3.623444,3.7423432,3.775598,3.8103929
0.92529404,0.9126183,0.95260113,1.5526912,2.0938296,3.032232,3.3801095,3.5727794,3.6427927
3.760932,3.7384856,3.6427836,3.689131,3.8487525,4.100066,4.0177355,3.9283812,3.911551
3.7624564,3.7402394,3.6440947,3.6904452,3.8492844,4.1004725,4.0179443,3.928779,3.9117525
0.7758532,0.7603311,0.7761136,1.4053206,1.9242921,2.915661,3.2817957,3.4990048,3.6002336
0.27882147,0.20118007,0.21737409,0.9109545,1.4219131,2.5539057,3.065122,3.3646753,3.5546618
0.9482839,0.9334729,0.95623744,1.5272176,2.0525234,3.013822,3.3532617,3.5285015,3.6097925
0.84743834,0.8352877,0.864886,1.479583,2.0120814,2.9750166,3.3319466,3.5418146,3.6275058
