z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.11079454,-0.025833668,-0.69297487,-0.75687635,0.24109596,0.090968385,0.058965445,0.12712272,-0.09160309,0.05470789,0.09211727,0.10873319,0.28051454
0.103125006,-0.01350751,-0.3385027,-0.33372712,0.21447857,0.10235296,0.06806313,0.19967498,-0.047400758,0.10153733,0.12886725,0.07689582,0.24516654
0.13842292,0.13026139,-0.39327377,-0.61230576,0.06770022,0.10425432,0.12578793,-0.087579384,0.08067311,0.14458859,-0.0741866,0.18958037,0.059179954
0.05838283,-0.026503671,0.4706418,0.857109,0.23108457,0.1802676,0.04502051,0.09720218,0.23418227,0.071336195,0.15585712,0.0475317,0.29356685
0.15145078,0.112161234,-0.38142726,-0.6261806,0.054833755,0.12305941,0.12640291,-0.06668207,0.09422692,0.11011722,-0.08961848,0.1616684,0.07476034
0.14438936,-0.028638693,-0.40793443,-0.4351545,0.21558991,0.06137847,0.07640934,0.20160374,-0.0687191,0.056188516,0.09094136,0.100614466,0.26948252
0.091729596,0.035375204,0.40435627,0.8410471,0.232779,0.13066407,0.111955576,0.07578884,0.1820477,0.052928437,0.10399634,0.06838244,0.23559827
0.13722214,0.014371248,-0.72078836,-0.8054211,0.23659675,0.059116073,0.054402784,0.0022037625,-0.15071365,0.098677464,0.09434414,0.1739236,0.23161848
0.061595768,-0.022367273,0.5651132,0.8495013,0.29523563,0.14723304,0.021958992,0.07782216,0.17321903,0.08023034,0.18088768,0.0787168,0.3524673
0.09443072,-0.07326976,-0.6703237,-0.62688,0.27960092,0.05489684,0.053615987,0.21331072,-0.124245174,0.05768278,0.14600858,0.090392925,0.35134315
0.14925888,0.112729914,-0.3833168,-0.6307433,0.054477543,0.13043126,0.12480563,-0.07054062,0.09609709,0.106984176,-0.08730968,0.15978758,0.074531995
0.061378844,-0.032240838,0.6274502,1.5917112,0.2492841,0.14002264,0.08970476,-0.12994422,-0.002205709,0.25044158,0.08099317,0.15891738,0.28741932
0.09886369,-0.08600558,-0.66801006,-0.60938066,0.28397676,0.03689797,0.05611969,0.23374158,-0.13135052,0.0528369,0.148781,0.09059303,0.3678869
0.18780863,0.08958863,-0.41378456,-0.66967875,0.04516144,0.1320502,0.109219074,-0.057317004,0.089068055,0.03969095,-0.10389332,0.12890606,0.11343047
0.08221911,-0.07833169,0.8038989,1.8861415,0.27923495,0.085706614,0.14426354,-0.0651295,-0.005997911,0.24345809,0.06644153,0.18237229,0.21686524
0.12729727,0.04816902,0.3054693,0.71744937,0.26305887,0.11602241,0.17926174,0.07022225,0.11671738,0.084594004,0.041215003,0.06394578,0.233154
0.06671531,-0.066485435,0.8920114,1.9548419,0.2651298,0.089729175,0.10135619,-0.042293385,0.0585973,0.16188467,0.103266224,0.18021673,0.20220253
0.06654336,-0.07056302,-0.62187654,-0.56778497,0.28462446,0.08818515,0.04918032,0.2349594,-0.10676176,0.07333377,0.1738026,0.07093588,0.34041923
0.114149325,-0.004522855,-0.43717894,-0.44654077,0.22948252,0.091787465,0.054005668,0.12517707,-0.10171667,0.10540224,0.14687821,0.11143996,0.23953316
0.109759465,-0.01282421,-0.6817464,-0.7407375,0.23899281,0.09905701,0.05689811,0.10287001,-0.094194174,0.06938398,0.09085278,0.11119431,0.2694183
0.13038819,0.13805424,0.13586724,0.65367264,0.21641272,0.12801163,0.19241989,-0.035400942,0.09039277,0.08687928,-0.008122601,0.04193102,0.22141206
0.06013313,-0.022986468,0.46202654,0.8478522,0.23791288,0.17896862,0.051176608,0.093600094,0.23465323,0.07391159,0.1513367,0.03756187,0.2983353
0.107963085,-0.09378034,-0.61354375,-0.53661525,0.28990644,0.024287097,0.06486116,0.26307827,-0.13785511,0.057087652,0.14538348,0.0891428,0.38073084
0.115146674,-0.009236684,-0.6372378,-0.6848763,0.23473933,0.060762964,0.06380609,0.097489476,-0.10755917,0.09490789,0.102030516,0.1378303,0.25310445
0.09311041,-0.07786144,-0.6912626,-0.6511651,0.2766509,0.055932656,0.05355683,0.21386859,-0.12040164,0.05390405,0.1420033,0.08399158,0.357203
0.15124047,0.12909165,-0.37105286,-0.50950605,0.069029555,0.046015173,0.12053356,-0.07358816,0.0587231,0.17501469,-0.054289095,0.189966,0.0649447
0.054070875,-0.0124097895,0.7633534,1.8363619,0.24031803,0.123582095,0.07612376,-0.12615155,0.047718257,0.16801411,0.094237536,0.16045482,0.24078007
0.10485179,0.004326031,0.4437477,0.9227089,0.2675823,0.14448325,0.113317564,0.028186023,0.09607959,0.12552027,0.057366207,0.06778663,0.286763
-0.038828522,-0.07504296,-0.56104404,-0.5026575,0.3579892,0.21388257,-0.051977925,0.1823612,-0.12905419,0.18189757,0.33601743,0.061769202,0.35257024
0.10194157,-0.015422022,-0.36716646,-0.36202735,0.21362792,0.09980854,0.06637007,0.1888459,-0.05152031,0.10353885,0.12868458,0.07638653,0.24899845
0.08133583,0.011201292,0.98298585,2.3358471,0.25691515,0.07954839,0.10130564,-0.19328485,-0.03679912,0.13336533,0.023436196,0.20514937,0.17914566
0.14927387,0.09978143,-0.48893335,-0.6962242,0.076151505,0.17857577,0.078025095,-0.04550773,0.09540322,0.035181545,-0.07368869,0.10134863,0.12161077
0.06665155,-0.0652554,0.5419661,0.90958875,0.25665838,0.17219892,0.041350853,0.10511267,0.182897,0.113333695,0.1487832,0.07135261,0.31424126
0.10477096,-0.08713511,-0.7040654,-0.6686069,0.27237415,0.03969965,0.058718264,0.22386222,-0.120405756,0.041788943,0.12734686,0.08436828,0.36933488
0.15088594,0.15231344,-0.46680284,-0.623085,0.05808328,0.030917343,0.12314609,-0.13968109,0.05968805,0.19485822,-0.09047509,0.21513003,0.049825504
0.13865882,0.1248275,-0.25353423,-0.30877596,0.08814421,0.082192406,0.12626028,2.95043e-05,0.075447455,0.17225759,-0.014444247,0.16030492,0.05336947
0.13002205,-0.02462374,-0.772587,-0.8364822,0.24749723,0.05863329,0.067365706,0.1065755,-0.110723875,0.050824113,0.055134602,0.13190722,0.29671156
0.045769814,-0.18018554,0.8462932,1.8632374,0.22842883,0.1887885,0.04407568,-0.025479823,0.032492407,0.2655267,0.107958116,0.19944249,0.26704323
0.13578093,0.0061150794,-0.3682146,-0.43289602,0.2015214,0.08584526,0.08384496,0.16248193,-0.0492803,0.09031191,0.07677227,0.11275357,0.21712106
0.061941408,-0.113398895,0.74140424,1.8142499,0.23078255,0.14714605,0.10411306,-0.0620967,0.006374986,0.26027465,0.08372021,0.20473783,0.23006381
0.06487275,0.054741155,-0.23739007,-0.30194777,0.05390401,0.19255072,0.059184685,0.046388566,0.12969084,0.13635711,0.073455326,0.0055224374,0.13137919
0.06798254,-0.033133376,0.8370751,1.9194098,0.24959658,0.10199066,0.093299255,-0.08820388,0.04439625,0.16161837,0.080499955,0.16573484,0.2117528
0.109362625,-0.06414818,0.68250686,1.3957593,0.3143431,0.08064603,0.17511603,0.07462742,0.075936124,0.1409135,0.07801956,0.13719872,0.21568708
0.1305579,0.01227981,-0.71481514,-0.7990198,0.23515524,0.07335333,0.053855702,0.016130507,-0.13662803,0.093273126,0.09230891,0.15989408,0.23508668
-0.07117543,-0.044987306,-0.6083319,-0.5415145,0.34659636,0.29502612,-0.04734575,0.163321,-0.071203895,0.1807779,0.33412853,0.009528361,0.3255899
0.06180539,-0.039156824,0.4466408,0.82874864,0.21905512,0.19682792,0.047375444,0.10899863,0.24298993,0.07819206,0.13949525,0.031552255,0.29012316
0.11673367,0.06497187,0.12627093,0.3574472,0.135328,0.2376757,0.11771181,0.075681694,0.21672067,0.041863903,-0.016824834,-0.07210946,0.25386697
0.04120069,0.12777641,0.03426083,0.13836505,0.05315897,0.13251027,0.119750574,0.07286757,0.22095045,0.0025424287,0.001551576,-0.029322531,0.16849855
0.10330379,-0.008367603,-0.72526634,-0.8040242,0.24052866,0.12276909,0.058945954,0.106732324,-0.07499921,0.056805797,0.06777265,0.10072881,0.27138332
0.08529681,0.107397035,-0.014450751,-0.14018561,-0.0021877997,0.16742378,0.1386577,0.06784015,0.26624787,0.067270815,-0.037670687,0.022294514,0.09376612
0.07146263,0.0013279524,0.7292861,1.771365,0.2493479,0.11085179,0.10090137,-0.12180649,0.017151676,0.16242817,0.07173263,0.17402859,0.22967464
0.12372006,0.23968112,-1.0293224,-1.3281143,-0.09114842,0.028910838,0.08770819,-0.54886323,0.14769235,0.18850985,-0.21944317,0.27535695,-0.050890416
0.122458555,-0.02097025,-0.7401486,-0.810891,0.24528319,0.07703514,0.06963039,0.12164655,-0.09349866,0.051821046,0.05379049,0.12139572,0.2888454
-0.0337182,-0.107311204,-0.43983784,-0.41802162,0.38234723,0.23829243,-0.08043248,0.26172113,-0.11638936,0.14286101,0.36122382,0.057667546,0.38759357
0.09235951,-0.006702283,0.45601088,0.9692386,0.25607026,0.13690276,0.118923135,0.05425466,0.13350414,0.11609089,0.09058205,0.08049045,0.26067135
0.071094014,0.013941364,0.48300433,0.9106284,0.24767867,0.13330495,0.07600398,0.07493198,0.2010419,0.059758127,0.14738555,0.069596335,0.26789325
0.050949942,-0.18281874,0.8629762,1.8743074,0.2508263,0.16178447,0.08000703,0.01726678,0.068954654,0.24525574,0.118918285,0.18398838,0.24268006
0.12350408,0.017198455,-0.7093618,-0.799088,0.23096237,0.08416841,0.053172376,0.009480476,-0.12907696,0.10105835,0.09451148,0.15532435,0.22586657
0.074550025,-0.0521337,1.0498803,2.543514,0.22611359,0.10037899,0.12842605,-0.11603071,0.06292836,0.11770621,0.018289458,0.16215633,0.11179583
0.08797844,-0.17297122,0.8383273,1.407537,0.3209154,0.11523725,0.09356104,0.15231822,0.09335622,0.17245269,0.13543668,0.15959544,0.2685192
0.07027814,0.17746834,0.06055945,0.45618188,0.12911081,0.15806155,0.15139565,-0.0011669397,0.20246428,0.00091642886,0.029986817,-0.0103583075,0.15796544
0.06372349,0.16336589,0.033089466,-0.070084065,0.034310654,0.26848575,0.12877333,0.068651855,0.25681296,0.07909302,-0.013987884,-0.033934798,0.060050555
0.11553439,-0.050822865,-0.84971327,-0.85942215,0.27724504,0.039802387,0.050283633,0.11336622,-0.1530622,0.049636796,0.10433535,0.13248113,0.33756536
0.06962942,0.1705619,0.030409254,0.043674484,0.02700476,0.22767758,0.12049022,0.045602493,0.16888759,-0.026523195,-0.025918245,-0.013202693,0.1067069
0.03210468,-0.025868636,1.0036948,2.4206717,0.22212812,0.15500547,0.023185417,-0.22351928,0.05878386,0.15880418,0.061645627,0.12602404,0.23909283
0.061027564,-0.019808734,0.5800511,0.8674057,0.29563802,0.15097445,0.0077844635,0.058769055,0.16946986,0.094982855,0.16963327,0.054934118,0.37002945
0.13954005,0.13571799,-0.42594606,-0.6106668,0.056108654,0.054338723,0.12459989,-0.10112591,0.07608494,0.17866635,-0.07743836,0.19863746,0.049229838
-0.014439464,-0.09231785,-0.7600059,-0.6033772,0.37473226,0.114832915,-0.029337518,0.16603424,-0.18583655,0.16276413,0.34624037,0.08998925,0.39328545
