3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.6140219,1.7417107,1.9154701,2.0895536,2.3207366,2.4418266,2.530698,3.0381231
1.8566644,1.9209995,2.0870864,2.2719853,2.4538844,2.6093092,2.740454,3.2235236
1.7318641,1.8153039,1.9600723,2.1747134,2.3755555,2.5284429,2.6631458,3.1626253
2.4813485,2.4780376,2.6195724,2.8480144,3.0679564,3.2054973,3.324475,3.793173
1.7262243,1.8117657,1.956914,2.1698294,2.3742912,2.5231903,2.655671,3.157147
1.79836,1.8775548,2.0432537,2.2271786,2.4166026,2.5660732,2.6872134,3.174241
2.4580572,2.4508548,2.590462,2.8197584,3.039441,3.1833394,3.3053238,3.7692184
1.5950637,1.7209928,1.8907855,2.0751438,2.3054016,2.429054,2.5199788,3.0293968
2.4938855,2.4933875,2.6368115,2.8677988,3.091716,3.2229023,3.3386228,3.805495
1.6641371,1.7850296,1.9608076,2.1248548,2.3436344,2.472788,2.5590832,3.06074
1.723819,1.8098426,1.9555731,2.167806,2.3737288,2.521604,2.6539018,3.1559715
2.785566,2.7952878,2.9559574,3.2039719,3.441478,3.5494258,3.6579497,4.1395054
1.6730223,1.7926118,1.9673498,2.1320305,2.3472435,2.478461,2.5642846,3.0647473
1.699312,1.7909847,1.9380667,2.1468773,2.3611624,2.5020611,2.6260576,3.1334043
2.9405174,2.9477837,3.1255822,3.387111,3.623907,3.7268274,3.8239653,4.332211
2.391958,2.3862617,2.520405,2.7579753,2.9710264,3.123319,3.249319,3.7075293
2.9930894,2.9983284,3.179559,3.4462397,3.6861312,3.785249,3.8715336,4.396849
1.6980748,1.810817,1.985811,2.150653,2.3623664,2.4946325,2.586861,3.0838177
1.7908885,1.8693147,2.039724,2.2203739,2.414811,2.5607977,2.6847444,3.1743836
1.616859,1.7430844,1.9176679,2.0899825,2.320942,2.4420702,2.5329182,3.0392878
2.3378074,2.3384874,2.468303,2.7101104,2.9147503,3.0764835,3.2139812,3.6668134
2.4761388,2.4724724,2.6127937,2.8422294,3.0619433,3.1999989,3.3196974,3.7872744
1.7104716,1.8183768,1.9940703,2.1613345,2.3687932,2.5013788,2.5976937,3.0893629
1.6489822,1.7669752,1.9365096,2.113433,2.3329751,2.4646587,2.55895,3.062026
1.6536447,1.7775276,1.9526103,2.1174083,2.338798,2.4661744,2.5501149,3.054615
1.7823913,1.8525257,1.9952724,2.2137291,2.39857,2.5591705,2.7047942,3.1970255
2.9125268,2.925454,3.0993452,3.3515716,3.589291,3.693199,3.794771,4.297232
2.493667,2.4874408,2.6278718,2.8655684,3.0859663,3.2236855,3.3473134,3.8053265
1.7517242,1.8490081,2.0264838,2.1903965,2.3919365,2.5281737,2.6247823,3.1210942
1.8384458,1.9065908,2.07397,2.2568765,2.4407237,2.5927818,2.7246523,3.208704
3.1636844,3.1810162,3.3785565,3.6718814,3.9003465,3.9985273,4.0886874,4.633521
1.6699516,1.7700071,1.9265289,2.1224508,2.3513048,2.4845822,2.6007504,3.1128917
2.5125356,2.5095947,2.6545184,2.8855872,3.1085503,3.2400768,3.355479,3.8245873
1.6498961,1.7746763,1.9475119,2.1164057,2.33684,2.4639516,2.54727,3.0526047
1.7154002,1.8014961,1.94153,2.1621022,2.3583212,2.5138836,2.6487443,3.1484988
1.8874712,1.9352858,2.0849876,2.2990127,2.4784935,2.6493387,2.8012676,3.28577
1.5893464,1.7188315,1.8893588,2.0721216,2.3085876,2.430595,2.5152137,3.0294557
2.9428618,2.9549372,3.1347396,3.3905907,3.625639,3.7240736,3.815708,4.3288183
1.8081261,1.8823996,2.0462272,2.2343907,2.4228005,2.5758433,2.7027872,3.1900544
2.8994696,2.9079287,3.0832503,3.3358173,3.5696952,3.6736455,3.7765188,4.2756147
1.8882992,1.9377362,2.1011963,2.2941878,2.4885237,2.6397884,2.7931974,3.2829812
2.963765,2.9719522,3.1500022,3.4119782,3.6516805,3.752941,3.8448353,4.361193
2.7203677,2.7163002,2.8751733,3.117455,3.351355,3.4705951,3.5767586,4.0576134
