z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
0.19772606,-0.24913226,-0.15825392,-0.3212291,0.60656637,-0.21898249,-0.20135033,-0.09250137,0.10644489,0.21200025,0.08744088,-0.3182259,0.03123714
0.4833054,0.8865098,0.16855493,-0.52020454,0.48796687,-0.013918031,-0.0798864,-0.14296006,0.29269007,0.005240351,0.80056465,-0.82449436,-0.25007397
0.29865748,-0.060061887,0.08771765,-0.15664688,0.44176912,-0.28349864,-0.122961365,0.028549276,0.111179344,0.3398381,0.18042521,-0.10875273,-0.102456585
0.16937628,-0.5415404,-0.01903658,-0.34064478,0.6128765,-0.19029053,-0.14380926,-0.10659564,0.2308965,0.19479766,0.123927325,-0.5350646,0.04851354
0.3409831,0.583742,0.023024194,-0.38378865,0.3990484,0.03263345,-0.07946149,-0.15238465,0.31526187,0.04224512,0.3825475,-0.50631875,-0.09001951
0.27888837,0.2750178,-0.020692386,-0.29266447,0.4006533,-0.14780562,-0.05547624,-0.022219382,0.26452902,0.15222478,0.17849351,-0.13126622,-0.08217825
0.23114446,-0.20606618,-0.16553599,-0.30059063,0.60582083,-0.2301462,-0.21650422,-0.04415086,0.09762552,0.2540382,0.08800304,-0.18811151,0.08125209
0.26193634,-0.43316144,-0.18288586,-0.3510437,0.42080745,-0.11379347,-0.14847293,-0.15632606,0.056818508,0.30856982,0.10371466,-0.2961691,0.06777748
0.16703488,-0.54956686,0.054120064,-0.33400315,0.55147773,-0.23779427,-0.08674366,-0.07621834,0.22092941,0.16609646,0.18016477,-0.519719,0.009906679
0.26584375,-0.27103108,0.0049698353,-0.15356368,0.37770942,-0.28844482,-0.2304577,-0.04352203,0.0435177,0.37517783,0.05816202,-0.26175967,-0.08930986
0.40578783,0.8507414,0.02508121,-0.5605288,0.36307552,0.052333128,-0.10766455,-0.19015181,0.39426684,-0.0983766,0.51624,-0.76226854,-0.18163104
0.30174598,-0.23808224,-0.056049895,-0.29665947,0.41264635,-0.17835839,0.015774015,-0.04018836,0.061391123,0.34239846,0.109193146,-0.2565057,0.06984069
0.21081102,0.09434184,0.010051891,-0.24983668,0.39517468,-0.23722357,-0.03656625,0.05199328,0.22535399,0.28470016,0.23312019,0.044953875,-0.0150334835
