3 Mo,6 Mo,1 Yr,5 Yr,10 Yr,15 Yr,20 Yr,30 Yr
0.24352044,0.2700721,0.26899332,0.5254241,1.6139073,2.0773492,2.2897866,2.5240855
0.22620395,0.25793436,0.27141815,0.7963043,1.9075873,2.3847127,2.5406075,2.7491407
0.24041805,0.26244122,0.2652995,0.5454067,1.6219213,2.057828,2.279513,2.5068197
0.23660949,0.27702528,0.273548,0.49841088,1.5859478,2.0584836,2.2449067,2.4990735
0.23744968,0.25756654,0.26756305,0.698985,1.7624533,2.2376776,2.4222243,2.6178613
0.24567136,0.26325262,0.26681072,0.59792167,1.6916842,2.1279445,2.346106,2.5538516
0.24250445,0.26813784,0.26752877,0.5180301,1.6044421,2.0588307,2.2749164,2.5149746
0.24395669,0.27045405,0.2684617,0.5046724,1.5802777,2.0373845,2.2451086,2.5126739
0.2382934,0.27377307,0.27179047,0.49770254,1.5752807,2.0457816,2.236847,2.4893742
0.23589724,0.26660764,0.26808387,0.52226996,1.5849237,2.0372944,2.2467513,2.4868355
0.23146266,0.2548545,0.2675417,0.7717959,1.8466511,2.3345065,2.5020149,2.6936226
0.24568127,0.2695993,0.2696761,0.5305685,1.6258962,2.069881,2.2860458,2.5316634
0.24719751,0.26758268,0.26799554,0.54974455,1.64522,2.0790796,2.3001559,2.5211039
0.24533936,0.27282733,0.26896095,0.50518215,1.6039431,2.057088,2.2672532,2.53231
0.24296024,0.26996604,0.2685115,0.5178969,1.6102161,2.0497684,2.2668586,2.5061483
0.24423459,0.25587282,0.2633941,0.64552,1.7239978,2.1546288,2.3763497,2.5858727
0.2306382,0.258745,0.26994854,0.83856434,2.001692,2.451078,2.6140053,2.8446226
0.24177358,0.26876983,0.26859707,0.52507126,1.6106508,2.052431,2.2733095,2.4996548
0.24050815,0.26760575,0.26862222,0.53467035,1.6223125,2.0585165,2.2802327,2.508811
0.23604003,0.26623887,0.26829708,0.5195722,1.5813646,2.0306768,2.241687,2.4818926
0.24589536,0.27120435,0.26925516,0.5147308,1.6046224,2.0546436,2.2650197,2.5261393
0.24366549,0.27035138,0.26845738,0.5068266,1.5829804,2.0409074,2.2487602,2.513002
0.22192249,0.2596327,0.27208194,0.830003,1.9639912,2.4599414,2.5997744,2.8121219
