z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13
-0.057670765,0.11439195,-0.0694284,-0.04233241,0.07574636,-0.0127137415,-0.14482675,-0.5325852,0.21552195,0.0652343,0.013095224,0.08967279,-0.024352238
0.08835299,-0.031321086,0.013662849,0.064922065,-0.028006718,-0.035608765,-0.14391306,-0.45145473,0.10537387,-0.038590934,0.11959552,0.12833303,0.026381137
0.048810318,-0.010289345,-0.030906923,0.038233936,-0.0033508837,-0.028993277,-0.1596327,-1.5474815,0.24462853,-0.14492366,0.17082997,0.06743638,-0.055338398
-0.017513692,0.027337188,-0.04883542,-0.0073007797,0.019742344,-0.02854047,-0.18544285,-1.3067269,0.24027063,-0.11229327,0.14380798,0.076628596,-0.038545746
0.019438177,-0.0024892977,-0.031693712,0.03682886,-0.02397772,-0.01998998,-0.17427018,-1.2589413,0.1792669,-0.15029898,0.15840246,0.0883502,-0.038805164
0.072578825,-0.040997863,-0.010390803,0.07515955,-0.0103798285,-0.034193303,-0.16309536,-0.70047873,0.114536434,-0.108463034,0.1403422,0.11085083,-0.015666544
-0.023495782,0.10689695,-0.07330877,-0.01696078,0.07798867,-0.016527653,-0.13166383,-0.5233744,0.21474856,0.07565948,0.016835045,0.09020901,-0.026487216
-0.05334265,0.121494055,-0.060244918,-0.03994827,0.06484704,-0.0028957874,-0.11596368,-0.4727398,0.21801206,0.10602151,0.009641552,0.09832212,-0.00782941
-0.038544193,0.11966249,-0.05881343,-0.034103736,0.05201232,0.0017293245,-0.10662981,-0.45217124,0.2124364,0.11527133,0.015495952,0.092645496,-0.013184276
0.056884155,0.03758386,-0.018474499,0.058130845,0.053352226,0.011552881,0.32343298,1.5742856,-0.39489514,0.034291252,-0.30551466,-0.07831706,0.04891935
0.018946763,-0.02611965,-0.015891822,0.02232906,-0.047202587,-0.02929162,-0.17426471,-1.314023,0.18060477,-0.17096724,0.1703064,0.07913359,-0.06501444
-0.061524898,0.019986242,-0.042644367,-0.06398067,-0.036888033,-0.03229797,-0.1974966,-1.7808484,0.28144518,-0.17962646,0.18685707,0.048958518,-0.09457564
-0.07486392,0.083812945,-0.075836055,-0.054149553,0.05211627,-0.017384017,-0.17130391,-0.5262035,0.19666612,0.018378155,0.02946313,0.07678575,-0.037124336
-0.010546281,0.0817902,-0.060907453,0.0001679128,-0.0013438761,-0.0037487224,-0.115231976,-0.2073366,0.1319173,0.07764476,0.011097889,0.08763178,-0.013774843
-0.034777857,0.03248668,-0.02743562,-0.045361273,0.009669658,-0.050423015,0.29982752,1.6168272,-0.39735544,0.01679799,-0.25302374,-0.031992406,0.063551426
-0.04962218,0.10309638,-0.08637324,-0.026170908,0.07720241,-0.010428421,-0.15973963,-0.5714254,0.20701326,0.04493542,0.011493424,0.07762268,-0.017996151
0.026835606,0.0057881395,-0.04093411,0.036184497,-0.00048729032,-0.02370137,-0.16717744,-1.7443765,0.26017258,-0.17020924,0.17416938,0.07219145,-0.054127134
0.0037330203,0.0101076905,-0.010442896,0.007559547,0.015458923,-0.010531645,0.23195654,1.4731307,-0.4335763,-0.05606794,-0.16592735,-0.027795203,0.033727046
0.005000634,0.03205497,-0.0064349566,0.0530074,-0.07154946,0.023737501,-0.03300358,0.15424564,0.02377207,0.045692697,-0.05206614,0.051687717,-0.0981036
0.054393284,0.03818862,-0.01915958,0.05309151,0.052725237,0.014049772,0.3133534,1.5571918,-0.38643485,0.036892828,-0.3092375,-0.07625046,0.05602932
0.057937264,0.04221374,-0.024884317,0.060629435,0.03820264,0.000744842,0.33493966,1.5978464,-0.4138778,0.0070351176,-0.28229952,-0.076881066,0.02532323
0.008063326,0.016898798,-0.014000263,0.015573245,0.0070264935,-0.0028179102,0.24074566,1.4798416,-0.4294796,-0.05750778,-0.17366482,-0.032228522,0.023686774
0.002825437,0.0061650225,-0.009719328,-0.00021632668,0.019913245,-0.013143901,0.21822256,1.4420602,-0.42292446,-0.048734907,-0.17133142,-0.021386601,0.039882973
0.03798803,-0.014148949,-0.029753402,0.04876569,-0.017721655,-0.02568347,-0.16692474,-1.3058608,0.19035614,-0.15435684,0.164377,0.08828258,-0.04501497
0.008506646,0.05415446,-0.06189961,0.023337273,0.037679095,-0.006583698,-0.1686301,-1.1810892,0.22924381,-0.06563492,0.11978056,0.07551259,-0.005663625
0.027898148,-0.043344487,0.004518846,0.03658635,-0.052097898,-0.027528912,-0.18522859,-1.0362644,0.13544062,-0.16574915,0.17045115,0.089603126,-0.03762905
0.00619339,0.040720787,-0.029147398,0.005434012,0.007376481,-0.03459222,0.34021872,1.6658967,-0.42426366,-0.0036757514,-0.2544621,-0.059947744,0.030043378
-0.01323409,0.028195156,-0.060484417,-0.0049172915,0.029692035,-0.034381427,-0.16916291,-1.2812008,0.25073293,-0.10120255,0.12695274,0.07814819,-0.060677066
-0.012567823,-0.001834719,-0.0030554356,-0.022640258,0.024537254,-0.0012327954,0.13868612,1.2350878,-0.34534213,-0.019340113,-0.17490245,-0.002028279,0.068125695
-0.035845146,0.06863435,-0.07056514,-0.014445152,0.050470214,-0.009799894,-0.17498921,-1.0103395,0.2434761,-0.042025175,0.09776765,0.0718481,-0.01943333
-0.0058907466,0.042933803,-0.04969527,0.00010265503,0.04402077,-0.019355696,-0.17915875,-1.0897197,0.23449573,-0.058661457,0.115430966,0.07232677,-0.011572699
0.010576485,0.040698647,-0.028986745,0.009047003,0.009283338,-0.0335304,0.3425248,1.6631658,-0.42222548,-0.0005406849,-0.25942138,-0.061697215,0.028423943
0.043956507,-0.016395103,-0.0270386,0.049957022,-0.012718897,-0.028295912,-0.16756183,-1.2782657,0.18926397,-0.14714105,0.16275792,0.08833935,-0.040285565
-0.024152571,0.056187432,-0.080050185,0.005964298,0.0417852,-0.016038988,-0.16314074,-0.99534225,0.22608078,-0.06437823,0.10139349,0.08781086,-0.039170224
-0.019038463,0.025291411,-0.050415397,-0.008921027,0.014569495,-0.02765218,-0.17894006,-1.367053,0.25117716,-0.119539455,0.14462392,0.07187863,-0.05325988
0.03505846,0.034395058,-0.006958274,0.06789588,-0.048135303,0.024769235,-0.02694108,0.14616573,0.015473149,0.061813235,-0.074914515,0.043234423,-0.0734193
0.0016672844,0.006994245,-0.008267627,0.00088155456,-0.008025514,-0.018862238,0.23910436,1.4687966,-0.4202123,-0.055992898,-0.1627166,-0.038442425,0.021865562
-0.039134867,0.023896467,-0.023008082,-0.057835743,-0.0009355992,-0.05647022,0.29740247,1.6263388,-0.3972427,0.01697826,-0.25109154,-0.03521049,0.066471584
0.06528393,-0.034164548,-0.017466333,0.07494242,-0.00937514,-0.030566562,-0.1638172,-0.8160708,0.12870461,-0.119044736,0.14499314,0.10724944,-0.020914596
-0.0016988879,0.035732787,-0.026389949,-0.008178754,0.022755224,-0.033084475,0.3152716,1.6145079,-0.4021244,0.018616477,-0.26901016,-0.047635153,0.0512318
-0.043168638,0.1032598,-0.089529045,-0.019312881,0.08086552,-0.012723487,-0.15529421,-0.5710522,0.2080695,0.046487328,0.0096689835,0.08078358,-0.02128357
-0.021191545,0.044243883,-0.068598926,-0.0022144858,0.036970872,-0.024529545,-0.16970219,-1.0538023,0.22839814,-0.0730474,0.10983947,0.084341735,-0.042027447
0.004589174,0.04861163,-0.058007427,0.022717623,0.036674608,-0.009942602,-0.17522737,-1.2430468,0.2326078,-0.081990704,0.12900439,0.078265965,-0.005533808
