3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,20 Yr,30 Yr
3.3582447,3.4794798,3.604304,4.2275963,4.331057,4.50273,4.967766,4.831213
3.2050285,3.3115556,3.4234154,4.07695,4.180803,4.3680224,4.8566947,4.709221
5.0104933,5.348631,5.599925,6.2784686,6.348352,6.4131613,6.7832327,6.646246
4.6243563,4.911728,5.137801,5.8022456,5.8821244,5.9660597,6.359461,6.2207146
4.533889,4.810605,5.025009,5.7023673,5.7823644,5.8798532,6.2828107,6.140299
3.6131012,3.7729805,3.9142287,4.578773,4.6766806,4.8393326,5.3000646,5.1549644
3.3409753,3.4596133,3.581,4.205074,4.3068,4.4824724,4.9485145,4.812807
3.2584565,3.3666928,3.482969,4.103373,4.2071075,4.385111,4.857325,4.7206964
3.2238867,3.3281853,3.4409895,4.060892,4.165284,4.348032,4.8209143,4.684477
0.0904779,0.19021136,0.14949365,0.5692501,0.7658603,0.94686013,1.4140241,1.5790946
4.624114,4.914879,5.1376743,5.8159776,5.898318,5.9903193,6.384476,6.2425766
5.4062767,5.797103,6.0884504,6.764153,6.8360476,6.8651567,7.2049394,7.0676117
3.3493087,3.4716713,3.5985453,4.2238536,4.332133,4.5042963,4.967498,4.8294716
2.8061078,2.8838384,2.956807,3.565312,3.685929,3.878276,4.375164,4.2527437
0.083240986,0.1873138,0.1644828,0.5731603,0.76452816,0.95200527,1.4083955,1.5916748
3.4206336,3.5495358,3.678108,4.304807,4.4060683,4.5756016,5.036648,4.9002275
5.333253,5.711295,5.987404,6.6740413,6.735824,6.777233,7.1303616,6.993145
0.20687611,0.29066515,0.28277966,0.68624485,0.8776506,1.0758041,1.534736,1.719115
2.1746519,2.2202501,2.2702954,2.7728367,2.9220827,3.1709526,3.6394622,3.577707
0.10516019,0.20292217,0.16583076,0.580485,0.7779132,0.95931154,1.4281497,1.5897641
0.07584289,0.18024307,0.13350806,0.5632286,0.75452006,0.94089067,1.4037439,1.5787716
0.20187114,0.28749627,0.2745312,0.6833894,0.87301797,1.0731323,1.5325112,1.7150187
0.2332553,0.31321198,0.3121747,0.7043308,0.89885044,1.0988146,1.5595028,1.7380362
4.6102886,4.897002,5.1166677,5.7954183,5.873347,5.9663715,6.364418,6.223071
4.4153366,4.6732726,4.878791,5.5401196,5.618031,5.7198563,6.128208,5.989628
4.16646,4.399441,4.587102,5.2624607,5.3537574,5.4762626,5.9016237,5.7562838
0.032270312,0.14531721,0.09962253,0.5363922,0.72153556,0.907712,1.3614708,1.5532444
4.5822287,4.8638563,5.0853024,5.745833,5.8268557,5.9158173,6.3091984,6.1724653
0.42556193,0.49297583,0.5226108,0.86016744,1.0658879,1.2810466,1.7567221,1.9038463
4.1432924,4.3667803,4.5548806,5.2025614,5.2896466,5.406069,5.82716,5.6894455
4.2693806,4.5101385,4.7073765,5.3613715,5.445777,5.5542493,5.9690523,5.831067
0.03224179,0.14488,0.0980404,0.53589284,0.7214417,0.90655196,1.3600028,1.5510437
4.5650043,4.8459687,5.062151,5.739446,5.8181734,5.914024,6.314749,6.173586
4.114346,4.3339224,4.517748,5.170145,5.257533,5.3792067,5.8031187,5.6644287
4.723571,5.02398,5.2574987,5.922914,6.001396,6.0795593,6.4655604,6.3277817
2.18323,2.2235916,2.2726083,2.7778604,2.923947,3.1787713,3.6471694,3.582999
0.21608406,0.30122414,0.29111388,0.69261813,0.8838198,1.0899823,1.5453291,1.7269561
0.079485446,0.18597773,0.16359103,0.5680813,0.7601068,0.9519332,1.4060825,1.5891529
3.8034384,3.9872344,4.143099,4.8109818,4.9044924,5.054159,5.5033083,5.358898
0.07048461,0.1746208,0.14104575,0.56431156,0.75481105,0.9348801,1.3913876,1.5748862
3.4193504,3.5477254,3.675479,4.302472,4.403086,4.5734076,5.0347404,4.8985996
4.2100754,4.442987,4.6352873,5.288982,5.376133,5.490347,5.907591,5.769203
4.5171022,4.7882867,5.002429,5.667085,5.7432337,5.836831,6.2401032,6.1011314
4.514904,4.7908,5.005353,5.6815305,5.7644954,5.862095,6.2648406,6.1226883
5.3898716,5.778204,6.0656996,6.740293,6.810571,6.8440847,7.183812,7.048297
